Date,Competition,Home team,Score,Away team
03/06/23,FIL,Baltika,2-1,Veles
02/07/23,CLF,Baltika,0-1,Shinnik
06/07/23,CLF,Lokomotiv Moscow,0-1,Baltika
15/07/23,CLF,Isloch,0-5,Baltika
23/07/23,PRL,Sochi,2-0,Baltika
26/07/23,CUP,Krylya Sovetov,2-3,Baltika
31/07/23,PRL,Spartak Moscow,2-1,Baltika
06/08/23,PRL,Baltika,2-1,Fakel
10/08/23,CUP,Akhmat Grozny,0-2,Baltika
13/08/23,PRL,Dinamo Moscow,2-0,Baltika
19/08/23,PRL,Baltika,0-1,Ural
27/08/23,PRL,Krylya Sovetov,2-1,Baltika
30/08/23,CUP,Baltika,1-0,Zenit
03/09/23,PRL,Lokomotiv Moscow,3-2,Baltika
16/09/23,PRL,Baltika,2-2,Rostov
19/09/23,CUP,Baltika,1-2,Krylya Sovetov
23/09/23,PRL,Baltika,1-0,Akhmat Grozny
30/09/23,PRL,CSKA Moscow,1-0,Baltika
03/10/23,CUP,Zenit,2-1,Baltika
07/10/23,PRL,Baltika,1-0,Orenburg
21/10/23,PRL,Baltika,2-2,Krasnodar
27/10/23,PRL,Rubin Kazan,1-0,Baltika
31/10/23,CUP,Baltika,4-1,Akhmat Grozny
04/11/23,PRL,Baltika,0-2,Zenit
12/11/23,PRL,Nizhny Novgorod,0-0,Baltika
25/11/23,PRL,Baltika,0-2,Spartak Moscow
28/11/23,CUP,Baltika,2-2,Lokomotiv Moscow
02/12/23,PRL,Fakel,0-0,Baltika
10/12/23,PRL,Baltika,0-1,Rubin Kazan
25/01/24,CLF,Baltika,2-0,Borac Banja Luka
31/01/24,CLF,Baltika,1-2,Fakel
19/02/24,CLF,Baltika,1-2,Rotor Volgograd
23/02/24,CLF,Baltika,3-0,Dinamo Moscow
03/03/24,PRL,Baltika,0-0,Sochi
10/03/24,PRL,Orenburg,1-0,Baltika
14/03/24,CUP,Lokomotiv Moscow,P1-1P,Baltika
22/03/24,CLF,Baltika,3-1,Dinamo Minsk
30/03/24,PRL,Baltika,2-0,Nizhny Novgorod
03/04/24,CUP,Baltika,0-1,CSKA Moscow
07/04/24,PRL,Zenit,1-0,Baltika
13/04/24,PRL,Akhmat Grozny,1-7,Baltika
16/04/24,CUP,CSKA Moscow,2-0,Baltika
20/04/24,PRL,Baltika,2-1,Krylya Sovetov
24/04/24,PRL,Krasnodar,3-2,Baltika
28/04/24,PRL,Baltika,3-1,CSKA Moscow
02/05/24,CUP,Rostov,18:15,Baltika
06/05/24,PRL,Ural,14:45,Baltika
11/05/24,PRL,Baltika,20:30,Dinamo Moscow
19/05/24,PRL,Rostov,15:30,Baltika
25/05/24,PRL,Baltika,15:30,Lokomotiv Moscow
19/04/22,CUP,Baltika,P1-1P,Dinamo Moscow
23/04/22,FIL,Baltika,2-0,SKA Khabarovsk
30/04/22,FIL,Volgar Astrakhan,2-2,Baltika
07/05/22,FIL,Baltika,0-0,Metallurg Lipetsk
15/05/22,FIL,Veles,1-1,Baltika
21/05/22,FIL,Baltika,0-1,Fakel
26/06/22,CLF,Baltika,2-0,Yenisey
29/06/22,CLF,Spartak Moscow,3-2,Baltika
03/07/22,CLF,Baltika,0-1,Alaniya Vladikavkaz
17/07/22,FIL,Veles,2-1,Baltika
