Date,Competition,Home team,Score,Away team
15/07/23,SUC,Zenit,P0-0P,CSKA Moscow
22/07/23,PRL,Ural,2-1,CSKA Moscow
26/07/23,CUP,Orenburg,0-6,CSKA Moscow
30/07/23,PRL,Akhmat Grozny,2-3,CSKA Moscow
05/08/23,PRL,CSKA Moscow,4-1,Lokomotiv Moscow
09/08/23,CUP,CSKA Moscow,0-2,Fakel
13/08/23,PRL,CSKA Moscow,3-1,Sochi
19/08/23,PRL,Dinamo Moscow,2-1,CSKA Moscow
25/08/23,PRL,Orenburg,1-1,CSKA Moscow
30/08/23,CUP,Sochi,P0-0P,CSKA Moscow
03/09/23,PRL,CSKA Moscow,1-1,Zenit
16/09/23,PRL,CSKA Moscow,2-2,Krylya Sovetov
20/09/23,CUP,CSKA Moscow,P1-1P,Sochi
24/09/23,PRL,Rostov,3-3,CSKA Moscow
30/09/23,PRL,CSKA Moscow,1-0,Baltika
04/10/23,CUP,Fakel,P1-1P,CSKA Moscow
08/10/23,PRL,Spartak Moscow,2-2,CSKA Moscow
21/10/23,PRL,Rubin Kazan,0-0,CSKA Moscow
29/10/23,PRL,CSKA Moscow,1-0,Krasnodar
02/11/23,CUP,CSKA Moscow,3-1,Orenburg
05/11/23,PRL,CSKA Moscow,3-2,Nizhny Novgorod
11/11/23,PRL,Fakel,1-1,CSKA Moscow
25/11/23,PRL,CSKA Moscow,2-3,Dinamo Moscow
29/11/23,CUP,Rostov,1-1,CSKA Moscow
03/12/23,PRL,CSKA Moscow,2-0,Rostov
10/12/23,PRL,Krasnodar,1-0,CSKA Moscow
25/01/24,CLF,CSKA Moscow,3-2,Torpedo Moskva
01/02/24,CLF,CSKA Moscow,2-0,Andijan
05/02/24,CLF,CSKA Moscow,1-0,Fakel
09/02/24,CLF,CSKA Moscow,1-2,Sochi
16/02/24,CLF,CSKA Moscow,4-0,Rodina Moskva
20/02/24,CLF,CSKA Moscow,3-0,Khimki
24/02/24,CLF,CSKA Moscow,1-2,Dinamo Moscow
02/03/24,PRL,CSKA Moscow,1-1,Orenburg
08/03/24,PRL,Krylya Sovetov,0-2,CSKA Moscow
12/03/24,CUP,CSKA Moscow,2-0,Rostov
30/03/24,PRL,Sochi,2-2,CSKA Moscow
03/04/24,CUP,Baltika,0-1,CSKA Moscow
07/04/24,PRL,CSKA Moscow,4-1,Fakel
13/04/24,PRL,Lokomotiv Moscow,3-3,CSKA Moscow
16/04/24,CUP,CSKA Moscow,2-0,Baltika
20/04/24,PRL,CSKA Moscow,1-2,Akhmat Grozny
25/04/24,PRL,CSKA Moscow,0-0,Spartak Moscow
28/04/24,PRL,Baltika,3-1,CSKA Moscow
02/05/24,CUP,CSKA Moscow,18:15,Zenit
06/05/24,PRL,CSKA Moscow,19:30,Rubin Kazan
11/05/24,PRL,Zenit,18:00,CSKA Moscow
15/05/24,CUP,Zenit,19:45,CSKA Moscow
20/05/24,PRL,Nizhny Novgorod,19:00,CSKA Moscow
25/05/24,PRL,CSKA Moscow,15:30,Ural
