Date,Competition,Home team,Score,Away team
29/07/23,PRL,Krylya Sovetov,3-3,Dinamo Moscow
06/08/23,PRL,Zenit,2-3,Dinamo Moscow
09/08/23,CUP,Dinamo Moscow,4-3,Krasnodar
13/08/23,PRL,Dinamo Moscow,2-0,Baltika
19/08/23,PRL,Dinamo Moscow,2-1,CSKA Moscow
26/08/23,PRL,Rubin Kazan,2-2,Dinamo Moscow
29/08/23,CUP,Spartak Moscow,4-1,Dinamo Moscow
03/09/23,PRL,Rostov,1-2,Dinamo Moscow
15/09/23,PRL,Dinamo Moscow,1-1,Nizhny Novgorod
19/09/23,CUP,Krasnodar,P1-1P,Dinamo Moscow
23/09/23,PRL,Spartak Moscow,1-0,Dinamo Moscow
01/10/23,PRL,Akhmat Grozny,1-1,Dinamo Moscow
04/10/23,CUP,Dinamo Moscow,3-0,Spartak Moscow
08/10/23,PRL,Dinamo Moscow,0-0,Fakel
21/10/23,PRL,Lokomotiv Moscow,0-0,Dinamo Moscow
29/10/23,PRL,Dinamo Moscow,2-1,Ural
02/11/23,CUP,Dinamo Moscow,2-1,Nizhny Novgorod
06/11/23,PRL,Sochi,3-3,Dinamo Moscow
12/11/23,PRL,Dinamo Moscow,2-0,Orenburg
18/11/23,CLF,Dinamo Moscow,2-1,2Drots
25/11/23,PRL,CSKA Moscow,2-3,Dinamo Moscow
29/11/23,CUP,Dinamo Moscow,1-0,Zenit
04/12/23,PRL,Dinamo Moscow,1-0,Rubin Kazan
10/12/23,PRL,Fakel,1-1,Dinamo Moscow
25/01/24,CLF,Dinamo Moscow,9-2,Al Wakrah
03/02/24,CLF,Botev Plovdiv,2-3,Dinamo Moscow
04/02/24,CLF,Dinamo Moscow,2-2,Gangwon
08/02/24,CLF,Dinamo Moscow,4-1,Orenburg
11/02/24,CLF,Dinamo Moscow,2-1,Yelimay Semey
12/02/24,CLF,Dinamo Moscow,3-1,St. Pölten
19/02/24,CLF,Dinamo Moscow,1-1,Krylya Sovetov
19/02/24,CLF,Dinamo Moscow,5-1,Krylya Sovetov
23/02/24,CLF,Baltika,3-0,Dinamo Moscow
24/02/24,CLF,CSKA Moscow,1-2,Dinamo Moscow
03/03/24,PRL,Dinamo Moscow,2-1,Lokomotiv Moscow
09/03/24,PRL,Dinamo Moscow,2-0,Akhmat Grozny
13/03/24,CUP,Zenit,2-0,Dinamo Moscow
29/03/24,PRL,Dinamo Moscow,1-4,Rostov
02/04/24,CUP,SKA Khabarovsk,1-2,Dinamo Moscow
07/04/24,PRL,Dinamo Moscow,1-2,Spartak Moscow
14/04/24,PRL,Ural,2-1,Dinamo Moscow
17/04/24,CUP,Orenburg,2-4,Dinamo Moscow
21/04/24,PRL,Nizhny Novgorod,1-4,Dinamo Moscow
24/04/24,PRL,Orenburg,1-2,Dinamo Moscow
28/04/24,PRL,Dinamo Moscow,1-0,Zenit
01/05/24,CUP,Dinamo Moscow,17:00,Spartak Moscow
05/05/24,PRL,Dinamo Moscow,15:30,Sochi
11/05/24,PRL,Baltika,20:30,Dinamo Moscow
18/05/24,PRL,Dinamo Moscow,13:00,Krylya Sovetov
