Date,Competition,Home team,Score,Away team
06/07/23,CLF,Fakel,2-0,FK Spartak Tambov
09/07/23,CLF,Rostov,3-0,Fakel
15/07/23,CLF,Fakel,1-0,Rostov
16/07/23,CLF,Fakel,1-0,FK Spartak Tambov
23/07/23,PRL,Rostov,2-1,Fakel
26/07/23,CUP,Fakel,1-3,Sochi
30/07/23,PRL,Fakel,1-4,Lokomotiv Moscow
06/08/23,PRL,Baltika,2-1,Fakel
09/08/23,CUP,CSKA Moscow,0-2,Fakel
13/08/23,PRL,Zenit,2-0,Fakel
20/08/23,PRL,Fakel,2-0,Nizhny Novgorod
25/08/23,PRL,Fakel,0-0,Krasnodar
29/08/23,CUP,Fakel,0-1,Orenburg
02/09/23,PRL,Krylya Sovetov,3-0,Fakel
17/09/23,PRL,Ural,0-0,Fakel
21/09/23,CUP,Orenburg,P0-0P,Fakel
25/09/23,PRL,Fakel,0-1,Rubin Kazan
01/10/23,PRL,Fakel,2-0,Sochi
04/10/23,CUP,Fakel,P1-1P,CSKA Moscow
08/10/23,PRL,Dinamo Moscow,0-0,Fakel
21/10/23,PRL,Orenburg,1-2,Fakel
28/10/23,PRL,Fakel,2-0,Spartak Moscow
01/11/23,CUP,Sochi,2-0,Fakel
04/11/23,PRL,Akhmat Grozny,1-2,Fakel
11/11/23,PRL,Fakel,1-1,CSKA Moscow
26/11/23,PRL,Rubin Kazan,1-0,Fakel
02/12/23,PRL,Fakel,0-0,Baltika
10/12/23,PRL,Fakel,1-1,Dinamo Moscow
15/01/24,CLF,Fakel,1-0,Səbail
19/01/24,CLF,Fakel,1-2,Nasaf
24/01/24,CLF,Fakel,2-0,Koper
31/01/24,CLF,Baltika,1-2,Fakel
05/02/24,CLF,Fakel,1-1,KAMAZ
05/02/24,CLF,CSKA Moscow,1-0,Fakel
10/02/24,CLF,Fakel,2-1,Ordabasy
18/02/24,CLF,SKA Khabarovsk,2-3,Fakel
18/02/24,CLF,Fakel,0-0,Dynamo Makhachkala
23/02/24,CLF,Fakel,0-0,Sochi
03/03/24,PRL,Nizhny Novgorod,1-1,Fakel
10/03/24,PRL,Spartak Moscow,0-2,Fakel
31/03/24,PRL,Fakel,0-0,Orenburg
07/04/24,PRL,CSKA Moscow,4-1,Fakel
14/04/24,PRL,Fakel,0-1,Rostov
19/04/24,PRL,Krasnodar,2-0,Fakel
25/04/24,PRL,Fakel,0-1,Krylya Sovetov
29/04/24,PRL,Sochi,0-0,Fakel
06/05/24,PRL,Fakel,17:00,Zenit
12/05/24,PRL,Fakel,15:30,Ural
18/05/24,PRL,Lokomotiv Moscow,15:30,Fakel
25/05/24,PRL,Fakel,15:30,Akhmat Grozny
23/06/22,CLF,Rostov,2-0,Fakel
03/07/22,CLF,Lokomotiv Moscow,CANC,Fakel
09/07/22,CLF,Fakel,2-1,Torpedo Moskva
17/07/22,PRL,Krasnodar,2-2,Fakel
24/07/22,PRL,Akhmat Grozny,2-1,Fakel
30/07/22,PRL,Fakel,3-3,Dinamo Moscow
06/08/22,PRL,CSKA Moscow,4-1,Fakel
12/08/22,PRL,Fakel,0-0,Ural
19/08/22,PRL,Krylya Sovetov,1-1,Fakel
27/08/22,PRL,Fakel,1-4,Spartak Moscow
31/08/22,CUP,Zenit,2-0,Fakel
03/09/22,PRL,Nizhny Novgorod,3-1,Fakel
11/09/22,PRL,Fakel,2-0,Lokomotiv Moscow
15/09/22,CUP,Spartak Moscow,3-0,Fakel
18/09/22,PRL,Sochi,1-1,Fakel
29/09/22,CUP,Fakel,0-1,Krylya Sovetov
02/10/22,PRL,Fakel,2-2,Torpedo Moskva
08/10/22,PRL,Fakel,1-1,Zenit
15/10/22,PRL,Khimki,0-0,Fakel
19/10/22,CUP,Fakel,1-2,Spartak Moscow
22/10/22,PRL,Fakel,1-1,Rostov
28/10/22,PRL,Orenburg,4-1,Fakel
05/11/22,PRL,Fakel,3-3,Krasnodar
12/11/22,PRL,Ural,2-0,Fakel
16/11/22,CUP,Fakel,0-2,Zenit
27/11/22,CUP,Krylya Sovetov,1-0,Fakel
19/01/23,CLF,Fakel,0-1,Spartak Subotica
24/01/23,CLF,Fakel,2-0,Grafičar
30/01/23,CLF,Slavia Sofia,1-2,Fakel
03/02/23,CLF,Fakel,4-1,Andijan
03/02/23,CLF,Fakel,0-1,Chayka
08/02/23,CLF,Torpedo Moskva,1-1,Fakel
14/02/23,CLF,Fakel,2-1,Kaisar
18/02/23,CLF,Fakel,2-4,Sochi
23/02/23,CLF,Fakel,3-0,Istiklol
03/03/23,PRL,Fakel,1-1,Khimki
11/03/23,PRL,Spartak Moscow,3-2,Fakel
18/03/23,PRL,Fakel,3-0,Sochi
02/04/23,PRL,Fakel,0-2,CSKA Moscow
08/04/23,PRL,Torpedo Moskva,2-0,Fakel
16/04/23,PRL,Fakel,1-1,Akhmat Grozny
22/04/23,PRL,Fakel,1-3,Orenburg
28/04/23,PRL,Dinamo Moscow,0-2,Fakel
06/05/23,PRL,Rostov,0-2,Fakel
14/05/23,PRL,Fakel,1-0,Nizhny Novgorod
20/05/23,PRL,Lokomotiv Moscow,1-0,Fakel
28/05/23,PRL,Fakel,2-1,Krylya Sovetov
03/06/23,PRL,Zenit,1-0,Fakel
07/06/23,PL1,Yenisey,0-1,Fakel
10/06/23,PL1,Fakel,2-0,Yenisey
31/07/21,FIL,Orenburg,0-2,Fakel
04/08/21,CUP,Fakel,2-1,Olimp-Dolgoprudny
08/08/21,FIL,Fakel,1-0,Akron
14/08/21,FIL,Neftekhimik,3-0,Fakel
21/08/21,FIL,Fakel,1-0,Rotor Volgograd
25/08/21,CUP,Dinamo Barnaul,0-2,Fakel
29/08/21,FIL,KAMAZ,2-1,Fakel
05/09/21,FIL,Fakel,0-0,Krasnodar II
11/09/21,FIL,Torpedo Moskva,2-2,Fakel
15/09/21,FIL,Fakel,3-1,Yenisey
19/09/21,FIL,Kuban Krasnodar,0-4,Fakel
25/09/21,FIL,Fakel,3-0,Spartak Moskva II
29/09/21,FIL,Alaniya Vladikavkaz,1-0,Fakel
03/10/21,FIL,Fakel,3-0,Tekstilshchik
09/10/21,FIL,Olimp-Dolgoprudny,2-0,Fakel
13/10/21,FIL,Fakel,0-1,SKA Khabarovsk
17/10/21,FIL,Volgar Astrakhan,0-2,Fakel
23/10/21,FIL,Fakel,3-2,Metallurg Lipetsk
27/10/21,CUP,Fakel,0-1,Nizhny Novgorod
31/10/21,FIL,Veles,0-4,Fakel
06/11/21,FIL,Tom Tomsk,2-2,Fakel
13/11/21,FIL,Fakel,1-0,Orenburg
17/11/21,FIL,Akron,2-0,Fakel
21/11/21,FIL,Fakel,3-1,Neftekhimik
27/11/21,FIL,Rotor Volgograd,1-2,Fakel
20/01/22,CLF,Rubin Kazan,4-4,Fakel
23/01/22,CLF,Fakel,0-0,Nizhny Novgorod
29/01/22,CLF,Fakel,1-0,Shkupi
30/01/22,CLF,Fakel,0-3,Rabotnički
02/02/22,CLF,Fakel,1-1,Atyrau
02/02/22,CLF,Fakel,CANC,Neftchi
06/02/22,CLF,Fakel,2-5,Inđija
06/02/22,CLF,Fakel,3-3,Akhmat Grozny
09/02/22,CLF,Fakel,4-0,Samgurali
19/02/22,CLF,Fakel,2-1,Dinamo Minsk
23/02/22,CLF,Fakel,3-2,Dinamo Bryansk
24/02/22,CLF,Fakel,2-0,SKA Rostov
12/03/22,FIL,Krasnodar II,1-2,Fakel
19/03/22,FIL,Fakel,0-1,Torpedo Moskva
26/03/22,FIL,Yenisey,2-1,Fakel
02/04/22,FIL,Fakel,0-0,Kuban Krasnodar
06/04/22,FIL,Spartak Moskva II,2-0,Fakel
10/04/22,FIL,Fakel,2-1,Alaniya Vladikavkaz
16/04/22,FIL,Tekstilshchik,0-5,Fakel
23/04/22,FIL,Fakel,1-0,Olimp-Dolgoprudny
30/04/22,FIL,SKA Khabarovsk,2-1,Fakel
07/05/22,FIL,Fakel,1-0,Volgar Astrakhan
11/05/22,FIL,Fakel,1-0,KAMAZ
15/05/22,FIL,Metallurg Lipetsk,1-2,Fakel
21/05/22,FIL,Baltika,0-1,Fakel
23/09/20,FIL,Fakel,0-0,Tom Tomsk
27/09/20,FIL,Irtysh Omsk,1-0,Fakel
04/10/20,FIL,Fakel,0-0,Dinamo Bryansk
09/10/20,FIL,Neftekhimik,3-1,Fakel
13/10/20,FIL,Fakel,0-0,Alaniya Vladikavkaz
17/10/20,FIL,Tekstilshchik,0-0,Fakel
24/10/20,FIL,Fakel,1-1,Krylya Sovetov
28/10/20,FIL,Volgar Astrakhan,2-1,Fakel
01/11/20,FIL,Fakel,1-1,Spartak Moskva II
07/11/20,FIL,Fakel,2-0,Shinnik
11/11/20,FIL,Torpedo Moskva,4-1,Fakel
15/11/20,FIL,Fakel,6-2,Krasnodar II
21/11/20,FIL,Baltika,0-0,Fakel
25/11/20,FIL,Fakel,0-0,Veles
29/11/20,FIL,Fakel,3-0,SKA Khabarovsk
05/12/20,FIL,Fakel,1-1,Chayka
24/01/21,CLF,Fakel,1-1,Rad Beograd
31/01/21,CLF,Fakel,2-0,Partizán Bardejov
31/01/21,CLF,Fakel,4-2,Dukagjini
03/02/21,CLF,Torpedo Moskva,1-1,Fakel
03/02/21,CLF,Chertanovo,0-5,Fakel
07/02/21,CLF,Irtysh Omsk,1-2,Fakel
07/02/21,CLF,Fakel,4-1,Akzhayik
10/02/21,CLF,Fakel,4-0,Kaisar
17/02/21,CLF,Volgar Astrakhan,0-0,Fakel
20/02/21,CLF,Fakel,1-1,Dinamo Minsk
27/02/21,FIL,Orenburg,1-2,Fakel
06/03/21,FIL,Yenisey,1-3,Fakel
10/03/21,FIL,Nizhny Novgorod,1-2,Fakel
14/03/21,FIL,Fakel,4-1,Chertanovo
20/03/21,FIL,Tom Tomsk,0-3,Fakel
24/03/21,FIL,Fakel,3-1,Irtysh Omsk
28/03/21,FIL,Dinamo Bryansk,0-2,Fakel
03/04/21,FIL,Fakel,1-1,Neftekhimik
07/04/21,FIL,Alaniya Vladikavkaz,2-0,Fakel
11/04/21,FIL,Fakel,1-0,Tekstilshchik
17/04/21,FIL,Krylya Sovetov,5-1,Fakel
24/04/21,FIL,Fakel,1-1,Volgar Astrakhan
28/04/21,FIL,Spartak Moskva II,3-5,Fakel
02/05/21,FIL,Shinnik,0-2,Fakel
08/05/21,FIL,Fakel,0-0,Torpedo Moskva
15/05/21,FIL,Akron,0-2,Fakel
21/06/21,CLF,Fakel,3-1,Torpedo Moskva
21/06/21,CLF,Fakel,2-0,Torpedo Moskva
26/06/21,CLF,Fakel,1-1,Veles
30/06/21,CLF,Volgar Astrakhan,1-2,Fakel
30/06/21,CLF,Khimki,0-1,Fakel
10/07/21,FIL,Fakel,3-3,Baltika
17/07/21,FIL,Fakel,1-0,Veles
24/07/21,FIL,Fakel,2-0,Tom Tomsk
21/08/19,CUP,Salyut-Belgorod,1-3,Fakel
25/08/19,FIL,Fakel,0-0,Avangard Kursk
31/08/19,FIL,Tekstilshchik,1-4,Fakel
07/09/19,FIL,Fakel,1-1,Yenisey
14/09/19,FIL,Rotor Volgograd,2-0,Fakel
21/09/19,FIL,Fakel,0-3,Khimki
25/09/19,CUP,Fakel,1-2,Arsenal Tula
30/09/19,FIL,Krasnodar II,0-0,Fakel
05/10/19,FIL,Fakel,0-0,Tom Tomsk
12/10/19,FIL,Neftekhimik,1-0,Fakel
19/10/19,FIL,Fakel,0-4,Shinnik
23/10/19,FIL,Spartak Moskva II,7-2,Fakel
27/10/19,FIL,Chayka,0-1,Fakel
03/11/19,FIL,Chertanovo,4-0,Fakel
09/11/19,FIL,Baltika,3-0,Fakel
13/11/19,FIL,Fakel,0-2,SKA Khabarovsk
17/11/19,FIL,Mordovia Saransk,1-1,Fakel
23/11/19,FIL,Fakel,0-2,Nizhny Novgorod
28/01/20,CLF,Tom Tomsk,1-2,Fakel
05/02/20,CLF,Kaisar,1-1,Fakel
14/02/20,FNC,Fakel,2-1,Ural II
17/02/20,FNC,Rodina Moskva,2-0,Fakel
20/02/20,FNC,Khimki,1-1,Fakel
23/02/20,FNC,Yenisey,P0-0P,Fakel
26/02/20,FNC,Fakel,2-0,SKA Rostov
09/03/20,FIL,Armavir,1-0,Fakel
15/03/20,FIL,Fakel,1-0,Luch Vladivostok
22/03/20,FIL,Avangard Kursk,CANC,Fakel
29/03/20,FIL,Fakel,CANC,Tekstilshchik
04/04/20,FIL,Yenisey,CANC,Fakel
08/04/20,FIL,Fakel,CANC,Rotor Volgograd
12/04/20,FIL,Khimki,CANC,Fakel
18/04/20,FIL,Fakel,CANC,Krasnodar II
26/04/20,FIL,Tom Tomsk,CANC,Fakel
02/05/20,FIL,Fakel,CANC,Neftekhimik
06/05/20,FIL,Shinnik,CANC,Fakel
10/05/20,FIL,Fakel,CANC,Spartak Moskva II
16/05/20,FIL,Torpedo Moskva,CANC,Fakel
24/07/20,CLF,Metallurg Lipetsk,1-2,Fakel
01/08/20,FIL,Fakel,1-0,Akron
08/08/20,FIL,Krasnodar II,3-1,Fakel
12/08/20,FIL,Fakel,0-1,Baltika
16/08/20,FIL,Veles,1-1,Fakel
22/08/20,FIL,SKA Khabarovsk,1-0,Fakel
26/08/20,CUP,SKA Khabarovsk,P0-0P,Fakel
31/08/20,FIL,Chayka,2-1,Fakel
05/09/20,FIL,Fakel,0-2,Orenburg
09/09/20,FIL,Fakel,1-0,Yenisey
13/09/20,FIL,Fakel,0-1,Nizhny Novgorod
19/09/20,FIL,Chertanovo,0-3,Fakel
15/09/18,FIL,Fakel,1-0,Nizhny Novgorod
19/09/18,FIL,Armavir,4-1,Fakel
23/09/18,FIL,Fakel,0-0,Krasnodar II
30/09/18,FIL,SKA Khabarovsk,2-1,Fakel
06/10/18,FIL,Fakel,1-2,Mordovia Saransk
14/10/18,FIL,Tyumen,1-1,Fakel
20/10/18,FIL,Fakel,0-0,Tambov
24/10/18,FIL,Chertanovo,2-1,Fakel
28/10/18,FIL,Fakel,1-1,Luch Vladivostok
04/11/18,FIL,Sochi,0-2,Fakel
10/11/18,FIL,Fakel,3-0,Spartak Moskva II
14/11/18,FIL,Shinnik,1-0,Fakel
18/11/18,FIL,Fakel,3-2,Avangard Kursk
24/11/18,FIL,Sibir,2-0,Fakel
14/01/19,CLF,Tambov,3-0,Fakel
23/01/19,CLF,Fakel,2-1,Vendsyssel
24/01/19,CLF,Fakel,CANC,Qəbələ
25/01/19,CLF,Fakel,3-7,Hajduk Split
27/01/19,CLF,SKA Khabarovsk,2-1,Fakel
28/01/19,CLF,Fakel,1-1,Yenisey Krasnoyarsk U21
01/02/19,CLF,Fakel,CANC,Slavia Sofia
01/02/19,CLF,Vitosha Bistritsa,0-1,Fakel
09/02/19,FNC,Spartak Moskva II,4-0,Fakel
12/02/19,FNC,Fakel,0-2,Avangard Kursk
