Date,Competition,Home team,Score,Away team
17/05/23,CUP,Krasnodar,2-1,Ural
21/05/23,PRL,Krasnodar,3-0,Rostov
27/05/23,PRL,Krasnodar,0-0,CSKA Moscow
03/06/23,PRL,Akhmat Grozny,2-2,Krasnodar
11/06/23,CUP,Krasnodar,P1-1P,CSKA Moscow
08/07/23,CLF,Krasnodar,2-2,Chernomorets
11/07/23,CLF,Krasnodar,3-0,Kuban Krasnodar
15/07/23,CLF,Krasnodar,2-2,Sochi
21/07/23,PRL,Dinamo Moscow,1-3,Krasnodar
27/07/23,CUP,Krasnodar,1-2,Spartak Moscow
30/07/23,PRL,Krasnodar,2-0,Sochi
04/08/23,PRL,Krasnodar,1-0,Nizhny Novgorod
09/08/23,CUP,Dinamo Moscow,4-3,Krasnodar
12/08/23,PRL,Orenburg,0-2,Krasnodar
19/08/23,PRL,Krasnodar,1-1,Lokomotiv Moscow
25/08/23,PRL,Fakel,0-0,Krasnodar
29/08/23,CUP,Nizhny Novgorod,0-1,Krasnodar
02/09/23,PRL,Krasnodar,2-0,Spartak Moscow
16/09/23,PRL,Akhmat Grozny,1-1,Krasnodar
19/09/23,CUP,Krasnodar,P1-1P,Dinamo Moscow
24/09/23,PRL,Krasnodar,2-0,Ural
30/09/23,PRL,Rubin Kazan,0-2,Krasnodar
04/10/23,CUP,Krasnodar,3-0,Nizhny Novgorod
07/10/23,PRL,Krasnodar,3-2,Rostov
21/10/23,PRL,Baltika,2-2,Krasnodar
29/10/23,PRL,CSKA Moscow,1-0,Krasnodar
01/11/23,CUP,Spartak Moscow,2-3,Krasnodar
05/11/23,PRL,Krasnodar,2-1,Krylya Sovetov
11/11/23,PRL,Zenit,1-1,Krasnodar
26/11/23,PRL,Ural,3-1,Krasnodar
03/12/23,PRL,Krasnodar,2-1,Orenburg
10/12/23,PRL,Krasnodar,1-0,CSKA Moscow
03/02/24,CLF,Krasnodar,3-0,Rodina Moskva
07/02/24,CLF,Krasnodar,1-0,Al Shabab
14/02/24,CLF,Krasnodar,2-4,Astana
18/02/24,CLF,Krasnodar,1-0,Ural
22/02/24,CLF,Krasnodar,2-1,Torpedo Moskva
02/03/24,PRL,Krasnodar,1-1,Rubin Kazan
08/03/24,PRL,Rostov,2-1,Krasnodar
12/03/24,CUP,Khimki,2-0,Krasnodar
31/03/24,PRL,Lokomotiv Moscow,1-1,Krasnodar
06/04/24,PRL,Nizhny Novgorod,3-4,Krasnodar
13/04/24,PRL,Krasnodar,1-2,Zenit
19/04/24,PRL,Krasnodar,2-0,Fakel
24/04/24,PRL,Krasnodar,3-2,Baltika
29/04/24,PRL,Krylya Sovetov,0-0,Krasnodar
04/05/24,PRL,Krasnodar,18:30,Akhmat Grozny
11/05/24,PRL,Spartak Moscow,15:30,Krasnodar
18/05/24,PRL,Sochi,18:00,Krasnodar
25/05/24,PRL,Krasnodar,15:30,Dinamo Moscow
08/05/22,PRL,Arsenal Tula,1-1,Krasnodar
15/05/22,PRL,Krasnodar,1-0,CSKA Moscow
21/05/22,PRL,Krasnodar,1-1,Akhmat Grozny
28/06/22,CLF,Krasnodar,2-0,Rostov
03/07/22,CLF,Krasnodar,2-1,Forte Taganrog
10/07/22,CLF,Rostov,1-2,Krasnodar
17/07/22,PRL,Krasnodar,2-2,Fakel
23/07/22,PRL,Krasnodar,1-4,Spartak Moscow
29/07/22,PRL,Ural,1-3,Krasnodar
06/08/22,PRL,Krasnodar,3-0,Lokomotiv Moscow
13/08/22,PRL,Dinamo Moscow,0-0,Krasnodar
21/08/22,PRL,Krasnodar,2-0,Orenburg
28/08/22,PRL,Torpedo Moskva,1-4,Krasnodar
31/08/22,CUP,Khimki,0-2,Krasnodar
03/09/22,PRL,Krasnodar,2-1,Sochi
10/09/22,PRL,CSKA Moscow,4-1,Krasnodar
14/09/22,CUP,Lokomotiv Moscow,P2-2P,Krasnodar
18/09/22,PRL,Krasnodar,3-1,Khimki
28/09/22,CUP,Krasnodar,2-0,Nizhny Novgorod
03/10/22,PRL,Krylya Sovetov,0-0,Krasnodar
09/10/22,PRL,Rostov,3-2,Krasnodar
15/10/22,PRL,Krasnodar,2-3,Akhmat Grozny
