Date,Competition,Home team,Score,Away team
29/04/23,PRL,Krylya Sovetov,1-5,Zenit
07/05/23,PRL,Krasnodar,2-1,Krylya Sovetov
14/05/23,PRL,Krylya Sovetov,1-1,Lokomotiv Moscow
21/05/23,PRL,Krylya Sovetov,3-0,Ural
28/05/23,PRL,Fakel,2-1,Krylya Sovetov
03/06/23,PRL,Krylya Sovetov,1-0,Spartak Moscow
01/07/23,CLF,Krylya Sovetov,E1-2E,Sokol Saratov
07/07/23,CLF,Neftekhimik,2-3,Krylya Sovetov
16/07/23,CLF,Krylya Sovetov,P1-1P,Ural
22/07/23,PRL,Akhmat Grozny,1-2,Krylya Sovetov
26/07/23,CUP,Krylya Sovetov,2-3,Baltika
29/07/23,PRL,Krylya Sovetov,3-3,Dinamo Moscow
05/08/23,PRL,Krylya Sovetov,5-1,Rostov
09/08/23,CUP,Krylya Sovetov,0-1,Zenit
12/08/23,PRL,Lokomotiv Moscow,1-1,Krylya Sovetov
18/08/23,PRL,Rubin Kazan,2-1,Krylya Sovetov
27/08/23,PRL,Krylya Sovetov,2-1,Baltika
30/08/23,CUP,Akhmat Grozny,3-1,Krylya Sovetov
02/09/23,PRL,Krylya Sovetov,3-0,Fakel
16/09/23,PRL,CSKA Moscow,2-2,Krylya Sovetov
19/09/23,CUP,Baltika,1-2,Krylya Sovetov
23/09/23,PRL,Krylya Sovetov,2-1,Sochi
01/10/23,PRL,Krylya Sovetov,4-0,Spartak Moscow
04/10/23,CUP,Krylya Sovetov,0-3,Akhmat Grozny
08/10/23,PRL,Nizhny Novgorod,2-0,Krylya Sovetov
22/10/23,PRL,Zenit,3-1,Krylya Sovetov
28/10/23,PRL,Krylya Sovetov,1-1,Orenburg
31/10/23,CUP,Zenit,1-0,Krylya Sovetov
05/11/23,PRL,Krasnodar,2-1,Krylya Sovetov
11/11/23,PRL,Krylya Sovetov,3-1,Ural
25/11/23,PRL,Krylya Sovetov,3-3,Lokomotiv Moscow
02/12/23,PRL,Sochi,0-2,Krylya Sovetov
09/12/23,PRL,Spartak Moscow,3-0,Krylya Sovetov
24/01/24,CLF,Krylya Sovetov,3-1,KF Gostivari
26/01/24,CLF,Krylya Sovetov,1-1,Radnički Kragujevac
02/02/24,CLF,Krylya Sovetov,3-1,Alaniya Vladikavkaz
19/02/24,CLF,Dinamo Moscow,1-1,Krylya Sovetov
19/02/24,CLF,Dinamo Moscow,5-1,Krylya Sovetov
01/03/24,PRL,Rostov,2-0,Krylya Sovetov
08/03/24,PRL,Krylya Sovetov,0-2,CSKA Moscow
30/03/24,PRL,Krylya Sovetov,1-1,Zenit
06/04/24,PRL,Ural,1-2,Krylya Sovetov
14/04/24,PRL,Krylya Sovetov,2-0,Rubin Kazan
20/04/24,PRL,Baltika,2-1,Krylya Sovetov
25/04/24,PRL,Fakel,0-1,Krylya Sovetov
29/04/24,PRL,Krylya Sovetov,0-0,Krasnodar
04/05/24,PRL,Orenburg,16:00,Krylya Sovetov
10/05/24,PRL,Krylya Sovetov,15:00,Akhmat Grozny
18/05/24,PRL,Dinamo Moscow,13:00,Krylya Sovetov
25/05/24,PRL,Krylya Sovetov,15:30,Nizhny Novgorod
28/06/22,CLF,Rubin Kazan,CANC,Krylya Sovetov
30/06/22,CLF,Krylya Sovetov,0-3,Akron
05/07/22,CLF,Krylya Sovetov,1-0,Akhmat Grozny
05/07/22,CLF,Krylya Sovetov,2-1,Akhmat Grozny
09/07/22,CLF,Ural,CANC,Krylya Sovetov
16/07/22,PRL,Orenburg,2-4,Krylya Sovetov
22/07/22,PRL,Zenit,3-0,Krylya Sovetov
31/07/22,PRL,Krylya Sovetov,1-1,Torpedo Moskva
07/08/22,PRL,Krylya Sovetov,0-2,Dinamo Moscow
13/08/22,PRL,Lokomotiv Moscow,1-1,Krylya Sovetov
19/08/22,PRL,Krylya Sovetov,1-1,Fakel
27/08/22,PRL,Akhmat Grozny,1-2,Krylya Sovetov
30/08/22,CUP,Spartak Moscow,1-0,Krylya Sovetov
