Date,Competition,Home team,Score,Away team
06/07/23,CLF,Lokomotiv Moscow,0-1,Baltika
09/07/23,CLF,Lokomotiv Moscow,3-0,SKA Khabarovsk
14/07/23,CLF,Lokomotiv Moscow,7-0,Kvant
22/07/23,PRL,Lokomotiv Moscow,2-2,Rubin Kazan
25/07/23,CUP,Lokomotiv Moscow,2-1,Ural
30/07/23,PRL,Fakel,1-4,Lokomotiv Moscow
05/08/23,PRL,CSKA Moscow,4-1,Lokomotiv Moscow
08/08/23,CUP,Rubin Kazan,0-1,Lokomotiv Moscow
12/08/23,PRL,Lokomotiv Moscow,1-1,Krylya Sovetov
19/08/23,PRL,Krasnodar,1-1,Lokomotiv Moscow
27/08/23,PRL,Sochi,0-1,Lokomotiv Moscow
30/08/23,CUP,Rostov,2-1,Lokomotiv Moscow
03/09/23,PRL,Lokomotiv Moscow,3-2,Baltika
17/09/23,PRL,Lokomotiv Moscow,0-2,Orenburg
20/09/23,CUP,Ural,P0-0P,Lokomotiv Moscow
24/09/23,PRL,Zenit,1-2,Lokomotiv Moscow
30/09/23,PRL,Lokomotiv Moscow,1-0,Nizhny Novgorod
03/10/23,CUP,Lokomotiv Moscow,3-1,Rostov
07/10/23,PRL,Ural,2-2,Lokomotiv Moscow
21/10/23,PRL,Lokomotiv Moscow,0-0,Dinamo Moscow
28/10/23,PRL,Rostov,1-0,Lokomotiv Moscow
01/11/23,CUP,Lokomotiv Moscow,3-0,Rubin Kazan
05/11/23,PRL,Lokomotiv Moscow,1-1,Spartak Moscow
11/11/23,PRL,Lokomotiv Moscow,2-1,Akhmat Grozny
25/11/23,PRL,Krylya Sovetov,3-3,Lokomotiv Moscow
28/11/23,CUP,Baltika,2-2,Lokomotiv Moscow
03/12/23,PRL,Lokomotiv Moscow,3-1,Zenit
08/12/23,PRL,Lokomotiv Moscow,2-0,Ural
20/01/24,CLF,Lokomotiv Moscow,2-0,Al Akhdoud
24/01/24,CLF,Akron,2-0,Lokomotiv Moscow
04/02/24,CLF,Lokomotiv Moscow,4-1,Kairat
08/02/24,CLF,Torpedo Moskva,0-2,Lokomotiv Moscow
08/02/24,CLF,Lokomotiv Moscow,2-1,Urartu
16/02/24,CLF,Lokomotiv Moscow,2-0,Altyn Asyr
24/02/24,CLF,Lokomotiv Moscow,3-0,Aşgabat
24/02/24,CLF,Rostov,1-3,Lokomotiv Moscow
03/03/24,PRL,Dinamo Moscow,2-1,Lokomotiv Moscow
10/03/24,PRL,Lokomotiv Moscow,2-2,Sochi
14/03/24,CUP,Lokomotiv Moscow,P1-1P,Baltika
31/03/24,PRL,Lokomotiv Moscow,1-1,Krasnodar
03/04/24,CUP,Ural,1-0,Lokomotiv Moscow
07/04/24,PRL,Akhmat Grozny,0-2,Lokomotiv Moscow
13/04/24,PRL,Lokomotiv Moscow,3-3,CSKA Moscow
20/04/24,PRL,Rubin Kazan,1-1,Lokomotiv Moscow
24/04/24,PRL,Nizhny Novgorod,2-3,Lokomotiv Moscow
28/04/24,PRL,Spartak Moscow,3-2,Lokomotiv Moscow
06/05/24,PRL,Lokomotiv Moscow,19:30,Rostov
12/05/24,PRL,Orenburg,13:00,Lokomotiv Moscow
18/05/24,PRL,Lokomotiv Moscow,15:30,Fakel
25/05/24,PRL,Baltika,15:30,Lokomotiv Moscow
10/07/22,CLF,Lokomotiv Moscow,CANC,Dinamo Moscow
17/07/22,PRL,Lokomotiv Moscow,1-1,Nizhny Novgorod
24/07/22,PRL,Lokomotiv Moscow,2-2,Rostov
30/07/22,PRL,Zenit,5-0,Lokomotiv Moscow
06/08/22,PRL,Krasnodar,3-0,Lokomotiv Moscow
13/08/22,PRL,Lokomotiv Moscow,1-1,Krylya Sovetov
20/08/22,PRL,Khimki,0-3,Lokomotiv Moscow
28/08/22,PRL,Lokomotiv Moscow,5-1,Orenburg
31/08/22,CUP,Nizhny Novgorod,2-0,Lokomotiv Moscow
04/09/22,PRL,Lokomotiv Moscow,1-2,Akhmat Grozny
11/09/22,PRL,Fakel,2-0,Lokomotiv Moscow
14/09/22,CUP,Lokomotiv Moscow,P2-2P,Krasnodar
18/09/22,PRL,Spartak Moscow,1-0,Lokomotiv Moscow
28/09/22,CUP,Khimki,0-5,Lokomotiv Moscow
01/10/22,PRL,Lokomotiv Moscow,2-4,Ural
08/10/22,PRL,Sochi,4-0,Lokomotiv Moscow
15/10/22,PRL,Torpedo Moskva,0-1,Lokomotiv Moscow
18/10/22,CUP,Lokomotiv Moscow,1-0,Khimki
22/10/22,PRL,Lokomotiv Moscow,1-3,Dinamo Moscow
29/10/22,PRL,Lokomotiv Moscow,0-1,CSKA Moscow
06/11/22,PRL,Ural,2-2,Lokomotiv Moscow
12/11/22,PRL,Lokomotiv Moscow,1-2,Spartak Moscow
23/11/22,CUP,Krasnodar,1-0,Lokomotiv Moscow
27/11/22,CUP,Lokomotiv Moscow,3-1,Nizhny Novgorod
18/01/23,CLF,Lokomotiv Moscow,1-1,Bunyodkor
22/01/23,CLF,Lokomotiv Moscow,2-1,Rodina Moskva
29/01/23,CLF,Sochi,0-2,Lokomotiv Moscow
02/02/23,CLF,Lokomotiv Moscow,0-1,Johor Darul Ta'zim
05/02/23,CLF,Lokomotiv Moscow,1-0,Urartu
12/02/23,CLF,Lokomotiv Moscow,2-1,Ural
15/02/23,CLF,Lokomotiv Moscow,CANC,Shanghai Shenhua
15/02/23,CLF,Fursan Hispania,0-5,Lokomotiv Moscow
22/02/23,CUP,Lokomotiv Moscow,0-1,Spartak Moscow
27/02/23,CUP,Spartak Moscow,4-2,Lokomotiv Moscow
04/03/23,PRL,Rostov,1-3,Lokomotiv Moscow
11/03/23,PRL,Akhmat Grozny,0-1,Lokomotiv Moscow
14/03/23,CUP,Akron,P1-1P,Lokomotiv Moscow
18/03/23,PRL,Lokomotiv Moscow,3-2,Krasnodar
01/04/23,PRL,Nizhny Novgorod,0-4,Lokomotiv Moscow
09/04/23,PRL,Lokomotiv Moscow,1-2,Zenit
16/04/23,PRL,Orenburg,1-4,Lokomotiv Moscow
23/04/23,PRL,CSKA Moscow,1-1,Lokomotiv Moscow
30/04/23,PRL,Lokomotiv Moscow,5-1,Khimki
08/05/23,PRL,Lokomotiv Moscow,3-0,Sochi
14/05/23,PRL,Krylya Sovetov,1-1,Lokomotiv Moscow
20/05/23,PRL,Lokomotiv Moscow,1-0,Fakel
28/05/23,PRL,Dinamo Moscow,2-4,Lokomotiv Moscow
03/06/23,PRL,Lokomotiv Moscow,3-1,Torpedo Moskva
26/06/23,CLF,Lokomotiv Moscow,1-1,Irtysh Omsk
30/06/23,CLF,Lokomotiv Moscow,4-2,Volgar Astrakhan
12/07/21,CLF,Lokomotiv Moscow,1-2,Rostov
17/07/21,SUC,Zenit,3-0,Lokomotiv Moscow
24/07/21,PRL,Lokomotiv Moscow,3-1,Arsenal Tula
31/07/21,PRL,CSKA Moscow,1-2,Lokomotiv Moscow
06/08/21,PRL,Ufa,1-1,Lokomotiv Moscow
15/08/21,PRL,Lokomotiv Moscow,1-1,Zenit
22/08/21,PRL,Lokomotiv Moscow,2-1,Krasnodar
27/08/21,PRL,Dinamo Moscow,1-1,Lokomotiv Moscow
05/09/21,CLF,CSKA Moscow,1-2,Lokomotiv Moscow
11/09/21,PRL,Lokomotiv Moscow,2-0,Krylya Sovetov
16/09/21,UEL,Lokomotiv Moscow,1-1,Marseille
20/09/21,PRL,Ural,0-0,Lokomotiv Moscow
25/09/21,PRL,Khimki,0-0,Lokomotiv Moscow
30/09/21,UEL,Lazio,2-0,Lokomotiv Moscow
03/10/21,PRL,Lokomotiv Moscow,1-2,Rostov
16/10/21,PRL,Rubin Kazan,2-2,Lokomotiv Moscow
21/10/21,UEL,Lokomotiv Moscow,0-1,Galatasaray
25/10/21,PRL,Lokomotiv Moscow,2-1,Sochi
30/10/21,PRL,Nizhny Novgorod,1-2,Lokomotiv Moscow
04/11/21,UEL,Galatasaray,1-1,Lokomotiv Moscow
07/11/21,PRL,Spartak Moscow,1-1,Lokomotiv Moscow
20/11/21,PRL,Lokomotiv Moscow,1-2,Akhmat Grozny
25/11/21,UEL,Lokomotiv Moscow,0-3,Lazio
29/11/21,PRL,Arsenal Tula,3-1,Lokomotiv Moscow
04/12/21,PRL,Lokomotiv Moscow,0-1,Ural
09/12/21,UEL,Marseille,1-0,Lokomotiv Moscow
12/12/21,PRL,Lokomotiv Moscow,2-0,Ufa
22/01/22,CLF,Lokomotiv Moscow,1-1,Jablonec
26/01/22,CLF,Lokomotiv Moscow,3-2,Sparta Prague
04/02/22,CLF,Malmö,1-1,Lokomotiv Moscow
10/02/22,CLF,IFK Göteborg,2-4,Lokomotiv Moscow
15/02/22,CLF,Sarpsborg 08,CANC,Lokomotiv Moscow
19/02/22,CLF,Molde,3-0,Lokomotiv Moscow
03/03/22,CUP,Lokomotiv Moscow,0-4,Yenisey
06/03/22,PRL,Lokomotiv Moscow,3-2,Khimki
12/03/22,PRL,Lokomotiv Moscow,1-2,CSKA Moscow
19/03/22,PRL,Akhmat Grozny,2-3,Lokomotiv Moscow
27/03/22,CLF,Khimki,1-0,Lokomotiv Moscow
02/04/22,PRL,Lokomotiv Moscow,1-0,Spartak Moscow
10/04/22,PRL,Rostov,4-1,Lokomotiv Moscow
17/04/22,PRL,Sochi,2-2,Lokomotiv Moscow
23/04/22,PRL,Lokomotiv Moscow,2-1,Nizhny Novgorod
30/04/22,PRL,Zenit,3-1,Lokomotiv Moscow
04/05/22,PRL,Krasnodar,1-0,Lokomotiv Moscow
08/05/22,PRL,Lokomotiv Moscow,1-0,Rubin Kazan
14/05/22,PRL,Lokomotiv Moscow,3-3,Dinamo Moscow
21/05/22,PRL,Krylya Sovetov,0-1,Lokomotiv Moscow
26/06/22,CLF,Lokomotiv Moscow,2-1,Veles
03/07/22,CLF,Lokomotiv Moscow,CANC,Fakel
10/07/22,CLF,Khimki,CANC,Lokomotiv Moscow
27/09/20,PRL,CSKA Moscow,0-1,Lokomotiv Moscow
04/10/20,PRL,Lokomotiv Moscow,2-1,Khimki
17/10/20,PRL,Lokomotiv Moscow,1-0,Ufa
21/10/20,UCL,Salzburg,2-2,Lokomotiv Moscow
24/10/20,PRL,Lokomotiv Moscow,1-2,Rotor Volgograd
