Date,Competition,Home team,Score,Away team
22/05/23,PRL,Nizhny Novgorod,4-0,Sochi
28/05/23,PRL,Spartak Moscow,0-0,Nizhny Novgorod
03/06/23,PRL,Nizhny Novgorod,2-0,Khimki
07/06/23,PL1,Rodina Moskva,0-3,Nizhny Novgorod
10/06/23,PL1,Nizhny Novgorod,0-2,Rodina Moskva
04/07/23,CLF,Nizhny Novgorod,2-0,Tekstilshchik
10/07/23,CLF,Nizhny Novgorod,2-0,Saturn Ramenskoye
14/07/23,CLF,Dinamo Moscow,1-0,Nizhny Novgorod
14/07/23,CLF,Dinamo Moscow,4-3,Nizhny Novgorod
22/07/23,PRL,Nizhny Novgorod,0-2,Zenit
25/07/23,CUP,Nizhny Novgorod,P1-1P,Dinamo Moscow
29/07/23,PRL,Ural,0-0,Nizhny Novgorod
04/08/23,PRL,Krasnodar,1-0,Nizhny Novgorod
08/08/23,CUP,Spartak Moscow,5-4,Nizhny Novgorod
14/08/23,PRL,Nizhny Novgorod,2-0,Akhmat Grozny
20/08/23,PRL,Fakel,2-0,Nizhny Novgorod
26/08/23,PRL,Nizhny Novgorod,1-0,Rostov
29/08/23,CUP,Nizhny Novgorod,0-1,Krasnodar
02/09/23,PRL,Nizhny Novgorod,2-1,Rubin Kazan
15/09/23,PRL,Dinamo Moscow,1-1,Nizhny Novgorod
19/09/23,CUP,Nizhny Novgorod,0-3,Spartak Moscow
24/09/23,PRL,Nizhny Novgorod,3-1,Orenburg
30/09/23,PRL,Lokomotiv Moscow,1-0,Nizhny Novgorod
04/10/23,CUP,Krasnodar,3-0,Nizhny Novgorod
08/10/23,PRL,Nizhny Novgorod,2-0,Krylya Sovetov
22/10/23,PRL,Spartak Moscow,2-0,Nizhny Novgorod
29/10/23,PRL,Nizhny Novgorod,1-0,Sochi
02/11/23,CUP,Dinamo Moscow,2-1,Nizhny Novgorod
05/11/23,PRL,CSKA Moscow,3-2,Nizhny Novgorod
12/11/23,PRL,Nizhny Novgorod,0-0,Baltika
26/11/23,PRL,Rostov,1-0,Nizhny Novgorod
02/12/23,PRL,Nizhny Novgorod,1-0,Ural
09/12/23,PRL,Zenit,1-0,Nizhny Novgorod
21/01/24,CLF,Nizhny Novgorod,1-1,Jeonbuk Motors
31/01/24,CLF,Nizhny Novgorod,1-0,Rodina Moskva
03/02/24,CLF,Nizhny Novgorod,1-2,Al Fayha
08/02/24,CLF,Nizhny Novgorod,4-0,Torpedo Moskva
21/02/24,CLF,Rostov,0-1,Nizhny Novgorod
03/03/24,PRL,Nizhny Novgorod,1-1,Fakel
09/03/24,PRL,Rubin Kazan,0-1,Nizhny Novgorod
30/03/24,PRL,Baltika,2-0,Nizhny Novgorod
06/04/24,PRL,Nizhny Novgorod,3-4,Krasnodar
14/04/24,PRL,Orenburg,3-1,Nizhny Novgorod
21/04/24,PRL,Nizhny Novgorod,1-4,Dinamo Moscow
24/04/24,PRL,Nizhny Novgorod,2-3,Lokomotiv Moscow
28/04/24,PRL,Akhmat Grozny,5-1,Nizhny Novgorod
05/05/24,PRL,Nizhny Novgorod,18:00,Spartak Moscow
12/05/24,PRL,Sochi,18:00,Nizhny Novgorod
20/05/24,PRL,Nizhny Novgorod,19:00,CSKA Moscow
25/05/24,PRL,Krylya Sovetov,15:30,Nizhny Novgorod
07/05/22,PRL,Nizhny Novgorod,0-1,Akhmat Grozny
13/05/22,PRL,Sochi,0-0,Nizhny Novgorod
21/05/22,PRL,Nizhny Novgorod,1-0,Zenit
21/06/22,CLF,Zenit,P1-1P,Nizhny Novgorod
01/07/22,CLF,Nizhny Novgorod,P1-1P,Sochi
04/07/22,CLF,CSKA Moscow,0-2,Nizhny Novgorod
09/07/22,CLF,Nizhny Novgorod,1-0,Akron
17/07/22,PRL,Lokomotiv Moscow,1-1,Nizhny Novgorod
24/07/22,PRL,Khimki,3-0,Nizhny Novgorod
31/07/22,PRL,Nizhny Novgorod,2-2,CSKA Moscow
07/08/22,PRL,Sochi,2-1,Nizhny Novgorod
14/08/22,PRL,Nizhny Novgorod,3-4,Rostov
20/08/22,PRL,Ural,0-1,Nizhny Novgorod
27/08/22,PRL,Nizhny Novgorod,2-2,Dinamo Moscow
31/08/22,CUP,Nizhny Novgorod,2-0,Lokomotiv Moscow
03/09/22,PRL,Nizhny Novgorod,3-1,Fakel
10/09/22,PRL,Akhmat Grozny,1-3,Nizhny Novgorod
13/09/22,CUP,Nizhny Novgorod,P1-1P,Khimki
18/09/22,PRL,Nizhny Novgorod,0-2,Orenburg
28/09/22,CUP,Krasnodar,2-0,Nizhny Novgorod
02/10/22,PRL,Nizhny Novgorod,1-2,Spartak Moscow
09/10/22,PRL,Torpedo Moskva,0-0,Nizhny Novgorod
16/10/22,PRL,Nizhny Novgorod,0-3,Zenit
19/10/22,CUP,Nizhny Novgorod,1-0,Krasnodar
22/10/22,PRL,Nizhny Novgorod,0-2,Krasnodar
30/10/22,PRL,Krylya Sovetov,2-1,Nizhny Novgorod
05/11/22,PRL,CSKA Moscow,0-1,Nizhny Novgorod
11/11/22,PRL,Nizhny Novgorod,3-2,Akhmat Grozny
22/11/22,CUP,Khimki,P1-1P,Nizhny Novgorod
27/11/22,CUP,Lokomotiv Moscow,3-1,Nizhny Novgorod
20/01/23,CLF,Nizhny Novgorod,0-1,Navbahor
25/01/23,CLF,Nizhny Novgorod,1-1,Akron
29/01/23,CLF,Lokomotiv Plovdiv,1-1,Nizhny Novgorod
03/02/23,CLF,Volga Ulyanovsk,1-0,Nizhny Novgorod
03/02/23,CLF,Nizhny Novgorod,2-0,Kaspiy
12/02/23,CLF,Shinnik,1-1,Nizhny Novgorod
16/02/23,CLF,Orenburg,2-1,Nizhny Novgorod
19/02/23,CLF,Rodina Moskva,0-1,Nizhny Novgorod
27/02/23,CUP,Zvezda St. Petersburg,0-2,Nizhny Novgorod
04/03/23,PRL,Zenit,3-0,Nizhny Novgorod
12/03/23,PRL,Rostov,2-1,Nizhny Novgorod
16/03/23,CUP,Nizhny Novgorod,0-1,Rostov
19/03/23,PRL,Nizhny Novgorod,0-3,Torpedo Moskva
01/04/23,PRL,Nizhny Novgorod,0-4,Lokomotiv Moscow
09/04/23,PRL,Krasnodar,3-1,Nizhny Novgorod
15/04/23,PRL,Dinamo Moscow,3-1,Nizhny Novgorod
23/04/23,PRL,Nizhny Novgorod,2-1,Krylya Sovetov
30/04/23,PRL,Orenburg,1-0,Nizhny Novgorod
07/05/23,PRL,Nizhny Novgorod,0-0,Ural
14/05/23,PRL,Fakel,1-0,Nizhny Novgorod
17/04/21,FIL,Nizhny Novgorod,2-0,Chayka
24/04/21,FIL,Orenburg,2-1,Nizhny Novgorod
28/04/21,FIL,Nizhny Novgorod,1-2,Yenisey
02/05/21,FIL,Nizhny Novgorod,4-0,Spartak Moskva II
08/05/21,FIL,Chertanovo,1-3,Nizhny Novgorod
15/05/21,FIL,Tom Tomsk,1-1,Nizhny Novgorod
24/06/21,CLF,Rubin Kazan,2-1,Nizhny Novgorod
02/07/21,CLF,Nizhny Novgorod,0-3,Rubin Kazan
19/07/21,CLF,CSKA Moscow,2-1,Nizhny Novgorod
26/07/21,PRL,Nizhny Novgorod,1-0,Sochi
01/08/21,PRL,Ural,1-1,Nizhny Novgorod
07/08/21,PRL,Spartak Moscow,1-2,Nizhny Novgorod
14/08/21,PRL,Nizhny Novgorod,1-2,Ufa
22/08/21,PRL,Nizhny Novgorod,1-2,Rostov
27/08/21,PRL,Khimki,1-1,Nizhny Novgorod
12/09/21,PRL,Dinamo Moscow,1-2,Nizhny Novgorod
19/09/21,PRL,Nizhny Novgorod,2-3,Arsenal Tula
22/09/21,CUP,Dinamo Barnaul,0-1,Nizhny Novgorod
27/09/21,PRL,Nizhny Novgorod,0-2,CSKA Moscow
02/10/21,PRL,Rubin Kazan,0-1,Nizhny Novgorod
