Date,Competition,Home team,Score,Away team
03/06/23,PRL,Orenburg,3-0,Dinamo Moscow
04/07/23,CLF,Orenburg,0-0,Egnatia Rrogozhinë
07/07/23,CLF,Orenburg,3-3,Tractor
11/07/23,CLF,Gaziantep FK,2-2,Orenburg
14/07/23,CLF,Orenburg,6-1,Sucleia
15/07/23,CLF,Orenburg,1-1,Qəbələ
23/07/23,PRL,Spartak Moscow,3-2,Orenburg
26/07/23,CUP,Orenburg,0-6,CSKA Moscow
30/07/23,PRL,Rubin Kazan,1-1,Orenburg
05/08/23,PRL,Orenburg,0-2,Ural
09/08/23,CUP,Orenburg,2-0,Sochi
12/08/23,PRL,Orenburg,0-2,Krasnodar
20/08/23,PRL,Akhmat Grozny,4-0,Orenburg
25/08/23,PRL,Orenburg,1-1,CSKA Moscow
29/08/23,CUP,Fakel,0-1,Orenburg
03/09/23,PRL,Orenburg,3-0,Sochi
17/09/23,PRL,Lokomotiv Moscow,0-2,Orenburg
21/09/23,CUP,Orenburg,P0-0P,Fakel
24/09/23,PRL,Nizhny Novgorod,3-1,Orenburg
30/09/23,PRL,Orenburg,3-1,Zenit
04/10/23,CUP,Sochi,1-2,Orenburg
07/10/23,PRL,Baltika,1-0,Orenburg
21/10/23,PRL,Orenburg,1-2,Fakel
28/10/23,PRL,Krylya Sovetov,1-1,Orenburg
02/11/23,CUP,CSKA Moscow,3-1,Orenburg
06/11/23,PRL,Orenburg,1-1,Rostov
12/11/23,PRL,Dinamo Moscow,2-0,Orenburg
26/11/23,PRL,Orenburg,1-1,Akhmat Grozny
29/11/23,CUP,Orenburg,1-0,Spartak Moscow
03/12/23,PRL,Krasnodar,2-1,Orenburg
10/12/23,PRL,Sochi,1-1,Orenburg
22/01/24,CLF,Orenburg,2-2,Navbahor
23/01/24,CLF,Orenburg,5-1,Struga
08/02/24,CLF,Dinamo Moscow,4-1,Orenburg
20/02/24,CLF,Orenburg,2-1,Akhmat Grozny
02/03/24,PRL,CSKA Moscow,1-1,Orenburg
10/03/24,PRL,Orenburg,1-0,Baltika
14/03/24,CUP,Spartak Moscow,3-1,Orenburg
31/03/24,PRL,Fakel,0-0,Orenburg
04/04/24,CUP,Akhmat Grozny,0-1,Orenburg
08/04/24,PRL,Orenburg,3-0,Rubin Kazan
14/04/24,PRL,Orenburg,3-1,Nizhny Novgorod
17/04/24,CUP,Orenburg,2-4,Dinamo Moscow
21/04/24,PRL,Zenit,1-0,Orenburg
24/04/24,PRL,Orenburg,1-2,Dinamo Moscow
29/04/24,PRL,Rostov,2-1,Orenburg
04/05/24,PRL,Orenburg,16:00,Krylya Sovetov
12/05/24,PRL,Orenburg,13:00,Lokomotiv Moscow
19/05/24,PRL,Ural,11:00,Orenburg
25/05/24,PRL,Orenburg,15:30,Spartak Moscow
21/05/22,FIL,Volgar Astrakhan,2-2,Orenburg
25/05/22,PL1,Orenburg,2-2,Ufa
28/05/22,PL1,Ufa,1-2,Orenburg
25/06/22,CLF,Orenburg,2-2,Dinamo-Auto
02/07/22,CLF,Gaziantep FK,1-2,Orenburg
16/07/22,PRL,Orenburg,2-4,Krylya Sovetov
23/07/22,PRL,Orenburg,3-0,Ural
31/07/22,PRL,Spartak Moscow,4-1,Orenburg
07/08/22,PRL,Rostov,2-1,Orenburg
14/08/22,PRL,Orenburg,1-0,Torpedo Moskva
21/08/22,PRL,Krasnodar,2-0,Orenburg
28/08/22,PRL,Lokomotiv Moscow,5-1,Orenburg
31/08/22,CUP,Akhmat Grozny,3-1,Orenburg
03/09/22,PRL,Orenburg,3-1,Khimki
11/09/22,PRL,Zenit,8-0,Orenburg
14/09/22,CUP,Rostov,3-1,Orenburg
18/09/22,PRL,Nizhny Novgorod,0-2,Orenburg
28/09/22,CUP,Orenburg,P2-2P,Dinamo Moscow
01/10/22,PRL,Orenburg,4-1,Sochi
09/10/22,PRL,Orenburg,2-1,Akhmat Grozny
15/10/22,PRL,Dinamo Moscow,3-2,Orenburg
19/10/22,CUP,Orenburg,4-2,Akhmat Grozny
23/10/22,PRL,Orenburg,2-2,CSKA Moscow
28/10/22,PRL,Orenburg,4-1,Fakel
04/11/22,PRL,Khimki,2-0,Orenburg
13/11/22,PRL,Orenburg,5-1,Krasnodar
23/11/22,CUP,Orenburg,4-2,Rostov
27/11/22,CUP,Dinamo Moscow,1-0,Orenburg
19/01/23,CLF,CSKA Moscow,1-0,Orenburg
22/01/23,CLF,Dinamo Moscow,3-3,Orenburg
31/01/23,CLF,Slavia Sofia,2-1,Orenburg
03/02/23,CLF,Krylya Sovetov,3-3,Orenburg
04/02/23,CLF,Orenburg,1-1,CSKA Moscow
07/02/23,CLF,Orenburg,CANC,Unirea Dej
13/02/23,CLF,Pyunik,1-0,Orenburg
16/02/23,CLF,Orenburg,2-1,Nizhny Novgorod
21/02/23,CLF,Torpedo Moskva,CANC,Orenburg
23/02/23,CLF,Khimki,2-5,Orenburg
04/03/23,PRL,Akhmat Grozny,3-1,Orenburg
10/03/23,PRL,Sochi,0-4,Orenburg
18/03/23,PRL,Orenburg,2-0,Spartak Moscow
02/04/23,PRL,Krylya Sovetov,1-1,Orenburg
10/04/23,PRL,Orenburg,2-2,Rostov
16/04/23,PRL,Orenburg,1-4,Lokomotiv Moscow
22/04/23,PRL,Fakel,1-3,Orenburg
30/04/23,PRL,Orenburg,1-0,Nizhny Novgorod
07/05/23,PRL,CSKA Moscow,2-1,Orenburg
13/05/23,PRL,Ural,2-1,Orenburg
20/05/23,PRL,Orenburg,2-2,Zenit
27/05/23,PRL,Torpedo Moskva,1-3,Orenburg
02/07/21,CLF,Orenburg,2-2,Slovacko
10/07/21,FIL,Orenburg,4-0,Volgar Astrakhan
17/07/21,FIL,Orenburg,4-0,Metallurg Lipetsk
24/07/21,FIL,Baltika,1-1,Orenburg
31/07/21,FIL,Orenburg,0-2,Fakel
08/08/21,FIL,Tom Tomsk,1-2,Orenburg
