Date,Competition,Home team,Score,Away team
15/07/23,CLF,Fakel,1-0,Rostov
23/07/23,PRL,Rostov,2-1,Fakel
26/07/23,CUP,Rostov,1-0,Rubin Kazan
29/07/23,PRL,Rostov,1-1,Zenit
05/08/23,PRL,Krylya Sovetov,5-1,Rostov
08/08/23,CUP,Ural,1-0,Rostov
12/08/23,PRL,Rostov,3-0,Rubin Kazan
19/08/23,PRL,Sochi,4-0,Rostov
26/08/23,PRL,Nizhny Novgorod,1-0,Rostov
30/08/23,CUP,Rostov,2-1,Lokomotiv Moscow
03/09/23,PRL,Rostov,1-2,Dinamo Moscow
16/09/23,PRL,Baltika,2-2,Rostov
20/09/23,CUP,Rubin Kazan,P1-1P,Rostov
24/09/23,PRL,Rostov,3-3,CSKA Moscow
29/09/23,PRL,Rostov,2-2,Ural
03/10/23,CUP,Lokomotiv Moscow,3-1,Rostov
07/10/23,PRL,Krasnodar,3-2,Rostov
22/10/23,PRL,Rostov,3-0,Akhmat Grozny
28/10/23,PRL,Rostov,1-0,Lokomotiv Moscow
02/11/23,CUP,Rostov,2-1,Ural
06/11/23,PRL,Orenburg,1-1,Rostov
12/11/23,PRL,Spartak Moscow,2-1,Rostov
26/11/23,PRL,Rostov,1-0,Nizhny Novgorod
29/11/23,CUP,Rostov,1-1,CSKA Moscow
03/12/23,PRL,CSKA Moscow,2-0,Rostov
09/12/23,PRL,Akhmat Grozny,0-0,Rostov
18/01/24,CLF,Rostov,4-1,Dinamo Samarqand
23/01/24,CLF,Rodina Moskva,2-1,Rostov
02/02/24,CLF,Shabab Al Ahli,1-3,Rostov
07/02/24,CLF,Spartak Moscow,0-3,Rostov
11/02/24,CLF,Kairat,2-1,Rostov
17/02/24,CLF,Rostov,1-0,Astana
21/02/24,CLF,Rostov,0-1,Nizhny Novgorod
24/02/24,CLF,Rostov,1-3,Lokomotiv Moscow
01/03/24,PRL,Rostov,2-0,Krylya Sovetov
08/03/24,PRL,Rostov,2-1,Krasnodar
12/03/24,CUP,CSKA Moscow,2-0,Rostov
29/03/24,PRL,Dinamo Moscow,1-4,Rostov
02/04/24,CUP,Khimki,P0-0P,Rostov
06/04/24,PRL,Rostov,2-2,Sochi
14/04/24,PRL,Fakel,0-1,Rostov
17/04/24,CUP,Ural,1-3,Rostov
21/04/24,PRL,Rostov,1-5,Spartak Moscow
25/04/24,PRL,Ural,0-1,Rostov
29/04/24,PRL,Rostov,2-1,Orenburg
02/05/24,CUP,Rostov,18:15,Baltika
06/05/24,PRL,Lokomotiv Moscow,19:30,Rostov
11/05/24,PRL,Rubin Kazan,13:00,Rostov
19/05/24,PRL,Rostov,15:30,Baltika
25/05/24,PRL,Zenit,15:30,Rostov
17/07/22,PRL,Dinamo Moscow,1-1,Rostov
24/07/22,PRL,Lokomotiv Moscow,2-2,Rostov
31/07/22,PRL,Rostov,1-0,Khimki
07/08/22,PRL,Rostov,2-1,Orenburg
14/08/22,PRL,Nizhny Novgorod,3-4,Rostov
20/08/22,PRL,Rostov,2-2,Sochi
28/08/22,PRL,Rostov,0-0,CSKA Moscow
31/08/22,CUP,Rostov,2-0,Dinamo Moscow
05/09/22,PRL,Torpedo Moskva,0-1,Rostov
11/09/22,PRL,Rostov,4-2,Spartak Moscow
14/09/22,CUP,Rostov,3-1,Orenburg
17/09/22,PRL,Rostov,2-1,Krylya Sovetov
29/09/22,CUP,Akhmat Grozny,3-1,Rostov
02/10/22,PRL,Zenit,3-1,Rostov
09/10/22,PRL,Rostov,3-2,Krasnodar
14/10/22,PRL,Rostov,1-2,Ural
18/10/22,CUP,Dinamo Moscow,3-1,Rostov
22/10/22,PRL,Fakel,1-1,Rostov
29/10/22,PRL,Akhmat Grozny,1-2,Rostov
06/11/22,PRL,Rostov,2-1,Dinamo Moscow
