Date,Competition,Home team,Score,Away team
13/05/23,FIL,Rubin Kazan,3-2,Akron
20/05/23,FIL,Baltika,0-1,Rubin Kazan
27/05/23,FIL,Rubin Kazan,2-0,Dynamo Makhachkala
03/06/23,FIL,Rodina Moskva,0-0,Rubin Kazan
04/07/23,CLF,Rubin Kazan,5-1,KAMAZ
08/07/23,CLF,Torpedo Moskva,1-1,Rubin Kazan
22/07/23,PRL,Lokomotiv Moscow,2-2,Rubin Kazan
26/07/23,CUP,Rostov,1-0,Rubin Kazan
30/07/23,PRL,Rubin Kazan,1-1,Orenburg
05/08/23,PRL,Rubin Kazan,1-4,Spartak Moscow
08/08/23,CUP,Rubin Kazan,0-1,Lokomotiv Moscow
12/08/23,PRL,Rostov,3-0,Rubin Kazan
18/08/23,PRL,Rubin Kazan,2-1,Krylya Sovetov
26/08/23,PRL,Rubin Kazan,2-2,Dinamo Moscow
29/08/23,CUP,Rubin Kazan,2-1,Ural
02/09/23,PRL,Nizhny Novgorod,2-1,Rubin Kazan
17/09/23,PRL,Rubin Kazan,0-3,Zenit
20/09/23,CUP,Rubin Kazan,P1-1P,Rostov
25/09/23,PRL,Fakel,0-1,Rubin Kazan
30/09/23,PRL,Rubin Kazan,0-2,Krasnodar
03/10/23,CUP,Ural,2-0,Rubin Kazan
08/10/23,PRL,Akhmat Grozny,0-1,Rubin Kazan
21/10/23,PRL,Rubin Kazan,0-0,CSKA Moscow
27/10/23,PRL,Rubin Kazan,1-0,Baltika
01/11/23,CUP,Lokomotiv Moscow,3-0,Rubin Kazan
06/11/23,PRL,Ural,0-1,Rubin Kazan
12/11/23,PRL,Sochi,0-2,Rubin Kazan
26/11/23,PRL,Rubin Kazan,1-0,Fakel
04/12/23,PRL,Dinamo Moscow,1-0,Rubin Kazan
10/12/23,PRL,Baltika,0-1,Rubin Kazan
22/01/24,CLF,Rubin Kazan,5-2,Napredak
26/01/24,CLF,Rubin Kazan,3-1,Slavia Sofia
01/02/24,CLF,Botev Plovdiv,1-0,Rubin Kazan
03/02/24,CLF,Rubin Kazan,0-2,Volgar Astrakhan
06/02/24,CLF,Arda,2-1,Rubin Kazan
09/02/24,CLF,Rubin Kazan,1-2,St. Pölten
15/02/24,CLF,Rubin Kazan,2-0,Gangwon
22/02/24,CLF,Rubin Kazan,1-4,Rodina Moskva
02/03/24,PRL,Krasnodar,1-1,Rubin Kazan
09/03/24,PRL,Rubin Kazan,0-1,Nizhny Novgorod
31/03/24,PRL,Rubin Kazan,2-1,Akhmat Grozny
08/04/24,PRL,Orenburg,3-0,Rubin Kazan
14/04/24,PRL,Krylya Sovetov,2-0,Rubin Kazan
20/04/24,PRL,Rubin Kazan,1-1,Lokomotiv Moscow
24/04/24,PRL,Zenit,0-2,Rubin Kazan
29/04/24,PRL,Rubin Kazan,1-1,Ural
06/05/24,PRL,CSKA Moscow,19:30,Rubin Kazan
11/05/24,PRL,Rubin Kazan,13:00,Rostov
19/05/24,PRL,Spartak Moscow,13:15,Rubin Kazan
25/05/24,PRL,Rubin Kazan,15:30,Sochi
30/04/22,PRL,Rubin Kazan,0-6,Sochi
08/05/22,PRL,Lokomotiv Moscow,1-0,Rubin Kazan
15/05/22,PRL,Ural,3-0,Rubin Kazan
21/05/22,PRL,Rubin Kazan,1-2,Ufa
20/06/22,CLF,Rubin Kazan,1-0,Akron
24/06/22,CLF,Rubin Kazan,5-0,KAMAZ
28/06/22,CLF,Rubin Kazan,CANC,Krylya Sovetov
05/07/22,CLF,Dinamo Moscow,2-0,Rubin Kazan
10/07/22,CLF,Rubin Kazan,1-4,Ufa
17/07/22,FIL,Rubin Kazan,2-0,Rodina Moskva
24/07/22,FIL,Yenisey,3-2,Rubin Kazan
01/08/22,FIL,Rubin Kazan,0-0,Ufa
08/08/22,FIL,Neftekhimik,2-2,Rubin Kazan
15/08/22,FIL,Rubin Kazan,3-0,Kuban Krasnodar
21/08/22,FIL,Volga Ulyanovsk,1-2,Rubin Kazan
28/08/22,FIL,Rubin Kazan,1-1,KAMAZ
04/09/22,FIL,Rubin Kazan,2-2,Alaniya Vladikavkaz
11/09/22,FIL,Veles,1-2,Rubin Kazan
18/09/22,FIL,Rubin Kazan,3-2,Volgar Astrakhan
25/09/22,FIL,Shinnik,1-0,Rubin Kazan
01/10/22,FIL,Rubin Kazan,1-2,Arsenal Tula
05/10/22,CUP,Volga Ulyanovsk,2-1,Rubin Kazan
09/10/22,FIL,SKA Khabarovsk,1-2,Rubin Kazan
16/10/22,FIL,Rubin Kazan,5-2,Krasnodar II
23/10/22,FIL,Akron,0-0,Rubin Kazan
30/10/22,FIL,Rubin Kazan,3-3,Baltika
06/11/22,FIL,Dynamo Makhachkala,0-1,Rubin Kazan
13/11/22,FIL,Rubin Kazan,0-0,Yenisey
20/11/22,FIL,Ufa,1-2,Rubin Kazan
27/11/22,FIL,Rubin Kazan,2-0,Neftekhimik
18/01/23,CLF,Akron,2-4,Rubin Kazan
21/01/23,CLF,Beroe,0-2,Rubin Kazan
28/01/23,CLF,Rubin Kazan,2-1,Krylya Sovetov
01/02/23,CLF,Rubin Kazan,6-0,Navbahor
05/02/23,CLF,Ufa,0-2,Rubin Kazan
13/02/23,CLF,Krasnodar II,CANC,Rubin Kazan
16/02/23,CLF,Akhmat Grozny,1-1,Rubin Kazan
19/02/23,CLF,CSKA Moscow,0-2,Rubin Kazan
20/02/23,CLF,Rubin Kazan,CANC,Neftekhimik
27/02/23,CLF,Rubin Kazan,2-1,Shinnik
06/03/23,FIL,Kuban Krasnodar,1-2,Rubin Kazan
12/03/23,FIL,Rubin Kazan,1-0,Volga Ulyanovsk
18/03/23,FIL,KAMAZ,0-0,Rubin Kazan
25/03/23,FIL,Alaniya Vladikavkaz,0-0,Rubin Kazan
02/04/23,FIL,Rubin Kazan,1-1,Veles
07/04/23,FIL,Volgar Astrakhan,0-0,Rubin Kazan
15/04/23,FIL,Rubin Kazan,3-0,Shinnik
21/04/23,FIL,Arsenal Tula,0-1,Rubin Kazan
29/04/23,FIL,Rubin Kazan,3-1,SKA Khabarovsk
06/05/23,FIL,Krasnodar II,0-1,Rubin Kazan
16/05/21,PRL,Rubin Kazan,1-1,Rotor Volgograd
24/06/21,CLF,Rubin Kazan,2-1,Nizhny Novgorod
27/06/21,CLF,Ural,CANC,Rubin Kazan
02/07/21,CLF,Nizhny Novgorod,0-3,Rubin Kazan
05/07/21,CLF,Rubin Kazan,CANC,Ural
10/07/21,CLF,Rubin Kazan,1-0,Khimki
14/07/21,CLF,Rubin Kazan,0-4,Spartak Moscow
17/07/21,CLF,Rubin Kazan,1-3,Sochi
24/07/21,PRL,Rubin Kazan,1-0,Spartak Moscow
30/07/21,PRL,Arsenal Tula,0-3,Rubin Kazan
05/08/21,UEC,Rakow Czestochowa,0-0,Rubin Kazan
08/08/21,PRL,Rubin Kazan,2-1,Akhmat Grozny
12/08/21,UEC,Rubin Kazan,E0-1E,Rakow Czestochowa
15/08/21,PRL,Rubin Kazan,1-1,Krylya Sovetov
22/08/21,PRL,Khimki,1-1,Rubin Kazan
27/08/21,PRL,Krasnodar,2-0,Rubin Kazan
06/09/21,CLF,Rubin Kazan,1-3,Krasnodar
13/09/21,PRL,Rubin Kazan,4-0,Ural
20/09/21,PRL,Rubin Kazan,1-3,Zenit
26/09/21,PRL,Dinamo Moscow,2-0,Rubin Kazan
02/10/21,PRL,Rubin Kazan,0-1,Nizhny Novgorod
09/10/21,CLF,Krasnodar,2-1,Rubin Kazan
16/10/21,PRL,Rubin Kazan,2-2,Lokomotiv Moscow
24/10/21,PRL,Ufa,1-1,Rubin Kazan
30/10/21,PRL,Rubin Kazan,1-0,CSKA Moscow
07/11/21,PRL,Rostov,5-1,Rubin Kazan
21/11/21,PRL,Sochi,1-2,Rubin Kazan
28/11/21,PRL,Rubin Kazan,2-3,Dinamo Moscow
05/12/21,PRL,Nizhny Novgorod,2-1,Rubin Kazan
11/12/21,PRL,Krylya Sovetov,2-0,Rubin Kazan
20/01/22,CLF,Rubin Kazan,4-4,Fakel
23/01/22,CLF,Rubin Kazan,0-0,Wisła Płock
02/02/22,CLF,Rubin Kazan,CANC,Sochi
05/02/22,CLF,Khimki,0-0,Rubin Kazan
08/02/22,CLF,Rubin Kazan,2-2,Dinamo Batumi
14/02/22,CLF,Rubin Kazan,5-0,Krylya Sovetov
17/02/22,CLF,Rubin Kazan,2-2,Dinamo Moscow
20/02/22,CLF,Rubin Kazan,CANC,Astana
20/02/22,CLF,CSKA Moscow,1-1,Rubin Kazan
28/02/22,PRL,Zenit,3-2,Rubin Kazan
03/03/22,CUP,Rubin Kazan,2-1,Rotor Volgograd
07/03/22,PRL,Akhmat Grozny,1-2,Rubin Kazan
14/03/22,PRL,Rubin Kazan,1-2,Rostov
20/03/22,PRL,CSKA Moscow,6-1,Rubin Kazan
26/03/22,CLF,Rubin Kazan,0-5,Krylya Sovetov
01/04/22,PRL,Rubin Kazan,2-3,Khimki
09/04/22,PRL,Rubin Kazan,0-1,Krasnodar
16/04/22,PRL,Spartak Moscow,1-1,Rubin Kazan
20/04/22,CUP,Yenisey,3-1,Rubin Kazan
24/04/22,PRL,Rubin Kazan,1-0,Arsenal Tula
20/06/20,PRL,Ural,1-2,Rubin Kazan
27/06/20,PRL,Rubin Kazan,0-2,Lokomotiv Moscow
01/07/20,PRL,Ufa,0-0,Rubin Kazan
05/07/20,PRL,Rubin Kazan,1-0,Orenburg
09/07/20,PRL,Rubin Kazan,1-0,Krasnodar
12/07/20,PRL,CSKA Moscow,1-1,Rubin Kazan
16/07/20,PRL,Rubin Kazan,0-0,Rostov
22/07/20,PRL,Rubin Kazan,1-2,Spartak Moscow
03/08/20,CLF,Rubin Kazan,1-1,KAMAZ
11/08/20,PRL,Rubin Kazan,0-2,Lokomotiv Moscow
15/08/20,PRL,Rubin Kazan,1-1,Ural
18/08/20,PRL,Sochi,3-2,Rubin Kazan
22/08/20,PRL,CSKA Moscow,1-2,Rubin Kazan
26/08/20,PRL,Rubin Kazan,3-0,Ufa
30/08/20,PRL,Rubin Kazan,2-2,Tambov
13/09/20,PRL,Dinamo Moscow,0-1,Rubin Kazan
16/09/20,CUP,Chernomorets,2-4,Rubin Kazan
20/09/20,PRL,Rubin Kazan,0-2,Spartak Moscow
27/09/20,PRL,Rotor Volgograd,1-3,Rubin Kazan
04/10/20,PRL,Rubin Kazan,1-1,Akhmat Grozny
11/10/20,CLF,Ural,1-1,Rubin Kazan
17/10/20,PRL,Krasnodar,3-1,Rubin Kazan
24/10/20,PRL,Zenit,1-2,Rubin Kazan
31/10/20,PRL,Rubin Kazan,3-1,Arsenal Tula
04/11/20,CUP,SKA Khabarovsk,1-0,Rubin Kazan
08/11/20,PRL,Khimki,2-0,Rubin Kazan
22/11/20,PRL,Rubin Kazan,0-2,Rostov
29/11/20,PRL,Rubin Kazan,1-0,CSKA Moscow
05/12/20,PRL,Lokomotiv Moscow,3-1,Rubin Kazan
13/12/20,PRL,Tambov,0-1,Rubin Kazan
17/12/20,PRL,Akhmat Grozny,0-0,Rubin Kazan
21/01/21,CLF,Rubin Kazan,5-2,Partizan
24/01/21,CLF,Rubin Kazan,3-2,Sochi
02/02/21,CLF,Rubin Kazan,2-2,Khimki
05/02/21,CLF,Rubin Kazan,2-3,Dinamo Moscow
08/02/21,CLF,Tom Tomsk,3-2,Rubin Kazan
09/02/21,CLF,Rubin Kazan,3-1,Nizhny Novgorod
15/02/21,CLF,Rubin Kazan,0-0,Ural
18/02/21,CLF,Rubin Kazan,3-0,Rotor Volgograd
21/02/21,CLF,Rubin Kazan,1-0,Kairat
28/02/21,PRL,Spartak Moscow,0-2,Rubin Kazan
08/03/21,PRL,Rubin Kazan,2-1,Zenit
14/03/21,PRL,Ufa,0-3,Rubin Kazan
19/03/21,PRL,Rubin Kazan,1-3,Khimki
03/04/21,PRL,Rubin Kazan,1-0,Sochi
10/04/21,PRL,Rostov,0-1,Rubin Kazan
