Date,Competition,Home team,Score,Away team
27/05/23,PRL,Sochi,1-1,Zenit
03/06/23,PRL,Ural,1-0,Sochi
25/06/23,CLF,Sochi,2-1,Alaniya Vladikavkaz
06/07/23,CLF,Sochi,4-1,Leningradets
10/07/23,CLF,Sochi,5-2,Yenisey
15/07/23,CLF,Krasnodar,2-2,Sochi
23/07/23,PRL,Sochi,2-0,Baltika
26/07/23,CUP,Fakel,1-3,Sochi
30/07/23,PRL,Krasnodar,2-0,Sochi
06/08/23,PRL,Sochi,1-2,Akhmat Grozny
09/08/23,CUP,Orenburg,2-0,Sochi
13/08/23,PRL,CSKA Moscow,3-1,Sochi
19/08/23,PRL,Sochi,4-0,Rostov
27/08/23,PRL,Sochi,0-1,Lokomotiv Moscow
30/08/23,CUP,Sochi,P0-0P,CSKA Moscow
03/09/23,PRL,Orenburg,3-0,Sochi
16/09/23,PRL,Spartak Moscow,1-0,Sochi
20/09/23,CUP,CSKA Moscow,P1-1P,Sochi
23/09/23,PRL,Krylya Sovetov,2-1,Sochi
01/10/23,PRL,Fakel,2-0,Sochi
04/10/23,CUP,Sochi,1-2,Orenburg
07/10/23,PRL,Sochi,0-2,Zenit
22/10/23,PRL,Ural,1-4,Sochi
29/10/23,PRL,Nizhny Novgorod,1-0,Sochi
01/11/23,CUP,Sochi,2-0,Fakel
06/11/23,PRL,Sochi,3-3,Dinamo Moscow
12/11/23,PRL,Sochi,0-2,Rubin Kazan
25/11/23,PRL,Zenit,3-0,Sochi
02/12/23,PRL,Sochi,0-2,Krylya Sovetov
10/12/23,PRL,Sochi,1-1,Orenburg
02/02/24,CLF,Sochi,0-0,Akhmat Grozny
08/02/24,CLF,Sochi,1-0,Slavia Sofia
09/02/24,CLF,CSKA Moscow,1-2,Sochi
15/02/24,CLF,Sochi,0-1,Neftchi
19/02/24,CLF,Sochi,2-2,Neftchi
19/02/24,CLF,Sochi,2-1,Tyumen
23/02/24,CLF,Fakel,0-0,Sochi
03/03/24,PRL,Baltika,0-0,Sochi
10/03/24,PRL,Lokomotiv Moscow,2-2,Sochi
14/03/24,CUP,SKA Khabarovsk,P1-1P,Sochi
30/03/24,PRL,Sochi,2-2,CSKA Moscow
06/04/24,PRL,Rostov,2-2,Sochi
13/04/24,PRL,Sochi,1-0,Spartak Moscow
21/04/24,PRL,Sochi,2-2,Ural
25/04/24,PRL,Akhmat Grozny,1-0,Sochi
29/04/24,PRL,Sochi,0-0,Fakel
05/05/24,PRL,Dinamo Moscow,15:30,Sochi
12/05/24,PRL,Sochi,18:00,Nizhny Novgorod
18/05/24,PRL,Sochi,18:00,Krasnodar
25/05/24,PRL,Rubin Kazan,15:30,Sochi
13/05/22,PRL,Sochi,0-0,Nizhny Novgorod
21/05/22,PRL,Dinamo Moscow,1-5,Sochi
25/06/22,CLF,Sochi,P1-1P,Zenit
01/07/22,CLF,Nizhny Novgorod,P1-1P,Sochi
07/07/22,CLF,Sochi,1-2,CSKA Moscow
08/07/22,CLF,Khimki,0-0,Sochi
17/07/22,PRL,Torpedo Moskva,1-3,Sochi
23/07/22,PRL,CSKA Moscow,3-0,Sochi
30/07/22,PRL,Sochi,2-1,Akhmat Grozny
07/08/22,PRL,Sochi,2-1,Nizhny Novgorod
14/08/22,PRL,Spartak Moscow,3-0,Sochi
20/08/22,PRL,Rostov,2-2,Sochi
26/08/22,PRL,Sochi,4-1,Khimki
31/08/22,CUP,Ural,2-0,Sochi
03/09/22,PRL,Krasnodar,2-1,Sochi
09/09/22,PRL,Sochi,2-1,Dinamo Moscow
14/09/22,CUP,Sochi,1-3,Torpedo Moskva
18/09/22,PRL,Sochi,1-1,Fakel
28/09/22,CUP,CSKA Moscow,2-1,Sochi
01/10/22,PRL,Orenburg,4-1,Sochi
08/10/22,PRL,Sochi,4-0,Lokomotiv Moscow
16/10/22,PRL,Krylya Sovetov,2-0,Sochi
20/10/22,CUP,Sochi,2-3,Ural
24/10/22,PRL,Zenit,7-0,Sochi
30/10/22,PRL,Sochi,2-2,Ural
05/11/22,PRL,Sochi,1-1,Spartak Moscow
13/11/22,PRL,Khimki,0-2,Sochi
22/11/22,CUP,Torpedo Moskva,P1-1P,Sochi
26/11/22,CUP,Sochi,1-2,CSKA Moscow
17/01/23,CLF,Sochi,5-1,Forte Taganrog
22/01/23,CLF,Sochi,3-0,Neftekhimik
29/01/23,CLF,Sochi,0-2,Lokomotiv Moscow
03/02/23,CLF,Krasnodar,1-0,Sochi
06/02/23,CLF,Sochi,3-0,Rostov
10/02/23,CLF,Spartak Moscow,2-0,Sochi
18/02/23,CLF,Fakel,2-4,Sochi
21/02/23,CLF,Akron,1-3,Sochi
24/02/23,CLF,Khimki,0-2,Sochi
24/02/23,CLF,Baltika,0-1,Sochi
05/03/23,PRL,Sochi,2-0,CSKA Moscow
10/03/23,PRL,Sochi,0-4,Orenburg
18/03/23,PRL,Fakel,3-0,Sochi
01/04/23,PRL,Dinamo Moscow,0-2,Sochi
09/04/23,PRL,Sochi,1-2,Krylya Sovetov
15/04/23,PRL,Sochi,0-2,Krasnodar
23/04/23,PRL,Akhmat Grozny,1-0,Sochi
30/04/23,PRL,Sochi,3-1,Torpedo Moskva
08/05/23,PRL,Lokomotiv Moscow,3-0,Sochi
14/05/23,PRL,Sochi,1-0,Rostov
22/05/23,PRL,Nizhny Novgorod,4-0,Sochi
07/05/21,PRL,Sochi,2-1,Rotor Volgograd
16/05/21,PRL,Khimki,0-0,Sochi
21/06/21,CLF,Sochi,2-3,Krasnodar II
30/06/21,CLF,Sochi,1-2,Kuban Krasnodar
11/07/21,CLF,Spartak Moscow,4-0,Sochi
14/07/21,CLF,Khimki,2-3,Sochi
17/07/21,CLF,Rubin Kazan,1-3,Sochi
22/07/21,UEC,Sochi,3-0,Shamakhi
26/07/21,PRL,Nizhny Novgorod,1-0,Sochi
29/07/21,UEC,Shamakhi,2-4,Sochi
02/08/21,PRL,Akhmat Grozny,1-2,Sochi
05/08/21,UEC,Sochi,1-1,Partizan
09/08/21,PRL,Sochi,2-0,Ural
12/08/21,UEC,Partizan,P2-2P,Sochi
16/08/21,PRL,Sochi,3-0,Khimki
21/08/21,PRL,Krylya Sovetov,1-0,Sochi
26/08/21,PRL,Spartak Moscow,1-2,Sochi
12/09/21,PRL,Sochi,3-1,Ufa
19/09/21,PRL,Sochi,0-1,Dinamo Moscow
26/09/21,PRL,Krasnodar,3-0,Sochi
03/10/21,PRL,Zenit,1-2,Sochi
16/10/21,PRL,Sochi,3-2,Rostov
25/10/21,PRL,Lokomotiv Moscow,2-1,Sochi
31/10/21,PRL,Arsenal Tula,1-2,Sochi
06/11/21,PRL,Sochi,4-1,CSKA Moscow
21/11/21,PRL,Sochi,1-2,Rubin Kazan
27/11/21,PRL,Ural,1-1,Sochi
05/12/21,PRL,Sochi,1-2,Krasnodar
13/12/21,PRL,Sochi,3-0,Spartak Moscow
20/01/22,CLF,Sochi,4-0,Tom Tomsk
25/01/22,CLF,Austria Vienna,0-0,Sochi
29/01/22,CLF,Baltika,0-1,Sochi
