Date,Competition,Home team,Score,Away team
03/06/23,PRL,Krylya Sovetov,1-0,Spartak Moscow
05/07/23,CLF,Torpedo Moskva,2-2,Spartak Moscow
18/07/23,CLF,Spartak Moscow,2-0,Neftchi Baku
23/07/23,PRL,Spartak Moscow,3-2,Orenburg
27/07/23,CUP,Krasnodar,1-2,Spartak Moscow
31/07/23,PRL,Spartak Moscow,2-1,Baltika
05/08/23,PRL,Rubin Kazan,1-4,Spartak Moscow
08/08/23,CUP,Spartak Moscow,5-4,Nizhny Novgorod
11/08/23,PRL,Ural,3-2,Spartak Moscow
20/08/23,PRL,Spartak Moscow,1-3,Zenit
26/08/23,PRL,Spartak Moscow,0-0,Akhmat Grozny
29/08/23,CUP,Spartak Moscow,4-1,Dinamo Moscow
02/09/23,PRL,Krasnodar,2-0,Spartak Moscow
16/09/23,PRL,Spartak Moscow,1-0,Sochi
19/09/23,CUP,Nizhny Novgorod,0-3,Spartak Moscow
23/09/23,PRL,Spartak Moscow,1-0,Dinamo Moscow
01/10/23,PRL,Krylya Sovetov,4-0,Spartak Moscow
04/10/23,CUP,Dinamo Moscow,3-0,Spartak Moscow
08/10/23,PRL,Spartak Moscow,2-2,CSKA Moscow
22/10/23,PRL,Spartak Moscow,2-0,Nizhny Novgorod
28/10/23,PRL,Fakel,2-0,Spartak Moscow
01/11/23,CUP,Spartak Moscow,2-3,Krasnodar
05/11/23,PRL,Lokomotiv Moscow,1-1,Spartak Moscow
12/11/23,PRL,Spartak Moscow,2-1,Rostov
25/11/23,PRL,Baltika,0-2,Spartak Moscow
29/11/23,CUP,Orenburg,1-0,Spartak Moscow
03/12/23,PRL,Akhmat Grozny,2-1,Spartak Moscow
09/12/23,PRL,Spartak Moscow,3-0,Krylya Sovetov
02/02/24,CLF,Spartak Moscow,3-2,Torpedo Moskva
07/02/24,CLF,Spartak Moscow,0-3,Rostov
09/02/24,CLF,Shabab Al Ahli,0-5,Spartak Moscow
14/02/24,CLF,Spartak Moscow,6-0,Kairat
20/02/24,CLF,Spartak Moscow,4-0,Abdysh-Ata
21/02/24,CLF,Spartak Moscow,4-0,Astana
02/03/24,PRL,Zenit,0-0,Spartak Moscow
10/03/24,PRL,Spartak Moscow,0-2,Fakel
14/03/24,CUP,Spartak Moscow,3-1,Orenburg
30/03/24,PRL,Spartak Moscow,0-0,Ural
03/04/24,CUP,Spartak Moscow,1-2,Zenit
07/04/24,PRL,Dinamo Moscow,1-2,Spartak Moscow
13/04/24,PRL,Sochi,1-0,Spartak Moscow
17/04/24,CUP,Zenit,0-0,Spartak Moscow
21/04/24,PRL,Rostov,1-5,Spartak Moscow
25/04/24,PRL,CSKA Moscow,0-0,Spartak Moscow
28/04/24,PRL,Spartak Moscow,3-2,Lokomotiv Moscow
01/05/24,CUP,Dinamo Moscow,17:00,Spartak Moscow
05/05/24,PRL,Nizhny Novgorod,18:00,Spartak Moscow
11/05/24,PRL,Spartak Moscow,15:30,Krasnodar
19/05/24,PRL,Spartak Moscow,13:15,Rubin Kazan
25/05/24,PRL,Orenburg,15:30,Spartak Moscow
25/06/22,CLF,Spartak Moscow,2-2,Alaniya Vladikavkaz
29/06/22,CLF,Spartak Moscow,3-2,Baltika
02/07/22,CLF,Spartak Moscow,3-0,Yenisey
09/07/22,SUC,Zenit,4-0,Spartak Moscow
16/07/22,PRL,Akhmat Grozny,1-1,Spartak Moscow
23/07/22,PRL,Krasnodar,1-4,Spartak Moscow
31/07/22,PRL,Spartak Moscow,4-1,Orenburg
06/08/22,PRL,Ural,0-2,Spartak Moscow
14/08/22,PRL,Spartak Moscow,3-0,Sochi
20/08/22,PRL,Dinamo Moscow,1-0,Spartak Moscow
27/08/22,PRL,Fakel,1-4,Spartak Moscow
30/08/22,CUP,Spartak Moscow,1-0,Krylya Sovetov
04/09/22,PRL,Spartak Moscow,1-2,Zenit
11/09/22,PRL,Rostov,4-2,Spartak Moscow
15/09/22,CUP,Spartak Moscow,3-0,Fakel
18/09/22,PRL,Spartak Moscow,1-0,Lokomotiv Moscow
29/09/22,CUP,Spartak Moscow,3-0,Zenit
02/10/22,PRL,Nizhny Novgorod,1-2,Spartak Moscow
09/10/22,PRL,Spartak Moscow,5-2,Krylya Sovetov
16/10/22,PRL,CSKA Moscow,2-2,Spartak Moscow
19/10/22,CUP,Fakel,1-2,Spartak Moscow
23/10/22,PRL,Spartak Moscow,5-0,Khimki
30/10/22,PRL,Spartak Moscow,1-0,Torpedo Moskva
05/11/22,PRL,Sochi,1-1,Spartak Moscow
12/11/22,PRL,Lokomotiv Moscow,1-2,Spartak Moscow
23/11/22,CUP,Krylya Sovetov,2-1,Spartak Moscow
27/11/22,CUP,Zenit,P0-0P,Spartak Moscow
22/01/23,CLF,Spartak Moscow,CANC,Levski Sofia
22/01/23,CLF,Spartak Moscow,3-1,AGMK
27/01/23,CLF,Botev Plovdiv,0-1,Spartak Moscow
02/02/23,CLF,Rostov,P0-0P,Spartak Moscow
06/02/23,CLF,Krasnodar,0-4,Spartak Moscow
10/02/23,CLF,Spartak Moscow,2-0,Sochi
22/02/23,CUP,Lokomotiv Moscow,0-1,Spartak Moscow
27/02/23,CUP,Spartak Moscow,4-2,Lokomotiv Moscow
04/03/23,PRL,Spartak Moscow,2-2,Ural
11/03/23,PRL,Spartak Moscow,3-2,Fakel
14/03/23,CUP,Spartak Moscow,1-1,Ural
18/03/23,PRL,Orenburg,2-0,Spartak Moscow
01/04/23,PRL,Spartak Moscow,0-0,Akhmat Grozny
04/04/23,CUP,Ural,2-1,Spartak Moscow
08/04/23,PRL,Spartak Moscow,3-3,Dinamo Moscow
15/04/23,PRL,Torpedo Moskva,1-2,Spartak Moscow
19/04/23,CUP,Akron,2-1,Spartak Moscow
24/04/23,PRL,Spartak Moscow,4-3,Krasnodar
29/04/23,PRL,Spartak Moscow,1-1,Rostov
07/05/23,PRL,Zenit,3-2,Spartak Moscow
13/05/23,PRL,Khimki,1-1,Spartak Moscow
21/05/23,PRL,Spartak Moscow,2-1,CSKA Moscow
28/05/23,PRL,Spartak Moscow,0-0,Nizhny Novgorod
30/07/21,PRL,Krylya Sovetov,0-1,Spartak Moscow
04/08/21,UCL,Spartak Moscow,0-2,Benfica
07/08/21,PRL,Spartak Moscow,1-2,Nizhny Novgorod
10/08/21,UCL,Benfica,2-0,Spartak Moscow
14/08/21,PRL,Spartak Moscow,1-0,Ural
21/08/21,PRL,Arsenal Tula,1-1,Spartak Moscow
26/08/21,PRL,Spartak Moscow,1-2,Sochi
11/09/21,PRL,Spartak Moscow,3-1,Khimki
