Date,Competition,Home team,Score,Away team
13/05/23,PRL,Ural,2-1,Orenburg
17/05/23,CUP,Krasnodar,2-1,Ural
21/05/23,PRL,Krylya Sovetov,3-0,Ural
27/05/23,PRL,Khimki,0-3,Ural
03/06/23,PRL,Ural,1-0,Sochi
13/07/23,CLF,Ural,3-0,Neftchi
16/07/23,CLF,Krylya Sovetov,P1-1P,Ural
22/07/23,PRL,Ural,2-1,CSKA Moscow
25/07/23,CUP,Lokomotiv Moscow,2-1,Ural
29/07/23,PRL,Ural,0-0,Nizhny Novgorod
05/08/23,PRL,Orenburg,0-2,Ural
08/08/23,CUP,Ural,1-0,Rostov
11/08/23,PRL,Ural,3-2,Spartak Moscow
19/08/23,PRL,Baltika,0-1,Ural
26/08/23,PRL,Zenit,4-0,Ural
29/08/23,CUP,Rubin Kazan,2-1,Ural
02/09/23,PRL,Ural,0-1,Akhmat Grozny
17/09/23,PRL,Ural,0-0,Fakel
20/09/23,CUP,Ural,P0-0P,Lokomotiv Moscow
24/09/23,PRL,Krasnodar,2-0,Ural
29/09/23,PRL,Rostov,2-2,Ural
03/10/23,CUP,Ural,2-0,Rubin Kazan
07/10/23,PRL,Ural,2-2,Lokomotiv Moscow
22/10/23,PRL,Ural,1-4,Sochi
29/10/23,PRL,Dinamo Moscow,2-1,Ural
02/11/23,CUP,Rostov,2-1,Ural
06/11/23,PRL,Ural,0-1,Rubin Kazan
11/11/23,PRL,Krylya Sovetov,3-1,Ural
26/11/23,PRL,Ural,3-1,Krasnodar
02/12/23,PRL,Nizhny Novgorod,1-0,Ural
08/12/23,PRL,Lokomotiv Moscow,2-0,Ural
22/01/24,CLF,Gulf United,1-2,Ural
27/01/24,CLF,Zenit,1-0,Ural
04/02/24,CLF,Ural,2-2,Al Fateh
18/02/24,CLF,Krasnodar,1-0,Ural
02/03/24,PRL,Akhmat Grozny,1-0,Ural
09/03/24,PRL,Ural,1-4,Zenit
13/03/24,CUP,Rodina Moskva,P1-1P,Ural
30/03/24,PRL,Spartak Moscow,0-0,Ural
03/04/24,CUP,Ural,1-0,Lokomotiv Moscow
06/04/24,PRL,Ural,1-2,Krylya Sovetov
14/04/24,PRL,Ural,2-1,Dinamo Moscow
17/04/24,CUP,Ural,1-3,Rostov
21/04/24,PRL,Sochi,2-2,Ural
25/04/24,PRL,Ural,0-1,Rostov
29/04/24,PRL,Rubin Kazan,1-1,Ural
06/05/24,PRL,Ural,14:45,Baltika
12/05/24,PRL,Fakel,15:30,Ural
19/05/24,PRL,Ural,11:00,Orenburg
25/05/24,PRL,CSKA Moscow,15:30,Ural
05/07/22,CLF,Ural,1-1,Ufa
09/07/22,CLF,Ural,CANC,Krylya Sovetov
16/07/22,PRL,CSKA Moscow,2-0,Ural
23/07/22,PRL,Orenburg,3-0,Ural
29/07/22,PRL,Ural,1-3,Krasnodar
06/08/22,PRL,Ural,0-2,Spartak Moscow
12/08/22,PRL,Fakel,0-0,Ural
20/08/22,PRL,Ural,0-1,Nizhny Novgorod
28/08/22,PRL,Ural,0-4,Zenit
31/08/22,CUP,Ural,2-0,Sochi
03/09/22,PRL,Dinamo Moscow,2-1,Ural
11/09/22,PRL,Ural,2-0,Torpedo Moskva
14/09/22,CUP,CSKA Moscow,2-1,Ural
17/09/22,PRL,Ural,1-2,Akhmat Grozny
28/09/22,CUP,Ural,1-0,Torpedo Moskva
01/10/22,PRL,Lokomotiv Moscow,2-4,Ural
07/10/22,PRL,Ural,2-1,Khimki
14/10/22,PRL,Rostov,1-2,Ural
20/10/22,CUP,Sochi,2-3,Ural
24/10/22,PRL,Ural,2-1,Krylya Sovetov
30/10/22,PRL,Sochi,2-2,Ural
06/11/22,PRL,Ural,2-2,Lokomotiv Moscow
12/11/22,PRL,Ural,2-0,Fakel
22/11/22,CUP,Ural,P0-0P,CSKA Moscow
26/11/22,CUP,Torpedo Moskva,1-2,Ural
25/01/23,CLF,Ural,1-2,Botev Plovdiv
30/01/23,CLF,Ural,0-1,Rodina Moskva II
30/01/23,CLF,Ural,0-1,Rodina Moskva
31/01/23,CLF,Levski Sofia,CANC,Ural
05/02/23,CLF,Ural,1-1,Ararat-Armenia
06/02/23,CLF,Ural,1-1,Zenit
12/02/23,CLF,Lokomotiv Moscow,2-1,Ural
14/02/23,CLF,Zenit,1-1,Ural
18/02/23,CLF,Ural,CANC,Ararat-Armenia
18/02/23,CLF,Ural,2-0,Ararat-Armenia
22/02/23,CUP,Rostov,1-1,Ural
27/02/23,CUP,Ural,2-1,Rostov
04/03/23,PRL,Spartak Moscow,2-2,Ural
11/03/23,PRL,Torpedo Moskva,0-1,Ural
14/03/23,CUP,Spartak Moscow,1-1,Ural
18/03/23,PRL,Ural,0-1,Dinamo Moscow
01/04/23,PRL,Zenit,2-0,Ural
04/04/23,CUP,Ural,2-1,Spartak Moscow
08/04/23,PRL,Akhmat Grozny,2-0,Ural
15/04/23,PRL,Ural,1-2,CSKA Moscow
19/04/23,CUP,CSKA Moscow,1-1,Ural
23/04/23,PRL,Ural,1-3,Rostov
29/04/23,PRL,Krasnodar,1-1,Ural
03/05/23,CUP,Ural,1-2,CSKA Moscow
07/05/23,PRL,Nizhny Novgorod,0-0,Ural
02/05/21,PRL,Khimki,1-0,Ural
10/05/21,PRL,Ural,1-0,Rostov
16/05/21,PRL,Lokomotiv Moscow,1-0,Ural
27/06/21,CLF,Ural,CANC,Rubin Kazan
05/07/21,CLF,Rubin Kazan,CANC,Ural
11/07/21,CLF,Ural,CANC,Krylya Sovetov
18/07/21,CLF,Krylya Sovetov,0-1,Ural
25/07/21,PRL,Ural,0-3,Krasnodar
01/08/21,PRL,Ural,1-1,Nizhny Novgorod
09/08/21,PRL,Sochi,2-0,Ural
14/08/21,PRL,Spartak Moscow,1-0,Ural
21/08/21,PRL,Ural,0-1,Dinamo Moscow
27/08/21,PRL,Ural,1-1,Rostov
13/09/21,PRL,Rubin Kazan,4-0,Ural
20/09/21,PRL,Ural,0-0,Lokomotiv Moscow
23/09/21,CUP,Torpedo Vladimir,0-2,Ural
27/09/21,PRL,Ural,2-0,Arsenal Tula
03/10/21,PRL,Ufa,0-1,Ural
11/10/21,CLF,Ural,1-1,Krylya Sovetov
17/10/21,PRL,Ural,0-1,CSKA Moscow
24/10/21,PRL,Akhmat Grozny,1-0,Ural
27/10/21,CUP,KAMAZ,1-0,Ural
31/10/21,PRL,Khimki,0-0,Ural
07/11/21,PRL,Ural,0-0,Zenit
14/11/21,CLF,Essentuki,1-7,Ural
20/11/21,PRL,Krylya Sovetov,1-1,Ural
27/11/21,PRL,Ural,1-1,Sochi
04/12/21,PRL,Lokomotiv Moscow,0-1,Ural
11/12/21,PRL,Rostov,1-4,Ural
26/01/22,CLF,Ural,1-1,Pyunik
30/01/22,CLF,Ural,2-2,Rodina Moskva
08/02/22,CLF,Spartak Moscow,3-1,Ural
09/02/22,CLF,Ural,1-2,Ararat-Armenia
12/02/22,CLF,Ural,4-2,Pyunik
13/02/22,CLF,Dubai City,0-6,Ural
16/02/22,CLF,Ural,2-1,Riga
26/02/22,PRL,Nizhny Novgorod,1-0,Ural
07/03/22,PRL,Krasnodar,2-1,Ural
13/03/22,PRL,Ural,0-0,Akhmat Grozny
19/03/22,PRL,Ural,0-1,Khimki
03/04/22,PRL,CSKA Moscow,2-2,Ural
10/04/22,PRL,Ural,0-1,Krylya Sovetov
16/04/22,PRL,Zenit,3-1,Ural
23/04/22,PRL,Ural,2-1,Ufa
30/04/22,PRL,Dinamo Moscow,2-3,Ural
07/05/22,PRL,Ural,1-3,Spartak Moscow
15/05/22,PRL,Ural,3-0,Rubin Kazan
21/05/22,PRL,Arsenal Tula,1-2,Ural
26/06/22,CLF,Ural,CANC,Akron
05/07/22,CLF,Ural,1-4,Ufa
29/02/20,PRL,CSKA Moscow,1-1,Ural
08/03/20,PRL,Sochi,2-0,Ural
14/03/20,PRL,Zenit,7-1,Ural
20/06/20,PRL,Ural,1-2,Rubin Kazan
24/06/20,CUP,Shinnik,0-2,Ural
28/06/20,PRL,Ural,2-1,Tambov
01/07/20,PRL,Orenburg,0-3,Ural
05/07/20,PRL,Ufa,1-1,Ural
09/07/20,PRL,Ural,2-1,Dinamo Moscow
12/07/20,PRL,Krasnodar,3-0,Ural
15/07/20,PRL,Ural,1-3,Arsenal Tula
19/07/20,CUP,Ural,1-3,Khimki
22/07/20,PRL,Ural,0-1,Lokomotiv Moscow
10/08/20,PRL,Ural,0-2,Dinamo Moscow
15/08/20,PRL,Rubin Kazan,1-1,Ural
19/08/20,PRL,Ural,1-1,Lokomotiv Moscow
22/08/20,PRL,Ural,1-0,Krasnodar
26/08/20,PRL,Rostov,1-0,Ural
30/08/20,PRL,Sochi,0-0,Ural
12/09/20,PRL,Ural,3-1,Khimki
16/09/20,CUP,Volga Ulyanovsk,0-3,Ural
19/09/20,PRL,Ural,1-1,Zenit
27/09/20,PRL,Akhmat Grozny,2-0,Ural
03/10/20,PRL,Ural,0-2,CSKA Moscow
11/10/20,CLF,Ural,1-1,Rubin Kazan
18/10/20,PRL,Arsenal Tula,1-0,Ural
21/10/20,CUP,Veles,1-3,Ural
25/10/20,PRL,Ural,0-0,Tambov
01/11/20,PRL,Ufa,1-2,Ural
07/11/20,PRL,Ural,2-2,Spartak Moscow
22/11/20,PRL,Rotor Volgograd,0-0,Ural
29/11/20,PRL,Ural,1-0,Sochi
05/12/20,PRL,Zenit,5-1,Ural
13/12/20,PRL,CSKA Moscow,2-2,Ural
18/12/20,PRL,Tambov,1-1,Ural
22/01/21,CLF,Krasnodar II,1-3,Ural
30/01/21,CLF,Ural,2-0,Ararat-Armenia
06/02/21,CLF,Ural,2-2,Rigas FS
10/02/21,CLF,Ural,3-1,Zeta
11/02/21,CLF,Akron,0-1,Ural
15/02/21,CLF,Rubin Kazan,0-0,Ural
28/02/21,PRL,Krasnodar,2-2,Ural
03/03/21,CUP,Ufa,3-0,Ural
07/03/21,PRL,Ural,0-0,Ufa
13/03/21,PRL,Ural,1-0,Rotor Volgograd
18/03/21,PRL,Spartak Moscow,5-1,Ural
04/04/21,PRL,Ural,2-0,Arsenal Tula
11/04/21,PRL,Dinamo Moscow,2-2,Ural
18/04/21,PRL,Ural,0-1,Rubin Kazan
24/04/21,PRL,Ural,1-1,Akhmat Grozny
11/03/19,PRL,Akhmat Grozny,1-1,Ural
16/03/19,PRL,Ural,0-1,CSKA Moscow
30/03/19,PRL,Rostov,2-1,Ural
03/04/19,CUP,Ural,1-0,Arsenal Tula
07/04/19,PRL,Ural,3-2,Yenisey
13/04/19,PRL,Arsenal Tula,0-0,Ural
21/04/19,PRL,Ural,2-1,Rubin Kazan
25/04/19,PRL,Krylya Sovetov,0-1,Ural
28/04/19,PRL,Ufa,4-1,Ural
04/05/19,PRL,Ural,0-1,Spartak Moscow
10/05/19,PRL,Orenburg,2-2,Ural
15/05/19,CUP,Arsenal Tula,2-2,Ural
19/05/19,PRL,Ural,2-2,Lokomotiv Moscow
22/05/19,CUP,Lokomotiv Moscow,1-0,Ural
26/05/19,PRL,Anzhi,0-2,Ural
23/06/19,CLF,Mura,CANC,Ural
26/06/19,CLF,Astra,1-2,Ural
30/06/19,CLF,Pyunik,0-3,Ural
05/07/19,CLF,Krasnodar,0-2,Ural
05/07/19,CLF,Ural,CANC,Kaposvári Rákóczi
13/07/19,PRL,Ural,3-2,Ufa
21/07/19,PRL,Ural,3-0,Akhmat Grozny
26/07/19,PRL,Dinamo Moscow,2-0,Ural
03/08/19,PRL,Ural,2-2,Rostov
11/08/19,PRL,Lokomotiv Moscow,4-0,Ural
17/08/19,PRL,Ural,1-3,Krylya Sovetov
26/08/19,PRL,Ural,3-1,Sochi
01/09/19,PRL,Ural,2-4,Krasnodar
14/09/19,PRL,Spartak Moscow,1-2,Ural
22/09/19,PRL,Arsenal Tula,1-1,Ural
25/09/19,CUP,Chernomorets,0-2,Ural
29/09/19,PRL,Ural,0-3,CSKA Moscow
06/10/19,PRL,Ural,1-3,Zenit
19/10/19,PRL,Tambov,1-2,Ural
25/10/19,PRL,Rubin Kazan,0-0,Ural
30/10/19,CUP,Ural,P2-2P,Arsenal Tula
04/11/19,PRL,Ural,1-2,Orenburg
08/11/19,PRL,Akhmat Grozny,0-0,Ural
15/11/19,CLF,Pafos,1-2,Ural
17/11/19,CLF,Ural,3-1,Rodina Moskva
24/11/19,PRL,Ural,0-0,Spartak Moscow
30/11/19,PRL,Rostov,0-0,Ural
08/12/19,PRL,Krylya Sovetov,2-3,Ural
19/01/20,CLF,Rakow Czestochowa,1-3,Ural
26/01/20,CLF,Tsarsko selo,1-0,Ural
02/02/20,CLF,Ararat-Armenia,1-1,Ural
04/02/20,CLF,Ural,1-1,Cukaricki
05/02/20,CLF,Ural,2-1,Karmiotissa
12/02/20,CLF,Ural,1-0,Tekstilshchik
19/02/20,CLF,Ural,1-1,Riga
23/02/18,FNC,Luch Vladivostok,P1-1P,Ural
03/03/18,PRL,CSKA Moscow,1-0,Ural
12/03/18,PRL,Ural,0-2,Lokomotiv Moscow
17/03/18,PRL,SKA Khabarovsk,0-3,Ural
01/04/18,PRL,Ural,1-1,Rubin Kazan
08/04/18,PRL,Tosno,2-2,Ural
15/04/18,PRL,Ural,2-1,Spartak Moscow
21/04/18,PRL,Anzhi,0-1,Ural
30/04/18,PRL,Akhmat Grozny,0-0,Ural
06/05/18,PRL,Ural,0-2,Amkar Perm
13/05/18,PRL,Rostov,1-0,Ural
20/06/18,CLF,Ural,1-0,Tyumen
23/06/18,CLF,Maribor,3-0,Ural
26/06/18,CLF,Mura,1-4,Ural
30/06/18,CLF,Cukaricki,0-1,Ural
03/07/18,CLF,Yenisey,0-2,Ural
10/07/18,CLF,Vojvodina,2-1,Ural
28/07/18,PRL,Ural,0-1,Anzhi
04/08/18,PRL,Ural,1-2,Krasnodar
10/08/18,PRL,Ural,1-1,Dinamo Moscow
19/08/18,PRL,Zenit,4-1,Ural
