Date,Competition,Home team,Score,Away team
09/08/23,CUP,Krylya Sovetov,0-1,Zenit
13/08/23,PRL,Zenit,2-0,Fakel
20/08/23,PRL,Spartak Moscow,1-3,Zenit
26/08/23,PRL,Zenit,4-0,Ural
30/08/23,CUP,Baltika,1-0,Zenit
03/09/23,PRL,CSKA Moscow,1-1,Zenit
07/09/23,CLF,Zenit,4-1,Sepahan
17/09/23,PRL,Rubin Kazan,0-3,Zenit
20/09/23,CUP,Akhmat Grozny,P3-3P,Zenit
24/09/23,PRL,Zenit,1-2,Lokomotiv Moscow
30/09/23,PRL,Orenburg,3-1,Zenit
03/10/23,CUP,Zenit,2-1,Baltika
07/10/23,PRL,Sochi,0-2,Zenit
14/10/23,CLF,Kairat,2-2,Zenit
22/10/23,PRL,Zenit,3-1,Krylya Sovetov
28/10/23,PRL,Zenit,2-1,Akhmat Grozny
31/10/23,CUP,Zenit,1-0,Krylya Sovetov
04/11/23,PRL,Baltika,0-2,Zenit
11/11/23,PRL,Zenit,1-1,Krasnodar
18/11/23,CLF,Neftchi Baku,2-1,Zenit
25/11/23,PRL,Zenit,3-0,Sochi
29/11/23,CUP,Dinamo Moscow,1-0,Zenit
03/12/23,PRL,Lokomotiv Moscow,3-1,Zenit
09/12/23,PRL,Zenit,1-0,Nizhny Novgorod
21/01/24,CLF,Zenit,5-1,Dinamo Samarqand
24/01/24,CLF,Zenit,5-1,Jeonbuk Motors
27/01/24,CLF,Zenit,1-0,Ural
28/01/24,CLF,Zenit,1-1,Al Fateh
05/02/24,CLF,Zenit,2-0,Al Duhail
06/02/24,CLF,Zenit,0-0,Noah
08/02/24,CLF,Zenit,6-0,Shanghai Shenhua
13/02/24,CLF,Zenit,4-1,Santos
02/03/24,PRL,Zenit,0-0,Spartak Moscow
09/03/24,PRL,Ural,1-4,Zenit
13/03/24,CUP,Zenit,2-0,Dinamo Moscow
23/03/24,CLF,Red Star Belgrade,1-0,Zenit
30/03/24,PRL,Krylya Sovetov,1-1,Zenit
03/04/24,CUP,Spartak Moscow,1-2,Zenit
07/04/24,PRL,Zenit,1-0,Baltika
13/04/24,PRL,Krasnodar,1-2,Zenit
17/04/24,CUP,Zenit,0-0,Spartak Moscow
21/04/24,PRL,Zenit,1-0,Orenburg
24/04/24,PRL,Zenit,0-2,Rubin Kazan
28/04/24,PRL,Dinamo Moscow,1-0,Zenit
02/05/24,CUP,CSKA Moscow,18:15,Zenit
06/05/24,PRL,Fakel,17:00,Zenit
11/05/24,PRL,Zenit,18:00,CSKA Moscow
15/05/24,CUP,Zenit,19:45,CSKA Moscow
19/05/24,PRL,Akhmat Grozny,18:00,Zenit
25/05/24,PRL,Zenit,15:30,Rostov
31/08/22,CUP,Zenit,2-0,Fakel
04/09/22,PRL,Spartak Moscow,1-2,Zenit
11/09/22,PRL,Zenit,8-0,Orenburg
14/09/22,CUP,Krylya Sovetov,2-0,Zenit
17/09/22,PRL,Dinamo Moscow,0-2,Zenit
29/09/22,CUP,Spartak Moscow,3-0,Zenit
02/10/22,PRL,Zenit,3-1,Rostov
08/10/22,PRL,Fakel,1-1,Zenit
16/10/22,PRL,Nizhny Novgorod,0-3,Zenit
20/10/22,CUP,Zenit,2-1,Krylya Sovetov
24/10/22,PRL,Zenit,7-0,Sochi
30/10/22,PRL,Krasnodar,0-1,Zenit
05/11/22,PRL,Zenit,1-2,Akhmat Grozny
12/11/22,PRL,Torpedo Moskva,0-2,Zenit
16/11/22,CUP,Fakel,0-2,Zenit
22/11/22,CLF,Zenit,3-1,Red Star Belgrade
27/11/22,CUP,Zenit,P0-0P,Spartak Moscow
25/01/23,CLF,Zenit,9-0,Al Bidda
28/01/23,CLF,Zenit,3-0,Lusail City
06/02/23,CLF,Ural,1-1,Zenit
