Date,Competition,Home team,Score,Away team
27/08/23,PRE,St. Mirren,2-2,Aberdeen
31/08/23,UEL,Aberdeen,1-3,Häcken
03/09/23,PRE,Aberdeen,0-2,Hibernian
16/09/23,PRE,Hearts,2-0,Aberdeen
21/09/23,UEC,Eintracht Frankfurt,2-1,Aberdeen
24/09/23,PRE,Aberdeen,4-0,Ross County
27/09/23,LEC,Ross County,1-2,Aberdeen
30/09/23,PRE,Rangers,1-3,Aberdeen
05/10/23,UEC,Aberdeen,1-1,HJK
08/10/23,PRE,Aberdeen,0-0,St. Johnstone
26/10/23,UEC,Aberdeen,2-3,PAOK
29/10/23,PRE,Kilmarnock,2-0,Aberdeen
01/11/23,PRE,Motherwell,2-4,Aberdeen
04/11/23,LEC,Hibernian,0-1,Aberdeen
09/11/23,UEC,PAOK,2-2,Aberdeen
12/11/23,PRE,Celtic,6-0,Aberdeen
26/11/23,PRE,Aberdeen,1-1,Rangers
30/11/23,UEC,HJK,2-2,Aberdeen
03/12/23,PRE,Hibernian,2-0,Aberdeen
06/12/23,PRE,Aberdeen,0-1,Kilmarnock
09/12/23,PRE,Aberdeen,2-1,Hearts
14/12/23,UEC,Aberdeen,2-0,Eintracht Frankfurt
17/12/23,LEC,Rangers,1-0,Aberdeen
20/12/23,PRE,Aberdeen,2-1,Livingston
30/12/23,PRE,Aberdeen,0-3,St. Mirren
02/01/24,PRE,Ross County,0-3,Aberdeen
19/01/24,FAC,Clyde,0-2,Aberdeen
24/01/24,PRE,St. Johnstone,1-1,Aberdeen
27/01/24,PRE,Hearts,2-0,Aberdeen
30/01/24,PRE,Aberdeen,1-1,Dundee
03/02/24,PRE,Aberdeen,1-1,Celtic
06/02/24,PRE,Rangers,2-1,Aberdeen
10/02/24,FAC,Aberdeen,2-0,Bonnyrigg Rose
14/02/24,PRE,Aberdeen,3-3,Motherwell
17/02/24,PRE,Aberdeen,2-2,Hibernian
24/02/24,PRE,Kilmarnock,2-0,Aberdeen
28/02/24,PRE,Aberdeen,0-2,St. Johnstone
02/03/24,PRE,St. Mirren,2-1,Aberdeen
09/03/24,FAC,Aberdeen,3-1,Kilmarnock
13/03/24,PRE,Dundee,1-0,Aberdeen
16/03/24,PRE,Motherwell,0-1,Aberdeen
30/03/24,PRE,Aberdeen,2-1,Ross County
06/04/24,PRE,Livingston,0-0,Aberdeen
13/04/24,PRE,Aberdeen,0-0,Dundee
20/04/24,FAC,Aberdeen,P3-3P,Celtic
27/04/24,PRE,Aberdeen,1-0,Motherwell
04/05/24,PRE,Aberdeen,16:00,St. Johnstone
12/05/24,PRE,Hibernian,16:00,Aberdeen
15/05/24,PRE,Aberdeen,20:45,Livingston
19/05/24,PRE,Ross County,16:00,Aberdeen
31/07/22,PRE,Celtic,2-0,Aberdeen
06/08/22,PRE,Aberdeen,4-1,St. Mirren
13/08/22,PRE,Aberdeen,2-3,Motherwell
20/08/22,PRE,St. Johnstone,0-1,Aberdeen
27/08/22,PRE,Aberdeen,5-0,Livingston
30/08/22,LEC,Annan Athletic,E1-4E,Aberdeen
03/09/22,PRE,Ross County,1-1,Aberdeen
17/09/22,PRE,Hibernian,3-1,Aberdeen
01/10/22,PRE,Aberdeen,4-1,Kilmarnock
08/10/22,PRE,Dundee United,4-0,Aberdeen
16/10/22,PRE,Aberdeen,2-0,Hearts
19/10/22,LEC,Aberdeen,4-1,Partick Thistle
22/10/22,PRE,Motherwell,1-2,Aberdeen
29/10/22,PRE,Rangers,4-1,Aberdeen
04/11/22,PRE,Aberdeen,4-1,Hibernian
08/11/22,PRE,Livingston,2-1,Aberdeen
12/11/22,PRE,Aberdeen,1-0,Dundee United
17/12/22,PRE,Aberdeen,0-1,Celtic
20/12/22,PRE,Aberdeen,2-3,Rangers
24/12/22,PRE,St. Mirren,3-1,Aberdeen
28/12/22,PRE,Kilmarnock,2-1,Aberdeen
02/01/23,PRE,Aberdeen,0-0,Ross County
07/01/23,PRE,Aberdeen,2-0,St. Johnstone
15/01/23,LEC,Rangers,E2-1E,Aberdeen
18/01/23,PRE,Hearts,5-0,Aberdeen
23/01/23,FAC,Darvel,1-0,Aberdeen
28/01/23,PRE,Hibernian,6-0,Aberdeen
01/02/23,PRE,Aberdeen,1-3,St. Mirren
04/02/23,PRE,Aberdeen,3-1,Motherwell
18/02/23,PRE,Celtic,4-0,Aberdeen
25/02/23,PRE,Aberdeen,1-0,Livingston
04/03/23,PRE,Dundee United,1-3,Aberdeen
18/03/23,PRE,Aberdeen,3-0,Hearts
01/04/23,PRE,St. Johnstone,0-1,Aberdeen
08/04/23,PRE,Aberdeen,2-0,Kilmarnock
14/04/23,PRE,Ross County,0-1,Aberdeen
23/04/23,PRE,Aberdeen,2-0,Rangers
07/05/23,PRE,Rangers,1-0,Aberdeen
13/05/23,PRE,Aberdeen,0-0,Hibernian
20/05/23,PRE,Hearts,2-1,Aberdeen
24/05/23,PRE,Aberdeen,3-0,St. Mirren
27/05/23,PRE,Celtic,5-0,Aberdeen
12/07/23,CLF,Turriff United,0-9,Aberdeen
15/07/23,CLF,Fraserburgh,0-2,Aberdeen
22/07/23,CLF,Preston North End,2-0,Aberdeen
29/07/23,CLF,Charlton Athletic,2-3,Aberdeen
05/08/23,PRE,Livingston,0-0,Aberdeen
13/08/23,PRE,Aberdeen,1-3,Celtic
18/08/23,LEC,Stirling Albion,1-2,Aberdeen
24/08/23,UEL,Häcken,2-2,Aberdeen
08/08/21,PRE,Livingston,1-2,Aberdeen
12/08/21,UEC,Aberdeen,2-1,Breidablik
15/08/21,LEC,Raith Rovers,2-1,Aberdeen
19/08/21,UEC,Qarabag,1-0,Aberdeen
22/08/21,PRE,Hearts,1-1,Aberdeen
26/08/21,UEC,Aberdeen,1-3,Qarabag
29/08/21,PRE,Aberdeen,1-1,Ross County
11/09/21,PRE,Motherwell,2-0,Aberdeen
18/09/21,PRE,Aberdeen,0-1,St. Johnstone
26/09/21,PRE,St. Mirren,3-2,Aberdeen
03/10/21,PRE,Aberdeen,1-2,Celtic
16/10/21,PRE,Dundee,2-1,Aberdeen
23/10/21,PRE,Aberdeen,1-0,Hibernian
27/10/21,PRE,Rangers,2-2,Aberdeen
30/10/21,PRE,Aberdeen,2-1,Hearts
06/11/21,PRE,Aberdeen,0-2,Motherwell
20/11/21,PRE,Dundee United,1-0,Aberdeen
28/11/21,PRE,Celtic,2-1,Aberdeen
01/12/21,PRE,Aberdeen,2-0,Livingston
04/12/21,PRE,Aberdeen,4-1,St. Mirren
11/12/21,PRE,St. Johnstone,0-1,Aberdeen
22/12/21,PRE,Hibernian,1-0,Aberdeen
26/12/21,PRE,Aberdeen,2-1,Dundee
18/01/22,PRE,Aberdeen,1-1,Rangers
22/01/22,FAC,Aberdeen,3-0,Edinburgh City
25/01/22,PRE,St. Mirren,1-0,Aberdeen
01/02/22,PRE,Ross County,1-1,Aberdeen
05/02/22,PRE,Livingston,2-1,Aberdeen
09/02/22,PRE,Aberdeen,2-3,Celtic
12/02/22,FAC,Motherwell,2-1,Aberdeen
15/02/22,PRE,Aberdeen,1-1,St. Johnstone
19/02/22,PRE,Motherwell,1-1,Aberdeen
26/02/22,PRE,Aberdeen,1-1,Dundee United
02/03/22,PRE,Hearts,2-0,Aberdeen
05/03/22,PRE,Rangers,1-0,Aberdeen
19/03/22,PRE,Aberdeen,3-1,Hibernian
02/04/22,PRE,Dundee,2-2,Aberdeen
09/04/22,PRE,Aberdeen,0-1,Ross County
23/04/22,PRE,Aberdeen,1-2,Livingston
30/04/22,PRE,Aberdeen,1-0,Dundee
07/05/22,PRE,Hibernian,1-1,Aberdeen
11/05/22,PRE,St. Johnstone,1-0,Aberdeen
15/05/22,PRE,Aberdeen,0-0,St. Mirren
25/06/22,CLF,Buckie Thistle,1-2,Aberdeen
01/07/22,CLF,Aberdeen,1-1,St. Johnstone
06/07/22,CLF,Brechin City,1-7,Aberdeen
10/07/22,LEC,Peterhead,0-2,Aberdeen
13/07/22,LEC,Aberdeen,2-0,Dumbarton
19/07/22,LEC,Stirling Albion,0-5,Aberdeen
24/07/22,LEC,Aberdeen,3-0,Raith Rovers
27/08/20,UEL,Aberdeen,6-0,NSÍ
30/08/20,PRE,Hibernian,0-1,Aberdeen
12/09/20,PRE,Aberdeen,1-0,Kilmarnock
17/09/20,UEL,Viking,0-2,Aberdeen
20/09/20,PRE,Aberdeen,0-3,Motherwell
24/09/20,UEL,Sporting Lisbon,1-0,Aberdeen
27/09/20,PRE,Ross County,0-3,Aberdeen
02/10/20,PRE,Aberdeen,2-1,St. Mirren
17/10/20,PRE,Dundee United,0-0,Aberdeen
20/10/20,PRE,Aberdeen,4-2,Hamilton Academical
25/10/20,PRE,Aberdeen,3-3,Celtic
01/11/20,FAC,Celtic,2-0,Aberdeen
06/11/20,PRE,Aberdeen,2-0,Hibernian
22/11/20,PRE,Rangers,4-0,Aberdeen
25/11/20,PRE,Hamilton Academical,1-1,Aberdeen
28/11/20,LEC,St. Mirren,2-1,Aberdeen
05/12/20,PRE,St. Mirren,1-1,Aberdeen
12/12/20,PRE,Aberdeen,2-0,Ross County
20/12/20,PRE,Kilmarnock,0-2,Aberdeen
23/12/20,PRE,Motherwell,0-0,Aberdeen
26/12/20,PRE,Aberdeen,2-1,St. Johnstone
02/01/21,PRE,Aberdeen,0-0,Dundee United
10/01/21,PRE,Aberdeen,1-2,Rangers
16/01/21,PRE,Ross County,4-1,Aberdeen
23/01/21,PRE,Aberdeen,2-0,Motherwell
27/01/21,PRE,St. Johnstone,0-0,Aberdeen
30/01/21,PRE,Livingston,0-0,Aberdeen
02/02/21,PRE,Aberdeen,0-2,Livingston
06/02/21,PRE,Hibernian,2-0,Aberdeen
13/02/21,PRE,Aberdeen,0-0,St. Mirren
17/02/21,PRE,Celtic,1-0,Aberdeen
20/02/21,PRE,Aberdeen,1-0,Kilmarnock
27/02/21,PRE,Celtic,1-0,Aberdeen
06/03/21,PRE,Aberdeen,0-0,Hamilton Academical
20/03/21,PRE,Dundee United,1-0,Aberdeen
03/04/21,FAC,Dumbarton,0-1,Aberdeen
10/04/21,PRE,St. Johnstone,0-1,Aberdeen
17/04/21,FAC,Aberdeen,P2-2P,Livingston
21/04/21,PRE,Aberdeen,1-1,Celtic
25/04/21,FAC,Aberdeen,0-3,Dundee United
01/05/21,PRE,Livingston,1-2,Aberdeen
12/05/21,PRE,Aberdeen,0-1,Hibernian
15/05/21,PRE,Rangers,4-0,Aberdeen
08/07/21,CLF,Aberdeen,1-1,Inverness CT
16/07/21,CLF,Aberdeen,CANC,Reading
16/07/21,CLF,Aberdeen,0-0,St. Johnstone
22/07/21,UEC,Aberdeen,5-1,Häcken
29/07/21,UEC,Häcken,2-0,Aberdeen
01/08/21,PRE,Aberdeen,2-0,Dundee United
05/08/21,UEC,Breidablik,2-3,Aberdeen
03/07/19,CLF,Peterhead,0-2,Aberdeen
06/07/19,CLF,Aberdeen,1-1,Inverness CT
11/07/19,UEL,Aberdeen,2-1,RoPS
18/07/19,UEL,RoPS,1-2,Aberdeen
25/07/19,UEL,Chikhura,1-1,Aberdeen
01/08/19,UEL,Aberdeen,5-0,Chikhura
04/08/19,PRE,Aberdeen,3-2,Hearts
08/08/19,UEL,Rijeka,2-0,Aberdeen
11/08/19,PRE,St. Mirren,1-0,Aberdeen
15/08/19,UEL,Aberdeen,0-2,Rijeka
18/08/19,LEC,Dundee,E1-2E,Aberdeen
24/08/19,PRE,Kilmarnock,0-0,Aberdeen
31/08/19,PRE,Aberdeen,3-0,Ross County
14/09/19,PRE,Aberdeen,1-1,St. Johnstone
21/09/19,PRE,Livingston,0-2,Aberdeen
25/09/19,LEC,Hearts,P2-2P,Aberdeen
28/09/19,PRE,Rangers,5-0,Aberdeen
05/10/19,PRE,Aberdeen,1-1,Hibernian
19/10/19,PRE,Motherwell,0-3,Aberdeen
27/10/19,PRE,Aberdeen,0-4,Celtic
30/10/19,PRE,Hamilton Academical,0-1,Aberdeen
02/11/19,PRE,Aberdeen,3-0,Kilmarnock
09/11/19,PRE,Ross County,1-3,Aberdeen
24/11/19,PRE,St. Johnstone,1-1,Aberdeen
30/11/19,PRE,Aberdeen,2-1,St. Mirren
04/12/19,PRE,Aberdeen,2-2,Rangers
07/12/19,PRE,Hibernian,3-0,Aberdeen
14/12/19,PRE,Aberdeen,1-0,Hamilton Academical
21/12/19,PRE,Celtic,2-1,Aberdeen
26/12/19,PRE,Aberdeen,2-1,Livingston
29/12/19,PRE,Hearts,1-1,Aberdeen
18/01/20,FAC,Aberdeen,1-0,Dumbarton
22/01/20,PRE,Aberdeen,0-1,Motherwell
26/01/20,PRE,St. Mirren,0-0,Aberdeen
01/02/20,PRE,Rangers,0-0,Aberdeen
05/02/20,PRE,Aberdeen,0-1,St. Johnstone
08/02/20,FAC,Aberdeen,0-0,Kilmarnock
11/02/20,PRE,Hamilton Academical,1-3,Aberdeen
16/02/20,PRE,Aberdeen,1-2,Celtic
19/02/20,FAC,Kilmarnock,E3-4E,Aberdeen
22/02/20,PRE,Aberdeen,1-2,Ross County
29/02/20,FAC,St. Mirren,0-2,Aberdeen
04/03/20,PRE,Kilmarnock,2-2,Aberdeen
07/03/20,PRE,Aberdeen,3-1,Hibernian
13/03/20,PRE,Motherwell,CANC,Aberdeen
21/03/20,PRE,Livingston,CANC,Aberdeen
03/04/20,PRE,Aberdeen,CANC,Hearts
01/08/20,PRE,Aberdeen,0-1,Rangers
20/08/20,PRE,St. Johnstone,0-1,Aberdeen
23/08/20,PRE,Aberdeen,2-1,Livingston
02/08/18,UEL,Burnley,E3-1E,Aberdeen
05/08/18,PRE,Aberdeen,1-1,Rangers
11/08/18,PRE,Dundee,0-1,Aberdeen
18/08/18,LEC,Aberdeen,4-0,St. Mirren
25/08/18,PRE,Hibernian,1-1,Aberdeen
01/09/18,PRE,Aberdeen,0-2,Kilmarnock
15/09/18,PRE,St. Johnstone,1-1,Aberdeen
22/09/18,PRE,Aberdeen,1-0,Motherwell
25/09/18,LEC,Hibernian,P0-0P,Aberdeen
29/09/18,PRE,Celtic,1-0,Aberdeen
06/10/18,PRE,Aberdeen,4-1,St. Mirren
20/10/18,PRE,Hearts,2-1,Aberdeen
28/10/18,LEC,Aberdeen,1-0,Rangers
31/10/18,PRE,Aberdeen,3-0,Hamilton Academical
04/11/18,PRE,Kilmarnock,1-2,Aberdeen
09/11/18,PRE,Aberdeen,1-0,Hibernian
24/11/18,PRE,Motherwell,3-0,Aberdeen
02/12/18,LEC,Celtic,1-0,Aberdeen
05/12/18,PRE,Rangers,0-1,Aberdeen
08/12/18,PRE,Aberdeen,0-2,St. Johnstone
11/12/18,PRE,Aberdeen,3-2,Livingston
15/12/18,PRE,St. Mirren,1-2,Aberdeen
18/12/18,PRE,Aberdeen,5-1,Dundee
22/12/18,PRE,Aberdeen,2-0,Hearts
26/12/18,PRE,Aberdeen,3-4,Celtic
29/12/18,PRE,Livingston,1-2,Aberdeen
19/01/19,FAC,Aberdeen,1-1,Stenhousemuir
23/01/19,PRE,Hamilton Academical,0-3,Aberdeen
26/01/19,PRE,Aberdeen,0-0,Kilmarnock
29/01/19,FAC,Stenhousemuir,1-4,Aberdeen
02/02/19,PRE,Hibernian,1-2,Aberdeen
06/02/19,PRE,Aberdeen,2-4,Rangers
10/02/19,FAC,Aberdeen,4-1,Queen of the South
16/02/19,PRE,Aberdeen,2-2,St. Mirren
23/02/19,PRE,St. Johnstone,0-2,Aberdeen
27/02/19,PRE,Aberdeen,0-2,Hamilton Academical
03/03/19,FAC,Aberdeen,1-1,Rangers
09/03/19,PRE,Celtic,0-0,Aberdeen
12/03/19,FAC,Rangers,0-2,Aberdeen
16/03/19,PRE,Aberdeen,1-1,Livingston
30/03/19,PRE,Hearts,2-1,Aberdeen
03/04/19,PRE,Aberdeen,3-1,Motherwell
06/04/19,PRE,Dundee,0-2,Aberdeen
14/04/19,FAC,Aberdeen,0-3,Celtic
20/04/19,PRE,Kilmarnock,0-1,Aberdeen
28/04/19,PRE,Rangers,2-0,Aberdeen
04/05/19,PRE,Aberdeen,0-3,Celtic
10/05/19,PRE,Aberdeen,2-1,Hearts
19/05/19,PRE,Hibernian,1-2,Aberdeen
29/06/19,CLF,Aberdeen,0-0,Connah's Quay
12/08/17,PRE,Ross County,1-2,Aberdeen
19/08/17,PRE,Aberdeen,2-1,Dundee
26/08/17,PRE,Partick Thistle,3-4,Aberdeen
09/09/17,PRE,Hearts,0-0,Aberdeen
16/09/17,PRE,Aberdeen,1-1,Kilmarnock
21/09/17,LEC,Motherwell,3-0,Aberdeen
24/09/17,PRE,Motherwell,0-1,Aberdeen
30/09/17,PRE,Aberdeen,3-0,St. Johnstone
14/10/17,PRE,Hibernian,0-1,Aberdeen
25/10/17,PRE,Aberdeen,0-3,Celtic
28/10/17,PRE,Aberdeen,2-1,Ross County
04/11/17,PRE,Hamilton Academical,2-2,Aberdeen
18/11/17,PRE,Aberdeen,0-2,Motherwell
26/11/17,PRE,Kilmarnock,1-3,Aberdeen
29/11/17,PRE,Rangers,3-0,Aberdeen
03/12/17,PRE,Aberdeen,1-2,Rangers
08/12/17,PRE,Dundee,0-1,Aberdeen
13/12/17,PRE,St. Johnstone,0-3,Aberdeen
16/12/17,PRE,Aberdeen,4-1,Hibernian
23/12/17,PRE,Celtic,3-0,Aberdeen
27/12/17,PRE,Aberdeen,1-0,Partick Thistle
30/12/17,PRE,Aberdeen,0-0,Hearts
20/01/18,FAC,Aberdeen,4-1,St. Mirren
24/01/18,PRE,Rangers,2-0,Aberdeen
27/01/18,PRE,Aberdeen,3-1,Kilmarnock
31/01/18,PRE,Ross County,2-4,Aberdeen
03/02/18,PRE,Aberdeen,3-0,Hamilton Academical
11/02/18,FAC,Aberdeen,4-2,Dundee United
17/02/18,PRE,Hibernian,2-0,Aberdeen
25/02/18,PRE,Aberdeen,0-2,Celtic
03/03/18,FAC,Aberdeen,1-1,Kilmarnock
10/03/18,PRE,Partick Thistle,0-0,Aberdeen
13/03/18,FAC,Kilmarnock,P1-1P,Aberdeen
17/03/18,PRE,Aberdeen,1-0,Dundee
31/03/18,PRE,Aberdeen,4-1,St. Johnstone
03/04/18,PRE,Motherwell,0-2,Aberdeen
07/04/18,PRE,Hearts,2-0,Aberdeen
14/04/18,FAC,Motherwell,3-0,Aberdeen
21/04/18,PRE,Kilmarnock,0-2,Aberdeen
27/04/18,PRE,Aberdeen,2-0,Hearts
05/05/18,PRE,Aberdeen,0-0,Hibernian
08/05/18,PRE,Aberdeen,1-1,Rangers
13/05/18,PRE,Celtic,0-1,Aberdeen
30/06/18,CLF,Cobh Ramblers,0-1,Aberdeen
04/07/18,CLF,Aberdeen,1-0,Falkirk
08/07/18,CLF,St. Johnstone,2-2,Aberdeen
11/07/18,CLF,Inverness CT,CANC,Aberdeen
15/07/18,CLF,Cove Rangers,1-2,Aberdeen
20/07/18,CLF,Aberdeen,1-1,West Bromwich Albion
26/07/18,UEL,Aberdeen,1-1,Burnley
18/09/16,PRE,Dundee,1-3,Aberdeen
22/09/16,LEC,Aberdeen,1-0,St. Johnstone
25/09/16,PRE,Aberdeen,2-1,Rangers
01/10/16,PRE,Kilmarnock,0-4,Aberdeen
15/10/16,PRE,Aberdeen,4-0,Ross County
22/10/16,LEC,Greenock Morton,0-2,Aberdeen
25/10/16,PRE,Hamilton Academical,1-0,Aberdeen
29/10/16,PRE,Aberdeen,0-1,Celtic
04/11/16,PRE,Partick Thistle,1-2,Aberdeen
19/11/16,PRE,Inverness CT,1-3,Aberdeen
27/11/16,LEC,Aberdeen,0-3,Celtic
03/12/16,PRE,Rangers,2-1,Aberdeen
06/12/16,PRE,Aberdeen,5-1,Kilmarnock
10/12/16,PRE,Aberdeen,0-0,St. Johnstone
17/12/16,PRE,Ross County,2-1,Aberdeen
23/12/16,PRE,Motherwell,1-3,Aberdeen
27/12/16,PRE,Aberdeen,2-1,Hamilton Academical
30/12/16,PRE,Hearts,0-1,Aberdeen
21/01/17,FAC,Aberdeen,4-0,Stranraer
27/01/17,PRE,Aberdeen,3-0,Dundee
01/02/17,PRE,Celtic,1-0,Aberdeen
04/02/17,PRE,Aberdeen,2-0,Partick Thistle
11/02/17,FAC,Ross County,0-1,Aberdeen
15/02/17,PRE,Aberdeen,7-2,Motherwell
19/02/17,PRE,Kilmarnock,1-2,Aberdeen
25/02/17,PRE,Aberdeen,1-0,Ross County
28/02/17,PRE,Hamilton Academical,1-0,Aberdeen
05/03/17,FAC,Aberdeen,1-0,Partick Thistle
11/03/17,PRE,Aberdeen,1-0,Motherwell
18/03/17,PRE,Aberdeen,2-0,Hearts
31/03/17,PRE,Dundee,0-7,Aberdeen
04/04/17,PRE,Aberdeen,1-0,Inverness CT
09/04/17,PRE,Aberdeen,0-3,Rangers
15/04/17,PRE,St. Johnstone,1-2,Aberdeen
22/04/17,FAC,Hibernian,2-3,Aberdeen
29/04/17,PRE,Aberdeen,0-2,St. Johnstone
07/05/17,PRE,Hearts,1-2,Aberdeen
12/05/17,PRE,Aberdeen,1-3,Celtic
17/05/17,PRE,Rangers,1-2,Aberdeen
21/05/17,PRE,Partick Thistle,0-6,Aberdeen
27/05/17,FAC,Celtic,2-1,Aberdeen
01/07/17,CLF,St. Johnstone,0-3,Aberdeen
06/07/17,CLF,Arbroath,1-3,Aberdeen
13/07/17,UEL,Aberdeen,1-1,Siroki Brijeg
20/07/17,UEL,Siroki Brijeg,0-2,Aberdeen
23/07/17,CLF,Brechin City,1-4,Aberdeen
27/07/17,UEL,Aberdeen,2-1,Apollon
03/08/17,UEL,Apollon,2-0,Aberdeen
06/08/17,PRE,Aberdeen,2-0,Hamilton Academical
09/08/17,LEC,Hamilton Academical,0-1,Aberdeen
08/09/15,CLF,Aberdeen,2-1,Viking
12/09/15,PRE,Aberdeen,2-1,Celtic
15/09/15,PRE,Aberdeen,1-0,Hamilton Academical
20/09/15,PRE,Hearts,1-3,Aberdeen
23/09/15,LEC,Hibernian,2-0,Aberdeen
26/09/15,PRE,Inverness CT,2-1,Aberdeen
03/10/15,PRE,Aberdeen,1-5,St. Johnstone
16/10/15,PRE,Ross County,2-0,Aberdeen
24/10/15,PRE,Aberdeen,1-1,Motherwell
31/10/15,PRE,Celtic,3-1,Aberdeen
07/11/15,PRE,Aberdeen,2-0,Dundee United
22/11/15,PRE,Hamilton Academical,1-1,Aberdeen
28/11/15,PRE,Aberdeen,3-1,Ross County
05/12/15,PRE,Dundee,0-2,Aberdeen
12/12/15,PRE,Aberdeen,1-0,Hearts
19/12/15,PRE,Kilmarnock,0-4,Aberdeen
26/12/15,PRE,Aberdeen,2-2,Inverness CT
30/12/15,PRE,Aberdeen,0-0,Partick Thistle
09/01/16,FAC,Hearts,1-0,Aberdeen
17/01/16,PRE,Ross County,2-3,Aberdeen
22/01/16,PRE,Aberdeen,1-0,Dundee
03/02/16,PRE,Aberdeen,2-1,Celtic
06/02/16,PRE,St. Johnstone,3-4,Aberdeen
15/02/16,PRE,Inverness CT,3-1,Aberdeen
27/02/16,PRE,Aberdeen,1-1,St. Johnstone
02/03/16,PRE,Dundee United,0-1,Aberdeen
08/03/16,PRE,Partick Thistle,1-2,Aberdeen
12/03/16,PRE,Aberdeen,2-1,Kilmarnock
19/03/16,PRE,Motherwell,2-1,Aberdeen
03/04/16,PRE,Aberdeen,3-0,Hamilton Academical
08/04/16,PRE,Hearts,2-1,Aberdeen
22/04/16,PRE,St. Johnstone,3-0,Aberdeen
30/04/16,PRE,Aberdeen,4-1,Motherwell
08/05/16,PRE,Celtic,3-2,Aberdeen
12/05/16,PRE,Aberdeen,0-1,Hearts
15/05/16,PRE,Aberdeen,0-4,Ross County
26/06/16,CLF,Brechin City,0-3,Aberdeen
30/06/16,UEL,Aberdeen,3-1,Fola Esch
07/07/16,UEL,Fola Esch,1-0,Aberdeen
10/07/16,CLF,East Fife,2-4,Aberdeen
14/07/16,UEL,Aberdeen,3-0,Ventspils
21/07/16,UEL,Ventspils,0-1,Aberdeen
28/07/16,UEL,Aberdeen,1-1,Maribor
04/08/16,UEL,Maribor,1-0,Aberdeen
