Date,Competition,Home team,Score,Away team
20/08/23,LEC,Kilmarnock,1-0,Celtic
26/08/23,PRE,Celtic,0-0,St. Johnstone
03/09/23,PRE,Rangers,0-1,Celtic
16/09/23,PRE,Celtic,3-0,Dundee
19/09/23,UCL,Feyenoord,2-0,Celtic
23/09/23,PRE,Livingston,0-3,Celtic
30/09/23,PRE,Motherwell,1-2,Celtic
04/10/23,UCL,Celtic,1-2,Lazio
07/10/23,PRE,Celtic,3-1,Kilmarnock
22/10/23,PRE,Hearts,1-4,Celtic
25/10/23,UCL,Celtic,2-2,Atletico Madrid
28/10/23,PRE,Hibernian,0-0,Celtic
01/11/23,PRE,Celtic,2-1,St. Mirren
04/11/23,PRE,Ross County,0-3,Celtic
07/11/23,UCL,Atletico Madrid,6-0,Celtic
12/11/23,PRE,Celtic,6-0,Aberdeen
25/11/23,PRE,Celtic,1-1,Motherwell
28/11/23,UCL,Lazio,2-0,Celtic
03/12/23,PRE,St. Johnstone,1-3,Celtic
06/12/23,PRE,Celtic,4-1,Hibernian
10/12/23,PRE,Kilmarnock,2-1,Celtic
13/12/23,UCL,Celtic,2-1,Feyenoord
16/12/23,PRE,Celtic,0-2,Hearts
23/12/23,PRE,Celtic,2-0,Livingston
26/12/23,PRE,Dundee,0-3,Celtic
30/12/23,PRE,Celtic,2-1,Rangers
02/01/24,PRE,St. Mirren,0-3,Celtic
21/01/24,FAC,Celtic,5-0,Buckie Thistle
27/01/24,PRE,Celtic,1-0,Ross County
03/02/24,PRE,Aberdeen,1-1,Celtic
07/02/24,PRE,Hibernian,1-2,Celtic
11/02/24,FAC,St. Mirren,0-2,Celtic
17/02/24,PRE,Celtic,1-1,Kilmarnock
25/02/24,PRE,Motherwell,1-3,Celtic
28/02/24,PRE,Celtic,7-1,Dundee
03/03/24,PRE,Hearts,2-0,Celtic
10/03/24,FAC,Celtic,4-2,Livingston
16/03/24,PRE,Celtic,3-1,St. Johnstone
31/03/24,PRE,Livingston,0-3,Celtic
07/04/24,PRE,Rangers,3-3,Celtic
13/04/24,PRE,Celtic,3-0,St. Mirren
20/04/24,FAC,Aberdeen,P3-3P,Celtic
28/04/24,PRE,Dundee,1-2,Celtic
04/05/24,PRE,Celtic,16:00,Hearts
11/05/24,PRE,Celtic,13:30,Rangers
15/05/24,PRE,Kilmarnock,20:30,Celtic
18/05/24,PRE,Celtic,13:30,St. Mirren
25/05/24,FAC,Celtic,16:00,Rangers
23/07/24,CLF,Manchester City,-,Celtic
27/07/24,CLF,Chelsea,-,Celtic
19/10/22,LEC,Motherwell,0-4,Celtic
22/10/22,PRE,Hearts,3-4,Celtic
25/10/22,UCL,Celtic,1-1,Shakhtar Donetsk
30/10/22,PRE,Livingston,0-3,Celtic
02/11/22,UCL,Real Madrid,5-1,Celtic
05/11/22,PRE,Celtic,4-2,Dundee United
09/11/22,PRE,Motherwell,1-2,Celtic
12/11/22,PRE,Celtic,2-1,Ross County
17/11/22,SSC,Celtic,1-2,Sydney
20/11/22,SSC,Everton,P0-0P,Celtic
10/12/22,CLF,Rennes,4-3,Celtic
17/12/22,PRE,Aberdeen,0-1,Celtic
21/12/22,PRE,Celtic,2-1,Livingston
24/12/22,PRE,Celtic,4-1,St. Johnstone
28/12/22,PRE,Hibernian,0-4,Celtic
02/01/23,PRE,Rangers,2-2,Celtic
07/01/23,PRE,Celtic,2-0,Kilmarnock
14/01/23,LEC,Celtic,2-0,Kilmarnock
18/01/23,PRE,Celtic,4-0,St. Mirren
21/01/23,FAC,Celtic,5-0,Greenock Morton
29/01/23,PRE,Dundee United,0-2,Celtic
01/02/23,PRE,Celtic,3-0,Livingston
05/02/23,PRE,St. Johnstone,1-4,Celtic
11/02/23,FAC,Celtic,5-1,St. Mirren
18/02/23,PRE,Celtic,4-0,Aberdeen
26/02/23,LEC,Rangers,1-2,Celtic
05/03/23,PRE,St. Mirren,1-5,Celtic
08/03/23,PRE,Celtic,3-1,Hearts
11/03/23,FAC,Hearts,0-3,Celtic
18/03/23,PRE,Celtic,3-1,Hibernian
02/04/23,PRE,Ross County,0-2,Celtic
08/04/23,PRE,Celtic,3-2,Rangers
16/04/23,PRE,Kilmarnock,1-4,Celtic
22/04/23,PRE,Celtic,1-1,Motherwell
30/04/23,FAC,Rangers,0-1,Celtic
07/05/23,PRE,Hearts,0-2,Celtic
13/05/23,PRE,Rangers,3-0,Celtic
20/05/23,PRE,Celtic,2-2,St. Mirren
24/05/23,PRE,Hibernian,4-2,Celtic
27/05/23,PRE,Celtic,5-0,Aberdeen
03/06/23,FAC,Celtic,3-1,Inverness CT
01/07/23,CLF,Fraserburgh,P0-0P,Celtic
12/07/23,CLF,Portimonense,0-0,Celtic
15/07/23,CLF,Portimonense,1-4,Celtic
19/07/23,CLF,Yokohama F. Marinos,6-4,Celtic
22/07/23,CLF,Gamba Osaka,0-1,Celtic
29/07/23,CLF,Celtic,1-1,Wolverhampton Wanderers
01/08/23,CLF,Celtic,3-2,Athletic Bilbao
05/08/23,PRE,Celtic,4-2,Ross County
13/08/23,PRE,Aberdeen,1-3,Celtic
12/12/21,PRE,Celtic,1-0,Motherwell
15/12/21,PRE,Ross County,1-2,Celtic
19/12/21,LEC,Hibernian,1-2,Celtic
22/12/21,PRE,St. Mirren,0-0,Celtic
26/12/21,PRE,St. Johnstone,1-3,Celtic
17/01/22,PRE,Celtic,2-0,Hibernian
22/01/22,FAC,Alloa Athletic,1-2,Celtic
26/01/22,PRE,Hearts,1-2,Celtic
29/01/22,PRE,Celtic,1-0,Dundee United
02/02/22,PRE,Celtic,3-0,Rangers
