Date,Competition,Home team,Score,Away team
28/04/23,CHA,Dundee,0-0,Cove Rangers
05/05/23,CHA,Queen's Park,3-5,Dundee
01/07/23,CLF,Brechin City,1-5,Dundee
05/07/23,CLF,Bray Wanderers,1-5,Dundee
08/07/23,CLF,Fleetwood Town,1-2,Dundee
12/07/23,CLF,Arbroath,0-1,Dundee
15/07/23,CLF,Cove Rangers,0-1,Dundee
18/07/23,LEC,Bonnyrigg Rose,0-1,Dundee
22/07/23,LEC,Airdrieonians,1-0,Dundee
26/07/23,LEC,Dundee,3-1,Dumbarton
30/07/23,LEC,Dundee,1-0,Inverness CT
05/08/23,PRE,Dundee,1-1,Motherwell
12/08/23,PRE,St. Mirren,2-1,Dundee
27/08/23,PRE,Dundee,1-0,Hearts
02/09/23,PRE,St. Johnstone,2-2,Dundee
16/09/23,PRE,Celtic,3-0,Dundee
23/09/23,PRE,Dundee,2-2,Kilmarnock
30/09/23,PRE,Hibernian,0-0,Dundee
24/10/23,PRE,Dundee,0-0,Ross County
28/10/23,PRE,Livingston,0-2,Dundee
01/11/23,PRE,Dundee,0-5,Rangers
05/11/23,PRE,Dundee,1-0,Livingston
11/11/23,PRE,Dundee,4-0,St. Mirren
25/11/23,PRE,Dundee,1-2,Hibernian
02/12/23,PRE,Motherwell,3-3,Dundee
09/12/23,PRE,Rangers,3-1,Dundee
16/12/23,PRE,Ross County,0-1,Dundee
26/12/23,PRE,Dundee,0-3,Celtic
30/12/23,PRE,Kilmarnock,2-2,Dundee
20/01/24,FAC,Kilmarnock,2-0,Dundee
23/01/24,PRE,Hearts,3-2,Dundee
27/01/24,PRE,Livingston,1-4,Dundee
30/01/24,PRE,Aberdeen,1-1,Dundee
03/02/24,PRE,Dundee,2-3,Hearts
07/02/24,PRE,St. Mirren,2-0,Dundee
11/02/24,PRE,Dundee,2-1,St. Johnstone
17/02/24,PRE,Dundee,2-0,Ross County
24/02/24,PRE,Hibernian,2-1,Dundee
28/02/24,PRE,Celtic,7-1,Dundee
02/03/24,PRE,Dundee,2-2,Kilmarnock
13/03/24,PRE,Dundee,1-0,Aberdeen
30/03/24,PRE,St. Johnstone,1-2,Dundee
06/04/24,PRE,Dundee,2-3,Motherwell
13/04/24,PRE,Aberdeen,0-0,Dundee
17/04/24,PRE,Dundee,0-0,Rangers
28/04/24,PRE,Dundee,1-2,Celtic
04/05/24,PRE,Dundee,16:00,St. Mirren
11/05/24,PRE,Hearts,16:00,Dundee
14/05/24,PRE,Rangers,20:30,Dundee
18/05/24,PRE,Dundee,13:30,Kilmarnock
15/05/22,PRE,Livingston,2-1,Dundee
02/07/22,CLF,Peterhead,0-4,Dundee
05/07/22,CLF,Montrose,1-1,Dundee
09/07/22,LEC,Dundee,3-0,Hamilton Academical
13/07/22,CLF,Dundee,1-1,Blackburn Rovers
16/07/22,LEC,Stranraer,0-3,Dundee
19/07/22,LEC,Queen's Park,1-2,Dundee
23/07/22,LEC,Dundee,5-1,Forfar Athletic
30/07/22,CHA,Dundee,2-3,Partick Thistle
06/08/22,CHA,Raith Rovers,0-1,Dundee
12/08/22,CHA,Dundee,4-2,Arbroath
20/08/22,CHA,Greenock Morton,0-0,Dundee
26/08/22,CHA,Ayr United,3-1,Dundee
30/08/22,LEC,Dundee,3-0,Falkirk
03/09/22,CHA,Dundee,3-0,Queen's Park
17/09/22,CHA,Dundee,2-3,Inverness CT
23/09/22,CHC,The New Saints,0-3,Dundee
01/10/22,CHA,Hamilton Academical,0-2,Dundee
04/10/22,CHA,Cove Rangers,3-1,Dundee
08/10/22,CHA,Arbroath,1-1,Dundee
15/10/22,CHA,Dundee,2-1,Ayr United
19/10/22,LEC,Rangers,1-0,Dundee
22/10/22,CHA,Dundee,0-0,Greenock Morton
28/10/22,CHA,Queen's Park,2-2,Dundee
05/11/22,CHA,Partick Thistle,2-3,Dundee
12/11/22,CHA,Dundee,2-0,Raith Rovers
19/11/22,CHA,Dundee,1-0,Hamilton Academical
26/11/22,FAC,Dundee,E6-2E,Airdrieonians
03/12/22,CHA,Inverness CT,0-1,Dundee
08/12/22,CHC,Falkirk,0-3,Dundee
23/12/22,CHA,Ayr United,0-2,Dundee
02/01/23,CHA,Dundee,2-4,Arbroath
06/01/23,CHA,Raith Rovers,1-1,Dundee
21/01/23,FAC,St. Mirren,P0-0P,Dundee
24/01/23,CHC,Dundee,4-2,Dunfermline Athletic
28/01/23,CHA,Dundee,3-0,Queen's Park
04/02/23,CHA,Hamilton Academical,1-1,Dundee
08/02/23,CHC,Dundee,P2-2P,Raith Rovers
12/02/23,CHA,Dundee,3-0,Cove Rangers
17/02/23,CHA,Greenock Morton,1-0,Dundee
25/02/23,CHA,Dundee,1-1,Inverness CT
28/02/23,CHA,Dundee,1-3,Partick Thistle
04/03/23,CHA,Cove Rangers,0-2,Dundee
18/03/23,CHA,Partick Thistle,0-0,Dundee
21/03/23,CHA,Dundee,3-1,Ayr United
01/04/23,CHA,Dundee,7-0,Hamilton Academical
08/04/23,CHA,Arbroath,0-0,Dundee
11/04/23,CHA,Dundee,3-1,Raith Rovers
15/04/23,CHA,Dundee,3-3,Greenock Morton
22/04/23,CHA,Inverness CT,1-1,Dundee
24/05/21,PL1,Kilmarnock,1-2,Dundee
26/06/21,CLF,Forfar Athletic,0-3,Dundee
06/07/21,CLF,Dundee,3-0,Leyton Orient
09/07/21,CLF,Dundee,2-2,West Ham United
13/07/21,LEC,Dundee,4-0,Brora Rangers
18/07/21,LEC,Ross County,0-3,Dundee
21/07/21,LEC,Montrose,0-2,Dundee
24/07/21,LEC,Dundee,5-2,Forfar Athletic
31/07/21,PRE,Dundee,2-2,St. Mirren
08/08/21,PRE,Celtic,6-0,Dundee
14/08/21,LEC,Dundee,1-0,Motherwell
22/08/21,PRE,Dundee,2-2,Hibernian
28/08/21,PRE,Motherwell,1-0,Dundee
11/09/21,PRE,Dundee,0-0,Livingston
19/09/21,PRE,Dundee United,1-0,Dundee
22/09/21,LEC,Dundee,0-2,St. Johnstone
25/09/21,PRE,Dundee,0-1,Rangers
02/10/21,PRE,St. Johnstone,3-1,Dundee
16/10/21,PRE,Dundee,2-1,Aberdeen
23/10/21,PRE,Hearts,1-1,Dundee
27/10/21,PRE,Dundee,0-5,Ross County
30/10/21,PRE,St. Mirren,0-1,Dundee
07/11/21,PRE,Dundee,2-4,Celtic
27/11/21,PRE,Dundee,3-0,Motherwell
01/12/21,PRE,Dundee,1-0,St. Johnstone
04/12/21,PRE,Rangers,3-0,Dundee
11/12/21,PRE,Ross County,3-2,Dundee
14/12/21,PRE,Hibernian,1-0,Dundee
18/12/21,PRE,Dundee,0-1,Hearts
26/12/21,PRE,Aberdeen,2-1,Dundee
18/01/22,PRE,Livingston,2-0,Dundee
22/01/22,FAC,Dumbarton,0-1,Dundee
26/01/22,PRE,St. Johnstone,0-0,Dundee
01/02/22,PRE,Dundee,0-0,Dundee United
05/02/22,PRE,Dundee,1-2,Ross County
09/02/22,PRE,Hearts,1-2,Dundee
14/02/22,FAC,Peterhead,0-3,Dundee
20/02/22,PRE,Celtic,3-2,Dundee
26/02/22,PRE,Dundee,0-4,Livingston
02/03/22,PRE,Dundee,0-0,Hibernian
05/03/22,PRE,Motherwell,1-1,Dundee
09/03/22,PRE,Dundee,0-1,St. Mirren
13/03/22,FAC,Dundee,0-3,Rangers
20/03/22,PRE,Dundee,1-2,Rangers
02/04/22,PRE,Dundee,2-2,Aberdeen
09/04/22,PRE,Dundee United,2-2,Dundee
23/04/22,PRE,Dundee,1-1,St. Johnstone
30/04/22,PRE,Aberdeen,1-0,Dundee
07/05/22,PRE,St. Mirren,2-0,Dundee
10/05/22,PRE,Dundee,3-1,Hibernian
03/03/20,CHA,Dundee,0-0,Alloa Athletic
07/03/20,CHA,Ayr United,0-0,Dundee
10/03/20,CHA,Dundee,2-0,Ayr United
14/03/20,CHA,Dundee,CANC,Dunfermline Athletic
21/03/20,CHA,Inverness CT,CANC,Dundee
24/03/20,CHA,Dundee,CANC,Arbroath
28/03/20,CHA,Dundee,CANC,Queen of the South
04/04/20,CHA,Alloa Athletic,CANC,Dundee
11/04/20,CHA,Dundee,CANC,Greenock Morton
18/04/20,CHA,Arbroath,CANC,Dundee
24/04/20,CHA,Dundee,CANC,Dundee United
02/05/20,CHA,Partick Thistle,CANC,Dundee
19/09/20,CLF,Montrose,2-2,Dundee
06/10/20,LEC,Dundee,3-0,Forfar Athletic
10/10/20,LEC,Brora Rangers,0-2,Dundee
16/10/20,CHA,Hearts,6-2,Dundee
24/10/20,CHA,Dundee,1-0,Greenock Morton
31/10/20,CHA,Dundee,1-1,Raith Rovers
06/11/20,CHA,Alloa Athletic,3-3,Dundee
10/11/20,LEC,Dundee,3-0,Cove Rangers
15/11/20,LEC,Hibernian,4-1,Dundee
21/11/20,CHA,Ayr United,2-0,Dundee
28/11/20,LEC,Hibernian,1-0,Dundee
05/12/20,CHA,Dundee,1-0,Arbroath
12/12/20,CHA,Inverness CT,2-2,Dundee
19/12/20,CHA,Dundee,3-3,Dunfermline Athletic
26/12/20,CHA,Queen of the South,1-3,Dundee
29/12/20,CHA,Dundee,3-1,Alloa Athletic
02/01/21,CHA,Dundee,3-1,Hearts
09/01/21,FAC,Dundee,E3-2E,Bonnyrigg Rose
22/01/21,CHA,Arbroath,1-1,Dundee
30/01/21,CHA,Raith Rovers,3-1,Dundee
20/02/21,CHA,Dundee,2-3,Queen of the South
27/02/21,CHA,Greenock Morton,2-2,Dundee
02/03/21,CHA,Dundee,2-1,Inverness CT
06/03/21,CHA,Hearts,2-1,Dundee
13/03/21,CHA,Dundee,2-0,Arbroath
16/03/21,CHA,Dundee,1-3,Ayr United
19/03/21,CHA,Alloa Athletic,0-3,Dundee
27/03/21,CHA,Dundee,3-2,Dunfermline Athletic
03/04/21,FAC,Dundee,0-1,St. Johnstone
06/04/21,CHA,Ayr United,0-3,Dundee
10/04/21,CHA,Dundee,1-1,Greenock Morton
13/04/21,CHA,Dunfermline Athletic,0-0,Dundee
20/04/21,CHA,Inverness CT,1-1,Dundee
24/04/21,CHA,Dundee,2-1,Raith Rovers
30/04/21,CHA,Queen of the South,0-2,Dundee
12/05/21,PL1,Raith Rovers,0-3,Dundee
15/05/21,PL1,Dundee,0-1,Raith Rovers
20/05/21,PL1,Dundee,2-1,Kilmarnock
02/02/19,PRE,Hamilton Academical,1-1,Dundee
06/02/19,PRE,Dundee,2-2,Kilmarnock
16/02/19,PRE,Livingston,1-2,Dundee
22/02/19,PRE,Dundee,2-4,Hibernian
27/02/19,PRE,Rangers,4-0,Dundee
09/03/19,PRE,Dundee,0-1,Hearts
17/03/19,PRE,Dundee,0-1,Celtic
30/03/19,PRE,St. Mirren,2-1,Dundee
03/04/19,PRE,St. Johnstone,2-0,Dundee
06/04/19,PRE,Dundee,0-2,Aberdeen
20/04/19,PRE,St. Johnstone,2-0,Dundee
27/04/19,PRE,Motherwell,4-3,Dundee
04/05/19,PRE,Dundee,0-1,Hamilton Academical
11/05/19,PRE,Livingston,0-1,Dundee
18/05/19,PRE,Dundee,2-3,St. Mirren
29/06/19,CLF,Brechin City,1-2,Dundee
02/07/19,CLF,Nottingham Forest,0-0,Dundee
05/07/19,CLF,Dundee,1-2,Scunthorpe United
09/07/19,CLF,Dundee,1-0,Blackpool
13/07/19,LEC,Raith Rovers,0-3,Dundee
17/07/19,LEC,Cove Rangers,P0-0P,Dundee
20/07/19,LEC,Dundee,P0-0P,Peterhead
28/07/19,LEC,Dundee,1-0,Inverness CT
02/08/19,CHA,Dunfermline Athletic,2-2,Dundee
10/08/19,CHA,Dundee,1-0,Ayr United
18/08/19,LEC,Dundee,E1-2E,Aberdeen
24/08/19,CHA,Dundee,0-0,Inverness CT
30/08/19,CHA,Dundee United,6-2,Dundee
08/09/19,CHC,Dundee,1-2,Elgin City
14/09/19,CHA,Dundee,2-1,Alloa Athletic
21/09/19,CHA,Greenock Morton,1-0,Dundee
27/09/19,CHA,Queen of the South,1-1,Dundee
05/10/19,CHA,Dundee,2-0,Arbroath
19/10/19,CHA,Dundee,1-3,Partick Thistle
25/10/19,CHA,Ayr United,1-2,Dundee
29/10/19,CHA,Alloa Athletic,0-3,Dundee
01/11/19,CHA,Dundee,2-1,Greenock Morton
08/11/19,CHA,Dundee,0-2,Dundee United
23/11/19,CHA,Inverness CT,1-0,Dundee
30/11/19,CHA,Dundee,1-2,Queen of the South
07/12/19,CHA,Arbroath,1-1,Dundee
14/12/19,CHA,Dundee,4-3,Dunfermline Athletic
21/12/19,CHA,Partick Thistle,0-1,Dundee
27/12/19,CHA,Dundee United,1-1,Dundee
04/01/20,CHA,Dundee,0-2,Inverness CT
18/01/20,FAC,Dundee,0-3,Motherwell
24/01/20,CHA,Dunfermline Athletic,2-0,Dundee
01/02/20,CHA,Greenock Morton,1-1,Dundee
08/02/20,CHA,Dundee,2-0,Partick Thistle
22/02/20,CHA,Queen of the South,0-1,Dundee
30/01/18,FAC,Inverness CT,0-1,Dundee
03/02/18,PRE,Dundee,1-4,Ross County
10/02/18,FAC,Dundee,0-2,Motherwell
13/02/18,PRE,Kilmarnock,3-2,Dundee
17/02/18,PRE,Partick Thistle,1-2,Dundee
24/02/18,PRE,Dundee,0-1,Motherwell
10/03/18,PRE,Dundee,0-4,St. Johnstone
17/03/18,PRE,Aberdeen,1-0,Dundee
01/04/18,PRE,Dundee,1-1,Hearts
04/04/18,PRE,Celtic,0-0,Dundee
07/04/18,PRE,Rangers,4-0,Dundee
21/04/18,PRE,Dundee,2-1,St. Johnstone
28/04/18,PRE,Motherwell,2-1,Dundee
05/05/18,PRE,Dundee,1-0,Hamilton Academical
08/05/18,PRE,Ross County,0-1,Dundee
12/05/18,PRE,Dundee,0-1,Partick Thistle
29/06/18,CLF,Brechin City,1-1,Dundee
02/07/18,CLF,Cowdenbeath,0-1,Dundee
08/07/18,CLF,Dundee,0-4,Portimonense
10/07/18,CLF,Farense,3-2,Dundee
14/07/18,LEC,Stirling Albion,0-4,Dundee
22/07/18,LEC,Dundee,0-1,Dunfermline Athletic
25/07/18,LEC,Peterhead,0-2,Dundee
28/07/18,LEC,Dundee,2-0,Brechin City
04/08/18,PRE,St. Mirren,2-1,Dundee
11/08/18,PRE,Dundee,0-1,Aberdeen
18/08/18,LEC,Dundee,0-3,Ayr United
25/08/18,PRE,St. Johnstone,1-0,Dundee
01/09/18,PRE,Dundee,1-3,Motherwell
15/09/18,PRE,Rangers,4-0,Dundee
22/09/18,PRE,Dundee,0-3,Hibernian
29/09/18,PRE,Hamilton Academical,0-2,Dundee
06/10/18,PRE,Dundee,1-2,Kilmarnock
20/10/18,PRE,Livingston,4-0,Dundee
23/10/18,PRE,Dundee,0-3,Hearts
31/10/18,PRE,Dundee,0-5,Celtic
03/11/18,PRE,Motherwell,1-0,Dundee
10/11/18,PRE,Dundee,1-1,St. Mirren
24/11/18,PRE,Hibernian,2-2,Dundee
05/12/18,PRE,Dundee,4-0,Hamilton Academical
09/12/18,PRE,Dundee,1-1,Rangers
15/12/18,PRE,Kilmarnock,3-1,Dundee
18/12/18,PRE,Aberdeen,5-1,Dundee
22/12/18,PRE,Celtic,3-0,Dundee
26/12/18,PRE,Dundee,0-0,Livingston
29/12/18,PRE,Dundee,0-2,St. Johnstone
19/01/19,FAC,Dundee,1-1,Queen of the South
23/01/19,PRE,Hearts,1-2,Dundee
26/01/19,PRE,Dundee,0-1,Motherwell
29/01/19,FAC,Queen of the South,3-0,Dundee
11/02/17,PRE,Dundee,1-1,Kilmarnock
19/02/17,PRE,Dundee,2-1,Rangers
25/02/17,PRE,Motherwell,1-5,Dundee
01/03/17,PRE,Dundee,0-1,Partick Thistle
11/03/17,PRE,St. Johnstone,2-0,Dundee
19/03/17,PRE,Dundee,1-2,Celtic
31/03/17,PRE,Dundee,0-7,Aberdeen
04/04/17,PRE,Ross County,2-1,Dundee
08/04/17,PRE,Hearts,1-0,Dundee
15/04/17,PRE,Dundee,0-2,Hamilton Academical
29/04/17,PRE,Motherwell,2-3,Dundee
06/05/17,PRE,Kilmarnock,0-1,Dundee
13/05/17,PRE,Dundee,1-1,Ross County
17/05/17,PRE,Dundee,0-2,Inverness CT
20/05/17,PRE,Hamilton Academical,4-0,Dundee
04/07/17,CLF,St. Mirren,1-3,Dundee
08/07/17,CLF,Arbroath,1-2,Dundee
11/07/17,CLF,Brechin City,0-2,Dundee
14/07/17,CLF,Dundee,1-2,Bolton Wanderers
18/07/17,LEC,Raith Rovers,1-2,Dundee
22/07/17,LEC,Dundee,2-0,Buckie Thistle
26/07/17,LEC,Cowdenbeath,0-3,Dundee
30/07/17,LEC,Dundee,P1-1P,Dundee United
05/08/17,PRE,Dundee,1-2,Ross County
09/08/17,LEC,Dundee,2-1,Dundee United
12/08/17,PRE,Hamilton Academical,3-0,Dundee
19/08/17,PRE,Aberdeen,2-1,Dundee
27/08/17,PRE,Dundee,1-1,Hibernian
09/09/17,PRE,Rangers,4-1,Dundee
16/09/17,PRE,Dundee,3-2,St. Johnstone
20/09/17,LEC,Dundee,0-4,Celtic
23/09/17,PRE,Kilmarnock,1-1,Dundee
30/09/17,PRE,Dundee,2-1,Hearts
14/10/17,PRE,Celtic,1-0,Dundee
21/10/17,PRE,Partick Thistle,2-1,Dundee
25/10/17,PRE,Dundee,0-1,Motherwell
28/10/17,PRE,Dundee,1-3,Hamilton Academical
04/11/17,PRE,Hibernian,2-1,Dundee
18/11/17,PRE,Dundee,0-0,Kilmarnock
24/11/17,PRE,Dundee,2-1,Rangers
02/12/17,PRE,Ross County,0-2,Dundee
08/12/17,PRE,Dundee,0-1,Aberdeen
12/12/17,PRE,Hearts,2-0,Dundee
16/12/17,PRE,Dundee,3-0,Partick Thistle
23/12/17,PRE,Motherwell,1-1,Dundee
26/12/17,PRE,Dundee,0-2,Celtic
30/12/17,PRE,St. Johnstone,0-2,Dundee
