Date,Competition,Home team,Score,Away team
30/07/23,CLF,Hearts,0-1,Leeds United
05/08/23,PRE,St. Johnstone,0-2,Hearts
10/08/23,UEC,Rosenborg,2-1,Hearts
13/08/23,PRE,Hearts,0-0,Kilmarnock
17/08/23,UEC,Hearts,3-1,Rosenborg
20/08/23,LEC,Hearts,4-0,Partick Thistle
24/08/23,UEC,Hearts,1-2,PAOK
27/08/23,PRE,Dundee,1-0,Hearts
31/08/23,UEC,PAOK,4-0,Hearts
03/09/23,PRE,Hearts,0-1,Motherwell
16/09/23,PRE,Hearts,2-0,Aberdeen
23/09/23,PRE,St. Mirren,1-0,Hearts
26/09/23,LEC,Kilmarnock,1-2,Hearts
30/09/23,PRE,Ross County,0-1,Hearts
07/10/23,PRE,Hearts,2-2,Hibernian
22/10/23,PRE,Hearts,1-4,Celtic
29/10/23,PRE,Rangers,2-1,Hearts
01/11/23,PRE,Hearts,1-0,Livingston
05/11/23,LEC,Hearts,1-3,Rangers
11/11/23,PRE,Motherwell,1-2,Hearts
25/11/23,PRE,Hearts,1-0,St. Johnstone
02/12/23,PRE,Kilmarnock,0-1,Hearts
06/12/23,PRE,Hearts,0-1,Rangers
09/12/23,PRE,Aberdeen,2-1,Hearts
16/12/23,PRE,Celtic,0-2,Hearts
23/12/23,PRE,Hearts,2-0,St. Mirren
27/12/23,PRE,Hibernian,0-1,Hearts
30/12/23,PRE,Hearts,2-2,Ross County
02/01/24,PRE,Livingston,1-2,Hearts
20/01/24,FAC,Spartans,1-2,Hearts
23/01/24,PRE,Hearts,3-2,Dundee
27/01/24,PRE,Hearts,2-0,Aberdeen
03/02/24,PRE,Dundee,2-3,Hearts
07/02/24,PRE,St. Johnstone,0-1,Hearts
11/02/24,FAC,Airdrieonians,1-4,Hearts
17/02/24,PRE,Hearts,2-0,Motherwell
24/02/24,PRE,Rangers,5-0,Hearts
28/02/24,PRE,Hearts,1-1,Hibernian
03/03/24,PRE,Hearts,2-0,Celtic
11/03/24,FAC,Greenock Morton,0-1,Hearts
16/03/24,PRE,Ross County,2-1,Hearts
30/03/24,PRE,Hearts,1-1,Kilmarnock
06/04/24,PRE,St. Mirren,1-2,Hearts
13/04/24,PRE,Hearts,4-2,Livingston
21/04/24,FAC,Rangers,2-0,Hearts
27/04/24,PRE,Kilmarnock,0-0,Hearts
04/05/24,PRE,Celtic,16:00,Hearts
11/05/24,PRE,Hearts,16:00,Dundee
15/05/24,PRE,St. Mirren,20:45,Hearts
18/05/24,PRE,Hearts,13:30,Rangers
25/08/22,UEL,Hearts,0-1,Zürich
28/08/22,PRE,Hearts,3-2,St. Johnstone
31/08/22,LEC,Hearts,0-1,Kilmarnock
03/09/22,PRE,Livingston,1-0,Hearts
