Date,Competition,Home team,Score,Away team
03/08/23,UEC,Hibernian,6-1,Inter Club d'Escaldes
06/08/23,PRE,Hibernian,2-3,St. Mirren
10/08/23,UEC,Hibernian,3-1,Luzern
13/08/23,PRE,Motherwell,2-1,Hibernian
17/08/23,UEC,Luzern,2-2,Hibernian
20/08/23,LEC,Hibernian,2-1,Raith Rovers
23/08/23,UEC,Hibernian,0-5,Aston Villa
26/08/23,PRE,Hibernian,2-3,Livingston
31/08/23,UEC,Aston Villa,3-0,Hibernian
03/09/23,PRE,Aberdeen,0-2,Hibernian
16/09/23,PRE,Kilmarnock,2-2,Hibernian
23/09/23,PRE,Hibernian,2-0,St. Johnstone
27/09/23,LEC,Hibernian,4-2,St. Mirren
30/09/23,PRE,Hibernian,0-0,Dundee
07/10/23,PRE,Hearts,2-2,Hibernian
21/10/23,PRE,Rangers,4-0,Hibernian
28/10/23,PRE,Hibernian,0-0,Celtic
31/10/23,PRE,Hibernian,2-2,Ross County
04/11/23,LEC,Hibernian,0-1,Aberdeen
08/11/23,PRE,St. Mirren,2-2,Hibernian
11/11/23,PRE,Hibernian,1-0,Kilmarnock
25/11/23,PRE,Dundee,1-2,Hibernian
03/12/23,PRE,Hibernian,2-0,Aberdeen
06/12/23,PRE,Celtic,4-1,Hibernian
09/12/23,PRE,Livingston,0-1,Hibernian
16/12/23,PRE,St. Johnstone,1-0,Hibernian
27/12/23,PRE,Hibernian,0-1,Hearts
02/01/24,PRE,Hibernian,2-2,Motherwell
12/01/24,CLF,Servette,5-1,Hibernian
20/01/24,FAC,Forfar Athletic,0-1,Hibernian
24/01/24,PRE,Hibernian,0-3,Rangers
27/01/24,PRE,Kilmarnock,2-2,Hibernian
03/02/24,PRE,Hibernian,0-3,St. Mirren
07/02/24,PRE,Hibernian,1-2,Celtic
10/02/24,FAC,Inverness CT,1-3,Hibernian
17/02/24,PRE,Aberdeen,2-2,Hibernian
24/02/24,PRE,Hibernian,2-1,Dundee
28/02/24,PRE,Hearts,1-1,Hibernian
02/03/24,PRE,Hibernian,2-0,Ross County
10/03/24,FAC,Hibernian,0-2,Rangers
13/03/24,PRE,Ross County,2-2,Hibernian
16/03/24,PRE,Hibernian,3-0,Livingston
30/03/24,PRE,Rangers,3-1,Hibernian
06/04/24,PRE,Hibernian,1-2,St. Johnstone
13/04/24,PRE,Motherwell,1-1,Hibernian
27/04/24,PRE,St. Johnstone,1-3,Hibernian
04/05/24,PRE,Ross County,16:00,Hibernian
12/05/24,PRE,Hibernian,16:00,Aberdeen
15/05/24,PRE,Hibernian,20:45,Motherwell
19/05/24,PRE,Livingston,16:00,Hibernian
17/07/22,LEC,Bonnyrigg Rose,1-4,Hibernian
20/07/22,LEC,Hibernian,0-3,Greenock Morton
24/07/22,CLF,Hibernian,1-0,Norwich City
30/07/22,PRE,St. Johnstone,0-1,Hibernian
07/08/22,PRE,Hibernian,1-1,Hearts
13/08/22,PRE,Livingston,2-1,Hibernian
20/08/22,PRE,Hibernian,2-2,Rangers
27/08/22,PRE,St. Mirren,1-0,Hibernian
03/09/22,PRE,Hibernian,1-0,Kilmarnock
17/09/22,PRE,Hibernian,3-1,Aberdeen
01/10/22,PRE,Ross County,0-2,Hibernian
08/10/22,PRE,Hibernian,1-0,Motherwell
11/10/22,PRE,Dundee United,1-0,Hibernian
15/10/22,PRE,Celtic,6-1,Hibernian
21/10/22,PRE,Hibernian,1-2,St. Johnstone
29/10/22,PRE,Hibernian,3-0,St. Mirren
04/11/22,PRE,Aberdeen,4-1,Hibernian
08/11/22,PRE,Hibernian,0-2,Ross County
12/11/22,PRE,Kilmarnock,1-0,Hibernian
26/11/22,CLF,Hibernian,0-2,Middlesbrough
08/12/22,CLF,Hibernian,1-0,Raith Rovers
08/12/22,CLF,Hibernian,CANC,Edinburgh City
15/12/22,PRE,Rangers,3-2,Hibernian
24/12/22,PRE,Hibernian,4-0,Livingston
28/12/22,PRE,Hibernian,0-4,Celtic
02/01/23,PRE,Hearts,3-0,Hibernian
08/01/23,PRE,Motherwell,2-3,Hibernian
14/01/23,PRE,Hibernian,2-2,Dundee United
22/01/23,FAC,Hibernian,0-3,Hearts
28/01/23,PRE,Hibernian,6-0,Aberdeen
31/01/23,PRE,Ross County,1-1,Hibernian
04/02/23,PRE,St. Mirren,0-1,Hibernian
18/02/23,PRE,Hibernian,2-0,Kilmarnock
04/03/23,PRE,Livingston,1-4,Hibernian
08/03/23,PRE,Hibernian,1-4,Rangers
18/03/23,PRE,Celtic,3-1,Hibernian
01/04/23,PRE,Hibernian,1-3,Motherwell
09/04/23,PRE,Dundee United,2-1,Hibernian
15/04/23,PRE,Hibernian,1-0,Hearts
22/04/23,PRE,St. Johnstone,1-1,Hibernian
06/05/23,PRE,Hibernian,2-1,St. Mirren
13/05/23,PRE,Aberdeen,0-0,Hibernian
21/05/23,PRE,Hibernian,1-3,Rangers
24/05/23,PRE,Hibernian,4-2,Celtic
27/05/23,PRE,Hearts,1-1,Hibernian
01/07/23,CLF,Edinburgh City,2-4,Hibernian
08/07/23,CLF,Europa,0-2,Hibernian
21/07/23,CLF,Hibernian,2-1,Groningen
27/07/23,UEC,Inter Club d'Escaldes,2-1,Hibernian
29/07/23,CLF,Blackpool,3-0,Hibernian
08/08/21,PRE,Hibernian,3-0,Ross County
12/08/21,UEC,Rijeka,4-1,Hibernian
15/08/21,LEC,Hibernian,2-0,Kilmarnock
22/08/21,PRE,Dundee,2-2,Hibernian
28/08/21,PRE,Hibernian,2-0,Livingston
12/09/21,PRE,Hearts,0-0,Hibernian
18/09/21,PRE,Hibernian,2-2,St. Mirren
23/09/21,LEC,Dundee United,1-3,Hibernian
26/09/21,PRE,Hibernian,1-0,St. Johnstone
03/10/21,PRE,Rangers,2-1,Hibernian
16/10/21,PRE,Hibernian,0-3,Dundee United
23/10/21,PRE,Aberdeen,1-0,Hibernian
27/10/21,PRE,Hibernian,1-3,Celtic
21/11/21,LEC,Rangers,1-3,Hibernian
24/11/21,PRE,Ross County,1-0,Hibernian
27/11/21,PRE,St. Johnstone,1-2,Hibernian
01/12/21,PRE,Hibernian,0-1,Rangers
04/12/21,PRE,Hibernian,1-1,Motherwell
08/12/21,PRE,Livingston,1-0,Hibernian
11/12/21,PRE,St. Mirren,1-1,Hibernian
14/12/21,PRE,Hibernian,1-0,Dundee
19/12/21,LEC,Hibernian,1-2,Celtic
22/12/21,PRE,Hibernian,1-0,Aberdeen
26/12/21,PRE,Dundee United,1-3,Hibernian
17/01/22,PRE,Celtic,2-0,Hibernian
20/01/22,FAC,Hibernian,E1-0E,Cove Rangers
26/01/22,PRE,Motherwell,0-0,Hibernian
29/01/22,PRE,Hibernian,2-3,Livingston
01/02/22,PRE,Hibernian,0-0,Hearts
05/02/22,PRE,Hibernian,0-1,St. Mirren
09/02/22,PRE,Rangers,2-0,Hibernian
13/02/22,FAC,Arbroath,1-3,Hibernian
19/02/22,PRE,Hibernian,2-0,Ross County
27/02/22,PRE,Hibernian,0-0,Celtic
02/03/22,PRE,Dundee,0-0,Hibernian
05/03/22,PRE,Hibernian,0-0,St. Johnstone
13/03/22,FAC,Motherwell,1-2,Hibernian
19/03/22,PRE,Aberdeen,3-1,Hibernian
02/04/22,PRE,Hibernian,1-1,Dundee United
09/04/22,PRE,Hearts,3-1,Hibernian
16/04/22,FAC,Hearts,2-1,Hibernian
23/04/22,PRE,St. Mirren,0-1,Hibernian
30/04/22,PRE,Livingston,1-0,Hibernian
07/05/22,PRE,Hibernian,1-1,Aberdeen
10/05/22,PRE,Dundee,3-1,Hibernian
15/05/22,PRE,Hibernian,4-0,St. Johnstone
29/06/22,CLF,Hibernian,2-0,Hartlepool United
01/07/22,CLF,Hibernian,4-2,Burton Albion
09/07/22,LEC,Hibernian,5-0,Clyde
12/07/22,LEC,Falkirk,1-0,Hibernian
