Date,Competition,Home team,Score,Away team
24/06/23,CLF,Nithsdale Wanderers,0-0,Kilmarnock
04/07/23,CLF,Glentoran,1-0,Kilmarnock
08/07/23,CLF,Linfield,1-0,Kilmarnock
15/07/23,LEC,Kilmarnock,3-0,Annan Athletic
22/07/23,LEC,Dunfermline Athletic,0-2,Kilmarnock
26/07/23,LEC,Kilmarnock,P2-2P,Raith Rovers
29/07/23,LEC,Albion Rovers,1-2,Kilmarnock
05/08/23,PRE,Kilmarnock,1-0,Rangers
13/08/23,PRE,Hearts,0-0,Kilmarnock
20/08/23,LEC,Kilmarnock,1-0,Celtic
26/08/23,PRE,Motherwell,2-1,Kilmarnock
02/09/23,PRE,Kilmarnock,0-1,Ross County
16/09/23,PRE,Kilmarnock,2-2,Hibernian
23/09/23,PRE,Dundee,2-2,Kilmarnock
26/09/23,LEC,Kilmarnock,1-2,Hearts
30/09/23,PRE,Kilmarnock,1-1,St. Mirren
07/10/23,PRE,Celtic,3-1,Kilmarnock
21/10/23,PRE,Kilmarnock,3-1,Livingston
29/10/23,PRE,Kilmarnock,2-0,Aberdeen
01/11/23,PRE,St. Johnstone,2-1,Kilmarnock
04/11/23,PRE,Kilmarnock,1-0,Motherwell
11/11/23,PRE,Hibernian,1-0,Kilmarnock
25/11/23,PRE,Ross County,0-0,Kilmarnock
02/12/23,PRE,Kilmarnock,0-1,Hearts
06/12/23,PRE,Aberdeen,0-1,Kilmarnock
10/12/23,PRE,Kilmarnock,2-1,Celtic
16/12/23,PRE,Livingston,0-0,Kilmarnock
23/12/23,PRE,Kilmarnock,2-1,St. Johnstone
27/12/23,PRE,St. Mirren,0-1,Kilmarnock
30/12/23,PRE,Kilmarnock,2-2,Dundee
02/01/24,PRE,Rangers,3-1,Kilmarnock
20/01/24,FAC,Kilmarnock,2-0,Dundee
27/01/24,PRE,Kilmarnock,2-2,Hibernian
03/02/24,PRE,Motherwell,1-1,Kilmarnock
07/02/24,PRE,Kilmarnock,1-0,Livingston
10/02/24,FAC,Kilmarnock,2-0,Cove Rangers
17/02/24,PRE,Celtic,1-1,Kilmarnock
24/02/24,PRE,Kilmarnock,2-0,Aberdeen
28/02/24,PRE,Kilmarnock,1-2,Rangers
02/03/24,PRE,Dundee,2-2,Kilmarnock
09/03/24,FAC,Aberdeen,3-1,Kilmarnock
16/03/24,PRE,Kilmarnock,5-2,St. Mirren
30/03/24,PRE,Hearts,1-1,Kilmarnock
06/04/24,PRE,Kilmarnock,1-0,Ross County
13/04/24,PRE,St. Johnstone,0-2,Kilmarnock
27/04/24,PRE,Kilmarnock,0-0,Hearts
05/05/24,PRE,Rangers,14:00,Kilmarnock
11/05/24,PRE,St. Mirren,16:00,Kilmarnock
15/05/24,PRE,Kilmarnock,20:30,Celtic
18/05/24,PRE,Dundee,13:30,Kilmarnock
01/07/22,CLF,Kilmarnock,1-0,Charlton Athletic
05/07/22,CLF,Dunfermline Athletic,0-1,Kilmarnock
09/07/22,LEC,Fraserburgh,1-3,Kilmarnock
