Date,Competition,Home team,Score,Away team
10/07/23,CLF,Queen's Park,0-1,Livingston
15/07/23,LEC,Brechin City,0-3,Livingston
18/07/23,CLF,Livingston,1-1,Carlisle United
22/07/23,LEC,Livingston,P1-1P,Hamilton Academical
25/07/23,LEC,Cove Rangers,0-5,Livingston
29/07/23,LEC,Livingston,1-0,Clyde
05/08/23,PRE,Livingston,0-0,Aberdeen
12/08/23,PRE,Rangers,4-0,Livingston
19/08/23,LEC,Livingston,2-0,Ayr United
26/08/23,PRE,Hibernian,2-3,Livingston
02/09/23,PRE,Livingston,1-1,St. Mirren
16/09/23,PRE,Ross County,1-1,Livingston
23/09/23,PRE,Livingston,0-3,Celtic
27/09/23,LEC,Rangers,4-0,Livingston
30/09/23,PRE,St. Johnstone,1-1,Livingston
07/10/23,PRE,Livingston,2-0,Motherwell
21/10/23,PRE,Kilmarnock,3-1,Livingston
28/10/23,PRE,Livingston,0-2,Dundee
01/11/23,PRE,Hearts,1-0,Livingston
05/11/23,PRE,Dundee,1-0,Livingston
12/11/23,PRE,Livingston,0-2,Rangers
25/11/23,PRE,St. Mirren,1-0,Livingston
09/12/23,PRE,Livingston,0-1,Hibernian
16/12/23,PRE,Livingston,0-0,Kilmarnock
20/12/23,PRE,Aberdeen,2-1,Livingston
23/12/23,PRE,Celtic,2-0,Livingston
27/12/23,PRE,Livingston,0-0,St. Johnstone
30/12/23,PRE,Motherwell,3-1,Livingston
02/01/24,PRE,Livingston,1-2,Hearts
11/01/24,CLF,Winterthur,3-2,Livingston
20/01/24,FAC,Livingston,2-1,Raith Rovers
27/01/24,PRE,Livingston,1-4,Dundee
30/01/24,PRE,Livingston,2-2,Ross County
03/02/24,PRE,Rangers,3-0,Livingston
07/02/24,PRE,Kilmarnock,1-0,Livingston
10/02/24,FAC,Partick Thistle,E2-3E,Livingston
17/02/24,PRE,Livingston,1-0,St. Mirren
24/02/24,PRE,Ross County,3-2,Livingston
28/02/24,PRE,Livingston,1-3,Motherwell
02/03/24,PRE,St. Johnstone,1-1,Livingston
10/03/24,FAC,Celtic,4-2,Livingston
16/03/24,PRE,Hibernian,3-0,Livingston
31/03/24,PRE,Livingston,0-3,Celtic
06/04/24,PRE,Livingston,0-0,Aberdeen
13/04/24,PRE,Hearts,4-2,Livingston
27/04/24,PRE,Livingston,2-0,Ross County
04/05/24,PRE,Motherwell,16:00,Livingston
11/05/24,PRE,Livingston,16:00,St. Johnstone
15/05/24,PRE,Aberdeen,20:45,Livingston
19/05/24,PRE,Livingston,16:00,Hibernian
12/07/22,LEC,Livingston,1-2,Inverness CT
16/07/22,LEC,Cove Rangers,1-2,Livingston
23/07/22,LEC,Livingston,2-0,Kelty Hearts
30/07/22,PRE,Livingston,1-2,Rangers
07/08/22,PRE,Dundee United,0-1,Livingston
13/08/22,PRE,Livingston,2-1,Hibernian
20/08/22,PRE,Motherwell,1-0,Livingston
27/08/22,PRE,Aberdeen,5-0,Livingston
31/08/22,LEC,Livingston,1-2,Dundee United
03/09/22,PRE,Livingston,1-0,Hearts
17/09/22,PRE,Livingston,1-0,Kilmarnock
01/10/22,PRE,St. Mirren,2-1,Livingston
08/10/22,PRE,Livingston,0-1,Ross County
15/10/22,PRE,Livingston,1-0,St. Johnstone
22/10/22,PRE,Rangers,1-1,Livingston
30/10/22,PRE,Livingston,0-3,Celtic
04/11/22,PRE,Kilmarnock,2-3,Livingston
08/11/22,PRE,Livingston,2-1,Aberdeen
12/11/22,PRE,Hearts,1-1,Livingston
29/11/22,CLF,Queens Park Rangers,2-1,Livingston
05/12/22,CLF,Livingston,4-1,Liepaja
08/12/22,CLF,Adana Demirspor,CANC,Livingston
08/12/22,CLF,Fortuna Sittard,0-3,Livingston
21/12/22,PRE,Celtic,2-1,Livingston
24/12/22,PRE,Hibernian,4-0,Livingston
28/12/22,PRE,Livingston,1-1,St. Mirren
02/01/23,PRE,Livingston,1-1,Motherwell
