Date,Competition,Home team,Score,Away team
28/05/23,PRE,Motherwell,3-2,Dundee United
27/06/23,CLF,HSC '21,0-1,Motherwell
30/06/23,CLF,LONGA '30,0-6,Motherwell
01/07/23,CLF,Airdrieonians,4-0,Motherwell
11/07/23,CLF,Dundee United,0-1,Motherwell
15/07/23,LEC,Elgin City,0-2,Motherwell
18/07/23,LEC,Queen of the South,P3-3P,Motherwell
22/07/23,LEC,Motherwell,1-0,Queen's Park
29/07/23,LEC,Motherwell,3-0,East Fife
05/08/23,PRE,Dundee,1-1,Motherwell
13/08/23,PRE,Motherwell,2-1,Hibernian
19/08/23,LEC,St. Mirren,1-0,Motherwell
26/08/23,PRE,Motherwell,2-1,Kilmarnock
03/09/23,PRE,Hearts,0-1,Motherwell
16/09/23,PRE,Motherwell,0-1,St. Mirren
24/09/23,PRE,Rangers,1-0,Motherwell
30/09/23,PRE,Motherwell,1-2,Celtic
07/10/23,PRE,Livingston,2-0,Motherwell
28/10/23,PRE,Motherwell,3-3,Ross County
01/11/23,PRE,Motherwell,2-4,Aberdeen
04/11/23,PRE,Kilmarnock,1-0,Motherwell
07/11/23,PRE,St. Johnstone,2-2,Motherwell
11/11/23,PRE,Motherwell,1-2,Hearts
25/11/23,PRE,Celtic,1-1,Motherwell
02/12/23,PRE,Motherwell,3-3,Dundee
05/12/23,PRE,Ross County,3-0,Motherwell
09/12/23,PRE,Motherwell,1-1,St. Johnstone
16/12/23,PRE,St. Mirren,0-0,Motherwell
24/12/23,PRE,Motherwell,0-2,Rangers
30/12/23,PRE,Motherwell,3-1,Livingston
02/01/24,PRE,Hibernian,2-2,Motherwell
20/01/24,FAC,Motherwell,3-1,Alloa Athletic
27/01/24,PRE,St. Johnstone,1-1,Motherwell
03/02/24,PRE,Motherwell,1-1,Kilmarnock
06/02/24,PRE,Motherwell,5-0,Ross County
09/02/24,FAC,Greenock Morton,2-1,Motherwell
14/02/24,PRE,Aberdeen,3-3,Motherwell
17/02/24,PRE,Hearts,2-0,Motherwell
25/02/24,PRE,Motherwell,1-3,Celtic
28/02/24,PRE,Livingston,1-3,Motherwell
02/03/24,PRE,Rangers,1-2,Motherwell
16/03/24,PRE,Motherwell,0-1,Aberdeen
30/03/24,PRE,Motherwell,1-1,St. Mirren
06/04/24,PRE,Dundee,2-3,Motherwell
13/04/24,PRE,Motherwell,1-1,Hibernian
27/04/24,PRE,Aberdeen,1-0,Motherwell
04/05/24,PRE,Motherwell,16:00,Livingston
11/05/24,PRE,Ross County,16:00,Motherwell
15/05/24,PRE,Hibernian,20:45,Motherwell
19/05/24,PRE,Motherwell,16:00,St. Johnstone
23/04/22,PRE,Motherwell,1-3,Rangers
30/04/22,PRE,Dundee United,1-0,Motherwell
07/05/22,PRE,Ross County,0-1,Motherwell
11/05/22,PRE,Motherwell,2-1,Hearts
14/05/22,PRE,Celtic,6-0,Motherwell
08/07/22,CLF,Vorwärts Steyr,1-5,Motherwell
21/07/22,UEC,Motherwell,0-1,Sligo Rovers
28/07/22,UEC,Sligo Rovers,2-0,Motherwell
31/07/22,PRE,St. Mirren,0-1,Motherwell
06/08/22,PRE,Motherwell,1-2,St. Johnstone
13/08/22,PRE,Aberdeen,2-3,Motherwell
20/08/22,PRE,Motherwell,1-0,Livingston
27/08/22,PRE,Kilmarnock,2-1,Motherwell
31/08/22,LEC,Motherwell,4-0,Inverness CT
03/09/22,PRE,Motherwell,0-0,Dundee United
18/09/22,PRE,Motherwell,0-3,Hearts
01/10/22,PRE,Celtic,2-1,Motherwell
04/10/22,PRE,Ross County,0-5,Motherwell
08/10/22,PRE,Hibernian,1-0,Motherwell
16/10/22,PRE,Motherwell,1-2,Rangers
19/10/22,LEC,Motherwell,0-4,Celtic
22/10/22,PRE,Motherwell,1-2,Aberdeen
29/10/22,PRE,Dundee United,0-1,Motherwell
06/11/22,PRE,Hearts,3-2,Motherwell
09/11/22,PRE,Motherwell,1-2,Celtic
12/11/22,PRE,St. Johnstone,1-1,Motherwell
09/12/22,CLF,Tottenham Hotspur,4-0,Motherwell
23/12/22,PRE,Motherwell,2-2,Kilmarnock
28/12/22,PRE,Rangers,3-0,Motherwell
02/01/23,PRE,Livingston,1-1,Motherwell
08/01/23,PRE,Motherwell,2-3,Hibernian
14/01/23,PRE,Motherwell,1-1,Ross County
21/01/23,FAC,Arbroath,0-2,Motherwell
28/01/23,PRE,St. Mirren,1-0,Motherwell
01/02/23,PRE,Motherwell,0-2,St. Johnstone
04/02/23,PRE,Aberdeen,3-1,Motherwell
11/02/23,FAC,Raith Rovers,3-1,Motherwell
