Date,Competition,Home team,Score,Away team
27/09/23,LEC,Rangers,4-0,Livingston
30/09/23,PRE,Rangers,1-3,Aberdeen
05/10/23,UEL,Aris Limassol,2-1,Rangers
08/10/23,PRE,St. Mirren,0-3,Rangers
21/10/23,PRE,Rangers,4-0,Hibernian
26/10/23,UEL,Sparta Prague,0-0,Rangers
29/10/23,PRE,Rangers,2-1,Hearts
01/11/23,PRE,Dundee,0-5,Rangers
05/11/23,LEC,Hearts,1-3,Rangers
09/11/23,UEL,Rangers,2-1,Sparta Prague
12/11/23,PRE,Livingston,0-2,Rangers
26/11/23,PRE,Aberdeen,1-1,Rangers
30/11/23,UEL,Rangers,1-1,Aris Limassol
03/12/23,PRE,Rangers,2-0,St. Mirren
06/12/23,PRE,Hearts,0-1,Rangers
09/12/23,PRE,Rangers,3-1,Dundee
14/12/23,UEL,Real Betis,2-3,Rangers
17/12/23,LEC,Rangers,1-0,Aberdeen
20/12/23,PRE,Rangers,2-0,St. Johnstone
24/12/23,PRE,Motherwell,0-2,Rangers
30/12/23,PRE,Celtic,2-1,Rangers
02/01/24,PRE,Rangers,3-1,Kilmarnock
13/01/24,CLF,Hertha Berlin,1-0,Rangers
16/01/24,CLF,Rangers,2-2,FC Copenhagen
20/01/24,FAC,Dumbarton,1-4,Rangers
24/01/24,PRE,Hibernian,0-3,Rangers
27/01/24,PRE,St. Mirren,0-1,Rangers
03/02/24,PRE,Rangers,3-0,Livingston
06/02/24,PRE,Rangers,2-1,Aberdeen
10/02/24,FAC,Rangers,2-0,Ayr United
14/02/24,PRE,Rangers,3-1,Ross County
18/02/24,PRE,St. Johnstone,0-3,Rangers
24/02/24,PRE,Rangers,5-0,Hearts
28/02/24,PRE,Kilmarnock,1-2,Rangers
02/03/24,PRE,Rangers,1-2,Motherwell
07/03/24,UEL,Benfica,2-2,Rangers
10/03/24,FAC,Hibernian,0-2,Rangers
14/03/24,UEL,Rangers,0-1,Benfica
30/03/24,PRE,Rangers,3-1,Hibernian
07/04/24,PRE,Rangers,3-3,Celtic
14/04/24,PRE,Ross County,3-2,Rangers
17/04/24,PRE,Dundee,0-0,Rangers
21/04/24,FAC,Rangers,2-0,Hearts
28/04/24,PRE,St. Mirren,1-2,Rangers
05/05/24,PRE,Rangers,14:00,Kilmarnock
11/05/24,PRE,Celtic,13:30,Rangers
14/05/24,PRE,Rangers,20:30,Dundee
18/05/24,PRE,Hearts,13:30,Rangers
25/05/24,FAC,Celtic,16:00,Rangers
20/07/24,CLF,Rangers,17:00,Manchester United
06/11/22,PRE,St. Johnstone,2-1,Rangers
09/11/22,PRE,Rangers,1-0,Hearts
12/11/22,PRE,St. Mirren,1-1,Rangers
10/12/22,CLF,Rangers,3-0,Bayer Leverkusen
15/12/22,PRE,Rangers,3-2,Hibernian
20/12/22,PRE,Aberdeen,2-3,Rangers
23/12/22,PRE,Ross County,0-1,Rangers
28/12/22,PRE,Rangers,3-0,Motherwell
02/01/23,PRE,Rangers,2-2,Celtic
08/01/23,PRE,Dundee United,0-2,Rangers
15/01/23,LEC,Rangers,E2-1E,Aberdeen
18/01/23,PRE,Kilmarnock,2-3,Rangers
21/01/23,FAC,St. Johnstone,0-1,Rangers
28/01/23,PRE,Rangers,2-0,St. Johnstone
01/02/23,PRE,Hearts,0-3,Rangers
04/02/23,PRE,Rangers,2-1,Ross County
12/02/23,FAC,Rangers,3-2,Partick Thistle
18/02/23,PRE,Livingston,0-3,Rangers
26/02/23,LEC,Rangers,1-2,Celtic
04/03/23,PRE,Rangers,3-1,Kilmarnock
08/03/23,PRE,Hibernian,1-4,Rangers
12/03/23,FAC,Rangers,3-0,Raith Rovers
18/03/23,PRE,Motherwell,2-4,Rangers
01/04/23,PRE,Rangers,2-0,Dundee United
08/04/23,PRE,Celtic,3-2,Rangers
15/04/23,PRE,Rangers,5-2,St. Mirren
23/04/23,PRE,Aberdeen,2-0,Rangers
30/04/23,FAC,Rangers,0-1,Celtic
07/05/23,PRE,Rangers,1-0,Aberdeen
13/05/23,PRE,Rangers,3-0,Celtic
21/05/23,PRE,Hibernian,1-3,Rangers
24/05/23,PRE,Rangers,2-2,Hearts
27/05/23,PRE,St. Mirren,0-3,Rangers
14/07/23,CLF,Hallescher FC,0-2,Rangers
18/07/23,CLF,Rangers,1-2,Newcastle United
22/07/23,CLF,Rangers,2-1,Hamburg
26/07/23,CLF,Rangers,1-3,Olympiakos
29/07/23,CLF,Hoffenheim,2-2,Rangers
05/08/23,PRE,Kilmarnock,1-0,Rangers
09/08/23,UCL,Rangers,2-1,Servette
12/08/23,PRE,Rangers,4-0,Livingston
15/08/23,UCL,Servette,1-1,Rangers
19/08/23,LEC,Rangers,2-1,Greenock Morton
22/08/23,UCL,Rangers,2-2,PSV
26/08/23,PRE,Ross County,0-2,Rangers
30/08/23,UCL,PSV,5-1,Rangers
03/09/23,PRE,Rangers,0-1,Celtic
16/09/23,PRE,St. Johnstone,0-2,Rangers
21/09/23,UEL,Rangers,1-0,Real Betis
24/09/23,PRE,Rangers,1-0,Motherwell
24/02/22,UEL,Rangers,2-2,Borussia Dortmund
27/02/22,PRE,Rangers,2-2,Motherwell
02/03/22,PRE,St. Johnstone,0-1,Rangers
05/03/22,PRE,Rangers,1-0,Aberdeen
10/03/22,UEL,Rangers,3-0,Red Star Belgrade
13/03/22,FAC,Dundee,0-3,Rangers
17/03/22,UEL,Red Star Belgrade,2-1,Rangers
20/03/22,PRE,Dundee,1-2,Rangers
03/04/22,PRE,Rangers,1-2,Celtic
07/04/22,UEL,Sporting Braga,1-0,Rangers
10/04/22,PRE,St. Mirren,0-4,Rangers
14/04/22,UEL,Rangers,E3-1E,Sporting Braga
17/04/22,FAC,Celtic,E1-2E,Rangers
23/04/22,PRE,Motherwell,1-3,Rangers
28/04/22,UEL,RB Leipzig,1-0,Rangers
01/05/22,PRE,Celtic,1-1,Rangers
05/05/22,UEL,Rangers,3-1,RB Leipzig
08/05/22,PRE,Rangers,2-0,Dundee United
11/05/22,PRE,Rangers,4-1,Ross County
14/05/22,PRE,Hearts,1-3,Rangers
18/05/22,UEL,Eintracht Frankfurt,P1-1P,Rangers
21/05/22,FAC,Rangers,E2-0E,Hearts
09/07/22,CLF,Sunderland,SUSP,Rangers
16/07/22,CLF,Blackpool,1-2,Rangers
19/07/22,CLF,Rangers,3-1,West Ham United
23/07/22,CLF,Rangers,1-2,Tottenham Hotspur
30/07/22,PRE,Livingston,1-2,Rangers
02/08/22,UCL,Union Saint-Gilloise,2-0,Rangers
06/08/22,PRE,Rangers,2-0,Kilmarnock
09/08/22,UCL,Rangers,3-0,Union Saint-Gilloise
13/08/22,PRE,Rangers,4-0,St. Johnstone
16/08/22,UCL,Rangers,2-2,PSV
20/08/22,PRE,Hibernian,2-2,Rangers
24/08/22,UCL,PSV,0-1,Rangers
27/08/22,PRE,Rangers,4-0,Ross County
30/08/22,LEC,Rangers,3-1,Queen of the South
03/09/22,PRE,Celtic,4-0,Rangers
07/09/22,UCL,Ajax,4-0,Rangers
14/09/22,UCL,Rangers,0-3,Napoli
17/09/22,PRE,Rangers,2-1,Dundee United
01/10/22,PRE,Hearts,0-4,Rangers
04/10/22,UCL,Liverpool,2-0,Rangers
08/10/22,PRE,Rangers,4-0,St. Mirren
12/10/22,UCL,Rangers,1-7,Liverpool
16/10/22,PRE,Motherwell,1-2,Rangers
19/10/22,LEC,Rangers,1-0,Dundee
22/10/22,PRE,Rangers,1-1,Livingston
26/10/22,UCL,Napoli,3-0,Rangers
29/10/22,PRE,Rangers,4-1,Aberdeen
01/11/22,UCL,Rangers,1-3,Ajax
12/05/21,PRE,Livingston,0-3,Rangers
15/05/21,PRE,Rangers,4-0,Aberdeen
05/07/21,CLF,Partick Thistle,0-1,Rangers
10/07/21,CLF,Tranmere Rovers,1-0,Rangers
17/07/21,CLF,Rangers,2-2,Arsenal
24/07/21,CLF,Rangers,0-0,Brighton & Hove Albion
25/07/21,CLF,Rangers,2-1,Real Madrid
31/07/21,PRE,Rangers,3-0,Livingston
03/08/21,UCL,Malmö,2-1,Rangers
07/08/21,PRE,Dundee United,1-0,Rangers
10/08/21,UCL,Rangers,1-2,Malmö
13/08/21,LEC,Rangers,5-0,Dunfermline Athletic
19/08/21,UEL,Rangers,1-0,Alashkert
22/08/21,PRE,Ross County,2-4,Rangers
26/08/21,UEL,Alashkert,0-0,Rangers
29/08/21,PRE,Rangers,1-0,Celtic
11/09/21,PRE,St. Johnstone,1-2,Rangers
16/09/21,UEL,Rangers,0-2,Lyon
19/09/21,PRE,Rangers,1-1,Motherwell
22/09/21,LEC,Rangers,2-0,Livingston
25/09/21,PRE,Dundee,0-1,Rangers
30/09/21,UEL,Sparta Prague,1-0,Rangers
03/10/21,PRE,Rangers,2-1,Hibernian
16/10/21,PRE,Rangers,1-1,Hearts
21/10/21,UEL,Rangers,2-0,Brøndby
24/10/21,PRE,St. Mirren,1-2,Rangers
27/10/21,PRE,Rangers,2-2,Aberdeen
31/10/21,PRE,Motherwell,1-6,Rangers
04/11/21,UEL,Brøndby,1-1,Rangers
07/11/21,PRE,Rangers,4-2,Ross County
21/11/21,LEC,Rangers,1-3,Hibernian
25/11/21,UEL,Rangers,2-0,Sparta Prague
28/11/21,PRE,Livingston,1-3,Rangers
01/12/21,PRE,Hibernian,0-1,Rangers
04/12/21,PRE,Rangers,3-0,Dundee
09/12/21,UEL,Lyon,1-1,Rangers
12/12/21,PRE,Hearts,0-2,Rangers
15/12/21,PRE,Rangers,2-0,St. Johnstone
18/12/21,PRE,Rangers,1-0,Dundee United
26/12/21,PRE,Rangers,2-0,St. Mirren
18/01/22,PRE,Aberdeen,1-1,Rangers
21/01/22,FAC,Rangers,4-0,Stirling Albion
26/01/22,PRE,Rangers,1-0,Livingston
29/01/22,PRE,Ross County,3-3,Rangers
02/02/22,PRE,Celtic,3-0,Rangers
06/02/22,PRE,Rangers,5-0,Hearts
09/02/22,PRE,Rangers,2-0,Hibernian
12/02/22,FAC,Annan Athletic,0-3,Rangers
17/02/22,UEL,Borussia Dortmund,2-4,Rangers
20/02/22,PRE,Dundee United,1-1,Rangers
22/08/20,PRE,Rangers,2-0,Kilmarnock
29/08/20,PRE,Hamilton Academical,0-2,Rangers
12/09/20,PRE,Rangers,4-0,Dundee United
17/09/20,UEL,Lincoln Red Imps,0-5,Rangers
20/09/20,PRE,Hibernian,2-2,Rangers
24/09/20,UEL,Willem II,0-4,Rangers
27/09/20,PRE,Motherwell,1-5,Rangers
01/10/20,UEL,Rangers,2-1,Galatasaray
04/10/20,PRE,Rangers,2-0,Ross County
17/10/20,PRE,Celtic,0-2,Rangers
22/10/20,UEL,Standard Liège,0-2,Rangers
25/10/20,PRE,Rangers,2-0,Livingston
29/10/20,UEL,Rangers,1-0,Lech Poznań
01/11/20,PRE,Kilmarnock,0-1,Rangers
