Date,Competition,Home team,Score,Away team
01/06/23,PL1,Partick Thistle,2-0,Ross County
04/06/23,PL1,Ross County,P3-1P,Partick Thistle
04/07/23,CLF,Nairn County,1-3,Ross County
08/07/23,CLF,Ross County,1-2,Queen's Park
14/07/23,CLF,Clachnacuddin,1-5,Ross County
15/07/23,LEC,Stranraer,1-5,Ross County
22/07/23,LEC,Ross County,2-1,Greenock Morton
26/07/23,LEC,Edinburgh City,1-3,Ross County
29/07/23,LEC,Ross County,P3-3P,Kelty Hearts
05/08/23,PRE,Celtic,4-2,Ross County
12/08/23,PRE,Ross County,2-0,St. Johnstone
19/08/23,LEC,Airdrieonians,E3-4E,Ross County
26/08/23,PRE,Ross County,0-2,Rangers
02/09/23,PRE,Kilmarnock,0-1,Ross County
16/09/23,PRE,Ross County,1-1,Livingston
24/09/23,PRE,Aberdeen,4-0,Ross County
27/09/23,LEC,Ross County,1-2,Aberdeen
30/09/23,PRE,Ross County,0-1,Hearts
24/10/23,PRE,Dundee,0-0,Ross County
28/10/23,PRE,Motherwell,3-3,Ross County
31/10/23,PRE,Hibernian,2-2,Ross County
04/11/23,PRE,Ross County,0-3,Celtic
11/11/23,PRE,St. Johnstone,1-0,Ross County
25/11/23,PRE,Ross County,0-0,Kilmarnock
28/11/23,PRE,Ross County,1-0,St. Mirren
05/12/23,PRE,Ross County,3-0,Motherwell
09/12/23,PRE,St. Mirren,2-0,Ross County
16/12/23,PRE,Ross County,0-1,Dundee
30/12/23,PRE,Hearts,2-2,Ross County
02/01/24,PRE,Ross County,0-3,Aberdeen
20/01/24,FAC,Ross County,0-3,Partick Thistle
27/01/24,PRE,Celtic,1-0,Ross County
30/01/24,PRE,Livingston,2-2,Ross County
03/02/24,PRE,Ross County,0-1,St. Johnstone
06/02/24,PRE,Motherwell,5-0,Ross County
14/02/24,PRE,Rangers,3-1,Ross County
17/02/24,PRE,Dundee,2-0,Ross County
24/02/24,PRE,Ross County,3-2,Livingston
27/02/24,PRE,Ross County,1-1,St. Mirren
02/03/24,PRE,Hibernian,2-0,Ross County
13/03/24,PRE,Ross County,2-2,Hibernian
16/03/24,PRE,Ross County,2-1,Hearts
30/03/24,PRE,Aberdeen,2-1,Ross County
06/04/24,PRE,Kilmarnock,1-0,Ross County
14/04/24,PRE,Ross County,3-2,Rangers
27/04/24,PRE,Livingston,2-0,Ross County
04/05/24,PRE,Ross County,16:00,Hibernian
11/05/24,PRE,Ross County,16:00,Motherwell
15/05/24,PRE,St. Johnstone,20:45,Ross County
19/05/24,PRE,Ross County,16:00,Aberdeen
24/04/22,PRE,Ross County,0-2,Celtic
30/04/22,PRE,Hearts,0-0,Ross County
07/05/22,PRE,Ross County,0-1,Motherwell
11/05/22,PRE,Rangers,4-1,Ross County
14/05/22,PRE,Ross County,1-2,Dundee United
06/07/22,CLF,Brora Rangers,1-4,Ross County
09/07/22,LEC,Buckie Thistle,P1-1P,Ross County
16/07/22,LEC,Ross County,1-0,Dunfermline Athletic
19/07/22,LEC,Alloa Athletic,0-2,Ross County
23/07/22,LEC,Ross County,7-0,East Fife
30/07/22,PRE,Hearts,2-1,Ross County
06/08/22,PRE,Ross County,1-3,Celtic
13/08/22,PRE,St. Mirren,1-0,Ross County
20/08/22,PRE,Ross County,1-0,Kilmarnock
27/08/22,PRE,Rangers,4-0,Ross County
31/08/22,LEC,Ross County,1-4,Celtic
03/09/22,PRE,Ross County,1-1,Aberdeen
17/09/22,PRE,St. Johnstone,0-0,Ross County
01/10/22,PRE,Ross County,0-2,Hibernian
04/10/22,PRE,Ross County,0-5,Motherwell
08/10/22,PRE,Livingston,0-1,Ross County
15/10/22,PRE,Ross County,1-1,Dundee United
22/10/22,PRE,Kilmarnock,1-0,Ross County
30/10/22,PRE,Ross County,1-2,Hearts
05/11/22,PRE,Ross County,3-2,St. Mirren
08/11/22,PRE,Hibernian,0-2,Ross County
12/11/22,PRE,Celtic,2-1,Ross County
17/12/22,PRE,Ross County,1-2,St. Johnstone
23/12/22,PRE,Ross County,0-1,Rangers
28/12/22,PRE,Dundee United,3-0,Ross County
02/01/23,PRE,Aberdeen,0-0,Ross County
07/01/23,PRE,Ross County,0-2,Livingston
14/01/23,PRE,Motherwell,1-1,Ross County
21/01/23,FAC,Hamilton Academical,P0-0P,Ross County
28/01/23,PRE,Ross County,3-0,Kilmarnock
31/01/23,PRE,Ross County,1-1,Hibernian
04/02/23,PRE,Rangers,2-1,Ross County
18/02/23,PRE,St. Mirren,1-0,Ross County
25/02/23,PRE,Ross County,4-0,Dundee United
04/03/23,PRE,Ross County,0-2,Motherwell
18/03/23,PRE,Livingston,2-1,Ross County
02/04/23,PRE,Ross County,0-2,Celtic
08/04/23,PRE,St. Johnstone,0-2,Ross County
14/04/23,PRE,Ross County,0-1,Aberdeen
22/04/23,PRE,Hearts,6-1,Ross County
06/05/23,PRE,Ross County,2-0,Livingston
13/05/23,PRE,Dundee United,1-3,Ross County
20/05/23,PRE,Motherwell,1-0,Ross County
24/05/23,PRE,Ross County,3-3,St. Johnstone
28/05/23,PRE,Kilmarnock,3-1,Ross County
21/02/21,PRE,Ross County,1-0,Celtic
27/02/21,PRE,St. Mirren,1-0,Ross County
06/03/21,PRE,Ross County,3-2,Kilmarnock
13/03/21,PRE,Ross County,1-2,Hibernian
20/03/21,PRE,St. Johnstone,1-0,Ross County
02/04/21,FAC,Ross County,1-3,Inverness CT
10/04/21,PRE,Kilmarnock,2-2,Ross County
21/04/21,PRE,Ross County,1-3,St. Mirren
01/05/21,PRE,Dundee United,0-2,Ross County
12/05/21,PRE,Ross County,2-1,Hamilton Academical
16/05/21,PRE,Motherwell,1-2,Ross County
03/07/21,CLF,Elgin City,0-5,Ross County
10/07/21,LEC,Forfar Athletic,3-0,Ross County
18/07/21,LEC,Ross County,0-3,Dundee
21/07/21,LEC,Brora Rangers,0-1,Ross County
24/07/21,LEC,Ross County,4-1,Montrose
31/07/21,PRE,Ross County,0-0,St. Johnstone
08/08/21,PRE,Hibernian,3-0,Ross County
22/08/21,PRE,Ross County,2-4,Rangers
29/08/21,PRE,Aberdeen,1-1,Ross County
11/09/21,PRE,Celtic,3-0,Ross County
18/09/21,PRE,Ross County,2-2,Hearts
25/09/21,PRE,Motherwell,2-1,Ross County
02/10/21,PRE,Dundee United,1-0,Ross County
16/10/21,PRE,Ross County,2-3,St. Mirren
23/10/21,PRE,Ross County,2-3,Livingston
27/10/21,PRE,Dundee,0-5,Ross County
07/11/21,PRE,Rangers,4-2,Ross County
24/11/21,PRE,Ross County,1-0,Hibernian
27/11/21,PRE,Ross County,1-1,Dundee United
01/12/21,PRE,St. Mirren,0-0,Ross County
11/12/21,PRE,Ross County,3-2,Dundee
15/12/21,PRE,Ross County,1-2,Celtic
18/12/21,PRE,Livingston,1-1,Ross County
22/12/21,PRE,St. Johnstone,1-2,Ross County
26/12/21,PRE,Hearts,2-1,Ross County
18/01/22,PRE,Ross County,3-1,Motherwell
22/01/22,FAC,Livingston,1-0,Ross County
26/01/22,PRE,Dundee United,2-1,Ross County
29/01/22,PRE,Ross County,3-3,Rangers
01/02/22,PRE,Ross County,1-1,Aberdeen
05/02/22,PRE,Dundee,1-2,Ross County
09/02/22,PRE,Ross County,1-1,Livingston
19/02/22,PRE,Hibernian,2-0,Ross County
26/02/22,PRE,Ross County,3-1,St. Johnstone
02/03/22,PRE,Motherwell,0-1,Ross County
05/03/22,PRE,Ross County,1-0,St. Mirren
19/03/22,PRE,Celtic,4-0,Ross County
02/04/22,PRE,Ross County,1-1,Hearts
09/04/22,PRE,Aberdeen,0-1,Ross County
29/12/19,PRE,St. Johnstone,1-1,Ross County
18/01/20,FAC,Ayr United,1-0,Ross County
22/01/20,PRE,Ross County,0-0,Hearts
25/01/20,PRE,Celtic,3-0,Ross County
29/01/20,PRE,Rangers,2-0,Ross County
01/02/20,PRE,Kilmarnock,3-1,Ross County
05/02/20,PRE,Ross County,2-0,Livingston
12/02/20,PRE,Hibernian,3-0,Ross County
15/02/20,PRE,Ross County,1-1,St. Johnstone
22/02/20,PRE,Aberdeen,1-2,Ross County
04/03/20,PRE,Motherwell,4-1,Ross County
08/03/20,PRE,Ross County,0-1,Rangers
14/03/20,PRE,Ross County,CANC,Hamilton Academical
21/03/20,PRE,Hearts,CANC,Ross County
04/04/20,PRE,Ross County,CANC,St. Mirren
26/07/20,CLF,Celtic,2-0,Ross County
03/08/20,PRE,Ross County,1-0,Motherwell
08/08/20,PRE,Hamilton Academical,0-1,Ross County
12/08/20,PRE,Ross County,2-2,Kilmarnock
15/08/20,PRE,Ross County,1-2,Dundee United
22/08/20,PRE,St. Mirren,1-1,Ross County
29/08/20,PRE,Livingston,1-0,Ross County
12/09/20,PRE,Ross County,0-5,Celtic
19/09/20,PRE,St. Johnstone,0-1,Ross County
27/09/20,PRE,Ross County,0-3,Aberdeen
04/10/20,PRE,Rangers,2-0,Ross County
07/10/20,LEC,Montrose,P3-3P,Ross County
13/10/20,LEC,Ross County,2-1,Arbroath
17/10/20,PRE,Ross County,0-0,Hibernian
24/10/20,PRE,Motherwell,4-0,Ross County
31/10/20,PRE,Dundee United,2-1,Ross County
06/11/20,PRE,Ross County,1-1,Livingston
10/11/20,LEC,Elgin City,1-4,Ross County
14/11/20,LEC,Ross County,3-0,Stirling Albion
21/11/20,PRE,Kilmarnock,3-1,Ross County
29/11/20,LEC,Celtic,0-2,Ross County
06/12/20,PRE,Ross County,0-4,Rangers
12/12/20,PRE,Aberdeen,2-0,Ross County
16/12/20,LEC,Livingston,2-0,Ross County
19/12/20,PRE,Ross County,0-2,Hamilton Academical
23/12/20,PRE,Celtic,2-0,Ross County
26/12/20,PRE,Ross County,0-2,St. Mirren
30/12/20,PRE,Hibernian,0-2,Ross County
02/01/21,PRE,Ross County,1-1,St. Johnstone
10/01/21,PRE,Livingston,3-1,Ross County
16/01/21,PRE,Ross County,4-1,Aberdeen
23/01/21,PRE,Rangers,5-0,Ross County
27/01/21,PRE,Ross County,1-2,Motherwell
03/02/21,PRE,Hamilton Academical,1-2,Ross County
06/02/21,PRE,Ross County,0-2,Dundee United
04/01/19,CHA,Greenock Morton,1-0,Ross County
12/01/19,CHA,Queen of the South,4-0,Ross County
19/01/19,FAC,Motherwell,1-2,Ross County
26/01/19,CHA,Ross County,2-0,Alloa Athletic
02/02/19,CHA,Dunfermline Athletic,1-2,Ross County
11/02/19,FAC,Ross County,2-2,Inverness CT
15/02/19,CHC,Ross County,2-1,East Fife
19/02/19,FAC,Inverness CT,P2-2P,Ross County
23/02/19,CHA,Partick Thistle,2-4,Ross County
