Date,Competition,Home team,Score,Away team
06/05/23,PRE,St. Johnstone,1-0,Dundee United
13/05/23,PRE,St. Johnstone,0-2,Motherwell
20/05/23,PRE,Kilmarnock,0-1,St. Johnstone
24/05/23,PRE,Ross County,3-3,St. Johnstone
28/05/23,PRE,St. Johnstone,2-0,Livingston
04/07/23,CLF,Dunfermline Athletic,1-1,St. Johnstone
11/07/23,CLF,East Fife,0-3,St. Johnstone
15/07/23,LEC,Stenhousemuir,1-0,St. Johnstone
22/07/23,LEC,Alloa Athletic,0-4,St. Johnstone
25/07/23,LEC,St. Johnstone,1-2,Ayr United
29/07/23,LEC,St. Johnstone,0-4,Stirling Albion
05/08/23,PRE,St. Johnstone,0-2,Hearts
12/08/23,PRE,Ross County,2-0,St. Johnstone
26/08/23,PRE,Celtic,0-0,St. Johnstone
02/09/23,PRE,St. Johnstone,2-2,Dundee
16/09/23,PRE,St. Johnstone,0-2,Rangers
23/09/23,PRE,Hibernian,2-0,St. Johnstone
30/09/23,PRE,St. Johnstone,1-1,Livingston
08/10/23,PRE,Aberdeen,0-0,St. Johnstone
28/10/23,PRE,St. Mirren,4-0,St. Johnstone
01/11/23,PRE,St. Johnstone,2-1,Kilmarnock
07/11/23,PRE,St. Johnstone,2-2,Motherwell
11/11/23,PRE,St. Johnstone,1-0,Ross County
25/11/23,PRE,Hearts,1-0,St. Johnstone
03/12/23,PRE,St. Johnstone,1-3,Celtic
06/12/23,PRE,St. Johnstone,1-0,St. Mirren
09/12/23,PRE,Motherwell,1-1,St. Johnstone
16/12/23,PRE,St. Johnstone,1-0,Hibernian
20/12/23,PRE,Rangers,2-0,St. Johnstone
23/12/23,PRE,Kilmarnock,2-1,St. Johnstone
27/12/23,PRE,Livingston,0-0,St. Johnstone
20/01/24,FAC,Airdrieonians,1-0,St. Johnstone
24/01/24,PRE,St. Johnstone,1-1,Aberdeen
27/01/24,PRE,St. Johnstone,1-1,Motherwell
03/02/24,PRE,Ross County,0-1,St. Johnstone
07/02/24,PRE,St. Johnstone,0-1,Hearts
11/02/24,PRE,Dundee,2-1,St. Johnstone
18/02/24,PRE,St. Johnstone,0-3,Rangers
24/02/24,PRE,St. Mirren,2-0,St. Johnstone
28/02/24,PRE,Aberdeen,0-2,St. Johnstone
02/03/24,PRE,St. Johnstone,1-1,Livingston
16/03/24,PRE,Celtic,3-1,St. Johnstone
30/03/24,PRE,St. Johnstone,1-2,Dundee
06/04/24,PRE,Hibernian,1-2,St. Johnstone
13/04/24,PRE,St. Johnstone,0-2,Kilmarnock
27/04/24,PRE,St. Johnstone,1-3,Hibernian
04/05/24,PRE,Aberdeen,16:00,St. Johnstone
11/05/24,PRE,Livingston,16:00,St. Johnstone
15/05/24,PRE,St. Johnstone,20:45,Ross County
19/05/24,PRE,Motherwell,16:00,St. Johnstone
02/04/22,PRE,St. Johnstone,1-0,Livingston
09/04/22,PRE,Celtic,7-0,St. Johnstone
