Date,Competition,Home team,Score,Away team
01/07/23,CLF,Linfield,0-1,St. Mirren
04/07/23,CLF,Dumbarton,0-3,St. Mirren
05/07/23,CLF,St. Mirren,1-2,Ayr United
08/07/23,CLF,Greenock Morton,2-0,St. Mirren
15/07/23,LEC,Montrose,1-0,St. Mirren
22/07/23,LEC,St. Mirren,4-0,Arbroath
25/07/23,LEC,Cowdenbeath,0-1,St. Mirren
29/07/23,LEC,St. Mirren,4-0,Forfar Athletic
06/08/23,PRE,Hibernian,2-3,St. Mirren
12/08/23,PRE,St. Mirren,2-1,Dundee
19/08/23,LEC,St. Mirren,1-0,Motherwell
27/08/23,PRE,St. Mirren,2-2,Aberdeen
02/09/23,PRE,Livingston,1-1,St. Mirren
16/09/23,PRE,Motherwell,0-1,St. Mirren
23/09/23,PRE,St. Mirren,1-0,Hearts
27/09/23,LEC,Hibernian,4-2,St. Mirren
30/09/23,PRE,Kilmarnock,1-1,St. Mirren
08/10/23,PRE,St. Mirren,0-3,Rangers
28/10/23,PRE,St. Mirren,4-0,St. Johnstone
01/11/23,PRE,Celtic,2-1,St. Mirren
08/11/23,PRE,St. Mirren,2-2,Hibernian
11/11/23,PRE,Dundee,4-0,St. Mirren
25/11/23,PRE,St. Mirren,1-0,Livingston
28/11/23,PRE,Ross County,1-0,St. Mirren
03/12/23,PRE,Rangers,2-0,St. Mirren
06/12/23,PRE,St. Johnstone,1-0,St. Mirren
09/12/23,PRE,St. Mirren,2-0,Ross County
16/12/23,PRE,St. Mirren,0-0,Motherwell
23/12/23,PRE,Hearts,2-0,St. Mirren
27/12/23,PRE,St. Mirren,0-1,Kilmarnock
30/12/23,PRE,Aberdeen,0-3,St. Mirren
02/01/24,PRE,St. Mirren,0-3,Celtic
20/01/24,FAC,St. Mirren,1-0,Queen of the South
27/01/24,PRE,St. Mirren,0-1,Rangers
03/02/24,PRE,Hibernian,0-3,St. Mirren
07/02/24,PRE,St. Mirren,2-0,Dundee
11/02/24,FAC,St. Mirren,0-2,Celtic
17/02/24,PRE,Livingston,1-0,St. Mirren
24/02/24,PRE,St. Mirren,2-0,St. Johnstone
27/02/24,PRE,Ross County,1-1,St. Mirren
02/03/24,PRE,St. Mirren,2-1,Aberdeen
16/03/24,PRE,Kilmarnock,5-2,St. Mirren
30/03/24,PRE,Motherwell,1-1,St. Mirren
06/04/24,PRE,St. Mirren,1-2,Hearts
13/04/24,PRE,Celtic,3-0,St. Mirren
28/04/24,PRE,St. Mirren,1-2,Rangers
04/05/24,PRE,Dundee,16:00,St. Mirren
11/05/24,PRE,St. Mirren,16:00,Kilmarnock
15/05/24,PRE,St. Mirren,20:45,Hearts
18/05/24,PRE,Celtic,13:30,St. Mirren
15/05/22,PRE,Aberdeen,0-0,St. Mirren
27/06/22,CLF,Crusaders,0-3,St. Mirren
02/07/22,CLF,Linfield,1-2,St. Mirren
05/07/22,CLF,St. Mirren,1-3,Northampton Town
05/07/22,CLF,St. Mirren,CANC,Hartlepool United
09/07/22,LEC,St. Mirren,0-1,Arbroath
16/07/22,LEC,Cowdenbeath,0-2,St. Mirren
19/07/22,LEC,Airdrieonians,2-0,St. Mirren
23/07/22,LEC,St. Mirren,3-1,Edinburgh City
31/07/22,PRE,St. Mirren,0-1,Motherwell
06/08/22,PRE,Aberdeen,4-1,St. Mirren
13/08/22,PRE,St. Mirren,1-0,Ross County
20/08/22,PRE,Dundee United,0-3,St. Mirren
27/08/22,PRE,St. Mirren,1-0,Hibernian
03/09/22,PRE,St. Johnstone,3-0,St. Mirren
18/09/22,PRE,St. Mirren,2-0,Celtic
01/10/22,PRE,St. Mirren,2-1,Livingston
08/10/22,PRE,Rangers,4-0,St. Mirren
15/10/22,PRE,St. Mirren,0-0,Kilmarnock
22/10/22,PRE,St. Mirren,2-1,Dundee United
29/10/22,PRE,Hibernian,3-0,St. Mirren
05/11/22,PRE,Ross County,3-2,St. Mirren
09/11/22,PRE,St. Mirren,2-2,St. Johnstone
12/11/22,PRE,St. Mirren,1-1,Rangers
24/12/22,PRE,St. Mirren,3-1,Aberdeen
28/12/22,PRE,Livingston,1-1,St. Mirren
02/01/23,PRE,Kilmarnock,0-0,St. Mirren
07/01/23,PRE,St. Mirren,1-1,Hearts
13/01/23,PRE,Hearts,1-0,St. Mirren
18/01/23,PRE,Celtic,4-0,St. Mirren
21/01/23,FAC,St. Mirren,P0-0P,Dundee
28/01/23,PRE,St. Mirren,1-0,Motherwell
01/02/23,PRE,Aberdeen,1-3,St. Mirren
04/02/23,PRE,St. Mirren,0-1,Hibernian
11/02/23,FAC,Celtic,5-1,St. Mirren
15/02/23,PRE,Motherwell,2-1,St. Mirren
18/02/23,PRE,St. Mirren,1-0,Ross County
25/02/23,PRE,St. Johnstone,1-1,St. Mirren
05/03/23,PRE,St. Mirren,1-5,Celtic
18/03/23,PRE,Dundee United,1-1,St. Mirren
01/04/23,PRE,St. Mirren,3-0,Livingston
08/04/23,PRE,Hearts,0-2,St. Mirren
15/04/23,PRE,Rangers,5-2,St. Mirren
22/04/23,PRE,St. Mirren,0-2,Kilmarnock
06/05/23,PRE,Hibernian,2-1,St. Mirren
13/05/23,PRE,St. Mirren,2-2,Hearts
20/05/23,PRE,Celtic,2-2,St. Mirren
24/05/23,PRE,Aberdeen,3-0,St. Mirren
27/05/23,PRE,St. Mirren,0-3,Rangers
28/06/23,CLF,Glentoran,0-0,St. Mirren
01/05/21,PRE,St. Mirren,1-2,Hamilton Academical
09/05/21,FAC,St. Mirren,1-2,St. Johnstone
12/05/21,PRE,Kilmarnock,3-3,St. Mirren
16/05/21,PRE,St. Mirren,0-0,Dundee United
03/07/21,CLF,Linfield,0-3,St. Mirren
10/07/21,LEC,Dumbarton,0-3,St. Mirren
13/07/21,LEC,St. Mirren,1-0,Dunfermline Athletic
20/07/21,LEC,Stenhousemuir,1-3,St. Mirren
25/07/21,LEC,St. Mirren,2-0,Partick Thistle
31/07/21,PRE,Dundee,2-2,St. Mirren
07/08/21,PRE,St. Mirren,1-2,Hearts
14/08/21,LEC,Livingston,P1-1P,St. Mirren
21/08/21,PRE,Celtic,6-0,St. Mirren
29/08/21,PRE,St. Mirren,0-0,St. Johnstone
11/09/21,PRE,St. Mirren,0-0,Dundee United
18/09/21,PRE,Hibernian,2-2,St. Mirren
26/09/21,PRE,St. Mirren,3-2,Aberdeen
02/10/21,PRE,Livingston,0-1,St. Mirren
16/10/21,PRE,Ross County,2-3,St. Mirren
24/10/21,PRE,St. Mirren,1-2,Rangers
27/10/21,PRE,Motherwell,2-2,St. Mirren
30/10/21,PRE,St. Mirren,0-1,Dundee
06/11/21,PRE,St. Johnstone,0-0,St. Mirren
20/11/21,PRE,St. Mirren,1-1,Livingston
27/11/21,PRE,Hearts,2-0,St. Mirren
01/12/21,PRE,St. Mirren,0-0,Ross County
04/12/21,PRE,Aberdeen,4-1,St. Mirren
11/12/21,PRE,St. Mirren,1-1,Hibernian
22/12/21,PRE,St. Mirren,0-0,Celtic
26/12/21,PRE,Rangers,2-0,St. Mirren
18/01/22,PRE,Dundee United,1-2,St. Mirren
22/01/22,FAC,Ayr United,0-2,St. Mirren
25/01/22,PRE,St. Mirren,1-0,Aberdeen
01/02/22,PRE,St. Mirren,1-1,Motherwell
05/02/22,PRE,Hibernian,0-1,St. Mirren
09/02/22,PRE,St. Mirren,2-1,St. Johnstone
12/02/22,FAC,St. Mirren,4-0,Kelty Hearts
19/02/22,PRE,Livingston,1-1,St. Mirren
26/02/22,PRE,St. Mirren,0-2,Hearts
02/03/22,PRE,Celtic,2-0,St. Mirren
05/03/22,PRE,Ross County,1-0,St. Mirren
09/03/22,PRE,Dundee,0-1,St. Mirren
12/03/22,FAC,Hearts,4-2,St. Mirren
19/03/22,PRE,St. Mirren,1-2,Dundee United
02/04/22,PRE,Motherwell,4-2,St. Mirren
10/04/22,PRE,St. Mirren,0-4,Rangers
23/04/22,PRE,St. Mirren,0-1,Hibernian
30/04/22,PRE,St. Johnstone,0-1,St. Mirren
07/05/22,PRE,St. Mirren,2-0,Dundee
11/05/22,PRE,St. Mirren,0-0,Livingston
07/03/20,PRE,Celtic,5-0,St. Mirren
11/03/20,PRE,St. Mirren,1-0,Hearts
14/03/20,PRE,Kilmarnock,CANC,St. Mirren
22/03/20,PRE,St. Mirren,CANC,Rangers
04/04/20,PRE,Ross County,CANC,St. Mirren
01/08/20,PRE,St. Mirren,1-0,Livingston
09/08/20,PRE,Rangers,3-0,St. Mirren
15/08/20,PRE,Hamilton Academical,0-1,St. Mirren
22/08/20,PRE,St. Mirren,1-1,Ross County
29/08/20,PRE,St. Johnstone,1-0,St. Mirren
12/09/20,PRE,St. Mirren,0-3,Hibernian
16/09/20,PRE,St. Mirren,1-2,Celtic
19/09/20,PRE,Dundee United,2-1,St. Mirren
26/09/20,PRE,St. Mirren,0-1,Kilmarnock
02/10/20,PRE,Aberdeen,2-1,St. Mirren
07/10/20,LEC,St. Mirren,4-1,Partick Thistle
10/10/20,LEC,Queen of the South,P2-2P,St. Mirren
06/11/20,PRE,St. Mirren,0-0,Dundee United
11/11/20,LEC,St. Mirren,P1-1P,Greenock Morton
14/11/20,LEC,Queen's Park,0-1,St. Mirren
21/11/20,PRE,Livingston,0-1,St. Mirren
28/11/20,LEC,St. Mirren,2-1,Aberdeen
05/12/20,PRE,St. Mirren,1-1,Aberdeen
12/12/20,PRE,Motherwell,0-1,St. Mirren
