Date,Competition,Home team,Score,Away team
13/05/23,LAL,Osasuna,3-1,Almeria
20/05/23,LAL,Almeria,3-0,Mallorca
23/05/23,LAL,Real Sociedad,1-0,Almeria
28/05/23,LAL,Almeria,0-0,Real Valladolid
04/06/23,LAL,Espanyol,3-3,Almeria
18/07/23,CLF,El Ejido,0-7,Almeria
23/07/23,CLF,Almeria,0-0,Las Palmas
27/07/23,CLF,Almeria,0-1,Malaga
31/07/23,CLF,Almeria,1-1,Antequera
05/08/23,CLF,Granada,0-1,Almeria
11/08/23,LAL,Almeria,0-2,Rayo Vallecano
19/08/23,LAL,Almeria,1-3,Real Madrid
26/08/23,LAL,Cadiz,1-1,Almeria
01/09/23,LAL,Almeria,2-3,Celta Vigo
17/09/23,LAL,Villarreal,2-1,Almeria
23/09/23,LAL,Almeria,2-2,Valencia
26/09/23,LAL,Sevilla,5-1,Almeria
01/10/23,LAL,Almeria,3-3,Granada
06/10/23,LAL,Athletic Bilbao,3-0,Almeria
22/10/23,LAL,Girona,5-2,Almeria
28/10/23,LAL,Almeria,1-2,Las Palmas
31/10/23,CDR,Talavera,0-2,Almeria
05/11/23,LAL,Alaves,1-0,Almeria
11/11/23,LAL,Almeria,1-3,Real Sociedad
25/11/23,LAL,Getafe,2-1,Almeria
03/12/23,LAL,Almeria,0-0,Real Betis
06/12/23,CDR,Barbastro,1-0,Almeria
10/12/23,LAL,Atletico Madrid,2-1,Almeria
17/12/23,LAL,Almeria,0-0,Mallorca
20/12/23,LAL,Barcelona,3-2,Almeria
04/01/24,LAL,Osasuna,1-0,Almeria
14/01/24,LAL,Almeria,0-0,Girona
21/01/24,LAL,Real Madrid,3-2,Almeria
26/01/24,LAL,Almeria,0-3,Alaves
03/02/24,LAL,Valencia,2-1,Almeria
12/02/24,LAL,Almeria,0-0,Athletic Bilbao
18/02/24,LAL,Granada,1-1,Almeria
24/02/24,LAL,Almeria,2-2,Atletico Madrid
01/03/24,LAL,Celta Vigo,1-0,Almeria
11/03/24,LAL,Almeria,2-2,Sevilla
17/03/24,LAL,Las Palmas,0-1,Almeria
30/03/24,LAL,Almeria,0-3,Osasuna
14/04/24,LAL,Real Sociedad,2-2,Almeria
21/04/24,LAL,Almeria,1-2,Villarreal
27/04/24,LAL,Almeria,1-3,Getafe
05/05/24,LAL,Rayo Vallecano,21:00,Almeria
12/05/24,LAL,Real Betis,21:00,Almeria
16/05/24,LAL,Almeria,21:30,Barcelona
19/05/24,LAL,Mallorca,-,Almeria
26/05/24,LAL,Almeria,-,Cadiz
16/04/22,SED,Real Valladolid,2-2,Almeria
25/04/22,SED,Almeria,1-0,Sporting Gijon
30/04/22,SED,Burgos,0-2,Almeria
07/05/22,SED,Almeria,3-0,Amorebieta
13/05/22,SED,Real Sociedad B,0-2,Almeria
21/05/22,SED,Almeria,1-1,Alcorcon
29/05/22,SED,Leganes,2-2,Almeria
17/07/22,CLF,Almeria,1-0,Vélez
23/07/22,CLF,Almeria,1-2,Córdoba
24/07/22,CLF,San Fernando CD,2-3,Almeria
30/07/22,CLF,Granada,3-2,Almeria
05/08/22,CLF,Almeria,1-0,FC Cartagena
14/08/22,LAL,Almeria,1-2,Real Madrid
22/08/22,LAL,Elche,1-1,Almeria
27/08/22,LAL,Almeria,2-1,Sevilla
05/09/22,LAL,Real Valladolid,1-0,Almeria
12/09/22,LAL,Almeria,0-1,Osasuna
17/09/22,LAL,Mallorca,1-0,Almeria
30/09/22,LAL,Athletic Bilbao,4-0,Almeria
08/10/22,LAL,Almeria,3-1,Rayo Vallecano
16/10/22,LAL,Real Betis,3-1,Almeria
20/10/22,LAL,Almeria,3-2,Girona
23/10/22,LAL,Villarreal,2-1,Almeria
29/10/22,LAL,Almeria,3-1,Celta Vigo
05/11/22,LAL,Barcelona,2-0,Almeria
09/11/22,LAL,Almeria,1-0,Getafe
13/11/22,CDR,Arenteiro,2-0,Almeria
03/12/22,CLF,Sturm Graz,1-0,Almeria
04/12/22,CLF,Hearts,CANC,Almeria
16/12/22,CLF,Almeria,1-1,Torino
22/12/22,CLF,Almeria,2-0,Lazio
30/12/22,LAL,Cadiz,1-1,Almeria
08/01/23,LAL,Almeria,0-2,Real Sociedad
15/01/23,LAL,Almeria,1-1,Atletico Madrid
23/01/23,LAL,Valencia,2-2,Almeria
27/01/23,LAL,Almeria,3-1,Espanyol
06/02/23,LAL,Rayo Vallecano,2-0,Almeria
11/02/23,LAL,Almeria,2-3,Real Betis
17/02/23,LAL,Girona,6-2,Almeria
26/02/23,LAL,Almeria,1-0,Barcelona
04/03/23,LAL,Almeria,0-2,Villarreal
12/03/23,LAL,Sevilla,2-1,Almeria
18/03/23,LAL,Almeria,1-1,Cadiz
02/04/23,LAL,Celta Vigo,2-2,Almeria
09/04/23,LAL,Almeria,2-1,Valencia
16/04/23,LAL,Atletico Madrid,2-1,Almeria
22/04/23,LAL,Almeria,1-2,Athletic Bilbao
26/04/23,LAL,Getafe,1-2,Almeria
29/04/23,LAL,Real Madrid,4-2,Almeria
02/05/23,LAL,Almeria,2-1,Elche
07/05/21,SED,Tenerife,0-1,Almeria
15/05/21,SED,Almeria,1-1,Albacete
18/05/21,SED,FC Cartagena,3-2,Almeria
24/05/21,SED,Almeria,2-1,UD Logroñés
30/05/21,SED,Sporting Gijon,0-2,Almeria
02/06/21,SED,Girona,3-0,Almeria
05/06/21,SED,Almeria,0-0,Girona
25/07/21,CLF,Águilas,0-1,Almeria
31/07/21,CLF,Malaga,1-1,Almeria
01/08/21,CLF,Cadiz,1-2,Almeria
04/08/21,CLF,Almeria,2-1,Real Betis
08/08/21,CLF,Almeria,1-0,Real Betis II
16/08/21,SED,FC Cartagena,1-3,Almeria
20/08/21,SED,Almeria,2-1,Real Oviedo
29/08/21,SED,Amorebieta,2-1,Almeria
04/09/21,SED,Almeria,2-0,Malaga
12/09/21,SED,Ponferradina,1-0,Almeria
17/09/21,SED,Alcorcon,0-4,Almeria
24/09/21,SED,Almeria,3-1,Tenerife
04/10/21,SED,Girona,1-2,Almeria
09/10/21,SED,Almeria,1-1,Las Palmas
15/10/21,SED,Eibar,1-0,Almeria
21/10/21,SED,Almeria,3-1,Real Sociedad B
24/10/21,SED,Mirandes,1-4,Almeria
29/10/21,SED,Almeria,1-0,Leganes
02/11/21,SED,Sporting Gijon,0-1,Almeria
07/11/21,SED,Almeria,2-0,Burgos
14/11/21,SED,Ibiza,0-1,Almeria
20/11/21,SED,Almeria,3-1,Real Valladolid
27/11/21,SED,Almeria,0-0,Huesca
30/11/21,CDR,Águilas,P1-1P,Almeria
04/12/21,SED,Fuenlabrada,1-1,Almeria
11/12/21,SED,Almeria,3-0,Real Zaragoza
16/12/21,CDR,Amorebieta,1-2,Almeria
02/01/22,SED,Almeria,0-1,FC Cartagena
06/01/22,CDR,Almeria,1-2,Elche
09/01/22,SED,Las Palmas,1-1,Almeria
19/01/22,SED,Lugo,2-1,Almeria
24/01/22,SED,Almeria,0-2,Eibar
29/01/22,SED,Real Oviedo,2-0,Almeria
04/02/22,SED,Almeria,2-0,Ibiza
12/02/22,SED,Malaga,0-1,Almeria
20/02/22,SED,Almeria,2-1,Mirandes
25/02/22,SED,Almeria,3-1,Fuenlabrada
04/03/22,SED,Real Zaragoza,2-0,Almeria
12/03/22,SED,Almeria,3-3,Lugo
21/03/22,SED,Tenerife,0-1,Almeria
27/03/22,SED,Almeria,0-1,Girona
03/04/22,SED,Huesca,1-1,Almeria
11/04/22,SED,Almeria,3-0,Ponferradina
17/07/20,SED,Ponferradina,2-1,Almeria
20/07/20,SED,Almeria,0-0,Malaga
13/08/20,SED,Girona,1-0,Almeria
16/08/20,SED,Almeria,1-2,Girona
02/09/20,CLF,Real Betis,2-0,Almeria
05/09/20,CLF,Espanyol,4-0,Almeria
09/09/20,CLF,Cadiz,1-1,Almeria
12/09/20,CLF,Badajoz,CANC,Almeria
27/09/20,SED,Lugo,0-2,Almeria
04/10/20,SED,Almeria,0-1,Sporting Gijon
10/10/20,SED,UD Logroñés,1-0,Almeria
17/10/20,SED,Las Palmas,2-0,Almeria
21/10/20,SED,Almeria,1-1,FC Cartagena
24/10/20,SED,Almeria,3-0,Fuenlabrada
28/10/20,SED,Castellón,1-2,Almeria
01/11/20,SED,Almeria,0-0,Girona
05/11/20,SED,Sabadell,1-2,Almeria
08/11/20,SED,Rayo Vallecano,0-1,Almeria
14/11/20,SED,Almeria,2-1,Mirandes
23/11/20,SED,Albacete,1-2,Almeria
26/11/20,SED,Almeria,2-0,Tenerife
