Date,Competition,Home team,Score,Away team
29/07/23,CLF,Athletic Bilbao,1-2,Gimnástica Torrelavega
01/08/23,CLF,Celtic,3-2,Athletic Bilbao
03/08/23,CLF,Athletic Bilbao,1-1,Eibar
06/08/23,CLF,Manchester United,1-1,Athletic Bilbao
12/08/23,LAL,Athletic Bilbao,0-2,Real Madrid
19/08/23,LAL,Osasuna,0-2,Athletic Bilbao
27/08/23,LAL,Athletic Bilbao,4-2,Real Betis
03/09/23,LAL,Mallorca,0-0,Athletic Bilbao
16/09/23,LAL,Athletic Bilbao,3-0,Cadiz
22/09/23,LAL,Alaves,0-2,Athletic Bilbao
27/09/23,LAL,Athletic Bilbao,2-2,Getafe
30/09/23,LAL,Real Sociedad,3-0,Athletic Bilbao
06/10/23,LAL,Athletic Bilbao,3-0,Almeria
22/10/23,LAL,Barcelona,1-0,Athletic Bilbao
29/10/23,LAL,Athletic Bilbao,2-2,Valencia
01/11/23,CDR,Rubí,1-2,Athletic Bilbao
05/11/23,LAL,Villarreal,2-3,Athletic Bilbao
10/11/23,LAL,Athletic Bilbao,4-3,Celta Vigo
27/11/23,LAL,Girona,1-1,Athletic Bilbao
02/12/23,LAL,Athletic Bilbao,4-0,Rayo Vallecano
07/12/23,CDR,Cayón,0-3,Athletic Bilbao
11/12/23,LAL,Granada,1-1,Athletic Bilbao
16/12/23,LAL,Athletic Bilbao,2-0,Atletico Madrid
20/12/23,LAL,Athletic Bilbao,1-0,Las Palmas
04/01/24,LAL,Sevilla,0-2,Athletic Bilbao
07/01/24,CDR,Eibar,0-3,Athletic Bilbao
13/01/24,LAL,Athletic Bilbao,2-1,Real Sociedad
16/01/24,CDR,Athletic Bilbao,2-0,Alaves
20/01/24,LAL,Valencia,1-0,Athletic Bilbao
24/01/24,CDR,Athletic Bilbao,E4-2E,Barcelona
28/01/24,LAL,Cadiz,0-0,Athletic Bilbao
02/02/24,LAL,Athletic Bilbao,4-0,Mallorca
07/02/24,CDR,Atletico Madrid,0-1,Athletic Bilbao
12/02/24,LAL,Almeria,0-0,Athletic Bilbao
19/02/24,LAL,Athletic Bilbao,3-2,Girona
25/02/24,LAL,Real Betis,3-1,Athletic Bilbao
29/02/24,CDR,Athletic Bilbao,3-0,Atletico Madrid
03/03/24,LAL,Athletic Bilbao,0-0,Barcelona
10/03/24,LAL,Las Palmas,0-2,Athletic Bilbao
16/03/24,LAL,Athletic Bilbao,2-0,Alaves
31/03/24,LAL,Real Madrid,2-0,Athletic Bilbao
06/04/24,CDR,Athletic Bilbao,P1-1P,Mallorca
14/04/24,LAL,Athletic Bilbao,1-1,Villarreal
19/04/24,LAL,Athletic Bilbao,1-1,Granada
27/04/24,LAL,Atletico Madrid,3-1,Athletic Bilbao
03/05/24,LAL,Getafe,21:00,Athletic Bilbao
11/05/24,LAL,Athletic Bilbao,21:00,Osasuna
15/05/24,LAL,Celta Vigo,22:00,Athletic Bilbao
19/05/24,LAL,Athletic Bilbao,-,Sevilla
