Date,Competition,Home team,Score,Away team
19/09/23,UCL,Lazio,1-1,Atletico Madrid
24/09/23,LAL,Atletico Madrid,3-1,Real Madrid
28/09/23,LAL,Osasuna,0-2,Atletico Madrid
01/10/23,LAL,Atletico Madrid,3-2,Cadiz
04/10/23,UCL,Atletico Madrid,3-2,Feyenoord
08/10/23,LAL,Atletico Madrid,2-1,Real Sociedad
21/10/23,LAL,Celta Vigo,0-3,Atletico Madrid
25/10/23,UCL,Celtic,2-2,Atletico Madrid
29/10/23,LAL,Atletico Madrid,2-1,Alaves
03/11/23,LAL,Las Palmas,2-1,Atletico Madrid
07/11/23,UCL,Atletico Madrid,6-0,Celtic
12/11/23,LAL,Atletico Madrid,3-1,Villarreal
25/11/23,LAL,Atletico Madrid,1-0,Mallorca
28/11/23,UCL,Feyenoord,1-3,Atletico Madrid
03/12/23,LAL,Barcelona,1-0,Atletico Madrid
10/12/23,LAL,Atletico Madrid,2-1,Almeria
13/12/23,UCL,Atletico Madrid,2-0,Lazio
16/12/23,LAL,Athletic Bilbao,2-0,Atletico Madrid
19/12/23,LAL,Atletico Madrid,3-3,Getafe
23/12/23,LAL,Atletico Madrid,1-0,Sevilla
03/01/24,LAL,Girona,4-3,Atletico Madrid
06/01/24,CDR,Lugo,1-3,Atletico Madrid
10/01/24,SUC,Real Madrid,E5-3E,Atletico Madrid
18/01/24,CDR,Atletico Madrid,E4-2E,Real Madrid
22/01/24,LAL,Granada,0-1,Atletico Madrid
25/01/24,CDR,Atletico Madrid,1-0,Sevilla
28/01/24,LAL,Atletico Madrid,2-0,Valencia
31/01/24,LAL,Atletico Madrid,2-1,Rayo Vallecano
04/02/24,LAL,Real Madrid,1-1,Atletico Madrid
07/02/24,CDR,Atletico Madrid,0-1,Athletic Bilbao
11/02/24,LAL,Sevilla,1-0,Atletico Madrid
17/02/24,LAL,Atletico Madrid,5-0,Las Palmas
20/02/24,UCL,Inter Milan,1-0,Atletico Madrid
24/02/24,LAL,Almeria,2-2,Atletico Madrid
29/02/24,CDR,Athletic Bilbao,3-0,Atletico Madrid
03/03/24,LAL,Atletico Madrid,2-1,Real Betis
09/03/24,LAL,Cadiz,2-0,Atletico Madrid
13/03/24,UCL,Atletico Madrid,P2-1P,Inter Milan
17/03/24,LAL,Atletico Madrid,0-3,Barcelona
01/04/24,LAL,Villarreal,1-2,Atletico Madrid
10/04/24,UCL,Atletico Madrid,2-1,Borussia Dortmund
13/04/24,LAL,Atletico Madrid,3-1,Girona
16/04/24,UCL,Borussia Dortmund,4-2,Atletico Madrid
21/04/24,LAL,Alaves,2-0,Atletico Madrid
27/04/24,LAL,Atletico Madrid,3-1,Athletic Bilbao
04/05/24,LAL,Mallorca,21:00,Atletico Madrid
12/05/24,LAL,Atletico Madrid,16:15,Celta Vigo
15/05/24,LAL,Getafe,22:00,Atletico Madrid
19/05/24,LAL,Atletico Madrid,-,Osasuna
26/05/24,LAL,Real Sociedad,-,Atletico Madrid
08/10/22,LAL,Atletico Madrid,2-1,Girona
12/10/22,UCL,Atletico Madrid,0-0,Club Brugge
15/10/22,LAL,Athletic Bilbao,0-1,Atletico Madrid
18/10/22,LAL,Atletico Madrid,1-1,Rayo Vallecano
23/10/22,LAL,Real Betis,1-2,Atletico Madrid
26/10/22,UCL,Atletico Madrid,2-2,Bayer Leverkusen
29/10/22,LAL,Cadiz,3-2,Atletico Madrid
01/11/22,UCL,Porto,2-1,Atletico Madrid
06/11/22,LAL,Atletico Madrid,1-1,Espanyol
09/11/22,LAL,Mallorca,1-0,Atletico Madrid
12/11/22,CDR,Almazán,0-2,Atletico Madrid
14/12/22,CLF,Ponferradina,2-4,Atletico Madrid
22/12/22,CDR,Arenteiro,1-3,Atletico Madrid
29/12/22,LAL,Atletico Madrid,2-0,Elche
04/01/23,CDR,Real Oviedo,0-2,Atletico Madrid
08/01/23,LAL,Atletico Madrid,0-1,Barcelona
15/01/23,LAL,Almeria,1-1,Atletico Madrid
18/01/23,CDR,Levante,0-2,Atletico Madrid
21/01/23,LAL,Atletico Madrid,3-0,Real Valladolid
26/01/23,CDR,Real Madrid,E3-1E,Atletico Madrid
29/01/23,LAL,Osasuna,0-1,Atletico Madrid
04/02/23,LAL,Atletico Madrid,1-1,Getafe
12/02/23,LAL,Celta Vigo,0-1,Atletico Madrid
19/02/23,LAL,Atletico Madrid,1-0,Athletic Bilbao
25/02/23,LAL,Real Madrid,1-1,Atletico Madrid
04/03/23,LAL,Atletico Madrid,6-1,Sevilla
13/03/23,LAL,Girona,0-1,Atletico Madrid
18/03/23,LAL,Atletico Madrid,3-0,Valencia
02/04/23,LAL,Atletico Madrid,1-0,Real Betis
09/04/23,LAL,Rayo Vallecano,1-2,Atletico Madrid
12/04/23,CLF,Besiktas,2-0,Atletico Madrid
16/04/23,LAL,Atletico Madrid,2-1,Almeria
23/04/23,LAL,Barcelona,1-0,Atletico Madrid
26/04/23,LAL,Atletico Madrid,3-1,Mallorca
30/04/23,LAL,Real Valladolid,2-5,Atletico Madrid
03/05/23,LAL,Atletico Madrid,5-1,Cadiz
14/05/23,LAL,Elche,1-0,Atletico Madrid
21/05/23,LAL,Atletico Madrid,3-0,Osasuna
24/05/23,LAL,Espanyol,3-3,Atletico Madrid
28/05/23,LAL,Atletico Madrid,2-1,Real Sociedad
04/06/23,LAL,Villarreal,2-2,Atletico Madrid
27/07/23,HYF,K-League XI,3-2,Atletico Madrid
30/07/23,CLF,Manchester City,1-2,Atletico Madrid
03/08/23,CLF,Atletico Madrid,0-0,Real Sociedad
06/08/23,CLF,Sevilla,1-1,Atletico Madrid
14/08/23,LAL,Atletico Madrid,3-1,Granada
20/08/23,LAL,Real Betis,0-0,Atletico Madrid
24/08/23,CLF,Numancia,0-2,Atletico Madrid
28/08/23,LAL,Rayo Vallecano,0-7,Atletico Madrid
16/09/23,LAL,Valencia,3-0,Atletico Madrid
07/11/21,LAL,Valencia,3-3,Atletico Madrid
20/11/21,LAL,Atletico Madrid,1-0,Osasuna
24/11/21,UCL,Atletico Madrid,0-1,AC Milan
28/11/21,LAL,Cadiz,1-4,Atletico Madrid
04/12/21,LAL,Atletico Madrid,1-2,Mallorca
07/12/21,UCL,Porto,1-3,Atletico Madrid
12/12/21,LAL,Real Madrid,2-0,Atletico Madrid
18/12/21,LAL,Sevilla,2-1,Atletico Madrid
22/12/21,LAL,Granada,2-1,Atletico Madrid
02/01/22,LAL,Atletico Madrid,2-0,Rayo Vallecano
06/01/22,CDR,Rayo Majadahonda,0-5,Atletico Madrid
09/01/22,LAL,Villarreal,2-2,Atletico Madrid
13/01/22,SUC,Atletico Madrid,1-2,Athletic Bilbao
19/01/22,CDR,Real Sociedad,2-0,Atletico Madrid
22/01/22,LAL,Atletico Madrid,3-2,Valencia
06/02/22,LAL,Barcelona,4-2,Atletico Madrid
12/02/22,LAL,Atletico Madrid,4-3,Getafe
16/02/22,LAL,Atletico Madrid,0-1,Levante
19/02/22,LAL,Osasuna,0-3,Atletico Madrid
23/02/22,UCL,Atletico Madrid,1-1,Manchester United
26/02/22,LAL,Atletico Madrid,2-0,Celta Vigo
06/03/22,LAL,Real Betis,1-3,Atletico Madrid
11/03/22,LAL,Atletico Madrid,2-1,Cadiz
15/03/22,UCL,Manchester United,0-1,Atletico Madrid
19/03/22,LAL,Rayo Vallecano,0-1,Atletico Madrid
02/04/22,LAL,Atletico Madrid,4-1,Alaves
05/04/22,UCL,Manchester City,1-0,Atletico Madrid
09/04/22,LAL,Mallorca,1-0,Atletico Madrid
13/04/22,UCL,Atletico Madrid,0-0,Manchester City
17/04/22,LAL,Atletico Madrid,2-1,Espanyol
20/04/22,LAL,Atletico Madrid,0-0,Granada
30/04/22,LAL,Athletic Bilbao,2-0,Atletico Madrid
08/05/22,LAL,Atletico Madrid,1-0,Real Madrid
11/05/22,LAL,Elche,0-2,Atletico Madrid
15/05/22,LAL,Atletico Madrid,1-1,Sevilla
22/05/22,LAL,Real Sociedad,1-2,Atletico Madrid
27/07/22,CLF,Numancia,0-4,Atletico Madrid
30/07/22,CLF,Atletico Madrid,1-0,Manchester United
04/08/22,CLF,Cadiz,1-4,Atletico Madrid
07/08/22,CLF,Juventus,0-4,Atletico Madrid
15/08/22,LAL,Getafe,0-3,Atletico Madrid
21/08/22,LAL,Atletico Madrid,0-2,Villarreal
29/08/22,LAL,Valencia,0-1,Atletico Madrid
03/09/22,LAL,Real Sociedad,1-1,Atletico Madrid
07/09/22,UCL,Atletico Madrid,2-1,Porto
10/09/22,LAL,Atletico Madrid,4-1,Celta Vigo
13/09/22,UCL,Bayer Leverkusen,2-0,Atletico Madrid
18/09/22,LAL,Atletico Madrid,1-2,Real Madrid
01/10/22,LAL,Sevilla,0-2,Atletico Madrid
04/10/22,UCL,Club Brugge,2-0,Atletico Madrid
19/12/20,LAL,Atletico Madrid,3-1,Elche
22/12/20,LAL,Real Sociedad,0-2,Atletico Madrid
30/12/20,LAL,Atletico Madrid,1-0,Getafe
03/01/21,LAL,Alaves,1-2,Atletico Madrid
06/01/21,CDR,Cornellà,1-0,Atletico Madrid
12/01/21,LAL,Atletico Madrid,2-0,Sevilla
21/01/21,LAL,Eibar,1-2,Atletico Madrid
24/01/21,LAL,Atletico Madrid,3-1,Valencia
31/01/21,LAL,Cadiz,2-4,Atletico Madrid
08/02/21,LAL,Atletico Madrid,2-2,Celta Vigo
13/02/21,LAL,Granada,1-2,Atletico Madrid
17/02/21,LAL,Levante,1-1,Atletico Madrid
20/02/21,LAL,Atletico Madrid,0-2,Levante
23/02/21,UCL,Atletico Madrid,0-1,Chelsea
28/02/21,LAL,Villarreal,0-2,Atletico Madrid
07/03/21,LAL,Atletico Madrid,1-1,Real Madrid
10/03/21,LAL,Atletico Madrid,2-1,Athletic Bilbao
13/03/21,LAL,Getafe,0-0,Atletico Madrid
17/03/21,UCL,Chelsea,2-0,Atletico Madrid
21/03/21,LAL,Atletico Madrid,1-0,Alaves
04/04/21,LAL,Sevilla,1-0,Atletico Madrid
11/04/21,LAL,Real Betis,1-1,Atletico Madrid
18/04/21,LAL,Atletico Madrid,5-0,Eibar
22/04/21,LAL,Atletico Madrid,2-0,Huesca
25/04/21,LAL,Athletic Bilbao,2-1,Atletico Madrid
01/05/21,LAL,Elche,0-1,Atletico Madrid
08/05/21,LAL,Barcelona,0-0,Atletico Madrid
12/05/21,LAL,Atletico Madrid,2-1,Real Sociedad
16/05/21,LAL,Atletico Madrid,2-1,Osasuna
22/05/21,LAL,Real Valladolid,1-2,Atletico Madrid
23/07/21,CLF,Numancia,P1-1P,Atletico Madrid
28/07/21,CLF,Salzburg,1-0,Atletico Madrid
31/07/21,CLF,Wolfsburg,1-2,Atletico Madrid
04/08/21,CLF,Cadiz,P1-1P,Atletico Madrid
08/08/21,CLF,Feyenoord,2-1,Atletico Madrid
