Date,Competition,Home team,Score,Away team
26/09/23,LAL,Mallorca,2-2,Barcelona
29/09/23,LAL,Barcelona,1-0,Sevilla
04/10/23,UCL,Porto,0-1,Barcelona
08/10/23,LAL,Granada,2-2,Barcelona
22/10/23,LAL,Barcelona,1-0,Athletic Bilbao
25/10/23,UCL,Barcelona,2-1,Shakhtar Donetsk
28/10/23,LAL,Barcelona,1-2,Real Madrid
04/11/23,LAL,Real Sociedad,0-1,Barcelona
07/11/23,UCL,Shakhtar Donetsk,1-0,Barcelona
12/11/23,LAL,Barcelona,2-1,Alaves
25/11/23,LAL,Rayo Vallecano,1-1,Barcelona
28/11/23,UCL,Barcelona,2-1,Porto
03/12/23,LAL,Barcelona,1-0,Atletico Madrid
10/12/23,LAL,Barcelona,2-4,Girona
13/12/23,UCL,Antwerp,3-2,Barcelona
16/12/23,LAL,Valencia,1-1,Barcelona
20/12/23,LAL,Barcelona,3-2,Almeria
22/12/23,CLF,Barcelona,2-3,América
04/01/24,LAL,Las Palmas,1-2,Barcelona
07/01/24,CDR,Barbastro,2-3,Barcelona
11/01/24,SUC,Barcelona,2-0,Osasuna
14/01/24,SUC,Real Madrid,4-1,Barcelona
18/01/24,CDR,Unionistas de Salamanca,1-3,Barcelona
21/01/24,LAL,Real Betis,2-4,Barcelona
24/01/24,CDR,Athletic Bilbao,E4-2E,Barcelona
27/01/24,LAL,Barcelona,3-5,Villarreal
31/01/24,LAL,Barcelona,1-0,Osasuna
03/02/24,LAL,Alaves,1-3,Barcelona
11/02/24,LAL,Barcelona,3-3,Granada
17/02/24,LAL,Celta Vigo,1-2,Barcelona
21/02/24,UCL,Napoli,1-1,Barcelona
24/02/24,LAL,Barcelona,4-0,Getafe
03/03/24,LAL,Athletic Bilbao,0-0,Barcelona
08/03/24,LAL,Barcelona,1-0,Mallorca
12/03/24,UCL,Barcelona,3-1,Napoli
17/03/24,LAL,Atletico Madrid,0-3,Barcelona
30/03/24,LAL,Barcelona,1-0,Las Palmas
10/04/24,UCL,PSG,2-3,Barcelona
13/04/24,LAL,Cadiz,0-1,Barcelona
16/04/24,UCL,Barcelona,1-4,PSG
21/04/24,LAL,Real Madrid,3-2,Barcelona
29/04/24,LAL,Barcelona,4-2,Valencia
04/05/24,LAL,Girona,18:30,Barcelona
13/05/24,LAL,Barcelona,21:00,Real Sociedad
16/05/24,LAL,Almeria,21:30,Barcelona
19/05/24,LAL,Barcelona,-,Rayo Vallecano
26/05/24,LAL,Sevilla,-,Barcelona
30/07/24,CLF,Manchester City,-,Barcelona
03/08/24,CLF,Barcelona,-,Real Madrid
06/08/24,CLF,Barcelona,-,AC Milan
26/10/22,UCL,Barcelona,0-3,Bayern Munich
29/10/22,LAL,Valencia,0-1,Barcelona
01/11/22,UCL,Viktoria Plzen,2-4,Barcelona
05/11/22,LAL,Barcelona,2-0,Almeria
08/11/22,LAL,Osasuna,1-2,Barcelona
31/12/22,LAL,Barcelona,1-1,Espanyol
04/01/23,CDR,Intercity,E3-4E,Barcelona
08/01/23,LAL,Atletico Madrid,0-1,Barcelona
12/01/23,SUC,Real Betis,P2-2P,Barcelona
15/01/23,SUC,Real Madrid,1-3,Barcelona
19/01/23,CDR,Ceuta,0-5,Barcelona
22/01/23,LAL,Barcelona,1-0,Getafe
25/01/23,CDR,Barcelona,1-0,Real Sociedad
28/01/23,LAL,Girona,0-1,Barcelona
01/02/23,LAL,Real Betis,1-2,Barcelona
05/02/23,LAL,Barcelona,3-0,Sevilla
12/02/23,LAL,Villarreal,0-1,Barcelona
16/02/23,UEL,Barcelona,2-2,Manchester United
19/02/23,LAL,Barcelona,2-0,Cadiz
23/02/23,UEL,Manchester United,2-1,Barcelona
26/02/23,LAL,Almeria,1-0,Barcelona
02/03/23,CDR,Real Madrid,0-1,Barcelona
05/03/23,LAL,Barcelona,1-0,Valencia
12/03/23,LAL,Athletic Bilbao,0-1,Barcelona
19/03/23,LAL,Barcelona,2-1,Real Madrid
01/04/23,LAL,Elche,0-4,Barcelona
05/04/23,CDR,Barcelona,0-4,Real Madrid
10/04/23,LAL,Barcelona,0-0,Girona
16/04/23,LAL,Getafe,0-0,Barcelona
23/04/23,LAL,Barcelona,1-0,Atletico Madrid
26/04/23,LAL,Rayo Vallecano,2-1,Barcelona
29/04/23,LAL,Barcelona,4-0,Real Betis
02/05/23,LAL,Barcelona,1-0,Osasuna
14/05/23,LAL,Espanyol,2-4,Barcelona
20/05/23,LAL,Barcelona,1-2,Real Sociedad
23/05/23,LAL,Real Valladolid,3-1,Barcelona
28/05/23,LAL,Barcelona,3-0,Mallorca
04/06/23,LAL,Celta Vigo,2-1,Barcelona
06/06/23,CLF,Vissel Kobe,0-2,Barcelona
27/07/23,CLF,Arsenal,5-3,Barcelona
29/07/23,CLF,Barcelona,3-0,Real Madrid
02/08/23,CLF,AC Milan,0-1,Barcelona
08/08/23,TJG,Barcelona,4-2,Tottenham Hotspur
13/08/23,LAL,Getafe,0-0,Barcelona
20/08/23,LAL,Barcelona,2-0,Cadiz
27/08/23,LAL,Villarreal,3-4,Barcelona
03/09/23,LAL,Osasuna,1-2,Barcelona
16/09/23,LAL,Barcelona,5-0,Real Betis
19/09/23,UCL,Barcelona,5-0,Antwerp
23/09/23,LAL,Barcelona,3-2,Celta Vigo
08/01/22,LAL,Granada,1-1,Barcelona
12/01/22,SUC,Barcelona,E2-3E,Real Madrid
20/01/22,CDR,Athletic Bilbao,E3-2E,Barcelona
23/01/22,LAL,Alaves,0-1,Barcelona
06/02/22,LAL,Barcelona,4-2,Atletico Madrid
13/02/22,LAL,Espanyol,2-2,Barcelona
17/02/22,UEL,Barcelona,1-1,Napoli
20/02/22,LAL,Valencia,1-4,Barcelona
24/02/22,UEL,Napoli,2-4,Barcelona
27/02/22,LAL,Barcelona,4-0,Athletic Bilbao
06/03/22,LAL,Elche,1-2,Barcelona
10/03/22,UEL,Barcelona,0-0,Galatasaray
13/03/22,LAL,Barcelona,4-0,Osasuna
17/03/22,UEL,Galatasaray,1-2,Barcelona
20/03/22,LAL,Real Madrid,0-4,Barcelona
03/04/22,LAL,Barcelona,1-0,Sevilla
07/04/22,UEL,Eintracht Frankfurt,1-1,Barcelona
10/04/22,LAL,Levante,2-3,Barcelona
14/04/22,UEL,Barcelona,2-3,Eintracht Frankfurt
