Date,Competition,Home team,Score,Away team
28/05/23,LAL,Cadiz,1-0,Celta Vigo
04/06/23,LAL,Elche,1-1,Cadiz
14/07/23,CLF,Cadiz,5-0,Barbate
15/07/23,CLF,Chiclana,1-9,Cadiz
23/07/23,CLF,Espanyol,0-1,Cadiz
26/07/23,CLF,Cadiz,3-1,Al Wakrah
28/07/23,CLF,Cadiz,0-1,Las Palmas
04/08/23,CLF,Córdoba,P1-1P,Cadiz
06/08/23,CLF,Cadiz,P1-1P,Lecce
14/08/23,LAL,Cadiz,1-0,Alaves
20/08/23,LAL,Barcelona,2-0,Cadiz
26/08/23,LAL,Cadiz,1-1,Almeria
01/09/23,LAL,Cadiz,3-1,Villarreal
16/09/23,LAL,Athletic Bilbao,3-0,Cadiz
24/09/23,LAL,Real Betis,1-1,Cadiz
27/09/23,LAL,Cadiz,0-0,Rayo Vallecano
01/10/23,LAL,Atletico Madrid,3-2,Cadiz
07/10/23,LAL,Cadiz,0-1,Girona
23/10/23,LAL,Valencia,2-0,Cadiz
28/10/23,LAL,Cadiz,2-2,Sevilla
01/11/23,CDR,Badalona,P0-0P,Cadiz
06/11/23,LAL,Getafe,1-0,Cadiz
16/11/23,CLF,Sanluqueño,0-2,Cadiz
26/11/23,LAL,Cadiz,0-3,Real Madrid
29/11/23,LAL,Mallorca,1-1,Cadiz
04/12/23,LAL,Celta Vigo,1-1,Cadiz
07/12/23,CDR,Arandina,2-1,Cadiz
10/12/23,LAL,Cadiz,1-1,Osasuna
17/12/23,LAL,Las Palmas,1-1,Cadiz
21/12/23,LAL,Cadiz,0-0,Real Sociedad
03/01/24,LAL,Granada,2-0,Cadiz
14/01/24,LAL,Cadiz,1-4,Valencia
19/01/24,LAL,Alaves,1-0,Cadiz
28/01/24,LAL,Cadiz,0-0,Athletic Bilbao
04/02/24,LAL,Villarreal,0-0,Cadiz
09/02/24,LAL,Cadiz,0-2,Real Betis
17/02/24,LAL,Osasuna,2-0,Cadiz
25/02/24,LAL,Cadiz,2-2,Celta Vigo
02/03/24,LAL,Rayo Vallecano,1-1,Cadiz
09/03/24,LAL,Cadiz,2-0,Atletico Madrid
15/03/24,LAL,Real Sociedad,2-0,Cadiz
29/03/24,LAL,Cadiz,1-0,Granada
13/04/24,LAL,Cadiz,0-1,Barcelona
20/04/24,LAL,Girona,4-1,Cadiz
28/04/24,LAL,Cadiz,1-1,Mallorca
04/05/24,LAL,Real Madrid,16:15,Cadiz
12/05/24,LAL,Cadiz,14:00,Getafe
15/05/24,LAL,Sevilla,19:30,Cadiz
19/05/24,LAL,Cadiz,-,Las Palmas
26/05/24,LAL,Almeria,-,Cadiz
12/05/22,LAL,Real Sociedad,3-0,Cadiz
15/05/22,LAL,Cadiz,1-1,Real Madrid
22/05/22,LAL,Alaves,0-1,Cadiz
15/07/22,CLF,Barbate,0-6,Cadiz
23/07/22,CLF,Cadiz,2-0,Malaga
26/07/22,CLF,Cadiz,1-1,Las Palmas
29/07/22,CLF,Cadiz,0-1,Lille
04/08/22,CLF,Cadiz,1-4,Atletico Madrid
06/08/22,CLF,Sevilla,1-0,Cadiz
14/08/22,LAL,Cadiz,0-1,Real Sociedad
20/08/22,LAL,Osasuna,2-0,Cadiz
29/08/22,LAL,Cadiz,0-4,Athletic Bilbao
02/09/22,LAL,Celta Vigo,3-0,Cadiz
10/09/22,LAL,Cadiz,0-4,Barcelona
16/09/22,LAL,Real Valladolid,0-1,Cadiz
01/10/22,LAL,Cadiz,0-0,Villarreal
09/10/22,LAL,Cadiz,2-2,Espanyol
15/10/22,LAL,Girona,1-1,Cadiz
19/10/22,LAL,Cadiz,0-0,Real Betis
22/10/22,LAL,Rayo Vallecano,5-1,Cadiz
29/10/22,LAL,Cadiz,3-2,Atletico Madrid
05/11/22,LAL,Getafe,0-0,Cadiz
10/11/22,LAL,Real Madrid,2-1,Cadiz
13/11/22,CDR,Real Unión,3-2,Cadiz
30/11/22,CLF,Xerez,0-0,Cadiz
07/12/22,CLF,Cadiz,4-2,Manchester United
14/12/22,CLF,Cadiz,3-4,Wolverhampton Wanderers
16/12/22,CLF,Roma,0-3,Cadiz
30/12/22,LAL,Cadiz,1-1,Almeria
06/01/23,LAL,Valencia,0-1,Cadiz
16/01/23,LAL,Cadiz,1-1,Elche
21/01/23,LAL,Sevilla,1-0,Cadiz
28/01/23,LAL,Cadiz,2-0,Mallorca
03/02/23,LAL,Athletic Bilbao,4-1,Cadiz
10/02/23,LAL,Cadiz,2-0,Girona
19/02/23,LAL,Barcelona,2-0,Cadiz
25/02/23,LAL,Cadiz,1-0,Rayo Vallecano
03/03/23,LAL,Real Sociedad,0-0,Cadiz
10/03/23,LAL,Cadiz,2-2,Getafe
18/03/23,LAL,Almeria,1-1,Cadiz
01/04/23,LAL,Cadiz,0-2,Sevilla
09/04/23,LAL,Real Betis,0-2,Cadiz
15/04/23,LAL,Cadiz,0-2,Real Madrid
21/04/23,LAL,Espanyol,0-0,Cadiz
25/04/23,LAL,Cadiz,0-1,Osasuna
30/04/23,LAL,Cadiz,2-1,Valencia
03/05/23,LAL,Atletico Madrid,5-1,Cadiz
