Date,Competition,Home team,Score,Away team
28/05/23,LAL,Cadiz,1-0,Celta Vigo
04/06/23,LAL,Celta Vigo,2-1,Barcelona
17/07/23,CLF,Celta Vigo,5-0,Al Nassr
21/07/23,CLF,Benfica,2-0,Celta Vigo
29/07/23,CLF,Celta Vigo,1-0,Lyon
05/08/23,CLF,Wolfsburg,0-1,Celta Vigo
08/08/23,CLF,Compostela,0-3,Celta Vigo
13/08/23,LAL,Celta Vigo,0-2,Osasuna
19/08/23,LAL,Real Sociedad,1-1,Celta Vigo
25/08/23,LAL,Celta Vigo,0-1,Real Madrid
01/09/23,LAL,Almeria,2-3,Celta Vigo
16/09/23,LAL,Celta Vigo,0-1,Mallorca
23/09/23,LAL,Barcelona,3-2,Celta Vigo
28/09/23,LAL,Celta Vigo,1-1,Alaves
02/10/23,LAL,Las Palmas,2-1,Celta Vigo
08/10/23,LAL,Celta Vigo,2-2,Getafe
21/10/23,LAL,Celta Vigo,0-3,Atletico Madrid
27/10/23,LAL,Girona,1-0,Celta Vigo
01/11/23,CDR,Turégano,0-4,Celta Vigo
04/11/23,LAL,Celta Vigo,1-1,Sevilla
10/11/23,LAL,Athletic Bilbao,4-3,Celta Vigo
25/11/23,LAL,Valencia,0-0,Celta Vigo
04/12/23,LAL,Celta Vigo,1-1,Cadiz
07/12/23,CDR,Sestao River,1-2,Celta Vigo
11/12/23,LAL,Rayo Vallecano,0-0,Celta Vigo
16/12/23,LAL,Celta Vigo,1-0,Granada
20/12/23,LAL,Villarreal,3-2,Celta Vigo
03/01/24,LAL,Celta Vigo,2-1,Real Betis
07/01/24,CDR,Amorebieta,2-4,Celta Vigo
13/01/24,LAL,Mallorca,1-1,Celta Vigo
17/01/24,CDR,Valencia,1-3,Celta Vigo
20/01/24,LAL,Celta Vigo,0-1,Real Sociedad
23/01/24,CDR,Celta Vigo,1-2,Real Sociedad
28/01/24,LAL,Celta Vigo,0-1,Girona
04/02/24,LAL,Osasuna,0-3,Celta Vigo
11/02/24,LAL,Getafe,3-2,Celta Vigo
17/02/24,LAL,Celta Vigo,1-2,Barcelona
25/02/24,LAL,Cadiz,2-2,Celta Vigo
01/03/24,LAL,Celta Vigo,1-0,Almeria
10/03/24,LAL,Real Madrid,4-0,Celta Vigo
17/03/24,LAL,Sevilla,1-2,Celta Vigo
31/03/24,LAL,Celta Vigo,0-0,Rayo Vallecano
12/04/24,LAL,Real Betis,2-1,Celta Vigo
20/04/24,LAL,Celta Vigo,4-1,Las Palmas
27/04/24,LAL,Alaves,3-0,Celta Vigo
05/05/24,LAL,Celta Vigo,16:15,Villarreal
12/05/24,LAL,Atletico Madrid,16:15,Celta Vigo
15/05/24,LAL,Celta Vigo,22:00,Athletic Bilbao
19/05/24,LAL,Granada,-,Celta Vigo
26/05/24,LAL,Celta Vigo,-,Valencia
17/04/22,LAL,Athletic Bilbao,0-2,Celta Vigo
20/04/22,LAL,Celta Vigo,0-2,Getafe
01/05/22,LAL,Granada,1-1,Celta Vigo
07/05/22,LAL,Celta Vigo,4-0,Alaves
10/05/22,LAL,Barcelona,3-1,Celta Vigo
15/05/22,LAL,Celta Vigo,1-0,Elche
21/05/22,LAL,Valencia,2-0,Celta Vigo
21/07/22,CLF,SJ Earthquakes,1-1,Celta Vigo
29/07/22,CLF,Sporting Braga,2-1,Celta Vigo
13/08/22,LAL,Celta Vigo,2-2,Espanyol
20/08/22,LAL,Celta Vigo,1-4,Real Madrid
26/08/22,LAL,Girona,0-1,Celta Vigo
02/09/22,LAL,Celta Vigo,3-0,Cadiz
10/09/22,LAL,Atletico Madrid,4-1,Celta Vigo
17/09/22,LAL,Valencia,3-0,Celta Vigo
02/10/22,LAL,Celta Vigo,1-0,Real Betis
09/10/22,LAL,Barcelona,1-0,Celta Vigo
16/10/22,LAL,Celta Vigo,1-2,Real Sociedad
19/10/22,LAL,Real Valladolid,4-1,Celta Vigo
24/10/22,LAL,Celta Vigo,1-1,Getafe
29/10/22,LAL,Almeria,3-1,Celta Vigo
05/11/22,LAL,Celta Vigo,1-2,Osasuna
10/11/22,LAL,Rayo Vallecano,0-0,Celta Vigo
13/11/22,CDR,Algar,1-6,Celta Vigo
07/12/22,CLF,Celta Vigo,1-1,Boavista
13/12/22,CLF,Brentford,1-3,Celta Vigo
22/12/22,CDR,Gernika,0-3,Celta Vigo
30/12/22,LAL,Celta Vigo,1-1,Sevilla
03/01/23,CDR,Espanyol,E3-1E,Celta Vigo
06/01/23,LAL,Elche,0-1,Celta Vigo
13/01/23,LAL,Celta Vigo,1-1,Villarreal
20/01/23,LAL,Mallorca,1-0,Celta Vigo
29/01/23,LAL,Celta Vigo,1-0,Athletic Bilbao
04/02/23,LAL,Real Betis,3-4,Celta Vigo
12/02/23,LAL,Celta Vigo,0-1,Atletico Madrid
18/02/23,LAL,Real Sociedad,1-1,Celta Vigo
26/02/23,LAL,Celta Vigo,3-0,Real Valladolid
06/03/23,LAL,Osasuna,0-0,Celta Vigo
11/03/23,LAL,Celta Vigo,3-0,Rayo Vallecano
18/03/23,LAL,Espanyol,1-3,Celta Vigo
02/04/23,LAL,Celta Vigo,2-2,Almeria
07/04/23,LAL,Sevilla,2-2,Celta Vigo
17/04/23,LAL,Celta Vigo,0-1,Mallorca
22/04/23,LAL,Real Madrid,2-0,Celta Vigo
26/04/23,LAL,Celta Vigo,1-0,Elche
30/04/23,LAL,Villarreal,3-1,Celta Vigo
03/05/23,LAL,Getafe,1-0,Celta Vigo
14/05/23,LAL,Celta Vigo,1-2,Valencia
20/05/23,LAL,Athletic Bilbao,2-1,Celta Vigo
23/05/23,LAL,Celta Vigo,1-1,Girona
07/03/21,LAL,Huesca,3-4,Celta Vigo
14/03/21,LAL,Celta Vigo,0-0,Athletic Bilbao
20/03/21,LAL,Celta Vigo,1-3,Real Madrid
04/04/21,LAL,Alaves,1-3,Celta Vigo
12/04/21,LAL,Celta Vigo,3-4,Sevilla
18/04/21,LAL,Cadiz,0-0,Celta Vigo
22/04/21,LAL,Real Sociedad,2-1,Celta Vigo
25/04/21,LAL,Celta Vigo,2-1,Osasuna
30/04/21,LAL,Celta Vigo,2-0,Levante
09/05/21,LAL,Villarreal,2-4,Celta Vigo
12/05/21,LAL,Celta Vigo,1-0,Getafe
16/05/21,LAL,Barcelona,1-2,Celta Vigo
22/05/21,LAL,Celta Vigo,2-3,Real Betis
23/07/21,CLF,Celta Vigo,3-0,Sanluqueño
31/07/21,CLF,Bayer Leverkusen,CANC,Celta Vigo
07/08/21,CLF,Wolverhampton Wanderers,0-1,Celta Vigo
15/08/21,LAL,Celta Vigo,1-2,Atletico Madrid
