Date,Competition,Home team,Score,Away team
28/05/23,LAL,Getafe,2-1,Osasuna
04/06/23,LAL,Real Valladolid,0-0,Getafe
14/07/23,CLF,Getafe,3-0,Bradford City
19/07/23,CLF,Getafe,1-0,Leganes
22/07/23,CLF,Getafe,2-1,Independiente Valle
26/07/23,CLF,Getafe,0-1,Reims
02/08/23,CLF,Granada,2-1,Getafe
05/08/23,CLF,Getafe,4-1,Vitesse
13/08/23,LAL,Getafe,0-0,Barcelona
20/08/23,LAL,Girona,3-0,Getafe
28/08/23,LAL,Getafe,1-0,Alaves
02/09/23,LAL,Real Madrid,2-1,Getafe
17/09/23,LAL,Getafe,3-2,Osasuna
24/09/23,LAL,Real Sociedad,4-3,Getafe
27/09/23,LAL,Athletic Bilbao,2-2,Getafe
30/09/23,LAL,Getafe,0-0,Villarreal
08/10/23,LAL,Celta Vigo,2-2,Getafe
21/10/23,LAL,Getafe,1-1,Real Betis
28/10/23,LAL,Mallorca,0-0,Getafe
01/11/23,CDR,Tardienta,0-12,Getafe
06/11/23,LAL,Getafe,1-0,Cadiz
11/11/23,LAL,Granada,1-1,Getafe
25/11/23,LAL,Getafe,2-1,Almeria
01/12/23,LAL,Las Palmas,2-0,Getafe
05/12/23,CDR,Atzeneta,1-2,Getafe
08/12/23,LAL,Getafe,1-0,Valencia
16/12/23,LAL,Sevilla,0-3,Getafe
19/12/23,LAL,Atletico Madrid,3-3,Getafe
02/01/24,LAL,Getafe,0-2,Rayo Vallecano
06/01/24,CDR,Espanyol,0-1,Getafe
16/01/24,CDR,Getafe,1-3,Sevilla
21/01/24,LAL,Osasuna,3-2,Getafe
29/01/24,LAL,Getafe,2-0,Granada
01/02/24,LAL,Getafe,0-2,Real Madrid
04/02/24,LAL,Real Betis,1-1,Getafe
11/02/24,LAL,Getafe,3-2,Celta Vigo
16/02/24,LAL,Villarreal,1-1,Getafe
24/02/24,LAL,Barcelona,4-0,Getafe
02/03/24,LAL,Getafe,3-3,Las Palmas
09/03/24,LAL,Valencia,1-0,Getafe
16/03/24,LAL,Getafe,1-0,Girona
30/03/24,LAL,Getafe,0-1,Sevilla
13/04/24,LAL,Rayo Vallecano,0-0,Getafe
21/04/24,LAL,Getafe,1-1,Real Sociedad
27/04/24,LAL,Almeria,1-3,Getafe
03/05/24,LAL,Getafe,21:00,Athletic Bilbao
12/05/24,LAL,Cadiz,14:00,Getafe
15/05/24,LAL,Getafe,22:00,Atletico Madrid
19/05/24,LAL,Alaves,-,Getafe
26/05/24,LAL,Getafe,-,Mallorca
15/05/22,LAL,Getafe,0-0,Barcelona
22/05/22,LAL,Elche,3-1,Getafe
12/07/22,CLF,Getafe,2-1,Preston North End
16/07/22,CLF,Leganes,2-0,Getafe
21/07/22,CLF,Getafe,1-1,FC Cartagena
24/07/22,CLF,Levante,0-0,Getafe
27/07/22,CLF,Getafe,0-1,Elche
07/08/22,CLF,Albacete,1-0,Getafe
15/08/22,LAL,Getafe,0-3,Atletico Madrid
22/08/22,LAL,Girona,3-1,Getafe
28/08/22,LAL,Getafe,0-0,Villarreal
04/09/22,LAL,Valencia,5-1,Getafe
11/09/22,LAL,Getafe,2-1,Real Sociedad
18/09/22,LAL,Osasuna,0-2,Getafe
01/10/22,LAL,Getafe,2-3,Real Valladolid
08/10/22,LAL,Getafe,0-1,Real Madrid
14/10/22,LAL,Rayo Vallecano,0-0,Getafe
18/10/22,LAL,Getafe,2-2,Athletic Bilbao
24/10/22,LAL,Celta Vigo,1-1,Getafe
31/10/22,LAL,Elche,0-1,Getafe
05/11/22,LAL,Getafe,0-0,Cadiz
09/11/22,LAL,Almeria,1-0,Getafe
13/11/22,CDR,San Roque Lepe,E2-3E,Getafe
30/11/22,CLF,Getafe,0-1,Real Valladolid
08/12/22,CLF,Getafe,0-1,Guadalajara
20/12/22,CDR,Diocesano,0-2,Getafe
30/12/22,LAL,Getafe,2-0,Mallorca
03/01/23,CDR,Levante,3-2,Getafe
08/01/23,LAL,Sevilla,2-1,Getafe
15/01/23,LAL,Getafe,1-2,Espanyol
22/01/23,LAL,Barcelona,1-0,Getafe
28/01/23,LAL,Getafe,0-1,Real Betis
04/02/23,LAL,Atletico Madrid,1-1,Getafe
12/02/23,LAL,Getafe,1-1,Rayo Vallecano
20/02/23,LAL,Getafe,1-0,Valencia
27/02/23,LAL,Villarreal,2-1,Getafe
04/03/23,LAL,Getafe,3-2,Girona
10/03/23,LAL,Cadiz,2-2,Getafe
19/03/23,LAL,Getafe,2-0,Sevilla
23/03/23,CLF,Real Jaén,2-3,Getafe
01/04/23,LAL,Athletic Bilbao,0-0,Getafe
08/04/23,LAL,Real Sociedad,2-0,Getafe
16/04/23,LAL,Getafe,0-0,Barcelona
23/04/23,LAL,Mallorca,3-1,Getafe
26/04/23,LAL,Getafe,1-2,Almeria
30/04/23,LAL,Espanyol,1-0,Getafe
03/05/23,LAL,Getafe,1-0,Celta Vigo
13/05/23,LAL,Real Madrid,1-0,Getafe
20/05/23,LAL,Getafe,1-1,Elche
24/05/23,LAL,Real Betis,0-1,Getafe
25/04/21,LAL,Huesca,0-2,Getafe
02/05/21,LAL,Villarreal,1-0,Getafe
09/05/21,LAL,Getafe,0-1,Eibar
12/05/21,LAL,Celta Vigo,1-0,Getafe
16/05/21,LAL,Getafe,2-1,Levante
23/05/21,LAL,Granada,0-0,Getafe
16/07/21,CLF,Getafe,1-0,Ibiza
21/07/21,CLF,Getafe,2-1,Rennes
24/07/21,CLF,Getafe,3-0,Atromitos
30/07/21,CLF,Fuenlabrada,0-1,Getafe
04/08/21,CLF,Real Zaragoza,P0-0P,Getafe
