Date,Competition,Home team,Score,Away team
04/06/23,LAL,Osasuna,2-1,Girona
19/07/23,CLF,Olot,2-4,Girona
22/07/23,CLF,Girona,2-2,FC Andorra
26/07/23,CLF,Sheffield United,0-2,Girona
29/07/23,CLF,Blackburn Rovers,2-3,Girona
02/08/23,CLF,Napoli,P1-1P,Girona
06/08/23,CLF,Girona,2-1,Lazio
12/08/23,LAL,Real Sociedad,1-1,Girona
20/08/23,LAL,Girona,3-0,Getafe
26/08/23,LAL,Sevilla,1-2,Girona
03/09/23,LAL,Girona,1-0,Las Palmas
18/09/23,LAL,Granada,2-4,Girona
23/09/23,LAL,Girona,5-3,Mallorca
27/09/23,LAL,Villarreal,1-2,Girona
30/09/23,LAL,Girona,0-3,Real Madrid
07/10/23,LAL,Cadiz,0-1,Girona
22/10/23,LAL,Girona,5-2,Almeria
27/10/23,LAL,Girona,1-0,Celta Vigo
01/11/23,CDR,San Roque Lepe,1-2,Girona
04/11/23,LAL,Osasuna,2-4,Girona
11/11/23,LAL,Rayo Vallecano,1-2,Girona
27/11/23,LAL,Girona,1-1,Athletic Bilbao
02/12/23,LAL,Girona,2-1,Valencia
07/12/23,CDR,Orihuela,2-5,Girona
10/12/23,LAL,Barcelona,2-4,Girona
18/12/23,LAL,Girona,3-0,Alaves
21/12/23,LAL,Real Betis,1-1,Girona
03/01/24,LAL,Girona,4-3,Atletico Madrid
06/01/24,CDR,Elche,0-2,Girona
14/01/24,LAL,Almeria,0-0,Girona
17/01/24,CDR,Girona,3-1,Rayo Vallecano
21/01/24,LAL,Girona,5-1,Sevilla
24/01/24,CDR,Mallorca,3-2,Girona
28/01/24,LAL,Celta Vigo,0-1,Girona
03/02/24,LAL,Girona,0-0,Real Sociedad
10/02/24,LAL,Real Madrid,4-0,Girona
19/02/24,LAL,Athletic Bilbao,3-2,Girona
26/02/24,LAL,Girona,3-0,Rayo Vallecano
03/03/24,LAL,Mallorca,1-0,Girona
09/03/24,LAL,Girona,2-0,Osasuna
16/03/24,LAL,Getafe,1-0,Girona
31/03/24,LAL,Girona,3-2,Real Betis
13/04/24,LAL,Atletico Madrid,3-1,Girona
20/04/24,LAL,Girona,4-1,Cadiz
27/04/24,LAL,Las Palmas,0-2,Girona
04/05/24,LAL,Girona,18:30,Barcelona
10/05/24,LAL,Alaves,21:00,Girona
14/05/24,LAL,Girona,22:00,Villarreal
19/05/24,LAL,Valencia,-,Girona
26/05/24,LAL,Girona,-,Granada
19/06/22,SED,Tenerife,1-3,Girona
19/07/22,CLF,Peralada,0-0,Girona
22/07/22,CLF,Benfica,4-2,Girona
27/07/22,CLF,Girona,2-0,FC Andorra
03/08/22,CLF,Napoli,3-1,Girona
06/08/22,CLF,Girona,2-0,Bolívar
07/08/22,CLF,Girona,1-1,Real Zaragoza
14/08/22,LAL,Valencia,1-0,Girona
22/08/22,LAL,Girona,3-1,Getafe
26/08/22,LAL,Girona,0-1,Celta Vigo
03/09/22,LAL,Mallorca,1-1,Girona
09/09/22,LAL,Girona,2-1,Real Valladolid
18/09/22,LAL,Real Betis,2-1,Girona
02/10/22,LAL,Girona,3-5,Real Sociedad
08/10/22,LAL,Atletico Madrid,2-1,Girona
15/10/22,LAL,Girona,1-1,Cadiz
20/10/22,LAL,Almeria,3-2,Girona
23/10/22,LAL,Girona,1-1,Osasuna
30/10/22,LAL,Real Madrid,1-1,Girona
04/11/22,LAL,Girona,2-1,Athletic Bilbao
08/11/22,LAL,Elche,1-2,Girona
13/11/22,CDR,Quintanar del Rey,E1-2E,Girona
08/12/22,CLF,Girona,1-0,Standard Liège
10/12/22,CLF,Nice,CANC,Girona
14/12/22,CLF,Girona,1-1,Osasuna
17/12/22,CLF,Manchester City,2-0,Girona
22/12/22,CDR,Cacereño,2-1,Girona
29/12/22,LAL,Girona,2-2,Rayo Vallecano
07/01/23,LAL,Espanyol,2-2,Girona
14/01/23,LAL,Girona,2-1,Sevilla
22/01/23,LAL,Villarreal,1-0,Girona
28/01/23,LAL,Girona,0-1,Barcelona
05/02/23,LAL,Girona,1-0,Valencia
10/02/23,LAL,Cadiz,2-0,Girona
17/02/23,LAL,Girona,6-2,Almeria
26/02/23,LAL,Athletic Bilbao,2-3,Girona
04/03/23,LAL,Getafe,3-2,Girona
13/03/23,LAL,Girona,0-1,Atletico Madrid
18/03/23,LAL,Rayo Vallecano,2-2,Girona
01/04/23,LAL,Girona,2-1,Espanyol
10/04/23,LAL,Barcelona,0-0,Girona
16/04/23,LAL,Girona,2-0,Elche
22/04/23,LAL,Real Valladolid,1-0,Girona
25/04/23,LAL,Girona,4-2,Real Madrid
01/05/23,LAL,Sevilla,0-2,Girona
04/05/23,LAL,Girona,2-1,Mallorca
13/05/23,LAL,Real Sociedad,2-2,Girona
20/05/23,LAL,Girona,1-2,Villarreal
23/05/23,LAL,Celta Vigo,1-1,Girona
28/05/23,LAL,Girona,1-2,Real Betis
07/08/21,CLF,Gimnàstic Tarragona,2-1,Girona
14/08/21,SED,Girona,2-0,Amorebieta
22/08/21,SED,Girona,0-0,Las Palmas
28/08/21,SED,Ponferradina,2-1,Girona
03/09/21,SED,Girona,1-2,Sporting Gijon
12/09/21,SED,Malaga,2-0,Girona
18/09/21,SED,Girona,1-0,Real Valladolid
26/09/21,SED,Real Oviedo,0-0,Girona
04/10/21,SED,Girona,1-2,Almeria
09/10/21,SED,Lugo,1-0,Girona
16/10/21,SED,Girona,1-3,Huesca
21/10/21,SED,Mirandes,1-2,Girona
25/10/21,SED,Girona,1-1,Real Zaragoza
31/10/21,SED,Fuenlabrada,1-2,Girona
04/11/21,SED,Girona,3-1,Alcorcon
08/11/21,SED,Tenerife,2-1,Girona
14/11/21,SED,Girona,2-0,FC Cartagena
22/11/21,SED,Real Sociedad B,1-2,Girona
29/11/21,SED,Eibar,4-2,Girona
02/12/21,CDR,Calvo Sotelo,1-5,Girona
06/12/21,SED,Girona,3-0,Leganes
11/12/21,SED,Ibiza,1-1,Girona
14/12/21,CDR,Huesca,0-1,Girona
17/12/21,SED,Girona,3-1,Burgos
02/01/22,SED,Huesca,0-1,Girona
06/01/22,CDR,Girona,1-0,Osasuna
09/01/22,SED,Girona,2-1,Fuenlabrada
15/01/22,CDR,Girona,1-2,Rayo Vallecano
23/01/22,SED,Girona,1-1,Lugo
29/01/22,SED,Amorebieta,1-0,Girona
05/02/22,SED,Girona,3-0,Ponferradina
12/02/22,SED,Real Valladolid,2-2,Girona
19/02/22,SED,Girona,0-1,Eibar
27/02/22,SED,Leganes,1-1,Girona
06/03/22,SED,Girona,2-1,Real Oviedo
12/03/22,SED,Las Palmas,1-3,Girona
19/03/22,SED,Girona,5-1,Ibiza
27/03/22,SED,Almeria,0-1,Girona
01/04/22,SED,Girona,1-0,Malaga
10/04/22,SED,Real Zaragoza,1-0,Girona
18/04/22,SED,Girona,2-0,Real Sociedad B
23/04/22,SED,FC Cartagena,3-0,Girona
01/05/22,SED,Alcorcon,0-1,Girona
09/05/22,SED,Girona,0-1,Tenerife
15/05/22,SED,Sporting Gijon,2-1,Girona
21/05/22,SED,Girona,2-0,Mirandes
29/05/22,SED,Burgos,0-0,Girona
02/06/22,SED,Girona,0-1,Eibar
05/06/22,SED,Eibar,E0-2E,Girona
11/06/22,SED,Girona,0-0,Tenerife
04/10/20,SED,Girona,0-1,Fuenlabrada
11/10/20,SED,Leganes,0-1,Girona
18/10/20,SED,Girona,1-0,Real Oviedo
21/10/20,SED,Lugo,3-0,Girona
24/10/20,SED,Castellón,0-1,Girona
27/10/20,SED,Girona,2-1,FC Cartagena
01/11/20,SED,Almeria,0-0,Girona
04/11/20,SED,Real Zaragoza,2-2,Girona
09/11/20,SED,Girona,1-1,Las Palmas
14/11/20,SED,Girona,0-1,Mallorca
20/11/20,SED,Espanyol,1-2,Girona
24/11/20,SED,Girona,0-1,Malaga
27/11/20,SED,Alcorcon,1-0,Girona
01/12/20,SED,Girona,1-0,Mirandes
06/12/20,SED,Albacete,0-2,Girona
10/12/20,SED,Girona,2-0,UD Logroñés
14/12/20,SED,Girona,0-0,Rayo Vallecano
17/12/20,CDR,Gimnástica Segoviana,0-2,Girona
21/12/20,SED,Tenerife,2-0,Girona
04/01/21,SED,Girona,0-0,Sabadell
07/01/21,CDR,Girona,E2-1E,Lugo
11/01/21,SED,Ponferradina,1-1,Girona
16/01/21,CDR,Girona,2-0,Cadiz
23/01/21,SED,Girona,1-0,Espanyol
26/01/21,CDR,Girona,0-1,Villarreal
30/01/21,SED,Mallorca,1-0,Girona
07/02/21,SED,Girona,0-2,Leganes
13/02/21,SED,Mirandes,3-3,Girona
21/02/21,SED,Girona,2-1,Castellón
28/02/21,SED,Fuenlabrada,1-1,Girona
07/03/21,SED,Girona,0-1,Almeria
13/03/21,SED,Girona,1-1,Lugo
19/03/21,SED,Las Palmas,1-2,Girona
28/03/21,SED,Girona,2-1,Albacete
31/03/21,SED,Sabadell,2-2,Girona
03/04/21,SED,Girona,3-1,Ponferradina
10/04/21,SED,Rayo Vallecano,2-1,Girona
16/04/21,SED,Girona,3-0,Real Zaragoza
25/04/21,SED,Real Oviedo,0-1,Girona
01/05/21,SED,Girona,1-0,Tenerife
09/05/21,SED,UD Logroñés,1-4,Girona
17/05/21,SED,Girona,1-0,Sporting Gijon
20/05/21,SED,Malaga,0-1,Girona
24/05/21,SED,Girona,1-0,Alcorcon
30/05/21,SED,FC Cartagena,1-1,Girona
02/06/21,SED,Girona,3-0,Almeria
05/06/21,SED,Almeria,0-0,Girona
13/06/21,SED,Rayo Vallecano,1-2,Girona
20/06/21,SED,Girona,0-2,Rayo Vallecano
24/07/21,CLF,Barcelona,3-1,Girona
23/08/19,SED,Albacete,1-0,Girona
01/09/19,SED,Girona,1-0,Malaga
08/09/19,SED,Girona,3-1,Rayo Vallecano
14/09/19,SED,Cadiz,2-0,Girona
17/09/19,SED,Almeria,3-1,Girona
22/09/19,SED,Girona,1-0,Las Palmas
28/09/19,SED,Huesca,1-0,Girona
03/10/19,SED,Girona,3-1,Deportivo La Coruña
06/10/19,SED,Racing Santander,0-3,Girona
12/10/19,SED,Girona,0-2,Elche
20/10/19,SED,Real Oviedo,4-2,Girona
27/10/19,SED,Girona,0-0,Alcorcon
03/11/19,SED,Extremadura UD,1-3,Girona
08/11/19,SED,Girona,1-0,Tenerife
17/11/19,SED,Ponferradina,1-1,Girona
24/11/19,SED,Girona,2-0,Fuenlabrada
30/11/19,SED,Real Zaragoza,3-3,Girona
08/12/19,SED,Girona,3-1,Lugo
13/12/19,SED,Numancia,2-0,Girona
19/12/19,CDR,Linares Deportivo,1-2,Girona
22/12/19,SED,Girona,0-3,Mirandes
05/01/20,SED,Rayo Vallecano,1-0,Girona
11/01/20,CDR,FC Cartagena,E2-4E,Girona
16/01/20,SED,Girona,3-1,Extremadura UD
19/01/20,SED,Tenerife,1-0,Girona
22/01/20,CDR,Girona,0-3,Villarreal
26/01/20,SED,Girona,1-1,Real Oviedo
02/02/20,SED,Fuenlabrada,0-1,Girona
08/02/20,SED,Girona,1-0,Huesca
14/02/20,SED,Deportivo La Coruña,2-2,Girona
22/02/20,SED,Girona,2-0,Ponferradina
01/03/20,SED,Mirandes,1-1,Girona
07/03/20,SED,Girona,1-1,Albacete
13/06/20,SED,Las Palmas,0-0,Girona
16/06/20,SED,Girona,0-0,Racing Santander
19/06/20,SED,Elche,1-0,Girona
24/06/20,SED,Girona,2-0,Numancia
28/06/20,SED,Malaga,2-0,Girona
03/07/20,SED,Girona,1-0,Real Zaragoza
06/07/20,SED,Sporting Gijon,0-0,Girona
09/07/20,SED,Girona,1-0,Almeria
12/07/20,SED,Lugo,2-2,Girona
17/07/20,SED,Girona,2-1,Cadiz
20/07/20,SED,Alcorcon,2-0,Girona
13/08/20,SED,Girona,1-0,Almeria
16/08/20,SED,Almeria,1-2,Girona
20/08/20,SED,Elche,0-0,Girona
23/08/20,SED,Girona,0-1,Elche
16/09/20,CLF,Barcelona,3-1,Girona
26/09/20,SED,Sporting Gijon,2-0,Girona
31/08/18,LAL,Villarreal,0-1,Girona
17/09/18,LAL,Girona,3-2,Celta Vigo
23/09/18,LAL,Barcelona,2-2,Girona
27/09/18,LAL,Girona,0-1,Real Betis
30/09/18,LAL,Huesca,1-1,Girona
06/10/18,LAL,Girona,2-3,Eibar
11/10/18,CLF,Girona,0-1,Toulouse
22/10/18,LAL,Real Sociedad,0-0,Girona
27/10/18,LAL,Girona,2-1,Rayo Vallecano
31/10/18,CDR,Alaves,2-2,Girona
03/11/18,LAL,Valencia,0-1,Girona
10/11/18,LAL,Girona,0-0,Leganes
25/11/18,LAL,Espanyol,1-3,Girona
02/12/18,LAL,Girona,1-1,Atletico Madrid
05/12/18,CDR,Girona,2-1,Alaves
10/12/18,LAL,Athletic Bilbao,1-0,Girona
16/12/18,LAL,Sevilla,2-0,Girona
21/12/18,LAL,Girona,1-1,Getafe
04/01/19,LAL,Levante,2-2,Girona
09/01/19,CDR,Girona,1-1,Atletico Madrid
12/01/19,LAL,Girona,1-1,Alaves
16/01/19,CDR,Atletico Madrid,3-3,Girona
20/01/19,LAL,Real Betis,3-2,Girona
24/01/19,CDR,Real Madrid,4-2,Girona
27/01/19,LAL,Girona,0-2,Barcelona
31/01/19,CDR,Girona,1-3,Real Madrid
03/02/19,LAL,Eibar,3-0,Girona
09/02/19,LAL,Girona,0-2,Huesca
17/02/19,LAL,Real Madrid,1-2,Girona
25/02/19,LAL,Girona,0-0,Real Sociedad
01/03/19,LAL,Rayo Vallecano,0-2,Girona
06/03/19,SDC,Barcelona,0-1,Girona
10/03/19,LAL,Girona,2-3,Valencia
16/03/19,LAL,Leganes,0-2,Girona
29/03/19,LAL,Girona,1-2,Athletic Bilbao
02/04/19,LAL,Atletico Madrid,2-0,Girona
06/04/19,LAL,Girona,1-2,Espanyol
14/04/19,LAL,Girona,0-1,Villarreal
20/04/19,LAL,Celta Vigo,2-1,Girona
23/04/19,LAL,Real Valladolid,1-0,Girona
28/04/19,LAL,Girona,1-0,Sevilla
05/05/19,LAL,Getafe,2-0,Girona
12/05/19,LAL,Girona,1-2,Levante
18/05/19,LAL,Alaves,2-1,Girona
20/07/19,CLF,Girona,2-1,AFC Bournemouth
25/07/19,CLF,Derby County,0-2,Girona
03/08/19,CLF,Girona,0-1,Montpellier
09/08/19,CLF,Gimnàstic Tarragona,1-1,Girona
10/08/19,CLF,Girona,0-2,Huesca
18/08/19,SED,Girona,1-1,Sporting Gijon
04/09/17,CLF,Ripoll,0-8,Girona
10/09/17,LAL,Athletic Bilbao,2-0,Girona
17/09/17,LAL,Girona,0-1,Sevilla
20/09/17,LAL,Leganes,0-0,Girona
23/09/17,LAL,Girona,0-3,Barcelona
29/09/17,LAL,Celta Vigo,3-3,Girona
06/10/17,CLF,Girona,CANC,Montpellier
15/10/17,LAL,Girona,1-2,Villarreal
19/10/17,COC,Costa Brava,P0-0P,Girona
23/10/17,LAL,Deportivo La Coruña,1-2,Girona
26/10/17,CDR,Girona,0-2,Levante
29/10/17,LAL,Girona,2-1,Real Madrid
05/11/17,LAL,Levante,1-2,Girona
17/11/17,LAL,Girona,1-1,Real Sociedad
25/11/17,LAL,Real Betis,2-2,Girona
28/11/17,CDR,Levante,1-1,Girona
04/12/17,LAL,Girona,2-3,Alaves
11/12/17,LAL,Espanyol,0-1,Girona
17/12/17,LAL,Girona,1-0,Getafe
21/12/17,LAL,Eibar,4-1,Girona
06/01/18,LAL,Valencia,2-1,Girona
13/01/18,LAL,Girona,6-0,Las Palmas
20/01/18,LAL,Atletico Madrid,1-1,Girona
27/01/18,LAL,Malaga,0-0,Girona
04/02/18,LAL,Girona,2-0,Athletic Bilbao
11/02/18,LAL,Sevilla,1-0,Girona
16/02/18,LAL,Girona,3-0,Leganes
24/02/18,LAL,Barcelona,6-1,Girona
27/02/18,LAL,Girona,1-0,Celta Vigo
03/03/18,LAL,Villarreal,0-2,Girona
09/03/18,LAL,Girona,2-0,Deportivo La Coruña
18/03/18,LAL,Real Madrid,6-3,Girona
31/03/18,LAL,Girona,1-1,Levante
08/04/18,LAL,Real Sociedad,5-0,Girona
13/04/18,LAL,Girona,0-1,Real Betis
19/04/18,LAL,Alaves,1-2,Girona
22/04/18,LAL,Girona,0-2,Espanyol
29/04/18,LAL,Getafe,1-1,Girona
05/05/18,LAL,Girona,1-4,Eibar
12/05/18,LAL,Girona,0-1,Valencia
19/05/18,LAL,Las Palmas,1-2,Girona
21/07/18,CLF,Bolton Wanderers,0-0,Girona
24/07/18,CLF,Oldham Athletic,0-0,Girona
27/07/18,CLF,Girona,6-0,Melbourne City
28/07/18,CLF,Kerala Blasters,0-5,Girona
02/08/18,CLF,Sabadell,0-1,Girona
04/08/18,CLF,Girona,4-1,Tottenham Hotspur
08/08/18,CLF,Reus Deportiu,1-0,Girona
17/08/18,LAL,Girona,0-0,Real Valladolid
26/08/18,LAL,Girona,1-4,Real Madrid
22/09/16,SED,Girona,1-1,Mirandes
25/09/16,SED,Getafe,0-2,Girona
02/10/16,SED,Girona,1-0,Reus Deportiu
05/10/16,COC,Prat,0-3,Girona
09/10/16,SED,Cadiz,0-0,Girona
15/10/16,SED,Girona,0-0,Real Oviedo
22/10/16,SED,Rayo Vallecano,1-0,Girona
30/10/16,SED,Girona,3-0,Numancia
05/11/16,SED,Girona,1-1,Tenerife
13/11/16,SED,UCAM Murcia,0-1,Girona
19/11/16,SED,Girona,3-1,Lugo
27/11/16,SED,Huesca,1-2,Girona
04/12/16,SED,Girona,2-1,Levante
11/12/16,SED,Alcorcon,2-1,Girona
17/12/16,SED,Girona,4-2,Gimnàstic Tarragona
08/01/17,SED,Real Zaragoza,0-2,Girona
15/01/17,SED,Girona,2-0,Córdoba
22/01/17,SED,Girona,2-0,Sevilla II
27/01/17,SED,Elche,1-0,Girona
05/02/17,SED,Girona,2-1,Real Valladolid
11/02/17,SED,Almeria,0-0,Girona
15/02/17,COC,Badalona,0-1,Girona
18/02/17,SED,Girona,1-0,Mallorca
25/02/17,SED,Mirandes,0-2,Girona
04/03/17,SED,Girona,5-1,Getafe
12/03/17,SED,Reus Deportiu,1-2,Girona
19/03/17,SED,Girona,1-2,Cadiz
25/03/17,SED,Real Oviedo,2-0,Girona
28/03/17,COC,Gimnàstic Tarragona,P0-0P,Girona
01/04/17,SED,Girona,1-3,Rayo Vallecano
09/04/17,SED,Numancia,0-2,Girona
15/04/17,SED,Tenerife,3-3,Girona
22/04/17,SED,Girona,1-2,UCAM Murcia
30/04/17,SED,Lugo,1-2,Girona
06/05/17,SED,Girona,3-1,Huesca
13/05/17,SED,Levante,2-1,Girona
20/05/17,SED,Girona,0-0,Alcorcon
28/05/17,SED,Gimnàstic Tarragona,3-1,Girona
04/06/17,SED,Girona,0-0,Real Zaragoza
10/06/17,SED,Córdoba,2-1,Girona
25/07/17,CLF,Nottingham Forest,2-1,Girona
27/07/17,CLF,Oldham Athletic,1-2,Girona
28/07/17,CLF,Olot,CANC,Girona
01/08/17,CLF,Girona,0-0,Brighton & Hove Albion
04/08/17,CLF,Barcelona II,2-2,Girona
05/08/17,CLF,Gimnàstic Tarragona,CANC,Girona
12/08/17,CLF,Reus Deportiu,0-0,Girona
15/08/17,CLF,Girona,1-0,Manchester City
19/08/17,LAL,Girona,2-2,Atletico Madrid
26/08/17,LAL,Girona,1-0,Malaga
30/09/15,COC,Cornellà,0-1,Girona
04/10/15,SED,Mirandes,1-0,Girona
11/10/15,SED,Girona,1-1,Almeria
17/10/15,SED,Leganes,2-2,Girona
24/10/15,SED,Girona,0-0,Real Zaragoza
01/11/15,SED,Osasuna,0-1,Girona
08/11/15,SED,Girona,0-1,Lugo
11/11/15,COC,Barcelona II,1-0,Girona
14/11/15,SED,Alaves,1-0,Girona
22/11/15,SED,Girona,3-0,Albacete
29/11/15,SED,Tenerife,1-1,Girona
06/12/15,SED,Girona,1-2,Córdoba
12/12/15,SED,Girona,0-1,Elche
19/12/15,SED,Mallorca,1-1,Girona
04/01/16,SED,Girona,1-0,Real Valladolid
09/01/16,SED,Alcorcon,1-0,Girona
17/01/16,SED,Girona,4-0,Ponferradina
23/01/16,SED,Girona,2-1,Athletic Club II
31/01/16,SED,Numancia,1-1,Girona
07/02/16,SED,Girona,1-1,Gimnàstic Tarragona
14/02/16,SED,Huesca,0-1,Girona
21/02/16,SED,Girona,1-1,Real Oviedo
27/02/16,SED,Costa Brava,0-1,Girona
05/03/16,SED,Girona,2-0,Mirandes
12/03/16,SED,Almeria,1-0,Girona
20/03/16,SED,Girona,1-1,Leganes
27/03/16,SED,Real Zaragoza,0-3,Girona
03/04/16,SED,Girona,0-0,Osasuna
09/04/16,SED,Lugo,1-1,Girona
16/04/16,SED,Girona,1-0,Alaves
23/04/16,SED,Albacete,0-3,Girona
01/05/16,SED,Girona,1-0,Tenerife
08/05/16,SED,Córdoba,1-0,Girona
15/05/16,SED,Elche,1-1,Girona
21/05/16,SED,Girona,1-0,Mallorca
24/05/16,SED,Real Valladolid,0-0,Girona
29/05/16,SED,Girona,2-0,Alcorcon
04/06/16,SED,Ponferradina,0-1,Girona
09/06/16,SED,Córdoba,2-1,Girona
12/06/16,SED,Girona,E3-1E,Córdoba
15/06/16,SED,Osasuna,2-1,Girona
18/06/16,SED,Girona,0-1,Osasuna
30/07/16,CLF,Blackburn Rovers,1-1,Girona
03/08/16,CLF,Girona,1-2,Marseille
21/08/16,SED,Sevilla II,3-3,Girona
27/08/16,SED,Girona,3-1,Elche
03/09/16,SED,Real Valladolid,2-1,Girona
08/09/16,CDR,Huesca,1-0,Girona
11/09/16,SED,Girona,3-3,Almeria
18/09/16,SED,Mallorca,1-0,Girona
11/10/14,SED,Albacete,0-1,Girona
15/10/14,CDR,Real Valladolid,2-0,Girona
18/10/14,SED,Sabadell,0-2,Girona
26/10/14,SED,Girona,3-0,Mirandes
02/11/14,SED,Real Valladolid,2-1,Girona
08/11/14,SED,Girona,1-2,Las Palmas
12/11/14,COC,Badalona,P1-1P,Girona
15/11/14,SED,Leganes,1-2,Girona
23/11/14,SED,Girona,2-0,Recreativo Huelva
29/11/14,SED,Osasuna,0-0,Girona
07/12/14,SED,Girona,0-1,Barcelona II
14/12/14,SED,Real Zaragoza,2-1,Girona
20/12/14,SED,Girona,2-2,Alaves
03/01/15,SED,Costa Brava,1-2,Girona
10/01/15,SED,Girona,0-0,Mallorca
17/01/15,SED,Lugo,1-2,Girona
25/01/15,SED,Racing Santander,0-1,Girona
01/02/15,SED,Girona,3-0,Alcorcon
04/02/15,COC,Gavà,0-1,Girona
08/02/15,SED,Tenerife,0-1,Girona
15/02/15,SED,Girona,0-0,Sporting Gijon
21/02/15,SED,Real Betis,2-1,Girona
01/03/15,SED,Girona,2-1,Numancia
08/03/15,SED,Ponferradina,3-0,Girona
15/03/15,SED,Girona,2-2,Albacete
22/03/15,SED,Girona,0-0,Sabadell
25/03/15,COC,Europa,2-1,Girona
29/03/15,SED,Mirandes,0-1,Girona
04/04/15,SED,Girona,2-1,Real Valladolid
12/04/15,SED,Las Palmas,2-0,Girona
18/04/15,SED,Girona,2-1,Leganes
26/04/15,SED,Recreativo Huelva,0-3,Girona
02/05/15,SED,Girona,3-0,Osasuna
09/05/15,SED,Barcelona II,2-4,Girona
17/05/15,SED,Girona,1-1,Real Zaragoza
20/05/15,SED,Alaves,0-3,Girona
24/05/15,SED,Girona,1-0,Costa Brava
31/05/15,SED,Mallorca,0-1,Girona
07/06/15,SED,Girona,1-1,Lugo
11/06/15,SED,Real Zaragoza,0-3,Girona
14/06/15,SED,Girona,1-4,Real Zaragoza
08/08/15,CLF,Girona,CANC,Lleida Esportiu
15/08/15,CLF,Girona,3-0,Espanyol
24/08/15,SED,Athletic Club II,0-1,Girona
29/08/15,SED,Girona,2-3,Numancia
05/09/15,SED,Gimnàstic Tarragona,1-0,Girona
