Date,Competition,Home team,Score,Away team
23/04/23,SED,Racing Santander,1-0,Granada
30/04/23,SED,Granada,1-1,Eibar
05/05/23,SED,Alaves,1-1,Granada
13/05/23,SED,Granada,2-0,Lugo
20/05/23,SED,Mirandes,1-3,Granada
27/05/23,SED,Granada,2-0,Leganes
22/07/23,CLF,Granada,8-0,El Ejido
26/07/23,CLF,Sanluqueño,0-1,Granada
29/07/23,CLF,Granada,2-0,Ceuta
02/08/23,CLF,Granada,2-1,Getafe
05/08/23,CLF,Granada,0-1,Almeria
14/08/23,LAL,Atletico Madrid,3-1,Granada
21/08/23,LAL,Granada,0-2,Rayo Vallecano
26/08/23,LAL,Granada,3-2,Mallorca
02/09/23,LAL,Real Sociedad,5-3,Granada
18/09/23,LAL,Granada,2-4,Girona
24/09/23,LAL,Las Palmas,1-0,Granada
28/09/23,LAL,Granada,1-1,Real Betis
01/10/23,LAL,Almeria,3-3,Granada
08/10/23,LAL,Granada,2-2,Barcelona
20/10/23,LAL,Osasuna,2-0,Granada
30/10/23,LAL,Granada,2-3,Villarreal
02/11/23,CDR,Arosa,0-3,Granada
05/11/23,LAL,Valencia,1-0,Granada
11/11/23,LAL,Granada,1-1,Getafe
24/11/23,LAL,Alaves,3-1,Granada
02/12/23,LAL,Real Madrid,2-0,Granada
11/12/23,LAL,Granada,1-1,Athletic Bilbao
16/12/23,LAL,Celta Vigo,1-0,Granada
19/12/23,LAL,Granada,0-3,Sevilla
03/01/24,LAL,Granada,2-0,Cadiz
13/01/24,LAL,Real Betis,1-0,Granada
22/01/24,LAL,Granada,0-1,Atletico Madrid
29/01/24,LAL,Getafe,2-0,Granada
03/02/24,LAL,Granada,1-1,Las Palmas
11/02/24,LAL,Barcelona,3-3,Granada
18/02/24,LAL,Granada,1-1,Almeria
03/03/24,LAL,Villarreal,5-1,Granada
09/03/24,LAL,Granada,2-3,Real Sociedad
16/03/24,LAL,Mallorca,1-0,Granada
29/03/24,LAL,Cadiz,1-0,Granada
04/04/24,LAL,Granada,0-1,Valencia
14/04/24,LAL,Granada,2-0,Alaves
19/04/24,LAL,Athletic Bilbao,1-1,Granada
28/04/24,LAL,Granada,3-0,Osasuna
05/05/24,LAL,Sevilla,21:00,Granada
11/05/24,LAL,Granada,18:30,Real Madrid
15/05/24,LAL,Rayo Vallecano,19:30,Granada
19/05/24,LAL,Granada,-,Celta Vigo
26/05/24,LAL,Girona,-,Granada
08/04/22,LAL,Sevilla,4-2,Granada
17/04/22,LAL,Granada,1-4,Levante
20/04/22,LAL,Atletico Madrid,0-0,Granada
01/05/22,LAL,Granada,1-1,Celta Vigo
07/05/22,LAL,Mallorca,2-6,Granada
10/05/22,LAL,Granada,1-0,Athletic Bilbao
15/05/22,LAL,Real Betis,2-0,Granada
22/05/22,LAL,Granada,0-0,Espanyol
20/07/22,CLF,Córdoba,1-0,Granada
23/07/22,CLF,Granada,5-0,Linares Deportivo
30/07/22,CLF,Granada,3-2,Almeria
06/08/22,CLF,Granada,P1-1P,Malaga
14/08/22,SED,Ibiza,0-2,Granada
20/08/22,SED,Granada,2-0,Racing Santander
29/08/22,SED,Granada,3-0,Villarreal II
04/09/22,SED,FC Andorra,1-0,Granada
12/09/22,SED,Eibar,4-0,Granada
17/09/22,SED,Granada,2-1,Mirandes
26/09/22,SED,Las Palmas,2-0,Granada
02/10/22,SED,Granada,0-0,Huesca
08/10/22,SED,Ponferradina,0-0,Granada
13/10/22,SED,Granada,5-0,Sporting Gijon
16/10/22,SED,Tenerife,2-0,Granada
