Date,Competition,Home team,Score,Away team
20/05/23,SED,FC Cartagena,1-4,Las Palmas
27/05/23,SED,Las Palmas,0-0,Alaves
19/07/23,CLF,Las Palmas,0-0,Orlando Pirates
22/07/23,CLF,Las Palmas,2-0,Al Wakrah
23/07/23,CLF,Almeria,0-0,Las Palmas
26/07/23,CLF,Las Palmas,1-2,Espanyol
28/07/23,CLF,Cadiz,0-1,Las Palmas
05/08/23,CLF,RB Leipzig,3-0,Las Palmas
12/08/23,LAL,Las Palmas,1-1,Mallorca
18/08/23,LAL,Valencia,1-0,Las Palmas
25/08/23,LAL,Las Palmas,0-0,Real Sociedad
03/09/23,LAL,Girona,1-0,Las Palmas
17/09/23,LAL,Sevilla,1-0,Las Palmas
24/09/23,LAL,Las Palmas,1-0,Granada
27/09/23,LAL,Real Madrid,2-0,Las Palmas
02/10/23,LAL,Las Palmas,2-1,Celta Vigo
08/10/23,LAL,Villarreal,1-2,Las Palmas
22/10/23,LAL,Las Palmas,0-1,Rayo Vallecano
28/10/23,LAL,Almeria,1-2,Las Palmas
31/10/23,CDR,Manacor,0-3,Las Palmas
03/11/23,LAL,Las Palmas,2-1,Atletico Madrid
11/11/23,LAL,Osasuna,1-1,Las Palmas
26/11/23,LAL,Real Betis,1-0,Las Palmas
01/12/23,LAL,Las Palmas,2-0,Getafe
06/12/23,CDR,Tudelano,E1-2E,Las Palmas
09/12/23,LAL,Alaves,0-1,Las Palmas
17/12/23,LAL,Las Palmas,1-1,Cadiz
20/12/23,LAL,Athletic Bilbao,1-0,Las Palmas
04/01/24,LAL,Las Palmas,1-2,Barcelona
07/01/24,CDR,Tenerife,2-0,Las Palmas
13/01/24,LAL,Las Palmas,3-0,Villarreal
20/01/24,LAL,Rayo Vallecano,0-2,Las Palmas
22/01/24,CLF,Las Palmas,0-2,Viking
27/01/24,LAL,Las Palmas,1-2,Real Madrid
03/02/24,LAL,Granada,1-1,Las Palmas
10/02/24,LAL,Las Palmas,2-0,Valencia
17/02/24,LAL,Atletico Madrid,5-0,Las Palmas
25/02/24,LAL,Las Palmas,1-1,Osasuna
02/03/24,LAL,Getafe,3-3,Las Palmas
