Date,Competition,Home team,Score,Away team
26/07/23,CLF,Poblense,0-5,Mallorca
29/07/23,CLF,Sunderland,1-1,Mallorca
06/08/23,CLF,Mallorca,1-1,Spezia
12/08/23,LAL,Las Palmas,1-1,Mallorca
18/08/23,LAL,Mallorca,0-1,Villarreal
26/08/23,LAL,Granada,3-2,Mallorca
03/09/23,LAL,Mallorca,0-0,Athletic Bilbao
16/09/23,LAL,Celta Vigo,0-1,Mallorca
23/09/23,LAL,Girona,5-3,Mallorca
26/09/23,LAL,Mallorca,2-2,Barcelona
30/09/23,LAL,Rayo Vallecano,2-2,Mallorca
07/10/23,LAL,Mallorca,1-1,Valencia
21/10/23,LAL,Real Sociedad,1-0,Mallorca
28/10/23,LAL,Mallorca,0-0,Getafe
01/11/23,CDR,Boiro,0-4,Mallorca
04/11/23,LAL,Real Betis,2-0,Mallorca
16/11/23,CLF,Mallorca,4-1,Boavista
25/11/23,LAL,Atletico Madrid,1-0,Mallorca
29/11/23,LAL,Mallorca,1-1,Cadiz
03/12/23,LAL,Mallorca,0-0,Alaves
06/12/23,CDR,Valle Egüés,0-3,Mallorca
09/12/23,LAL,Mallorca,1-0,Sevilla
17/12/23,LAL,Almeria,0-0,Mallorca
21/12/23,LAL,Mallorca,3-2,Osasuna
03/01/24,LAL,Real Madrid,1-0,Mallorca
07/01/24,CDR,Burgos,0-3,Mallorca
13/01/24,LAL,Mallorca,1-1,Celta Vigo
16/01/24,CDR,Tenerife,E0-1E,Mallorca
20/01/24,LAL,Villarreal,1-1,Mallorca
24/01/24,CDR,Mallorca,3-2,Girona
27/01/24,LAL,Mallorca,0-1,Real Betis
02/02/24,LAL,Athletic Bilbao,4-0,Mallorca
06/02/24,CDR,Mallorca,0-0,Real Sociedad
11/02/24,LAL,Mallorca,2-1,Rayo Vallecano
18/02/24,LAL,Mallorca,1-2,Real Sociedad
24/02/24,LAL,Alaves,1-1,Mallorca
27/02/24,CDR,Real Sociedad,P1-1P,Mallorca
03/03/24,LAL,Mallorca,1-0,Girona
08/03/24,LAL,Barcelona,1-0,Mallorca
16/03/24,LAL,Mallorca,1-0,Granada
30/03/24,LAL,Valencia,0-0,Mallorca
06/04/24,CDR,Athletic Bilbao,P1-1P,Mallorca
13/04/24,LAL,Mallorca,0-1,Real Madrid
22/04/24,LAL,Sevilla,2-1,Mallorca
28/04/24,LAL,Cadiz,1-1,Mallorca
04/05/24,LAL,Mallorca,21:00,Atletico Madrid
11/05/24,LAL,Mallorca,14:00,Las Palmas
14/05/24,LAL,Osasuna,19:30,Mallorca
19/05/24,LAL,Mallorca,-,Almeria
26/05/24,LAL,Getafe,-,Mallorca
22/07/22,CLF,Genoa,0-1,Mallorca
27/07/22,CLF,Mallorca,1-0,Sporting Gijon
31/07/22,CLF,Napoli,1-1,Mallorca
07/08/22,CLF,Ibiza,P0-0P,Mallorca
15/08/22,LAL,Athletic Bilbao,0-0,Mallorca
20/08/22,LAL,Mallorca,1-2,Real Betis
27/08/22,LAL,Rayo Vallecano,0-2,Mallorca
03/09/22,LAL,Mallorca,1-1,Girona
11/09/22,LAL,Real Madrid,4-1,Mallorca
17/09/22,LAL,Mallorca,1-0,Almeria
01/10/22,LAL,Mallorca,0-1,Barcelona
10/10/22,LAL,Elche,1-1,Mallorca
15/10/22,LAL,Mallorca,0-1,Sevilla
19/10/22,LAL,Real Sociedad,1-0,Mallorca
22/10/22,LAL,Valencia,1-2,Mallorca
28/10/22,LAL,Mallorca,1-1,Espanyol
06/11/22,LAL,Villarreal,0-2,Mallorca
09/11/22,LAL,Mallorca,1-0,Atletico Madrid
12/11/22,CDR,Autol,0-6,Mallorca
16/11/22,CLF,Poblense,1-4,Mallorca
14/12/22,CLF,Mallorca,1-2,Bologna
20/12/22,CDR,Real Unión,0-1,Mallorca
30/12/22,LAL,Getafe,2-0,Mallorca
04/01/23,CDR,Pontevedra,E0-2E,Mallorca
07/01/23,LAL,Mallorca,1-0,Real Valladolid
14/01/23,LAL,Osasuna,1-0,Mallorca
17/01/23,CDR,Real Sociedad,1-0,Mallorca
20/01/23,LAL,Mallorca,1-0,Celta Vigo
28/01/23,LAL,Cadiz,2-0,Mallorca
05/02/23,LAL,Mallorca,1-0,Real Madrid
11/02/23,LAL,Sevilla,2-0,Mallorca
18/02/23,LAL,Mallorca,4-2,Villarreal
25/02/23,LAL,Espanyol,2-1,Mallorca
04/03/23,LAL,Mallorca,0-1,Elche
12/03/23,LAL,Mallorca,1-1,Real Sociedad
