Date,Competition,Home team,Score,Away team
04/06/23,LAL,Osasuna,2-1,Girona
18/07/23,CLF,Osasuna,1-0,Huesca
21/07/23,CLF,Real Sociedad,1-3,Osasuna
28/07/23,CLF,Bordeaux,0-1,Osasuna
29/07/23,CLF,Toulouse,2-1,Osasuna
04/08/23,CLF,Osasuna,2-3,Alaves
04/08/23,CLF,Burgos,1-2,Osasuna
13/08/23,LAL,Celta Vigo,0-2,Osasuna
19/08/23,LAL,Osasuna,0-2,Athletic Bilbao
24/08/23,UEC,Osasuna,1-2,Club Brugge
27/08/23,LAL,Valencia,1-2,Osasuna
31/08/23,UEC,Club Brugge,2-2,Osasuna
03/09/23,LAL,Osasuna,1-2,Barcelona
17/09/23,LAL,Getafe,3-2,Osasuna
23/09/23,LAL,Osasuna,0-0,Sevilla
28/09/23,LAL,Osasuna,0-2,Atletico Madrid
01/10/23,LAL,Alaves,0-2,Osasuna
07/10/23,LAL,Real Madrid,4-0,Osasuna
20/10/23,LAL,Osasuna,2-0,Granada
29/10/23,LAL,Real Betis,2-1,Osasuna
04/11/23,LAL,Osasuna,2-4,Girona
11/11/23,LAL,Osasuna,1-1,Las Palmas
26/11/23,LAL,Villarreal,3-1,Osasuna
02/12/23,LAL,Osasuna,1-1,Real Sociedad
10/12/23,LAL,Cadiz,1-1,Osasuna
15/12/23,LAL,Osasuna,1-0,Rayo Vallecano
21/12/23,LAL,Mallorca,3-2,Osasuna
04/01/24,LAL,Osasuna,1-0,Almeria
07/01/24,CDR,Castellón,E0-1E,Osasuna
11/01/24,SUC,Barcelona,2-0,Osasuna
17/01/24,CDR,Osasuna,0-2,Real Sociedad
21/01/24,LAL,Osasuna,3-2,Getafe
28/01/24,LAL,Sevilla,1-1,Osasuna
31/01/24,LAL,Barcelona,1-0,Osasuna
04/02/24,LAL,Osasuna,0-3,Celta Vigo
10/02/24,LAL,Real Sociedad,0-1,Osasuna
17/02/24,LAL,Osasuna,2-0,Cadiz
25/02/24,LAL,Las Palmas,1-1,Osasuna
04/03/24,LAL,Osasuna,1-0,Alaves
09/03/24,LAL,Girona,2-0,Osasuna
16/03/24,LAL,Osasuna,2-4,Real Madrid
30/03/24,LAL,Almeria,0-3,Osasuna
15/04/24,LAL,Osasuna,0-1,Valencia
20/04/24,LAL,Rayo Vallecano,2-1,Osasuna
28/04/24,LAL,Granada,3-0,Osasuna
05/05/24,LAL,Osasuna,14:00,Real Betis
11/05/24,LAL,Athletic Bilbao,21:00,Osasuna
14/05/24,LAL,Osasuna,19:30,Mallorca
19/05/24,LAL,Atletico Madrid,-,Osasuna
26/05/24,LAL,Osasuna,-,Villarreal
05/08/22,CLF,Mirandes,1-2,Osasuna
12/08/22,LAL,Osasuna,2-1,Sevilla
20/08/22,LAL,Osasuna,2-0,Cadiz
26/08/22,LAL,Real Betis,1-0,Osasuna
04/09/22,LAL,Osasuna,2-1,Rayo Vallecano
12/09/22,LAL,Almeria,0-1,Osasuna
18/09/22,LAL,Osasuna,0-2,Getafe
22/09/22,CLF,Real Valladolid,0-2,Osasuna
02/10/22,LAL,Real Madrid,1-1,Osasuna
07/10/22,LAL,Osasuna,1-2,Valencia
17/10/22,LAL,Villarreal,2-0,Osasuna
20/10/22,LAL,Osasuna,1-0,Espanyol
23/10/22,LAL,Girona,1-1,Osasuna
30/10/22,LAL,Osasuna,2-0,Real Valladolid
05/11/22,LAL,Celta Vigo,1-2,Osasuna
08/11/22,LAL,Osasuna,1-2,Barcelona
12/11/22,CDR,Fuentes,1-4,Osasuna
10/12/22,CLF,Osasuna,1-1,Lorient
13/12/22,CLF,Osasuna,3-0,Brest
14/12/22,CLF,Girona,1-1,Osasuna
21/12/22,CDR,Arnedo,1-3,Osasuna
31/12/22,LAL,Real Sociedad,2-0,Osasuna
05/01/23,CDR,Gimnàstic Tarragona,E1-2E,Osasuna
09/01/23,LAL,Athletic Bilbao,0-0,Osasuna
14/01/23,LAL,Osasuna,1-0,Mallorca
18/01/23,CDR,Real Betis,P2-2P,Osasuna
22/01/23,LAL,Elche,1-1,Osasuna
25/01/23,CDR,Osasuna,E2-1E,Sevilla
29/01/23,LAL,Osasuna,0-1,Atletico Madrid
04/02/23,LAL,Espanyol,1-1,Osasuna
12/02/23,LAL,Real Valladolid,0-0,Osasuna
18/02/23,LAL,Osasuna,0-2,Real Madrid
26/02/23,LAL,Sevilla,2-3,Osasuna
01/03/23,CDR,Osasuna,1-0,Athletic Bilbao
06/03/23,LAL,Osasuna,0-0,Celta Vigo
11/03/23,LAL,Valencia,1-0,Osasuna
19/03/23,LAL,Osasuna,0-3,Villarreal
31/03/23,LAL,Mallorca,0-0,Osasuna
04/04/23,CDR,Athletic Bilbao,1-1,Osasuna
08/04/23,LAL,Osasuna,2-1,Elche
14/04/23,LAL,Rayo Vallecano,2-1,Osasuna
22/04/23,LAL,Osasuna,3-2,Real Betis
25/04/23,LAL,Cadiz,0-1,Osasuna
28/04/23,LAL,Osasuna,0-2,Real Sociedad
02/05/23,LAL,Barcelona,1-0,Osasuna
06/05/23,CDR,Real Madrid,2-1,Osasuna
13/05/23,LAL,Osasuna,3-1,Almeria
21/05/23,LAL,Atletico Madrid,3-0,Osasuna
25/05/23,LAL,Osasuna,2-0,Athletic Bilbao
28/05/23,LAL,Getafe,2-1,Osasuna
09/08/21,CLF,Liverpool,3-1,Osasuna
14/08/21,LAL,Osasuna,0-0,Espanyol
23/08/21,LAL,Osasuna,0-0,Celta Vigo
29/08/21,LAL,Cadiz,2-3,Osasuna
31/08/21,CLF,Numancia,1-1,Osasuna
12/09/21,LAL,Osasuna,1-4,Valencia
18/09/21,LAL,Alaves,0-2,Osasuna
23/09/21,LAL,Osasuna,1-3,Real Betis
26/09/21,LAL,Mallorca,2-3,Osasuna
02/10/21,LAL,Osasuna,1-0,Rayo Vallecano
17/10/21,LAL,Villarreal,1-2,Osasuna
22/10/21,LAL,Osasuna,1-1,Granada
27/10/21,LAL,Real Madrid,0-0,Osasuna
30/10/21,LAL,Sevilla,2-0,Osasuna
07/11/21,LAL,Osasuna,0-2,Real Sociedad
