Date,Competition,Home team,Score,Away team
28/05/23,LAL,Rayo Vallecano,2-1,Villarreal
04/06/23,LAL,Mallorca,3-0,Rayo Vallecano
18/07/23,CLF,Panathinaikos,0-1,Rayo Vallecano
22/07/23,CLF,Sporting Charleroi,1-1,Rayo Vallecano
29/07/23,CLF,Porto,1-1,Rayo Vallecano
02/08/23,CLF,Real Valladolid,3-2,Rayo Vallecano
06/08/23,CLF,Brighton & Hove Albion,1-1,Rayo Vallecano
11/08/23,LAL,Almeria,0-2,Rayo Vallecano
21/08/23,LAL,Granada,0-2,Rayo Vallecano
28/08/23,LAL,Rayo Vallecano,0-7,Atletico Madrid
02/09/23,LAL,Real Betis,1-0,Rayo Vallecano
07/09/23,CLF,Alcorcon,P2-2P,Rayo Vallecano
15/09/23,LAL,Rayo Vallecano,2-0,Alaves
24/09/23,LAL,Rayo Vallecano,1-1,Villarreal
27/09/23,LAL,Cadiz,0-0,Rayo Vallecano
30/09/23,LAL,Rayo Vallecano,2-2,Mallorca
07/10/23,LAL,Sevilla,2-2,Rayo Vallecano
22/10/23,LAL,Las Palmas,0-1,Rayo Vallecano
29/10/23,LAL,Rayo Vallecano,2-2,Real Sociedad
01/11/23,CDR,Atlético Lugones,0-6,Rayo Vallecano
05/11/23,LAL,Real Madrid,0-0,Rayo Vallecano
11/11/23,LAL,Rayo Vallecano,1-2,Girona
25/11/23,LAL,Rayo Vallecano,1-1,Barcelona
02/12/23,LAL,Athletic Bilbao,4-0,Rayo Vallecano
06/12/23,CDR,Yeclano,0-2,Rayo Vallecano
11/12/23,LAL,Rayo Vallecano,0-0,Celta Vigo
15/12/23,LAL,Osasuna,1-0,Rayo Vallecano
19/12/23,LAL,Rayo Vallecano,0-1,Valencia
02/01/24,LAL,Getafe,0-2,Rayo Vallecano
06/01/24,CDR,Huesca,E0-2E,Rayo Vallecano
17/01/24,CDR,Girona,3-1,Rayo Vallecano
20/01/24,LAL,Rayo Vallecano,0-2,Las Palmas
27/01/24,LAL,Real Sociedad,0-0,Rayo Vallecano
31/01/24,LAL,Atletico Madrid,2-1,Rayo Vallecano
05/02/24,LAL,Rayo Vallecano,1-2,Sevilla
11/02/24,LAL,Mallorca,2-1,Rayo Vallecano
18/02/24,LAL,Rayo Vallecano,1-1,Real Madrid
26/02/24,LAL,Girona,3-0,Rayo Vallecano
02/03/24,LAL,Rayo Vallecano,1-1,Cadiz
10/03/24,LAL,Alaves,1-0,Rayo Vallecano
17/03/24,LAL,Rayo Vallecano,2-0,Real Betis
31/03/24,LAL,Celta Vigo,0-0,Rayo Vallecano
13/04/24,LAL,Rayo Vallecano,0-0,Getafe
20/04/24,LAL,Rayo Vallecano,2-1,Osasuna
28/04/24,LAL,Villarreal,3-0,Rayo Vallecano
05/05/24,LAL,Rayo Vallecano,21:00,Almeria
12/05/24,LAL,Valencia,18:30,Rayo Vallecano
15/05/24,LAL,Rayo Vallecano,19:30,Granada
19/05/24,LAL,Barcelona,-,Rayo Vallecano
26/05/24,LAL,Rayo Vallecano,-,Athletic Bilbao
19/07/22,CLF,Salernitana,CANC,Rayo Vallecano
20/07/22,CLF,Sheffield Wednesday,0-2,Rayo Vallecano
23/07/22,CLF,Birmingham City,2-2,Rayo Vallecano
27/07/22,CLF,Leganes,1-2,Rayo Vallecano
31/07/22,CLF,Manchester United,1-1,Rayo Vallecano
05/08/22,CLF,Rayo Vallecano,0-0,Real Valladolid
13/08/22,LAL,Barcelona,0-0,Rayo Vallecano
19/08/22,LAL,Espanyol,0-2,Rayo Vallecano
27/08/22,LAL,Rayo Vallecano,0-2,Mallorca
04/09/22,LAL,Osasuna,2-1,Rayo Vallecano
10/09/22,LAL,Rayo Vallecano,2-1,Valencia
17/09/22,LAL,Athletic Bilbao,3-2,Rayo Vallecano
22/09/22,CLF,Fuenlabrada,1-0,Rayo Vallecano
03/10/22,LAL,Rayo Vallecano,2-1,Elche
08/10/22,LAL,Almeria,3-1,Rayo Vallecano
14/10/22,LAL,Rayo Vallecano,0-0,Getafe
18/10/22,LAL,Atletico Madrid,1-1,Rayo Vallecano
22/10/22,LAL,Rayo Vallecano,5-1,Cadiz
29/10/22,LAL,Sevilla,0-1,Rayo Vallecano
07/11/22,LAL,Rayo Vallecano,3-2,Real Madrid
10/11/22,LAL,Rayo Vallecano,0-0,Celta Vigo
13/11/22,CDR,Mollerussa,1-3,Rayo Vallecano
30/11/22,CLF,Fenerbahce,3-1,Rayo Vallecano
03/12/22,CLF,Galatasaray,0-1,Rayo Vallecano
10/12/22,CLF,Real Sociedad,1-1,Rayo Vallecano
17/12/22,CLF,Newcastle United,2-1,Rayo Vallecano
21/12/22,CDR,Saguntino,P0-0P,Rayo Vallecano
29/12/22,LAL,Girona,2-2,Rayo Vallecano
03/01/23,CDR,Sporting Gijon,2-0,Rayo Vallecano
08/01/23,LAL,Rayo Vallecano,1-2,Real Betis
14/01/23,LAL,Real Valladolid,0-1,Rayo Vallecano
21/01/23,LAL,Rayo Vallecano,0-2,Real Sociedad
30/01/23,LAL,Villarreal,0-1,Rayo Vallecano
06/02/23,LAL,Rayo Vallecano,2-0,Almeria
12/02/23,LAL,Getafe,1-1,Rayo Vallecano
19/02/23,LAL,Rayo Vallecano,1-1,Sevilla
25/02/23,LAL,Cadiz,1-0,Rayo Vallecano
05/03/23,LAL,Rayo Vallecano,0-0,Athletic Bilbao
11/03/23,LAL,Celta Vigo,3-0,Rayo Vallecano
18/03/23,LAL,Rayo Vallecano,2-2,Girona
03/04/23,LAL,Valencia,1-1,Rayo Vallecano
09/04/23,LAL,Rayo Vallecano,1-2,Atletico Madrid
14/04/23,LAL,Rayo Vallecano,2-1,Osasuna
22/04/23,LAL,Real Sociedad,2-1,Rayo Vallecano
26/04/23,LAL,Rayo Vallecano,2-1,Barcelona
29/04/23,LAL,Elche,4-0,Rayo Vallecano
04/05/23,LAL,Rayo Vallecano,2-1,Real Valladolid
15/05/23,LAL,Real Betis,3-1,Rayo Vallecano
21/05/23,LAL,Rayo Vallecano,1-2,Espanyol
24/05/23,LAL,Real Madrid,2-1,Rayo Vallecano
20/06/21,SED,Girona,0-2,Rayo Vallecano
24/07/21,CLF,Espanyol,0-2,Rayo Vallecano
04/08/21,CLF,Real Valladolid,3-1,Rayo Vallecano
07/08/21,CLF,Leganes,P1-1P,Rayo Vallecano
15/08/21,LAL,Sevilla,3-0,Rayo Vallecano
22/08/21,LAL,Real Sociedad,1-0,Rayo Vallecano
29/08/21,LAL,Rayo Vallecano,4-0,Granada
11/09/21,LAL,Levante,1-1,Rayo Vallecano
18/09/21,LAL,Rayo Vallecano,3-0,Getafe
21/09/21,LAL,Athletic Bilbao,1-2,Rayo Vallecano
26/09/21,LAL,Rayo Vallecano,3-1,Cadiz
02/10/21,LAL,Osasuna,1-0,Rayo Vallecano
17/10/21,LAL,Rayo Vallecano,2-1,Elche
24/10/21,LAL,Real Betis,3-2,Rayo Vallecano
27/10/21,LAL,Rayo Vallecano,1-0,Barcelona
01/11/21,LAL,Rayo Vallecano,0-0,Celta Vigo
06/11/21,LAL,Real Madrid,2-1,Rayo Vallecano
22/11/21,LAL,Rayo Vallecano,3-1,Mallorca
27/11/21,LAL,Valencia,1-1,Rayo Vallecano
