Date,Competition,Home team,Score,Away team
13/08/23,LAL,Villarreal,1-2,Real Betis
20/08/23,LAL,Real Betis,0-0,Atletico Madrid
27/08/23,LAL,Athletic Bilbao,4-2,Real Betis
02/09/23,LAL,Real Betis,1-0,Rayo Vallecano
16/09/23,LAL,Barcelona,5-0,Real Betis
21/09/23,UEL,Rangers,1-0,Real Betis
24/09/23,LAL,Real Betis,1-1,Cadiz
28/09/23,LAL,Granada,1-1,Real Betis
01/10/23,LAL,Real Betis,3-0,Valencia
05/10/23,UEL,Real Betis,2-1,Sparta Prague
08/10/23,LAL,Alaves,1-1,Real Betis
21/10/23,LAL,Getafe,1-1,Real Betis
26/10/23,UEL,Aris Limassol,0-1,Real Betis
29/10/23,LAL,Real Betis,2-1,Osasuna
01/11/23,CDR,Hernán Cortés,1-12,Real Betis
04/11/23,LAL,Real Betis,2-0,Mallorca
09/11/23,UEL,Real Betis,4-1,Aris Limassol
12/11/23,LAL,Sevilla,1-1,Real Betis
26/11/23,LAL,Real Betis,1-0,Las Palmas
30/11/23,UEL,Sparta Prague,1-0,Real Betis
03/12/23,LAL,Almeria,0-0,Real Betis
06/12/23,CDR,Villanovense,1-2,Real Betis
09/12/23,LAL,Real Betis,1-1,Real Madrid
14/12/23,UEL,Real Betis,2-3,Rangers
17/12/23,LAL,Real Sociedad,0-0,Real Betis
21/12/23,LAL,Real Betis,1-1,Girona
03/01/24,LAL,Celta Vigo,2-1,Real Betis
06/01/24,CDR,Alaves,1-0,Real Betis
13/01/24,LAL,Real Betis,1-0,Granada
21/01/24,LAL,Real Betis,2-4,Barcelona
27/01/24,LAL,Mallorca,0-1,Real Betis
04/02/24,LAL,Real Betis,1-1,Getafe
09/02/24,LAL,Cadiz,0-2,Real Betis
15/02/24,UEC,Real Betis,0-1,Dinamo Zagreb
18/02/24,LAL,Real Betis,0-0,Alaves
22/02/24,UEC,Dinamo Zagreb,1-1,Real Betis
25/02/24,LAL,Real Betis,3-1,Athletic Bilbao
03/03/24,LAL,Atletico Madrid,2-1,Real Betis
10/03/24,LAL,Real Betis,2-3,Villarreal
17/03/24,LAL,Rayo Vallecano,2-0,Real Betis
31/03/24,LAL,Girona,3-2,Real Betis
12/04/24,LAL,Real Betis,2-1,Celta Vigo
20/04/24,LAL,Valencia,1-2,Real Betis
28/04/24,LAL,Real Betis,1-1,Sevilla
05/05/24,LAL,Osasuna,14:00,Real Betis
12/05/24,LAL,Real Betis,21:00,Almeria
16/05/24,LAL,Las Palmas,19:30,Real Betis
19/05/24,LAL,Real Betis,-,Real Sociedad
26/05/24,LAL,Real Madrid,-,Real Betis
01/08/24,CLF,Manchester United,06:00,Real Betis
13/10/22,UEL,Real Betis,1-1,Roma
16/10/22,LAL,Real Betis,3-1,Almeria
19/10/22,LAL,Cadiz,0-0,Real Betis
23/10/22,LAL,Real Betis,1-2,Atletico Madrid
27/10/22,UEL,Ludogorets,0-1,Real Betis
30/10/22,LAL,Real Sociedad,0-2,Real Betis
03/11/22,UEL,Real Betis,3-0,HJK
06/11/22,LAL,Real Betis,1-1,Sevilla
10/11/22,LAL,Valencia,3-0,Real Betis
13/11/22,CLF,River Plate,4-0,Real Betis
17/11/22,CLF,Colo Colo,5-0,Real Betis
19/11/22,CLF,Colo Colo,1-0,Real Betis
10/12/22,CLF,Real Betis,1-0,Manchester United
17/12/22,CLF,Real Betis,1-1,Inter Milan
23/12/22,CLF,Real Betis,0-3,Atalanta
29/12/22,LAL,Real Betis,0-0,Athletic Bilbao
05/01/23,CDR,Ibiza Islas Pitiusas,1-4,Real Betis
08/01/23,LAL,Rayo Vallecano,1-2,Real Betis
12/01/23,SUC,Real Betis,P2-2P,Barcelona
18/01/23,CDR,Real Betis,P2-2P,Osasuna
21/01/23,LAL,Espanyol,1-0,Real Betis
28/01/23,LAL,Getafe,0-1,Real Betis
01/02/23,LAL,Real Betis,1-2,Barcelona
04/02/23,LAL,Real Betis,3-4,Celta Vigo
11/02/23,LAL,Almeria,2-3,Real Betis
18/02/23,LAL,Real Betis,2-1,Real Valladolid
24/02/23,LAL,Elche,2-3,Real Betis
05/03/23,LAL,Real Betis,0-0,Real Madrid
09/03/23,UEL,Manchester United,4-1,Real Betis
12/03/23,LAL,Villarreal,1-1,Real Betis
16/03/23,UEL,Real Betis,0-1,Manchester United
19/03/23,LAL,Real Betis,1-0,Mallorca
02/04/23,LAL,Atletico Madrid,1-0,Real Betis
09/04/23,LAL,Real Betis,0-2,Cadiz
15/04/23,LAL,Real Betis,3-1,Espanyol
22/04/23,LAL,Osasuna,3-2,Real Betis
25/04/23,LAL,Real Betis,0-0,Real Sociedad
29/04/23,LAL,Barcelona,4-0,Real Betis
04/05/23,LAL,Athletic Bilbao,0-1,Real Betis
15/05/23,LAL,Real Betis,3-1,Rayo Vallecano
21/05/23,LAL,Sevilla,0-0,Real Betis
24/05/23,LAL,Real Betis,0-1,Getafe
28/05/23,LAL,Girona,1-2,Real Betis
04/06/23,LAL,Real Betis,1-1,Valencia
15/07/23,CLF,Eintracht Braunschweig,3-1,Real Betis
19/07/23,CLF,Real Betis,1-3,Monaco
22/07/23,CLF,Middlesbrough,0-1,Real Betis
28/07/23,CLF,Real Betis,1-1,Burnley
03/08/23,CLF,Sevilla,1-0,Real Betis
06/08/23,CLF,Real Betis,0-1,Real Sociedad
12/12/21,LAL,Real Betis,4-0,Real Sociedad
16/12/21,CDR,Talavera,E2-4E,Real Betis
19/12/21,LAL,Athletic Bilbao,3-2,Real Betis
02/01/22,LAL,Real Betis,0-2,Celta Vigo
05/01/22,CDR,Real Valladolid,0-3,Real Betis
09/01/22,LAL,Rayo Vallecano,1-1,Real Betis
16/01/22,CDR,Real Betis,2-1,Sevilla
18/01/22,LAL,Real Betis,4-0,Alaves
21/01/22,LAL,Espanyol,1-4,Real Betis
03/02/22,CDR,Real Sociedad,0-4,Real Betis
06/02/22,LAL,Real Betis,0-2,Villarreal
09/02/22,CDR,Rayo Vallecano,1-2,Real Betis
13/02/22,LAL,Levante,2-4,Real Betis
17/02/22,UEL,Zenit,2-3,Real Betis
20/02/22,LAL,Real Betis,2-1,Mallorca
24/02/22,UEL,Real Betis,0-0,Zenit
27/02/22,LAL,Sevilla,2-1,Real Betis
03/03/22,CDR,Real Betis,1-1,Rayo Vallecano
06/03/22,LAL,Real Betis,1-3,Atletico Madrid
09/03/22,UEL,Real Betis,1-2,Eintracht Frankfurt
13/03/22,LAL,Real Betis,1-0,Athletic Bilbao
17/03/22,UEL,Eintracht Frankfurt,1-1,Real Betis
20/03/22,LAL,Celta Vigo,0-0,Real Betis
03/04/22,LAL,Real Betis,4-1,Osasuna
09/04/22,LAL,Cadiz,1-2,Real Betis
15/04/22,LAL,Real Sociedad,0-0,Real Betis
19/04/22,LAL,Real Betis,0-1,Elche
23/04/22,CDR,Real Betis,P1-1P,Valencia
02/05/22,LAL,Getafe,0-0,Real Betis
07/05/22,LAL,Real Betis,1-2,Barcelona
10/05/22,LAL,Valencia,0-3,Real Betis
15/05/22,LAL,Real Betis,2-0,Granada
20/05/22,LAL,Real Madrid,0-0,Real Betis
16/07/22,CLF,Grödig,0-0,Real Betis
23/07/22,CLF,PSV,2-1,Real Betis
27/07/22,CLF,Real Betis,1-1,Marseille
30/07/22,CLF,Brentford,1-0,Real Betis
03/08/22,CLF,Real Betis,2-2,Real Zaragoza
06/08/22,CLF,Real Betis,3-1,Fiorentina
15/08/22,LAL,Real Betis,3-0,Elche
20/08/22,LAL,Mallorca,1-2,Real Betis
26/08/22,LAL,Real Betis,1-0,Osasuna
03/09/22,LAL,Real Madrid,2-1,Real Betis
08/09/22,UEL,HJK,0-2,Real Betis
11/09/22,LAL,Real Betis,1-0,Villarreal
15/09/22,UEL,Real Betis,3-2,Ludogorets
18/09/22,LAL,Real Betis,2-1,Girona
02/10/22,LAL,Celta Vigo,1-0,Real Betis
06/10/22,UEL,Roma,1-2,Real Betis
09/10/22,LAL,Real Valladolid,0-0,Real Betis
23/01/21,LAL,Real Sociedad,2-2,Real Betis
26/01/21,CDR,Real Betis,E3-1E,Real Sociedad
01/02/21,LAL,Real Betis,1-0,Osasuna
04/02/21,CDR,Real Betis,P1-1P,Athletic Bilbao
07/02/21,LAL,Real Betis,2-3,Barcelona
14/02/21,LAL,Villarreal,1-2,Real Betis
19/02/21,LAL,Real Betis,1-0,Getafe
28/02/21,LAL,Cadiz,0-1,Real Betis
