Date,Competition,Home team,Score,Away team
27/09/23,LAL,Real Madrid,2-0,Las Palmas
30/09/23,LAL,Girona,0-3,Real Madrid
03/10/23,UCL,Napoli,2-3,Real Madrid
07/10/23,LAL,Real Madrid,4-0,Osasuna
21/10/23,LAL,Sevilla,1-1,Real Madrid
24/10/23,UCL,Sporting Braga,1-2,Real Madrid
28/10/23,LAL,Barcelona,1-2,Real Madrid
05/11/23,LAL,Real Madrid,0-0,Rayo Vallecano
08/11/23,UCL,Real Madrid,3-0,Sporting Braga
11/11/23,LAL,Real Madrid,5-1,Valencia
26/11/23,LAL,Cadiz,0-3,Real Madrid
29/11/23,UCL,Real Madrid,4-2,Napoli
02/12/23,LAL,Real Madrid,2-0,Granada
09/12/23,LAL,Real Betis,1-1,Real Madrid
12/12/23,UCL,Union Berlin,2-3,Real Madrid
17/12/23,LAL,Real Madrid,4-1,Villarreal
21/12/23,LAL,Alaves,0-1,Real Madrid
03/01/24,LAL,Real Madrid,1-0,Mallorca
06/01/24,CDR,Arandina,1-3,Real Madrid
10/01/24,SUC,Real Madrid,E5-3E,Atletico Madrid
14/01/24,SUC,Real Madrid,4-1,Barcelona
18/01/24,CDR,Atletico Madrid,E4-2E,Real Madrid
21/01/24,LAL,Real Madrid,3-2,Almeria
27/01/24,LAL,Las Palmas,1-2,Real Madrid
01/02/24,LAL,Getafe,0-2,Real Madrid
04/02/24,LAL,Real Madrid,1-1,Atletico Madrid
10/02/24,LAL,Real Madrid,4-0,Girona
13/02/24,UCL,RB Leipzig,0-1,Real Madrid
18/02/24,LAL,Rayo Vallecano,1-1,Real Madrid
25/02/24,LAL,Real Madrid,1-0,Sevilla
02/03/24,LAL,Valencia,2-2,Real Madrid
06/03/24,UCL,Real Madrid,1-1,RB Leipzig
10/03/24,LAL,Real Madrid,4-0,Celta Vigo
16/03/24,LAL,Osasuna,2-4,Real Madrid
31/03/24,LAL,Real Madrid,2-0,Athletic Bilbao
09/04/24,UCL,Real Madrid,3-3,Manchester City
13/04/24,LAL,Mallorca,0-1,Real Madrid
17/04/24,UCL,Manchester City,P1-1P,Real Madrid
21/04/24,LAL,Real Madrid,3-2,Barcelona
26/04/24,LAL,Real Sociedad,0-1,Real Madrid
30/04/24,UCL,Bayern Munich,2-2,Real Madrid
04/05/24,LAL,Real Madrid,16:15,Cadiz
08/05/24,UCL,Real Madrid,21:00,Bayern Munich
11/05/24,LAL,Granada,18:30,Real Madrid
14/05/24,LAL,Real Madrid,21:30,Alaves
19/05/24,LAL,Villarreal,-,Real Madrid
26/05/24,LAL,Real Madrid,-,Real Betis
31/07/24,CLF,Real Madrid,-,AC Milan
03/08/24,CLF,Barcelona,-,Real Madrid
06/08/24,CLF,Chelsea,-,Real Madrid
03/01/23,CDR,Cacereño,0-1,Real Madrid
07/01/23,LAL,Villarreal,2-1,Real Madrid
11/01/23,SUC,Real Madrid,P1-1P,Valencia
15/01/23,SUC,Real Madrid,1-3,Barcelona
19/01/23,CDR,Villarreal,2-3,Real Madrid
22/01/23,LAL,Athletic Bilbao,0-2,Real Madrid
26/01/23,CDR,Real Madrid,E3-1E,Atletico Madrid
29/01/23,LAL,Real Madrid,0-0,Real Sociedad
02/02/23,LAL,Real Madrid,2-0,Valencia
05/02/23,LAL,Mallorca,1-0,Real Madrid
08/02/23,FCW,Al Ahly,1-4,Real Madrid
11/02/23,FCW,Real Madrid,5-3,Al Hilal
15/02/23,LAL,Real Madrid,4-0,Elche
18/02/23,LAL,Osasuna,0-2,Real Madrid
21/02/23,UCL,Liverpool,2-5,Real Madrid
25/02/23,LAL,Real Madrid,1-1,Atletico Madrid
02/03/23,CDR,Real Madrid,0-1,Barcelona
05/03/23,LAL,Real Betis,0-0,Real Madrid
11/03/23,LAL,Real Madrid,3-1,Espanyol
15/03/23,UCL,Real Madrid,1-0,Liverpool
19/03/23,LAL,Barcelona,2-1,Real Madrid
02/04/23,LAL,Real Madrid,6-0,Real Valladolid
05/04/23,CDR,Barcelona,0-4,Real Madrid
08/04/23,LAL,Real Madrid,2-3,Villarreal
12/04/23,UCL,Real Madrid,2-0,Chelsea
15/04/23,LAL,Cadiz,0-2,Real Madrid
18/04/23,UCL,Chelsea,0-2,Real Madrid
22/04/23,LAL,Real Madrid,2-0,Celta Vigo
25/04/23,LAL,Girona,4-2,Real Madrid
29/04/23,LAL,Real Madrid,4-2,Almeria
02/05/23,LAL,Real Sociedad,2-0,Real Madrid
06/05/23,CDR,Real Madrid,2-1,Osasuna
09/05/23,UCL,Real Madrid,1-1,Manchester City
13/05/23,LAL,Real Madrid,1-0,Getafe
17/05/23,UCL,Manchester City,4-0,Real Madrid
21/05/23,LAL,Valencia,1-0,Real Madrid
24/05/23,LAL,Real Madrid,2-1,Rayo Vallecano
27/05/23,LAL,Sevilla,1-2,Real Madrid
04/06/23,LAL,Real Madrid,1-1,Athletic Bilbao
24/07/23,CLF,Real Madrid,3-2,AC Milan
27/07/23,CLF,Real Madrid,2-0,Manchester United
29/07/23,CLF,Barcelona,3-0,Real Madrid
03/08/23,CLF,Juventus,3-1,Real Madrid
12/08/23,LAL,Athletic Bilbao,0-2,Real Madrid
19/08/23,LAL,Almeria,1-3,Real Madrid
25/08/23,LAL,Celta Vigo,0-1,Real Madrid
02/09/23,LAL,Real Madrid,2-1,Getafe
17/09/23,LAL,Real Madrid,2-1,Real Sociedad
20/09/23,UCL,Real Madrid,1-0,Union Berlin
24/09/23,LAL,Atletico Madrid,3-1,Real Madrid
23/01/22,LAL,Real Madrid,2-2,Elche
03/02/22,CDR,Athletic Bilbao,1-0,Real Madrid
06/02/22,LAL,Real Madrid,1-0,Granada
12/02/22,LAL,Villarreal,0-0,Real Madrid
15/02/22,UCL,PSG,1-0,Real Madrid
19/02/22,LAL,Real Madrid,3-0,Alaves
26/02/22,LAL,Rayo Vallecano,0-1,Real Madrid
05/03/22,LAL,Real Madrid,4-1,Real Sociedad
09/03/22,UCL,Real Madrid,3-1,PSG
14/03/22,LAL,Mallorca,0-3,Real Madrid
20/03/22,LAL,Real Madrid,0-4,Barcelona
02/04/22,LAL,Celta Vigo,1-2,Real Madrid
06/04/22,UCL,Chelsea,1-3,Real Madrid
09/04/22,LAL,Real Madrid,2-0,Getafe
12/04/22,UCL,Real Madrid,E2-3E,Chelsea
17/04/22,LAL,Sevilla,2-3,Real Madrid
20/04/22,LAL,Osasuna,1-3,Real Madrid
26/04/22,UCL,Manchester City,4-3,Real Madrid
30/04/22,LAL,Real Madrid,4-0,Espanyol
04/05/22,UCL,Real Madrid,E3-1E,Manchester City
08/05/22,LAL,Atletico Madrid,1-0,Real Madrid
12/05/22,LAL,Real Madrid,6-0,Levante
15/05/22,LAL,Cadiz,1-1,Real Madrid
20/05/22,LAL,Real Madrid,0-0,Real Betis
28/05/22,UCL,Liverpool,0-1,Real Madrid
24/07/22,CLF,Real Madrid,0-1,Barcelona
27/07/22,CLF,Real Madrid,2-2,América
31/07/22,CLF,Real Madrid,2-0,Juventus
10/08/22,USC,Real Madrid,2-0,Eintracht Frankfurt
14/08/22,LAL,Almeria,1-2,Real Madrid
20/08/22,LAL,Celta Vigo,1-4,Real Madrid
28/08/22,LAL,Espanyol,1-3,Real Madrid
03/09/22,LAL,Real Madrid,2-1,Real Betis
06/09/22,UCL,Celtic,0-3,Real Madrid
11/09/22,LAL,Real Madrid,4-1,Mallorca
14/09/22,UCL,Real Madrid,2-0,RB Leipzig
18/09/22,LAL,Atletico Madrid,1-2,Real Madrid
02/10/22,LAL,Real Madrid,1-1,Osasuna
05/10/22,UCL,Real Madrid,2-1,Shakhtar Donetsk
08/10/22,LAL,Getafe,0-1,Real Madrid
11/10/22,UCL,Shakhtar Donetsk,1-1,Real Madrid
16/10/22,LAL,Real Madrid,3-1,Barcelona
19/10/22,LAL,Elche,0-3,Real Madrid
22/10/22,LAL,Real Madrid,3-1,Sevilla
25/10/22,UCL,RB Leipzig,3-2,Real Madrid
30/10/22,LAL,Real Madrid,1-1,Girona
02/11/22,UCL,Real Madrid,5-1,Celtic
07/11/22,LAL,Rayo Vallecano,3-2,Real Madrid
10/11/22,LAL,Real Madrid,2-1,Cadiz
30/12/22,LAL,Real Valladolid,0-2,Real Madrid
13/03/21,LAL,Real Madrid,2-1,Elche
16/03/21,UCL,Real Madrid,3-1,Atalanta
20/03/21,LAL,Celta Vigo,1-3,Real Madrid
03/04/21,LAL,Real Madrid,2-0,Eibar
06/04/21,UCL,Real Madrid,3-1,Liverpool
10/04/21,LAL,Real Madrid,2-1,Barcelona
14/04/21,UCL,Liverpool,0-0,Real Madrid
18/04/21,LAL,Getafe,0-0,Real Madrid
21/04/21,LAL,Cadiz,0-3,Real Madrid
24/04/21,LAL,Real Madrid,0-0,Real Betis
27/04/21,UCL,Real Madrid,1-1,Chelsea
01/05/21,LAL,Real Madrid,2-0,Osasuna
05/05/21,UCL,Chelsea,2-0,Real Madrid
09/05/21,LAL,Real Madrid,2-2,Sevilla
13/05/21,LAL,Granada,1-4,Real Madrid
16/05/21,LAL,Athletic Bilbao,0-1,Real Madrid
22/05/21,LAL,Real Madrid,2-1,Villarreal
25/07/21,CLF,Rangers,2-1,Real Madrid
08/08/21,CLF,Real Madrid,0-0,AC Milan
14/08/21,LAL,Alaves,1-4,Real Madrid
22/08/21,LAL,Levante,3-3,Real Madrid
28/08/21,LAL,Real Betis,0-1,Real Madrid
12/09/21,LAL,Real Madrid,5-2,Celta Vigo
15/09/21,UCL,Inter Milan,0-1,Real Madrid
19/09/21,LAL,Valencia,1-2,Real Madrid
22/09/21,LAL,Real Madrid,6-1,Mallorca
25/09/21,LAL,Real Madrid,0-0,Villarreal
28/09/21,UCL,Real Madrid,1-2,Sheriff
03/10/21,LAL,Espanyol,2-1,Real Madrid
