Date,Competition,Home team,Score,Away team
17/09/23,LAL,Real Madrid,2-1,Real Sociedad
20/09/23,UCL,Real Sociedad,1-1,Inter Milan
24/09/23,LAL,Real Sociedad,4-3,Getafe
27/09/23,LAL,Valencia,0-1,Real Sociedad
30/09/23,LAL,Real Sociedad,3-0,Athletic Bilbao
03/10/23,UCL,Salzburg,0-2,Real Sociedad
08/10/23,LAL,Atletico Madrid,2-1,Real Sociedad
21/10/23,LAL,Real Sociedad,1-0,Mallorca
24/10/23,UCL,Benfica,0-1,Real Sociedad
29/10/23,LAL,Rayo Vallecano,2-2,Real Sociedad
01/11/23,CDR,Buñol,0-1,Real Sociedad
04/11/23,LAL,Real Sociedad,0-1,Barcelona
08/11/23,UCL,Real Sociedad,3-1,Benfica
11/11/23,LAL,Almeria,1-3,Real Sociedad
26/11/23,LAL,Real Sociedad,2-1,Sevilla
29/11/23,UCL,Real Sociedad,0-0,Salzburg
02/12/23,LAL,Osasuna,1-1,Real Sociedad
06/12/23,CDR,Andratx,0-1,Real Sociedad
09/12/23,LAL,Villarreal,0-3,Real Sociedad
12/12/23,UCL,Inter Milan,0-0,Real Sociedad
17/12/23,LAL,Real Sociedad,0-0,Real Betis
21/12/23,LAL,Cadiz,0-0,Real Sociedad
02/01/24,LAL,Real Sociedad,1-1,Alaves
07/01/24,CDR,Malaga,0-1,Real Sociedad
13/01/24,LAL,Athletic Bilbao,2-1,Real Sociedad
17/01/24,CDR,Osasuna,0-2,Real Sociedad
20/01/24,LAL,Celta Vigo,0-1,Real Sociedad
23/01/24,CDR,Celta Vigo,1-2,Real Sociedad
27/01/24,LAL,Real Sociedad,0-0,Rayo Vallecano
03/02/24,LAL,Girona,0-0,Real Sociedad
06/02/24,CDR,Mallorca,0-0,Real Sociedad
10/02/24,LAL,Real Sociedad,0-1,Osasuna
14/02/24,UCL,PSG,2-0,Real Sociedad
18/02/24,LAL,Mallorca,1-2,Real Sociedad
23/02/24,LAL,Real Sociedad,1-3,Villarreal
27/02/24,CDR,Real Sociedad,P1-1P,Mallorca
02/03/24,LAL,Sevilla,3-2,Real Sociedad
05/03/24,UCL,Real Sociedad,1-2,PSG
09/03/24,LAL,Granada,2-3,Real Sociedad
15/03/24,LAL,Real Sociedad,2-0,Cadiz
31/03/24,LAL,Alaves,0-1,Real Sociedad
14/04/24,LAL,Real Sociedad,2-2,Almeria
21/04/24,LAL,Getafe,1-1,Real Sociedad
26/04/24,LAL,Real Sociedad,0-1,Real Madrid
04/05/24,LAL,Real Sociedad,14:00,Las Palmas
13/05/24,LAL,Barcelona,21:00,Real Sociedad
16/05/24,LAL,Real Sociedad,22:00,Valencia
