Date,Competition,Home team,Score,Away team
25/05/23,LAL,Mallorca,1-0,Valencia
28/05/23,LAL,Valencia,2-2,Espanyol
04/06/23,LAL,Real Betis,1-1,Valencia
18/07/23,CLF,Valencia,1-0,Nottingham Forest
22/07/23,CLF,Spartak Trnava,0-1,Valencia
25/07/23,CLF,St.Gallen,1-3,Valencia
29/07/23,CLF,Valencia,2-0,Alaves
05/08/23,CLF,Valencia,1-2,Aston Villa
11/08/23,LAL,Sevilla,1-2,Valencia
18/08/23,LAL,Valencia,1-0,Las Palmas
27/08/23,LAL,Valencia,1-2,Osasuna
02/09/23,LAL,Alaves,1-0,Valencia
16/09/23,LAL,Valencia,3-0,Atletico Madrid
23/09/23,LAL,Almeria,2-2,Valencia
27/09/23,LAL,Valencia,0-1,Real Sociedad
01/10/23,LAL,Real Betis,3-0,Valencia
07/10/23,LAL,Mallorca,1-1,Valencia
23/10/23,LAL,Valencia,2-0,Cadiz
29/10/23,LAL,Athletic Bilbao,2-2,Valencia
02/11/23,CDR,UD Logroñés,0-2,Valencia
05/11/23,LAL,Valencia,1-0,Granada
11/11/23,LAL,Real Madrid,5-1,Valencia
25/11/23,LAL,Valencia,0-0,Celta Vigo
02/12/23,LAL,Girona,2-1,Valencia
05/12/23,CDR,Arosa,0-1,Valencia
08/12/23,LAL,Getafe,1-0,Valencia
16/12/23,LAL,Valencia,1-1,Barcelona
19/12/23,LAL,Rayo Vallecano,0-1,Valencia
02/01/24,LAL,Valencia,3-1,Villarreal
07/01/24,CDR,FC Cartagena,E1-2E,Valencia
14/01/24,LAL,Cadiz,1-4,Valencia
17/01/24,CDR,Valencia,1-3,Celta Vigo
20/01/24,LAL,Valencia,1-0,Athletic Bilbao
28/01/24,LAL,Atletico Madrid,2-0,Valencia
03/02/24,LAL,Valencia,2-1,Almeria
10/02/24,LAL,Las Palmas,2-0,Valencia
17/02/24,LAL,Valencia,0-0,Sevilla
02/03/24,LAL,Valencia,2-2,Real Madrid
09/03/24,LAL,Valencia,1-0,Getafe
17/03/24,LAL,Villarreal,1-0,Valencia
30/03/24,LAL,Valencia,0-0,Mallorca
04/04/24,LAL,Granada,0-1,Valencia
15/04/24,LAL,Osasuna,0-1,Valencia
20/04/24,LAL,Valencia,1-2,Real Betis
29/04/24,LAL,Barcelona,4-2,Valencia
05/05/24,LAL,Valencia,18:30,Alaves
12/05/24,LAL,Valencia,18:30,Rayo Vallecano
16/05/24,LAL,Real Sociedad,22:00,Valencia
19/05/24,LAL,Valencia,-,Girona
26/05/24,LAL,Celta Vigo,-,Valencia
14/05/22,LAL,Espanyol,1-1,Valencia
21/05/22,LAL,Valencia,2-0,Celta Vigo
18/07/22,CLF,Borussia Dortmund,1-3,Valencia
20/07/22,CLF,St.Gallen,0-2,Valencia
23/07/22,CLF,Stuttgart,5-2,Valencia
30/07/22,CLF,Nottingham Forest,1-1,Valencia
03/08/22,CLF,Castellón,1-0,Valencia
06/08/22,CLF,Valencia,2-1,Atalanta
14/08/22,LAL,Valencia,1-0,Girona
21/08/22,LAL,Athletic Bilbao,1-0,Valencia
29/08/22,LAL,Valencia,0-1,Atletico Madrid
04/09/22,LAL,Valencia,5-1,Getafe
10/09/22,LAL,Rayo Vallecano,2-1,Valencia
17/09/22,LAL,Valencia,3-0,Celta Vigo
02/10/22,LAL,Espanyol,2-2,Valencia
07/10/22,LAL,Osasuna,1-2,Valencia
15/10/22,LAL,Valencia,2-2,Elche
18/10/22,LAL,Sevilla,1-1,Valencia
22/10/22,LAL,Valencia,1-2,Mallorca
29/10/22,LAL,Valencia,0-1,Barcelona
06/11/22,LAL,Real Sociedad,1-1,Valencia
10/11/22,LAL,Valencia,3-0,Real Betis
09/12/22,CLF,Valencia,4-2,Clermont
16/12/22,CLF,Valencia,1-2,Nottingham Forest
22/12/22,CLF,Valencia,1-3,AZ
31/12/22,LAL,Villarreal,2-1,Valencia
03/01/23,CDR,La Nucía,0-3,Valencia
06/01/23,LAL,Valencia,0-1,Cadiz
