Date,Competition,Home team,Score,Away team
13/08/23,LAL,Villarreal,1-2,Real Betis
18/08/23,LAL,Mallorca,0-1,Villarreal
27/08/23,LAL,Villarreal,3-4,Barcelona
01/09/23,LAL,Cadiz,3-1,Villarreal
17/09/23,LAL,Villarreal,2-1,Almeria
21/09/23,UEL,Panathinaikos,2-0,Villarreal
24/09/23,LAL,Rayo Vallecano,1-1,Villarreal
27/09/23,LAL,Villarreal,1-2,Girona
30/09/23,LAL,Getafe,0-0,Villarreal
05/10/23,UEL,Villarreal,1-0,Rennes
08/10/23,LAL,Villarreal,1-2,Las Palmas
22/10/23,LAL,Villarreal,1-1,Alaves
30/10/23,LAL,Granada,2-3,Villarreal
02/11/23,CDR,Chiclana,0-5,Villarreal
05/11/23,LAL,Villarreal,2-3,Athletic Bilbao
09/11/23,UEL,Maccabi Haifa,1-2,Villarreal
12/11/23,LAL,Atletico Madrid,3-1,Villarreal
22/11/23,CDR,Zamora,E1-2E,Villarreal
26/11/23,LAL,Villarreal,3-1,Osasuna
30/11/23,UEL,Villarreal,3-2,Panathinaikos
03/12/23,LAL,Sevilla,1-1,Villarreal
06/12/23,UEL,Villarreal,0-0,Maccabi Haifa
09/12/23,LAL,Villarreal,0-3,Real Sociedad
14/12/23,UEL,Rennes,2-3,Villarreal
17/12/23,LAL,Real Madrid,4-1,Villarreal
20/12/23,LAL,Villarreal,3-2,Celta Vigo
02/01/24,LAL,Valencia,3-1,Villarreal
08/01/24,CDR,Unionistas de Salamanca,P1-1P,Villarreal
13/01/24,LAL,Las Palmas,3-0,Villarreal
20/01/24,LAL,Villarreal,1-1,Mallorca
27/01/24,LAL,Barcelona,3-5,Villarreal
04/02/24,LAL,Villarreal,0-0,Cadiz
10/02/24,LAL,Alaves,1-1,Villarreal
16/02/24,LAL,Villarreal,1-1,Getafe
23/02/24,LAL,Real Sociedad,1-3,Villarreal
03/03/24,LAL,Villarreal,5-1,Granada
07/03/24,UEL,Marseille,4-0,Villarreal
10/03/24,LAL,Real Betis,2-3,Villarreal
14/03/24,UEL,Villarreal,3-1,Marseille
17/03/24,LAL,Villarreal,1-0,Valencia
01/04/24,LAL,Villarreal,1-2,Atletico Madrid
14/04/24,LAL,Athletic Bilbao,1-1,Villarreal
21/04/24,LAL,Almeria,1-2,Villarreal
28/04/24,LAL,Villarreal,3-0,Rayo Vallecano
05/05/24,LAL,Celta Vigo,16:15,Villarreal
11/05/24,LAL,Villarreal,16:15,Sevilla
14/05/24,LAL,Girona,22:00,Villarreal
19/05/24,LAL,Villarreal,-,Real Madrid
26/05/24,LAL,Osasuna,-,Villarreal
06/08/24,CLF,Borussia Dortmund,-,Villarreal
13/10/22,UEC,Austria Vienna,0-1,Villarreal
17/10/22,LAL,Villarreal,2-0,Osasuna
20/10/22,LAL,Barcelona,3-0,Villarreal
23/10/22,LAL,Villarreal,2-1,Almeria
27/10/22,UEC,Villarreal,2-2,Hapoel Be'er Sheva
30/10/22,LAL,Athletic Bilbao,1-0,Villarreal
03/11/22,UEC,Lech Poznań,3-0,Villarreal
06/11/22,LAL,Villarreal,0-2,Mallorca
09/11/22,LAL,Espanyol,0-1,Villarreal
12/11/22,CDR,Santa Amalia,0-9,Villarreal
03/12/22,CLF,Fenerbahce,2-1,Villarreal
06/12/22,CLF,Galatasaray,3-4,Villarreal
15/12/22,CLF,Aston Villa,0-1,Villarreal
17/12/22,CLF,Napoli,2-3,Villarreal
20/12/22,CDR,Guijuelo,E1-2E,Villarreal
31/12/22,LAL,Villarreal,2-1,Valencia
03/01/23,CDR,FC Cartagena,1-5,Villarreal
07/01/23,LAL,Villarreal,2-1,Real Madrid
13/01/23,LAL,Celta Vigo,1-1,Villarreal
19/01/23,CDR,Villarreal,2-3,Real Madrid
22/01/23,LAL,Villarreal,1-0,Girona
30/01/23,LAL,Villarreal,0-1,Rayo Vallecano
04/02/23,LAL,Elche,3-1,Villarreal
12/02/23,LAL,Villarreal,0-1,Barcelona
18/02/23,LAL,Mallorca,4-2,Villarreal
27/02/23,LAL,Villarreal,2-1,Getafe
04/03/23,LAL,Almeria,0-2,Villarreal
09/03/23,UEC,Anderlecht,1-1,Villarreal
12/03/23,LAL,Villarreal,1-1,Real Betis
16/03/23,UEC,Villarreal,0-1,Anderlecht
19/03/23,LAL,Osasuna,0-3,Villarreal
02/04/23,LAL,Villarreal,2-0,Real Sociedad
08/04/23,LAL,Real Madrid,2-3,Villarreal
15/04/23,LAL,Villarreal,1-2,Real Valladolid
23/04/23,LAL,Sevilla,2-1,Villarreal
