Date,Competition,Home team,Score,Away team
20/05/23,SÜL,Kayserispor,0-4,Alanyaspor
30/05/23,SÜL,Alanyaspor,1-3,Kasımpaşa
03/06/23,SÜL,Trabzonspor,5-1,Alanyaspor
13/07/23,CLF,Alanyaspor,3-1,Rizespor
18/07/23,CLF,Alanyaspor,3-1,Konyaspor
20/07/23,CLF,Antalyaspor,2-1,Alanyaspor
28/07/23,CLF,Dordrecht,4-3,Alanyaspor
01/08/23,CLF,Volendam,1-1,Alanyaspor
04/08/23,CLF,NAC Breda,1-1,Alanyaspor
14/08/23,SÜL,Alanyaspor,2-0,Istanbul Basaksehir
19/08/23,SÜL,Rizespor,0-0,Alanyaspor
27/08/23,SÜL,Alanyaspor,0-0,Hatayspor
02/09/23,SÜL,Pendikspor,1-1,Alanyaspor
17/09/23,SÜL,Alanyaspor,3-3,Kasımpaşa
24/09/23,SÜL,Alanyaspor,0-1,Fenerbahce
01/10/23,SÜL,Adana Demirspor,4-0,Alanyaspor
06/10/23,SÜL,Alanyaspor,2-1,Fatih Karagümrük
23/10/23,SÜL,Trabzonspor,1-0,Alanyaspor
28/10/23,SÜL,Alanyaspor,1-2,Sivasspor
31/10/23,CUP,Alanyaspor,4-1,Belediye Kütahyaspor
06/11/23,SÜL,Kayserispor,1-0,Alanyaspor
11/11/23,SÜL,Alanyaspor,0-3,Gaziantep FK
25/11/23,SÜL,Galatasaray,4-0,Alanyaspor
02/12/23,SÜL,Alanyaspor,2-2,Konyaspor
05/12/23,CUP,Alanyaspor,1-0,Kocaelispor
10/12/23,SÜL,İstanbulspor,0-1,Alanyaspor
21/12/23,SÜL,Besiktas,1-3,Alanyaspor
25/12/23,SÜL,Alanyaspor,3-1,Samsunspor
05/01/24,SÜL,Antalyaspor,0-0,Alanyaspor
09/01/24,SÜL,Alanyaspor,1-1,Ankaragücü
13/01/24,SÜL,Istanbul Basaksehir,3-2,Alanyaspor
17/01/24,CUP,Alanyaspor,E1-3E,Samsunspor
20/01/24,SÜL,Alanyaspor,2-1,Rizespor
23/01/24,SÜL,Hatayspor,1-1,Alanyaspor
27/01/24,SÜL,Alanyaspor,1-1,Pendikspor
04/02/24,SÜL,Kasımpaşa,2-1,Alanyaspor
11/02/24,SÜL,Fenerbahce,2-2,Alanyaspor
18/02/24,SÜL,Alanyaspor,3-3,Adana Demirspor
25/02/24,SÜL,Fatih Karagümrük,1-1,Alanyaspor
04/03/24,SÜL,Alanyaspor,3-1,Trabzonspor
09/03/24,SÜL,Sivasspor,1-2,Alanyaspor
16/03/24,SÜL,Alanyaspor,1-0,Kayserispor
02/04/24,SÜL,Gaziantep FK,0-3,Alanyaspor
15/04/24,SÜL,Alanyaspor,0-4,Galatasaray
20/04/24,SÜL,Konyaspor,0-2,Alanyaspor
28/04/24,SÜL,Alanyaspor,6-0,İstanbulspor
03/05/24,SÜL,Ankaragücü,19:00,Alanyaspor
12/05/24,SÜL,Alanyaspor,18:00,Besiktas
19/05/24,SÜL,Samsunspor,-,Alanyaspor
26/05/24,SÜL,Alanyaspor,-,Antalyaspor
16/04/22,SÜL,Alanyaspor,1-3,Antalyaspor
20/04/22,CUP,Alanyaspor,1-2,Sivasspor
25/04/22,SÜL,Sivasspor,1-0,Alanyaspor
01/05/22,SÜL,Alanyaspor,2-1,Yeni Malatyaspor
07/05/22,SÜL,Adana Demirspor,1-2,Alanyaspor
11/05/22,CUP,Sivasspor,1-1,Alanyaspor
15/05/22,SÜL,Alanyaspor,3-0,Gaziantep FK
22/05/22,SÜL,Fatih Karagümrük,0-1,Alanyaspor
18/07/22,CLF,Alanyaspor,1-0,Amed
20/07/22,CLF,Kayserispor,2-1,Alanyaspor
23/07/22,CLF,Alanyaspor,3-3,Ankaragücü
07/08/22,SÜL,Fatih Karagümrük,2-4,Alanyaspor
14/08/22,SÜL,Alanyaspor,3-3,Besiktas
22/08/22,SÜL,Sivasspor,1-1,Alanyaspor
27/08/22,SÜL,Alanyaspor,0-1,İstanbulspor
03/09/22,SÜL,Istanbul Basaksehir,2-0,Alanyaspor
09/09/22,SÜL,Alanyaspor,2-1,Ankaragücü
18/09/22,SÜL,Fenerbahce,5-0,Alanyaspor
02/10/22,SÜL,Alanyaspor,1-1,Giresunspor
09/10/22,SÜL,Hatayspor,1-0,Alanyaspor
14/10/22,SÜL,Alanyaspor,3-2,Antalyaspor
23/10/22,SÜL,Galatasaray,2-2,Alanyaspor
29/10/22,SÜL,Alanyaspor,2-0,Gaziantep FK
04/11/22,SÜL,Ümraniyespor,3-1,Alanyaspor
08/11/22,CUP,Alanyaspor,3-0,Sakaryaspor
11/11/22,SÜL,Alanyaspor,0-0,Adana Demirspor
07/12/22,CLF,Alanyaspor,2-4,Fenerbahce
15/12/22,CLF,Alanyaspor,3-1,Salernitana
21/12/22,CUP,Alanyaspor,E3-2E,Eyüpspor
25/12/22,SÜL,Konyaspor,2-2,Alanyaspor
28/12/22,SÜL,Alanyaspor,3-1,Kayserispor
04/01/23,SÜL,Kasımpaşa,4-1,Alanyaspor
09/01/23,SÜL,Alanyaspor,5-0,Trabzonspor
17/01/23,CUP,Alanyaspor,1-2,Galatasaray
22/01/23,SÜL,Alanyaspor,2-2,Fatih Karagümrük
27/01/23,SÜL,Besiktas,3-0,Alanyaspor
31/01/23,SÜL,Alanyaspor,0-3,Sivasspor
05/02/23,SÜL,İstanbulspor,2-1,Alanyaspor
26/02/23,CLF,Alanyaspor,2-4,Galatasaray
03/03/23,SÜL,Alanyaspor,1-0,Istanbul Basaksehir
12/03/23,SÜL,Ankaragücü,2-0,Alanyaspor
19/03/23,SÜL,Alanyaspor,1-3,Fenerbahce
02/04/23,SÜL,Giresunspor,2-2,Alanyaspor
09/04/23,SÜL,Alanyaspor,3-0,Hatayspor
14/04/23,SÜL,Antalyaspor,3-1,Alanyaspor
18/04/23,SÜL,Alanyaspor,1-4,Galatasaray
23/04/23,SÜL,Gaziantep FK,0-3,Alanyaspor
28/04/23,SÜL,Alanyaspor,1-0,Ümraniyespor
06/05/23,SÜL,Adana Demirspor,4-2,Alanyaspor
16/05/23,SÜL,Alanyaspor,0-3,Konyaspor
07/04/21,SÜL,Besiktas,3-0,Alanyaspor
12/04/21,SÜL,Alanyaspor,3-2,Denizlispor
17/04/21,SÜL,Yeni Malatyaspor,1-0,Alanyaspor
22/04/21,SÜL,Alanyaspor,3-2,Gaziantep FK
25/04/21,SÜL,Istanbul Basaksehir,0-0,Alanyaspor
