Date,Competition,Home team,Score,Away team
07/06/23,SÜL,Ankaragücü,1-2,Adana Demirspor
27/07/23,CLF,Pendikspor,2-3,Ankaragücü
31/07/23,CLF,Ankaragücü,1-0,Fatih Karagümrük
05/08/23,CLF,Ankaragücü,1-3,Konyaspor
12/08/23,SÜL,Kasımpaşa,3-2,Ankaragücü
21/08/23,SÜL,Ankaragücü,1-1,Adana Demirspor
27/08/23,SÜL,Fatih Karagümrük,1-1,Ankaragücü
03/09/23,SÜL,Ankaragücü,0-1,Fenerbahce
18/09/23,SÜL,Sivasspor,1-3,Ankaragücü
24/09/23,SÜL,Ankaragücü,1-1,Konyaspor
30/09/23,SÜL,Galatasaray,2-1,Ankaragücü
07/10/23,SÜL,Ankaragücü,3-0,Kayserispor
22/10/23,SÜL,İstanbulspor,2-1,Ankaragücü
29/10/23,SÜL,Ankaragücü,2-0,Samsunspor
01/11/23,CUP,Ankaragücü,2-0,Arguvanspor
05/11/23,SÜL,Istanbul Basaksehir,3-3,Ankaragücü
10/11/23,SÜL,Ankaragücü,0-4,Antalyaspor
18/11/23,TSC,Ankaragücü,2-0,Gençlerbirliği
25/11/23,SÜL,Gaziantep FK,0-1,Ankaragücü
03/12/23,SÜL,Ankaragücü,1-1,Besiktas
07/12/23,CUP,Ankaragücü,3-1,İskenderunspor
11/12/23,SÜL,Ankaragücü,1-1,Rizespor
21/12/23,SÜL,Ankaragücü,0-0,Hatayspor
25/12/23,SÜL,Pendikspor,1-1,Ankaragücü
06/01/24,SÜL,Ankaragücü,0-1,Trabzonspor
09/01/24,SÜL,Alanyaspor,1-1,Ankaragücü
13/01/24,SÜL,Ankaragücü,3-1,Kasımpaşa
16/01/24,CUP,Ankaragücü,3-1,Rizespor
20/01/24,SÜL,Adana Demirspor,1-1,Ankaragücü
24/01/24,SÜL,Ankaragücü,2-0,Fatih Karagümrük
28/01/24,SÜL,Fenerbahce,2-1,Ankaragücü
02/02/24,SÜL,Ankaragücü,0-0,Sivasspor
06/02/24,CUP,Ankaragücü,5-1,24 Erzincanspor
11/02/24,SÜL,Konyaspor,1-0,Ankaragücü
18/02/24,SÜL,Ankaragücü,0-3,Galatasaray
24/02/24,SÜL,Kayserispor,3-2,Ankaragücü
27/02/24,CUP,Ankaragücü,3-0,Fenerbahce
02/03/24,SÜL,Ankaragücü,1-1,İstanbulspor
10/03/24,SÜL,Samsunspor,2-1,Ankaragücü
16/03/24,SÜL,Ankaragücü,2-1,Istanbul Basaksehir
02/04/24,SÜL,Antalyaspor,1-1,Ankaragücü
13/04/24,SÜL,Ankaragücü,3-1,Gaziantep FK
19/04/24,SÜL,Besiktas,2-0,Ankaragücü
23/04/24,CUP,Ankaragücü,0-0,Besiktas
28/04/24,SÜL,Rizespor,2-2,Ankaragücü
03/05/24,SÜL,Ankaragücü,19:00,Alanyaspor
07/05/24,CUP,Besiktas,19:30,Ankaragücü
12/05/24,SÜL,Hatayspor,18:00,Ankaragücü
19/05/24,SÜL,Ankaragücü,-,Pendikspor
26/05/24,SÜL,Trabzonspor,-,Ankaragücü
01/05/22,1.L,Ankaragücü,0-0,Samsunspor
14/05/22,1.L,Ankaragücü,1-2,Boluspor
21/05/22,1.L,Ankara Keçiörengücü,1-2,Ankaragücü
16/07/22,CLF,Kayserispor,2-2,Ankaragücü
20/07/22,CLF,Ankaragücü,3-0,Yeni Malatyaspor
23/07/22,CLF,Alanyaspor,3-3,Ankaragücü
29/07/22,TSC,Ankaragücü,3-0,Gençlerbirliği
08/08/22,SÜL,Ankaragücü,0-0,Konyaspor
14/08/22,SÜL,Gaziantep FK,1-0,Ankaragücü
27/08/22,SÜL,Fatih Karagümrük,4-1,Ankaragücü
04/09/22,SÜL,Ankaragücü,2-3,Besiktas
09/09/22,SÜL,Alanyaspor,2-1,Ankaragücü
18/09/22,SÜL,Ankaragücü,2-1,Sivasspor
01/10/22,SÜL,Ankaragücü,1-2,Istanbul Basaksehir
08/10/22,SÜL,İstanbulspor,1-2,Ankaragücü
17/10/22,SÜL,Ankaragücü,0-3,Fenerbahce
24/10/22,SÜL,Giresunspor,1-1,Ankaragücü
30/10/22,SÜL,Ankaragücü,4-1,Hatayspor
04/11/22,SÜL,Kasımpaşa,1-1,Ankaragücü
08/11/22,CUP,Ankaragücü,6-2,Amed
11/11/22,SÜL,Ankaragücü,1-1,Trabzonspor
10/12/22,CLF,Ankaragücü,0-2,Sivasspor
13/12/22,CLF,Ankaragücü,0-1,Konyaspor
20/12/22,CUP,Ankaragücü,2-0,Tuzlaspor
23/12/22,SÜL,Antalyaspor,0-2,Ankaragücü
27/12/22,SÜL,Ankaragücü,1-2,Ümraniyespor
04/01/23,SÜL,Galatasaray,2-1,Ankaragücü
08/01/23,SÜL,Ankaragücü,2-1,Kayserispor
