Date,Competition,Home team,Score,Away team
14/07/23,CLF,Antalyaspor,2-1,Istanbul Basaksehir
20/07/23,CLF,Antalyaspor,2-1,Alanyaspor
24/07/23,CLF,Antalyaspor,0-0,Rizespor
29/07/23,CLF,Antalyaspor,0-2,Sivasspor
02/08/23,CLF,Pendikspor,1-1,Antalyaspor
03/08/23,CLF,İstanbulspor,1-1,Antalyaspor
05/08/23,CLF,Hatayspor,2-1,Antalyaspor
11/08/23,SÜL,Trabzonspor,1-0,Antalyaspor
18/08/23,SÜL,Antalyaspor,1-1,Konyaspor
26/08/23,SÜL,Sivasspor,1-1,Antalyaspor
02/09/23,SÜL,Antalyaspor,1-1,Kayserispor
17/09/23,SÜL,Fenerbahce,3-2,Antalyaspor
23/09/23,SÜL,Antalyaspor,2-0,Samsunspor
30/09/23,SÜL,İstanbulspor,1-2,Antalyaspor
07/10/23,SÜL,Antalyaspor,0-2,Galatasaray
21/10/23,SÜL,Gaziantep FK,1-0,Antalyaspor
29/10/23,SÜL,Antalyaspor,1-0,Istanbul Basaksehir
01/11/23,CUP,Antalyaspor,3-0,52 Orduspor
05/11/23,SÜL,Antalyaspor,3-2,Besiktas
10/11/23,SÜL,Ankaragücü,0-4,Antalyaspor
19/11/23,CLF,Antalyaspor,3-1,Serik Belediyespor
26/11/23,SÜL,Antalyaspor,0-0,Rizespor
01/12/23,SÜL,Hatayspor,3-3,Antalyaspor
05/12/23,CUP,Antalyaspor,6-1,Kepezspor
09/12/23,SÜL,Antalyaspor,2-1,Fatih Karagümrük
20/12/23,SÜL,Antalyaspor,0-0,Kasımpaşa
24/12/23,SÜL,Adana Demirspor,2-1,Antalyaspor
05/01/24,SÜL,Antalyaspor,0-0,Alanyaspor
09/01/24,SÜL,Pendikspor,0-1,Antalyaspor
14/01/24,SÜL,Antalyaspor,1-1,Trabzonspor
17/01/24,CUP,Antalyaspor,2-1,Pendikspor
21/01/24,SÜL,Konyaspor,1-1,Antalyaspor
24/01/24,SÜL,Antalyaspor,2-1,Sivasspor
29/01/24,SÜL,Kayserispor,1-1,Antalyaspor
03/02/24,SÜL,Antalyaspor,0-2,Fenerbahce
08/02/24,CUP,Antalyaspor,1-2,Besiktas
12/02/24,SÜL,Samsunspor,2-0,Antalyaspor
17/02/24,SÜL,Antalyaspor,2-2,İstanbulspor
26/02/24,SÜL,Galatasaray,2-1,Antalyaspor
04/03/24,SÜL,Antalyaspor,1-0,Gaziantep FK
09/03/24,SÜL,Istanbul Basaksehir,1-0,Antalyaspor
16/03/24,SÜL,Besiktas,1-2,Antalyaspor
02/04/24,SÜL,Antalyaspor,1-1,Ankaragücü
14/04/24,SÜL,Rizespor,3-0,Antalyaspor
21/04/24,SÜL,Antalyaspor,2-1,Hatayspor
29/04/24,SÜL,Fatih Karagümrük,4-1,Antalyaspor
06/05/24,SÜL,Antalyaspor,19:00,Pendikspor
12/05/24,SÜL,Kasımpaşa,18:00,Antalyaspor
19/05/24,SÜL,Antalyaspor,-,Adana Demirspor
26/05/24,SÜL,Alanyaspor,-,Antalyaspor
15/05/22,SÜL,Kasımpaşa,2-4,Antalyaspor
20/05/22,SÜL,Antalyaspor,1-1,Galatasaray
07/07/22,CLF,Antalyaspor,0-1,FK Metalist Kharkiv
10/07/22,CLF,Istanbul Basaksehir,0-0,Antalyaspor
14/07/22,CLF,Antalyaspor,2-0,Bodrum FK
23/07/22,CLF,Bochum,6-2,Antalyaspor
26/07/22,CLF,Paderborn,1-0,Antalyaspor
30/07/22,CLF,Borussia Dortmund,1-1,Antalyaspor
07/08/22,SÜL,Antalyaspor,0-1,Galatasaray
14/08/22,SÜL,Ümraniyespor,0-1,Antalyaspor
20/08/22,SÜL,Antalyaspor,5-2,Trabzonspor
26/08/22,SÜL,Gaziantep FK,5-2,Antalyaspor
04/09/22,SÜL,Antalyaspor,0-2,Kasımpaşa
11/09/22,SÜL,Kayserispor,1-0,Antalyaspor
17/09/22,SÜL,Antalyaspor,0-3,Adana Demirspor
08/10/22,SÜL,Antalyaspor,1-1,Konyaspor
14/10/22,SÜL,Alanyaspor,3-2,Antalyaspor
21/10/22,SÜL,Antalyaspor,2-1,İstanbulspor
31/10/22,SÜL,Sivasspor,0-2,Antalyaspor
06/11/22,SÜL,Antalyaspor,4-2,Fatih Karagümrük
09/11/22,CUP,Antalyaspor,3-0,Pendikspor
30/11/22,CLF,Antalyaspor,1-2,Maccabi Tel Aviv
07/12/22,CLF,Antalyaspor,2-3,Napoli
16/12/22,CLF,Antalyaspor,2-3,Fatih Karagümrük
20/12/22,CUP,Antalyaspor,1-0,Manisa FK
23/12/22,SÜL,Antalyaspor,0-2,Ankaragücü
27/12/22,SÜL,Istanbul Basaksehir,2-0,Antalyaspor
03/01/23,SÜL,Antalyaspor,1-2,Fenerbahce
07/01/23,SÜL,Hatayspor,0-0,Antalyaspor
14/01/23,SÜL,Antalyaspor,2-2,Giresunspor
17/01/23,CUP,Antalyaspor,E0-2E,Kayserispor
21/01/23,SÜL,Galatasaray,2-1,Antalyaspor
28/01/23,SÜL,Antalyaspor,3-2,Ümraniyespor
01/02/23,SÜL,Trabzonspor,2-0,Antalyaspor
04/02/23,SÜL,Antalyaspor,1-0,Gaziantep FK
26/02/23,SÜL,Besiktas,0-0,Antalyaspor
06/03/23,SÜL,Kasımpaşa,3-1,Antalyaspor
11/03/23,SÜL,Antalyaspor,4-0,Kayserispor
18/03/23,SÜL,Adana Demirspor,2-0,Antalyaspor
07/04/23,SÜL,Konyaspor,1-1,Antalyaspor
14/04/23,SÜL,Antalyaspor,3-1,Alanyaspor
19/04/23,SÜL,İstanbulspor,3-3,Antalyaspor
24/04/23,SÜL,Antalyaspor,1-2,Sivasspor
29/04/23,SÜL,Fatih Karagümrük,0-1,Antalyaspor
06/05/23,SÜL,Antalyaspor,1-3,Besiktas
17/05/23,SÜL,Ankaragücü,1-1,Antalyaspor
21/05/23,SÜL,Antalyaspor,0-0,Istanbul Basaksehir
30/05/23,SÜL,Fenerbahce,2-0,Antalyaspor
03/06/23,SÜL,Antalyaspor,3-0,Hatayspor
07/06/23,SÜL,Giresunspor,2-0,Antalyaspor
28/07/21,CLF,Antalyaspor,1-1,Ümraniyespor
01/08/21,CLF,Konyaspor,1-0,Antalyaspor
03/08/21,CLF,Antalyaspor,0-1,Altay
06/08/21,CLF,Erzurumspor FK,0-2,Antalyaspor
15/08/21,SÜL,Antalyaspor,1-1,Göztepe
22/08/21,SÜL,Fenerbahce,2-0,Antalyaspor
27/08/21,SÜL,Antalyaspor,3-2,Rizespor
04/09/21,CLF,Antalyaspor,2-1,Rizespor
