Date,Competition,Home team,Score,Away team
17/09/23,SÜL,Trabzonspor,3-0,Besiktas
21/09/23,UEC,Club Brugge,1-1,Besiktas
24/09/23,SÜL,Besiktas,2-1,Kayserispor
27/09/23,SÜL,Adana Demirspor,4-2,Besiktas
01/10/23,SÜL,Konyaspor,0-2,Besiktas
05/10/23,UEC,Besiktas,2-3,Lugano
08/10/23,SÜL,Besiktas,2-0,İstanbulspor
21/10/23,SÜL,Galatasaray,2-1,Besiktas
26/10/23,UEC,Bodø / Glimt,3-1,Besiktas
30/10/23,SÜL,Besiktas,2-0,Gaziantep FK
05/11/23,SÜL,Antalyaspor,3-2,Besiktas
09/11/23,UEC,Besiktas,1-2,Bodø / Glimt
12/11/23,SÜL,Besiktas,1-0,Istanbul Basaksehir
19/11/23,CLF,Sakaryaspor,1-2,Besiktas
26/11/23,SÜL,Samsunspor,1-2,Besiktas
30/11/23,UEC,Besiktas,0-5,Club Brugge
03/12/23,SÜL,Ankaragücü,1-1,Besiktas
09/12/23,SÜL,Besiktas,1-3,Fenerbahce
14/12/23,UEC,Lugano,0-2,Besiktas
21/12/23,SÜL,Besiktas,1-3,Alanyaspor
25/12/23,SÜL,Hatayspor,1-2,Besiktas
05/01/24,SÜL,Besiktas,1-3,Kasımpaşa
09/01/24,SÜL,Rizespor,0-4,Besiktas
13/01/24,SÜL,Besiktas,3-0,Fatih Karagümrük
16/01/24,CUP,Besiktas,4-0,Eyüpspor
20/01/24,SÜL,Pendikspor,4-0,Besiktas
23/01/24,SÜL,Besiktas,0-0,Adana Demirspor
28/01/24,SÜL,Sivasspor,1-0,Besiktas
04/02/24,SÜL,Besiktas,2-0,Trabzonspor
08/02/24,CUP,Antalyaspor,1-2,Besiktas
12/02/24,SÜL,Kayserispor,0-0,Besiktas
19/02/24,SÜL,Besiktas,2-0,Konyaspor
25/02/24,SÜL,İstanbulspor,0-2,Besiktas
28/02/24,CUP,Besiktas,2-0,Konyaspor
03/03/24,SÜL,Besiktas,0-1,Galatasaray
11/03/24,SÜL,Gaziantep FK,2-0,Besiktas
16/03/24,SÜL,Besiktas,1-2,Antalyaspor
23/03/24,CLF,Besiktas,5-1,Buducnost
28/03/24,CLF,Besiktas,1-1,Fatih Karagümrük
04/04/24,SÜL,Istanbul Basaksehir,1-1,Besiktas
06/04/24,CLF,Besiktas,2-1,İstanbulspor
13/04/24,SÜL,Besiktas,1-1,Samsunspor
19/04/24,SÜL,Besiktas,2-0,Ankaragücü
23/04/24,CUP,Ankaragücü,0-0,Besiktas
27/04/24,SÜL,Fenerbahce,2-1,Besiktas
03/05/24,SÜL,Besiktas,19:00,Rizespor
07/05/24,CUP,Besiktas,19:30,Ankaragücü
12/05/24,SÜL,Alanyaspor,18:00,Besiktas
19/05/24,SÜL,Besiktas,-,Hatayspor
26/05/24,SÜL,Kasımpaşa,-,Besiktas
24/10/22,SÜL,Hatayspor,2-1,Besiktas
30/10/22,SÜL,Besiktas,5-2,Ümraniyespor
05/11/22,SÜL,Galatasaray,2-1,Besiktas
09/11/22,CUP,Besiktas,3-1,Serik Belediyespor
29/11/22,CLF,Besiktas,4-0,İstanbulspor
02/12/22,CLF,Besiktas,1-1,Fatih Karagümrük
08/12/22,CLF,Besiktas,2-1,Sporting Charleroi
11/12/22,CLF,Besiktas,1-0,Westerlo
15/12/22,CLF,Besiktas,5-3,Giresunspor
21/12/22,CUP,Besiktas,4-2,Şanlıurfaspor
25/12/22,SÜL,Gaziantep FK,1-1,Besiktas
29/12/22,SÜL,Besiktas,1-0,Adana Demirspor
07/01/23,SÜL,Besiktas,2-1,Kasımpaşa
14/01/23,SÜL,Konyaspor,1-2,Besiktas
18/01/23,CUP,Ankaragücü,P1-1P,Besiktas
22/01/23,SÜL,Kayserispor,0-2,Besiktas
27/01/23,SÜL,Besiktas,3-0,Alanyaspor
31/01/23,SÜL,Fatih Karagümrük,1-1,Besiktas
04/02/23,SÜL,Sivasspor,1-0,Besiktas
22/02/23,CLF,Besiktas,3-2,Eyüpspor
26/02/23,SÜL,Besiktas,0-0,Antalyaspor
05/03/23,SÜL,Besiktas,2-1,Ankaragücü
12/03/23,SÜL,Istanbul Basaksehir,0-2,Besiktas
18/03/23,SÜL,Besiktas,3-1,İstanbulspor
02/04/23,SÜL,Fenerbahce,2-4,Besiktas
09/04/23,SÜL,Besiktas,3-1,Giresunspor
12/04/23,CLF,Besiktas,2-0,Atletico Madrid
16/04/23,SÜL,Trabzonspor,0-0,Besiktas
19/04/23,SÜL,Besiktas,3-0,Hatayspor
22/04/23,SÜL,Ümraniyespor,0-2,Besiktas
30/04/23,SÜL,Besiktas,3-1,Galatasaray
06/05/23,SÜL,Antalyaspor,1-3,Besiktas
13/05/23,CLF,Sabah,3-3,Besiktas
17/05/23,SÜL,Besiktas,3-0,Gaziantep FK
21/05/23,SÜL,Adana Demirspor,1-4,Besiktas
03/06/23,SÜL,Kasımpaşa,2-5,Besiktas
07/06/23,SÜL,Besiktas,3-3,Konyaspor
15/07/23,CLF,Besiktas,1-1,Augsburg
18/07/23,CLF,Besiktas,4-0,Mezőkövesd
21/07/23,CLF,Besiktas,2-1,Strasbourg
27/07/23,UEC,Besiktas,3-1,Tirana
03/08/23,UEC,Tirana,0-2,Besiktas
10/08/23,UEC,Neftchi Baku,1-3,Besiktas
14/08/23,SÜL,Fatih Karagümrük,0-1,Besiktas
17/08/23,UEC,Besiktas,2-1,Neftchi Baku
20/08/23,SÜL,Besiktas,1-1,Pendikspor
24/08/23,UEC,Dinamo Kiev,2-3,Besiktas
31/08/23,UEC,Besiktas,1-0,Dinamo Kiev
03/09/23,SÜL,Besiktas,2-0,Sivasspor
10/09/23,CLF,Besiktas,2-0,Fatih Karagümrük
11/11/21,CLF,Besiktas,3-0,Shkupi
20/11/21,SÜL,Alanyaspor,2-0,Besiktas
24/11/21,UCL,Besiktas,1-2,Ajax
27/11/21,SÜL,Besiktas,0-4,Giresunspor
03/12/21,SÜL,Kasımpaşa,1-1,Besiktas
07/12/21,UCL,Borussia Dortmund,5-0,Besiktas
12/12/21,SÜL,Besiktas,4-2,Kayserispor
19/12/21,SÜL,Fenerbahce,2-2,Besiktas
23/12/21,SÜL,Besiktas,2-1,Göztepe
27/12/21,SÜL,Konyaspor,1-0,Besiktas
30/12/21,CUP,Besiktas,1-0,Altay
05/01/22,SUC,Besiktas,P1-1P,Antalyaspor
09/01/22,SÜL,Rizespor,2-2,Besiktas
14/01/22,SÜL,Besiktas,1-0,Gaziantep FK
18/01/22,SÜL,Fatih Karagümrük,0-1,Besiktas
22/01/22,SÜL,Yeni Malatyaspor,1-1,Besiktas
06/02/22,SÜL,Besiktas,0-0,Antalyaspor
10/02/22,CUP,Besiktas,P0-0P,Göztepe
14/02/22,SÜL,Adana Demirspor,1-1,Besiktas
19/02/22,SÜL,Besiktas,1-0,Altay
26/02/22,SÜL,Sivasspor,2-3,Besiktas
02/03/22,CUP,Besiktas,1-2,Kayserispor
07/03/22,SÜL,Besiktas,2-2,Istanbul Basaksehir
14/03/22,SÜL,Galatasaray,2-1,Besiktas
19/03/22,SÜL,Besiktas,1-1,Hatayspor
03/04/22,SÜL,Trabzonspor,1-1,Besiktas
09/04/22,SÜL,Besiktas,4-1,Alanyaspor
13/04/22,CLF,Besiktas,CANC,Shakhtar Donetsk
17/04/22,SÜL,Giresunspor,0-0,Besiktas
25/04/22,SÜL,Besiktas,0-3,Kasımpaşa
01/05/22,SÜL,Kayserispor,2-3,Besiktas
08/05/22,SÜL,Besiktas,1-1,Fenerbahce
15/05/22,SÜL,Göztepe,0-2,Besiktas
21/05/22,SÜL,Besiktas,1-1,Konyaspor
09/07/22,CLF,Besiktas,2-1,Werder Bremen
12/07/22,CLF,Besiktas,0-0,Viktoria Plzen
15/07/22,CLF,Mainz,0-1,Besiktas
23/07/22,CLF,Wolverhampton Wanderers,3-0,Besiktas
26/07/22,CLF,Besiktas,1-2,Alaves
30/07/22,CLF,Besiktas,1-1,Sampdoria
06/08/22,SÜL,Besiktas,1-0,Kayserispor
14/08/22,SÜL,Alanyaspor,3-3,Besiktas
21/08/22,SÜL,Besiktas,4-1,Fatih Karagümrük
29/08/22,SÜL,Besiktas,3-1,Sivasspor
04/09/22,SÜL,Ankaragücü,2-3,Besiktas
12/09/22,SÜL,Besiktas,0-1,Istanbul Basaksehir
17/09/22,SÜL,İstanbulspor,2-2,Besiktas
02/10/22,SÜL,Besiktas,0-0,Fenerbahce
08/10/22,SÜL,Giresunspor,0-1,Besiktas
16/10/22,SÜL,Besiktas,2-2,Trabzonspor
06/01/21,SÜL,Besiktas,6-0,Rizespor
10/01/21,SÜL,Hatayspor,2-2,Besiktas
13/01/21,CUP,Besiktas,1-0,Rizespor
17/01/21,SÜL,Besiktas,2-0,Galatasaray
21/01/21,SÜL,Fatih Karagümrük,1-4,Besiktas
24/01/21,SÜL,Besiktas,2-1,Göztepe
31/01/21,SÜL,Besiktas,1-2,Trabzonspor
03/02/21,SÜL,Antalyaspor,1-1,Besiktas
07/02/21,SÜL,Besiktas,1-0,Konyaspor
11/02/21,CUP,Konyaspor,P1-1P,Besiktas
15/02/21,SÜL,Gençlerbirliği,0-3,Besiktas
26/02/21,SÜL,Besiktas,3-0,Denizlispor
02/03/21,SÜL,Yeni Malatyaspor,0-1,Besiktas
06/03/21,SÜL,Besiktas,2-1,Gaziantep FK
12/03/21,SÜL,Istanbul Basaksehir,2-3,Besiktas
16/03/21,CUP,Besiktas,E3-2E,Istanbul Basaksehir
21/03/21,SÜL,Besiktas,1-1,Fenerbahce
04/04/21,SÜL,Kasımpaşa,1-0,Besiktas
07/04/21,SÜL,Besiktas,3-0,Alanyaspor
11/04/21,SÜL,Erzurumspor FK,2-4,Besiktas
16/04/21,SÜL,Besiktas,2-2,Ankaragücü
20/04/21,SÜL,Sivasspor,0-0,Besiktas
24/04/21,SÜL,Besiktas,3-1,Kayserispor
28/04/21,SÜL,Rizespor,2-3,Besiktas
01/05/21,SÜL,Besiktas,7-0,Hatayspor
08/05/21,SÜL,Galatasaray,3-1,Besiktas
11/05/21,SÜL,Besiktas,1-2,Fatih Karagümrük
15/05/21,SÜL,Göztepe,1-2,Besiktas
18/05/21,CUP,Antalyaspor,0-2,Besiktas
27/07/21,CLF,Besiktas,1-0,Istanbul Basaksehir
27/07/21,CLF,Mallorca,CANC,Besiktas
31/07/21,CLF,Besiktas,0-3,Kayserispor
06/08/21,CLF,Adana Demirspor,1-1,Besiktas
13/08/21,SÜL,Besiktas,3-0,Rizespor
21/08/21,SÜL,Gaziantep FK,0-0,Besiktas
28/08/21,SÜL,Besiktas,1-0,Fatih Karagümrük
02/09/21,CLF,Besiktas,4-0,Ümraniyespor
11/09/21,SÜL,Besiktas,3-0,Yeni Malatyaspor
15/09/21,UCL,Besiktas,1-2,Borussia Dortmund
18/09/21,SÜL,Antalyaspor,2-3,Besiktas
21/09/21,SÜL,Besiktas,3-3,Adana Demirspor
24/09/21,SÜL,Altay,2-1,Besiktas
28/09/21,UCL,Ajax,2-0,Besiktas
02/10/21,SÜL,Besiktas,2-1,Sivasspor
15/10/21,SÜL,Istanbul Basaksehir,3-2,Besiktas
19/10/21,UCL,Besiktas,1-4,Sporting Lisbon
25/10/21,SÜL,Besiktas,2-1,Galatasaray
30/10/21,SÜL,Hatayspor,1-0,Besiktas
03/11/21,UCL,Sporting Lisbon,4-0,Besiktas
06/11/21,SÜL,Besiktas,1-2,Trabzonspor
02/12/19,SÜL,Besiktas,4-1,Kayserispor
05/12/19,CUP,Besiktas,3-0,24 Erzincanspor
08/12/19,SÜL,Kasımpaşa,2-3,Besiktas
12/12/19,UEL,Wolverhampton Wanderers,4-0,Besiktas
15/12/19,SÜL,Besiktas,0-2,Yeni Malatyaspor
18/12/19,CUP,24 Erzincanspor,2-0,Besiktas
22/12/19,SÜL,Fenerbahce,3-1,Besiktas
27/12/19,SÜL,Besiktas,4-1,Gençlerbirliği
08/01/20,CLF,Besiktas,2-0,Mezőkövesd
10/01/20,CLF,Besiktas,2-2,Altınordu
15/01/20,CUP,Erzurumspor FK,3-2,Besiktas
19/01/20,SÜL,Besiktas,1-2,Sivasspor
22/01/20,CUP,Besiktas,2-3,Erzurumspor FK
26/01/20,SÜL,Göztepe,2-1,Besiktas
01/02/20,SÜL,Rizespor,1-2,Besiktas
08/02/20,SÜL,Besiktas,3-0,Gaziantep FK
14/02/20,SÜL,Istanbul Basaksehir,1-0,Besiktas
22/02/20,SÜL,Besiktas,2-2,Trabzonspor
28/02/20,SÜL,Alanyaspor,1-2,Besiktas
06/03/20,SÜL,Besiktas,2-1,Ankaragücü
15/03/20,SÜL,Galatasaray,0-0,Besiktas
13/06/20,SÜL,Besiktas,1-2,Antalyaspor
20/06/20,SÜL,Denizlispor,1-5,Besiktas
26/06/20,SÜL,Besiktas,3-0,Konyaspor
06/07/20,SÜL,Kayserispor,3-1,Besiktas
09/07/20,SÜL,Besiktas,3-2,Kasımpaşa
13/07/20,SÜL,Yeni Malatyaspor,0-1,Besiktas
19/07/20,SÜL,Besiktas,2-0,Fenerbahce
25/07/20,SÜL,Gençlerbirliği,0-3,Besiktas
25/08/20,UCL,PAOK,3-1,Besiktas
01/09/20,CLF,Besiktas,0-1,Sivasspor
04/09/20,CLF,Besiktas,3-0,Antalyaspor
13/09/20,SÜL,Trabzonspor,1-3,Besiktas
19/09/20,SÜL,Besiktas,1-1,Antalyaspor
24/09/20,UEL,Besiktas,P1-1P,Rio Ave
27/09/20,SÜL,Konyaspor,4-1,Besiktas
04/10/20,SÜL,Besiktas,0-1,Gençlerbirliği
11/10/20,CLF,Besiktas,5-2,Fatih Karagümrük
26/10/20,SÜL,Denizlispor,2-3,Besiktas
01/11/20,SÜL,Besiktas,1-0,Yeni Malatyaspor
06/11/20,SÜL,Gaziantep FK,3-1,Besiktas
21/11/20,SÜL,Besiktas,3-2,Istanbul Basaksehir
29/11/20,SÜL,Fenerbahce,3-4,Besiktas
04/12/20,SÜL,Besiktas,3-0,Kasımpaşa
13/12/20,SÜL,Alanyaspor,2-1,Besiktas
17/12/20,CUP,Besiktas,3-1,Tarsus İdman Yurdu
20/12/20,SÜL,Besiktas,4-0,Erzurumspor FK
24/12/20,SÜL,Ankaragücü,0-1,Besiktas
28/12/20,SÜL,Besiktas,3-0,Sivasspor
03/01/21,SÜL,Kayserispor,0-2,Besiktas
29/11/18,UEL,Sarpsborg 08,2-3,Besiktas
02/12/18,SÜL,Besiktas,1-0,Galatasaray
07/12/18,SÜL,Alanyaspor,0-0,Besiktas
13/12/18,UEL,Besiktas,0-1,Malmö
16/12/18,SÜL,Besiktas,2-2,Trabzonspor
22/12/18,SÜL,Kasımpaşa,4-1,Besiktas
