Date,Competition,Home team,Score,Away team
31/07/23,CLF,Ankaragücü,1-0,Fatih Karagümrük
06/08/23,CLF,İstanbulspor,0-1,Fatih Karagümrük
14/08/23,SÜL,Fatih Karagümrük,0-1,Besiktas
20/08/23,SÜL,Istanbul Basaksehir,0-2,Fatih Karagümrük
27/08/23,SÜL,Fatih Karagümrük,1-1,Ankaragücü
01/09/23,SÜL,Rizespor,1-0,Fatih Karagümrük
10/09/23,CLF,Besiktas,2-0,Fatih Karagümrük
18/09/23,SÜL,Fatih Karagümrük,0-0,Hatayspor
23/09/23,SÜL,Pendikspor,1-1,Fatih Karagümrük
01/10/23,SÜL,Fatih Karagümrük,2-3,Kasımpaşa
06/10/23,SÜL,Alanyaspor,2-1,Fatih Karagümrük
23/10/23,SÜL,Fatih Karagümrük,2-0,Adana Demirspor
29/10/23,SÜL,Fatih Karagümrük,0-0,Trabzonspor
05/11/23,SÜL,Konyaspor,1-1,Fatih Karagümrük
11/11/23,SÜL,Fatih Karagümrük,3-0,Sivasspor
19/11/23,CLF,Istanbul Basaksehir,1-2,Fatih Karagümrük
26/11/23,SÜL,Fenerbahce,2-1,Fatih Karagümrük
01/12/23,SÜL,Fatih Karagümrük,3-0,İstanbulspor
05/12/23,CUP,Fatih Karagümrük,3-1,Belediye Derincespor
09/12/23,SÜL,Antalyaspor,2-1,Fatih Karagümrük
20/12/23,SÜL,Galatasaray,1-0,Fatih Karagümrük
23/12/23,SÜL,Fatih Karagümrük,0-3,Gaziantep FK
06/01/24,SÜL,Samsunspor,1-0,Fatih Karagümrük
10/01/24,SÜL,Fatih Karagümrük,4-1,Kayserispor
13/01/24,SÜL,Besiktas,3-0,Fatih Karagümrük
16/01/24,CUP,Fatih Karagümrük,2-0,Kırklarelispor
20/01/24,SÜL,Fatih Karagümrük,1-1,Istanbul Basaksehir
24/01/24,SÜL,Ankaragücü,2-0,Fatih Karagümrük
28/01/24,SÜL,Fatih Karagümrük,4-0,Rizespor
02/02/24,SÜL,Hatayspor,3-1,Fatih Karagümrük
06/02/24,CUP,Fatih Karagümrük,2-1,Samsunspor
10/02/24,SÜL,Fatih Karagümrük,2-0,Pendikspor
16/02/24,SÜL,Kasımpaşa,1-1,Fatih Karagümrük
25/02/24,SÜL,Fatih Karagümrük,1-1,Alanyaspor
29/02/24,CUP,Galatasaray,0-2,Fatih Karagümrük
04/03/24,SÜL,Adana Demirspor,1-0,Fatih Karagümrük
09/03/24,SÜL,Trabzonspor,5-1,Fatih Karagümrük
15/03/24,SÜL,Fatih Karagümrük,1-1,Konyaspor
23/03/24,CLF,Ümraniyespor,1-2,Fatih Karagümrük
28/03/24,CLF,Besiktas,1-1,Fatih Karagümrük
03/04/24,SÜL,Sivasspor,1-0,Fatih Karagümrük
14/04/24,SÜL,Fatih Karagümrük,1-2,Fenerbahce
20/04/24,SÜL,İstanbulspor,1-2,Fatih Karagümrük
24/04/24,CUP,Trabzonspor,3-2,Fatih Karagümrük
29/04/24,SÜL,Fatih Karagümrük,4-1,Antalyaspor
04/05/24,SÜL,Kayserispor,18:00,Fatih Karagümrük
08/05/24,CUP,Fatih Karagümrük,19:30,Trabzonspor
12/05/24,SÜL,Fatih Karagümrük,18:00,Galatasaray
19/05/24,SÜL,Gaziantep FK,-,Fatih Karagümrük
26/05/24,SÜL,Fatih Karagümrük,-,Samsunspor
15/05/22,SÜL,Fenerbahce,0-0,Fatih Karagümrük
22/05/22,SÜL,Fatih Karagümrük,0-1,Alanyaspor
20/07/22,CLF,Gaziantep FK,1-4,Fatih Karagümrük
30/07/22,CLF,Sakaryaspor,3-3,Fatih Karagümrük
07/08/22,SÜL,Fatih Karagümrük,2-4,Alanyaspor
21/08/22,SÜL,Besiktas,4-1,Fatih Karagümrük
27/08/22,SÜL,Fatih Karagümrük,4-1,Ankaragücü
03/09/22,SÜL,Sivasspor,0-0,Fatih Karagümrük
10/09/22,SÜL,Fatih Karagümrük,1-1,Giresunspor
18/09/22,SÜL,Istanbul Basaksehir,0-0,Fatih Karagümrük
03/10/22,SÜL,Fatih Karagümrük,1-2,İstanbulspor
09/10/22,SÜL,Fenerbahce,5-4,Fatih Karagümrük
15/10/22,SÜL,Fatih Karagümrük,3-0,Hatayspor
22/10/22,SÜL,Ümraniyespor,1-3,Fatih Karagümrük
28/10/22,SÜL,Fatih Karagümrük,0-2,Galatasaray
06/11/22,SÜL,Antalyaspor,4-2,Fatih Karagümrük
10/11/22,CUP,Fatih Karagümrük,3-1,Kırşehir FK
13/11/22,SÜL,Fatih Karagümrük,3-3,Gaziantep FK
02/12/22,CLF,Besiktas,1-1,Fatih Karagümrük
08/12/22,CLF,Fatih Karagümrük,2-0,Hatayspor
16/12/22,CLF,Antalyaspor,2-3,Fatih Karagümrük
21/12/22,CUP,Fatih Karagümrük,3-0,Uşak Spor
25/12/22,SÜL,Adana Demirspor,2-1,Fatih Karagümrük
28/12/22,SÜL,Fatih Karagümrük,4-1,Trabzonspor
04/01/23,SÜL,Kayserispor,2-4,Fatih Karagümrük
08/01/23,SÜL,Fatih Karagümrük,3-3,Konyaspor
15/01/23,SÜL,Kasımpaşa,2-2,Fatih Karagümrük
18/01/23,CUP,Fatih Karagümrük,P2-2P,Istanbul Basaksehir
22/01/23,SÜL,Alanyaspor,2-2,Fatih Karagümrük
31/01/23,SÜL,Fatih Karagümrük,1-1,Besiktas
04/02/23,SÜL,Ankaragücü,0-2,Fatih Karagümrük
18/02/23,CLF,Fenerbahce,4-2,Fatih Karagümrük
25/02/23,CLF,Kasımpaşa,1-3,Fatih Karagümrük
04/03/23,SÜL,Fatih Karagümrük,4-3,Sivasspor
10/03/23,SÜL,Giresunspor,2-2,Fatih Karagümrük
19/03/23,SÜL,Fatih Karagümrük,2-2,Istanbul Basaksehir
03/04/23,SÜL,İstanbulspor,0-1,Fatih Karagümrük
10/04/23,SÜL,Fatih Karagümrük,1-2,Fenerbahce
16/04/23,SÜL,Hatayspor,0-3,Fatih Karagümrük
18/04/23,SÜL,Fatih Karagümrük,4-2,Ümraniyespor
23/04/23,SÜL,Galatasaray,3-3,Fatih Karagümrük
29/04/23,SÜL,Fatih Karagümrük,0-1,Antalyaspor
07/05/23,SÜL,Gaziantep FK,0-3,Fatih Karagümrük
17/05/23,SÜL,Fatih Karagümrük,2-3,Adana Demirspor
22/05/23,SÜL,Trabzonspor,4-1,Fatih Karagümrük
30/05/23,SÜL,Fatih Karagümrük,2-0,Kayserispor
03/06/23,SÜL,Konyaspor,1-1,Fatih Karagümrük
06/06/23,SÜL,Fatih Karagümrük,3-0,Kasımpaşa
24/07/23,CLF,Hatayspor,2-1,Fatih Karagümrük
26/07/23,CLF,Fatih Karagümrük,0-3,Bandırmaspor
28/04/21,SÜL,Fatih Karagümrük,2-2,Antalyaspor
02/05/21,SÜL,Konyaspor,5-1,Fatih Karagümrük
08/05/21,SÜL,Fatih Karagümrük,5-1,Gençlerbirliği
11/05/21,SÜL,Besiktas,1-2,Fatih Karagümrük
15/05/21,SÜL,Fatih Karagümrük,5-1,Denizlispor
04/08/21,CLF,Kasımpaşa,5-1,Fatih Karagümrük
14/08/21,SÜL,Fatih Karagümrük,3-2,Gaziantep FK
21/08/21,SÜL,Rizespor,0-0,Fatih Karagümrük
28/08/21,SÜL,Besiktas,1-0,Fatih Karagümrük
04/09/21,CLF,Istanbul Basaksehir,3-1,Fatih Karagümrük
11/09/21,SÜL,Fatih Karagümrük,4-0,Adana Demirspor
17/09/21,SÜL,Yeni Malatyaspor,3-4,Fatih Karagümrük
21/09/21,SÜL,Fatih Karagümrük,0-0,Antalyaspor
25/09/21,SÜL,Sivasspor,4-0,Fatih Karagümrük
01/10/21,SÜL,Fatih Karagümrük,3-1,Istanbul Basaksehir
10/10/21,CLF,Fatih Karagümrük,1-0,Bursaspor
17/10/21,SÜL,Altay,0-1,Fatih Karagümrük
24/10/21,SÜL,Fatih Karagümrük,1-1,Hatayspor
31/10/21,SÜL,Kayserispor,2-1,Fatih Karagümrük
07/11/21,SÜL,Fatih Karagümrük,1-1,Galatasaray
13/11/21,CLF,Fatih Karagümrük,4-3,Kocaelispor
21/11/21,SÜL,Kasımpaşa,1-3,Fatih Karagümrük
28/11/21,SÜL,Fatih Karagümrük,0-2,Trabzonspor
01/12/21,CUP,Fatih Karagümrük,2-0,Sarıyer
05/12/21,SÜL,Giresunspor,3-1,Fatih Karagümrük
11/12/21,SÜL,Fatih Karagümrük,1-4,Konyaspor
19/12/21,SÜL,Göztepe,0-1,Fatih Karagümrük
22/12/21,SÜL,Fatih Karagümrük,1-1,Fenerbahce
26/12/21,SÜL,Alanyaspor,1-1,Fatih Karagümrük
29/12/21,CUP,Fatih Karagümrük,4-0,Bodrum FK
08/01/22,SÜL,Gaziantep FK,3-1,Fatih Karagümrük
15/01/22,SÜL,Fatih Karagümrük,2-0,Rizespor
18/01/22,SÜL,Fatih Karagümrük,0-1,Besiktas
22/01/22,SÜL,Adana Demirspor,5-0,Fatih Karagümrük
05/02/22,SÜL,Fatih Karagümrük,1-0,Yeni Malatyaspor
08/02/22,CUP,Fatih Karagümrük,E5-4E,Konyaspor
13/02/22,SÜL,Antalyaspor,3-0,Fatih Karagümrük
20/02/22,SÜL,Fatih Karagümrük,1-0,Sivasspor
26/02/22,SÜL,Istanbul Basaksehir,1-2,Fatih Karagümrük
02/03/22,CUP,Sivasspor,1-0,Fatih Karagümrük
06/03/22,SÜL,Fatih Karagümrük,0-0,Altay
12/03/22,SÜL,Hatayspor,3-0,Fatih Karagümrük
18/03/22,SÜL,Fatih Karagümrük,3-0,Kayserispor
27/03/22,CLF,İstanbulspor,3-3,Fatih Karagümrük
02/04/22,SÜL,Galatasaray,2-0,Fatih Karagümrük
09/04/22,SÜL,Fatih Karagümrük,3-2,Kasımpaşa
15/04/22,SÜL,Trabzonspor,1-1,Fatih Karagümrük
23/04/22,SÜL,Fatih Karagümrük,2-1,Giresunspor
30/04/22,SÜL,Konyaspor,1-2,Fatih Karagümrük
07/05/22,SÜL,Fatih Karagümrük,3-1,Göztepe
28/06/20,1.L,Fatih Karagümrük,1-0,İstanbulspor
02/07/20,1.L,Balıkesirspor,0-5,Fatih Karagümrük
06/07/20,1.L,Fatih Karagümrük,3-1,Boluspor
12/07/20,1.L,Ankara Keçiörengücü,3-0,Fatih Karagümrük
18/07/20,1.L,Fatih Karagümrük,3-0,Adanaspor
22/07/20,1.L,Fatih Karagümrük,3-3,Akhisarspor
26/07/20,1.L,Akhisarspor,0-1,Fatih Karagümrük
30/07/20,1.L,Adana Demirspor,P1-1P,Fatih Karagümrük
22/08/20,CLF,Fenerbahce,2-2,Fatih Karagümrük
31/08/20,CLF,Fatih Karagümrük,0-2,Alanyaspor
06/09/20,CLF,Fatih Karagümrük,1-2,Istanbul Basaksehir
12/09/20,SÜL,Fatih Karagümrük,3-0,Yeni Malatyaspor
20/09/20,SÜL,Gaziantep FK,2-2,Fatih Karagümrük
25/09/20,SÜL,Fatih Karagümrük,2-0,Istanbul Basaksehir
03/10/20,SÜL,Fenerbahce,2-1,Fatih Karagümrük
11/10/20,CLF,Besiktas,5-2,Fatih Karagümrük
