Date,Competition,Home team,Score,Away team
03/09/23,SÜL,Ankaragücü,0-1,Fenerbahce
17/09/23,SÜL,Fenerbahce,3-2,Antalyaspor
21/09/23,UEC,Fenerbahce,3-1,Nordsjælland
24/09/23,SÜL,Alanyaspor,0-1,Fenerbahce
28/09/23,SÜL,Fenerbahce,4-0,Istanbul Basaksehir
01/10/23,SÜL,Fenerbahce,5-0,Rizespor
05/10/23,UEC,Spartak Trnava,1-2,Fenerbahce
08/10/23,SÜL,Kasımpaşa,0-2,Fenerbahce
22/10/23,SÜL,Fenerbahce,4-2,Hatayspor
26/10/23,UEC,Fenerbahce,3-1,Ludogorets
29/10/23,SÜL,Pendikspor,0-5,Fenerbahce
04/11/23,SÜL,Fenerbahce,2-3,Trabzonspor
09/11/23,UEC,Ludogorets,2-0,Fenerbahce
12/11/23,SÜL,Adana Demirspor,0-0,Fenerbahce
26/11/23,SÜL,Fenerbahce,2-1,Fatih Karagümrük
30/11/23,UEC,Nordsjælland,6-1,Fenerbahce
04/12/23,SÜL,Fenerbahce,4-1,Sivasspor
09/12/23,SÜL,Besiktas,1-3,Fenerbahce
14/12/23,UEC,Fenerbahce,4-0,Spartak Trnava
20/12/23,SÜL,Kayserispor,3-4,Fenerbahce
24/12/23,SÜL,Fenerbahce,0-0,Galatasaray
07/01/24,SÜL,İstanbulspor,1-5,Fenerbahce
10/01/24,SÜL,Fenerbahce,7-1,Konyaspor
14/01/24,SÜL,Gaziantep FK,0-1,Fenerbahce
17/01/24,CUP,Fenerbahce,6-0,Adanaspor
21/01/24,SÜL,Fenerbahce,1-1,Samsunspor
24/01/24,SÜL,Istanbul Basaksehir,0-1,Fenerbahce
28/01/24,SÜL,Fenerbahce,2-1,Ankaragücü
03/02/24,SÜL,Antalyaspor,0-2,Fenerbahce
07/02/24,CUP,Gaziantep FK,0-2,Fenerbahce
11/02/24,SÜL,Fenerbahce,2-2,Alanyaspor
17/02/24,SÜL,Rizespor,1-3,Fenerbahce
24/02/24,SÜL,Fenerbahce,2-1,Kasımpaşa
27/02/24,CUP,Ankaragücü,3-0,Fenerbahce
02/03/24,SÜL,Hatayspor,0-2,Fenerbahce
07/03/24,UEC,Union Saint-Gilloise,0-3,Fenerbahce
10/03/24,SÜL,Fenerbahce,4-1,Pendikspor
14/03/24,UEC,Fenerbahce,0-1,Union Saint-Gilloise
17/03/24,SÜL,Trabzonspor,2-3,Fenerbahce
03/04/24,SÜL,Fenerbahce,4-2,Adana Demirspor
07/04/24,SUC,Galatasaray,3-0,Fenerbahce
11/04/24,UEC,Olympiakos,3-2,Fenerbahce
14/04/24,SÜL,Fatih Karagümrük,1-2,Fenerbahce
18/04/24,UEC,Fenerbahce,P1-0P,Olympiakos
22/04/24,SÜL,Sivasspor,2-2,Fenerbahce
27/04/24,SÜL,Fenerbahce,2-1,Besiktas
06/05/24,SÜL,Konyaspor,19:00,Fenerbahce
12/05/24,SÜL,Fenerbahce,18:00,Kayserispor
19/05/24,SÜL,Galatasaray,-,Fenerbahce
26/05/24,SÜL,Fenerbahce,-,İstanbulspor
07/11/22,SÜL,Fenerbahce,1-0,Sivasspor
12/11/22,SÜL,Fenerbahce,1-2,Giresunspor
30/11/22,CLF,Fenerbahce,3-1,Rayo Vallecano
03/12/22,CLF,Fenerbahce,2-1,Villarreal
07/12/22,CLF,Alanyaspor,2-4,Fenerbahce
10/12/22,CLF,Fenerbahce,3-0,Salernitana
20/12/22,CUP,Fenerbahce,3-1,İstanbulspor
24/12/22,SÜL,Trabzonspor,2-0,Fenerbahce
27/12/22,SÜL,Fenerbahce,4-0,Hatayspor
03/01/23,SÜL,Antalyaspor,1-2,Fenerbahce
08/01/23,SÜL,Fenerbahce,0-3,Galatasaray
15/01/23,SÜL,Gaziantep FK,1-2,Fenerbahce
19/01/23,CUP,Fenerbahce,2-1,Rizespor
23/01/23,SÜL,Ümraniyespor,1-2,Fenerbahce
29/01/23,SÜL,Fenerbahce,5-1,Kasımpaşa
02/02/23,SÜL,Adana Demirspor,1-1,Fenerbahce
18/02/23,CLF,Fenerbahce,4-2,Fatih Karagümrük
25/02/23,SÜL,Fenerbahce,4-0,Konyaspor
04/03/23,SÜL,Kayserispor,1-2,Fenerbahce
09/03/23,UEL,Sevilla,2-0,Fenerbahce
16/03/23,UEL,Fenerbahce,1-0,Sevilla
19/03/23,SÜL,Alanyaspor,1-3,Fenerbahce
23/03/23,CLF,Fenerbahce,2-2,Zenit
02/04/23,SÜL,Fenerbahce,2-4,Besiktas
06/04/23,CUP,Fenerbahce,4-1,Kayserispor
10/04/23,SÜL,Fatih Karagümrük,1-2,Fenerbahce
15/04/23,SÜL,Fenerbahce,2-1,Ankaragücü
19/04/23,SÜL,Istanbul Basaksehir,1-2,Fenerbahce
24/04/23,SÜL,Fenerbahce,3-3,İstanbulspor
29/04/23,SÜL,Sivasspor,1-3,Fenerbahce
03/05/23,CUP,Sivasspor,0-0,Fenerbahce
07/05/23,SÜL,Giresunspor,1-1,Fenerbahce
18/05/23,SÜL,Fenerbahce,3-1,Trabzonspor
21/05/23,SÜL,Hatayspor,0-3,Fenerbahce
24/05/23,CUP,Fenerbahce,3-0,Sivasspor
30/05/23,SÜL,Fenerbahce,2-0,Antalyaspor
04/06/23,SÜL,Galatasaray,3-0,Fenerbahce
07/06/23,SÜL,Fenerbahce,3-0,Gaziantep FK
11/06/23,CUP,Fenerbahce,2-0,Istanbul Basaksehir
09/07/23,CLF,Zenit,P0-0P,Fenerbahce
12/07/23,CLF,Fenerbahce,1-3,Red Star Belgrade
15/07/23,CLF,Neftchi Baku,0-1,Fenerbahce
26/07/23,UEC,Fenerbahce,5-0,Zimbru
01/08/23,UEC,Zimbru,0-4,Fenerbahce
10/08/23,UEC,Fenerbahce,3-1,Maribor
13/08/23,SÜL,Fenerbahce,2-1,Gaziantep FK
17/08/23,UEC,Maribor,0-3,Fenerbahce
21/08/23,SÜL,Samsunspor,0-2,Fenerbahce
24/08/23,UEC,Fenerbahce,5-1,Twente
31/08/23,UEC,Twente,0-1,Fenerbahce
19/01/22,SÜL,Fenerbahce,2-1,Altay
22/01/22,SÜL,Sivasspor,1-1,Fenerbahce
05/02/22,SÜL,Fenerbahce,0-1,Istanbul Basaksehir
08/02/22,CUP,Fenerbahce,0-1,Kayserispor
12/02/22,SÜL,Giresunspor,1-2,Fenerbahce
17/02/22,UEC,Fenerbahce,2-3,Slavia Prague
20/02/22,SÜL,Fenerbahce,2-0,Hatayspor
24/02/22,UEC,Slavia Prague,3-2,Fenerbahce
28/02/22,SÜL,Kasımpaşa,1-2,Fenerbahce
06/03/22,SÜL,Fenerbahce,1-1,Trabzonspor
13/03/22,SÜL,Alanyaspor,2-5,Fenerbahce
20/03/22,SÜL,Fenerbahce,2-1,Konyaspor
02/04/22,SÜL,Kayserispor,0-4,Fenerbahce
10/04/22,SÜL,Fenerbahce,2-0,Galatasaray
16/04/22,SÜL,Fenerbahce,2-0,Göztepe
19/04/22,CLF,Fenerbahce,1-0,Shakhtar Donetsk
22/04/22,SÜL,Rizespor,0-6,Fenerbahce
29/04/22,SÜL,Fenerbahce,3-2,Gaziantep FK
08/05/22,SÜL,Besiktas,1-1,Fenerbahce
15/05/22,SÜL,Fenerbahce,0-0,Fatih Karagümrük
21/05/22,SÜL,Yeni Malatyaspor,0-5,Fenerbahce
22/06/22,CLF,Fenerbahce,2-2,Shkupi
25/06/22,CLF,Fenerbahce,4-0,Tirana
29/06/22,CLF,Fenerbahce,4-2,Al Shamal
02/07/22,CLF,Fenerbahce,1-0,Partizan
05/07/22,CLF,Fenerbahce,3-0,Fehérvár
10/07/22,CLF,Fenerbahce,2-0,Hull City
20/07/22,UCL,Dinamo Kiev,0-0,Fenerbahce
27/07/22,UCL,Fenerbahce,E1-2E,Dinamo Kiev
04/08/22,UEL,Fenerbahce,3-0,Slovacko
08/08/22,SÜL,Fenerbahce,3-3,Ümraniyespor
11/08/22,UEL,Slovacko,1-1,Fenerbahce
15/08/22,SÜL,Kasımpaşa,0-6,Fenerbahce
18/08/22,UEL,Austria Vienna,0-2,Fenerbahce
22/08/22,SÜL,Fenerbahce,4-2,Adana Demirspor
25/08/22,UEL,Fenerbahce,4-1,Austria Vienna
29/08/22,SÜL,Konyaspor,1-0,Fenerbahce
03/09/22,SÜL,Fenerbahce,2-0,Kayserispor
08/09/22,UEL,Fenerbahce,2-1,Dinamo Kiev
15/09/22,UEL,Rennes,2-2,Fenerbahce
18/09/22,SÜL,Fenerbahce,5-0,Alanyaspor
02/10/22,SÜL,Besiktas,0-0,Fenerbahce
06/10/22,UEL,Fenerbahce,2-0,AEK Larnaca
09/10/22,SÜL,Fenerbahce,5-4,Fatih Karagümrük
13/10/22,UEL,AEK Larnaca,1-2,Fenerbahce
17/10/22,SÜL,Ankaragücü,0-3,Fenerbahce
22/10/22,SÜL,Fenerbahce,1-0,Istanbul Basaksehir
27/10/22,UEL,Fenerbahce,3-3,Rennes
30/10/22,SÜL,İstanbulspor,2-5,Fenerbahce
03/11/22,UEL,Dinamo Kiev,0-2,Fenerbahce
