Date,Competition,Home team,Score,Away team
23/08/23,UCL,Molde,2-3,Galatasaray
29/08/23,UCL,Galatasaray,2-1,Molde
02/09/23,SÜL,Gaziantep FK,0-3,Galatasaray
16/09/23,SÜL,Galatasaray,4-2,Samsunspor
20/09/23,UCL,Galatasaray,2-2,FC Copenhagen
23/09/23,SÜL,Istanbul Basaksehir,1-2,Galatasaray
26/09/23,SÜL,İstanbulspor,0-1,Galatasaray
30/09/23,SÜL,Galatasaray,2-1,Ankaragücü
03/10/23,UCL,Manchester United,2-3,Galatasaray
07/10/23,SÜL,Antalyaspor,0-2,Galatasaray
21/10/23,SÜL,Galatasaray,2-1,Besiktas
24/10/23,UCL,Galatasaray,1-3,Bayern Munich
28/10/23,SÜL,Rizespor,0-1,Galatasaray
03/11/23,SÜL,Galatasaray,2-1,Kasımpaşa
08/11/23,UCL,Bayern Munich,2-1,Galatasaray
11/11/23,SÜL,Hatayspor,2-1,Galatasaray
25/11/23,SÜL,Galatasaray,4-0,Alanyaspor
29/11/23,UCL,Galatasaray,3-3,Manchester United
02/12/23,SÜL,Pendikspor,0-2,Galatasaray
08/12/23,SÜL,Galatasaray,3-1,Adana Demirspor
12/12/23,UCL,FC Copenhagen,1-0,Galatasaray
20/12/23,SÜL,Galatasaray,1-0,Fatih Karagümrük
24/12/23,SÜL,Fenerbahce,0-0,Galatasaray
07/01/24,SÜL,Galatasaray,3-0,Konyaspor
11/01/24,SÜL,Sivasspor,1-1,Galatasaray
15/01/24,SÜL,Galatasaray,2-1,Kayserispor
18/01/24,CUP,Galatasaray,4-1,Ümraniyespor
21/01/24,SÜL,Trabzonspor,1-5,Galatasaray
25/01/24,SÜL,Galatasaray,3-1,İstanbulspor
29/01/24,SÜL,Galatasaray,2-1,Gaziantep FK
02/02/24,SÜL,Samsunspor,0-2,Galatasaray
06/02/24,CUP,Galatasaray,4-2,Bandırmaspor
10/02/24,SÜL,Galatasaray,2-0,Istanbul Basaksehir
15/02/24,UEL,Galatasaray,3-2,Sparta Prague
18/02/24,SÜL,Ankaragücü,0-3,Galatasaray
22/02/24,UEL,Sparta Prague,4-1,Galatasaray
26/02/24,SÜL,Galatasaray,2-1,Antalyaspor
29/02/24,CUP,Galatasaray,0-2,Fatih Karagümrük
03/03/24,SÜL,Besiktas,0-1,Galatasaray
08/03/24,SÜL,Galatasaray,6-2,Rizespor
17/03/24,SÜL,Kasımpaşa,3-4,Galatasaray
02/04/24,SÜL,Galatasaray,1-0,Hatayspor
07/04/24,SUC,Galatasaray,3-0,Fenerbahce
15/04/24,SÜL,Alanyaspor,0-4,Galatasaray
21/04/24,SÜL,Galatasaray,4-1,Pendikspor
26/04/24,SÜL,Adana Demirspor,0-3,Galatasaray
05/05/24,SÜL,Galatasaray,18:00,Sivasspor
12/05/24,SÜL,Fatih Karagümrük,18:00,Galatasaray
19/05/24,SÜL,Galatasaray,-,Fenerbahce
26/05/24,SÜL,Konyaspor,-,Galatasaray
28/10/22,SÜL,Fatih Karagümrük,0-2,Galatasaray
05/11/22,SÜL,Galatasaray,2-1,Besiktas
08/11/22,CUP,Galatasaray,2-1,Ofspor
12/11/22,SÜL,Istanbul Basaksehir,0-7,Galatasaray
