Date,Competition,Home team,Score,Away team
30/05/23,SÜL,Istanbul Basaksehir,3-0,Gaziantep FK
03/06/23,SÜL,Gaziantep FK,0-3,İstanbulspor
07/06/23,SÜL,Fenerbahce,3-0,Gaziantep FK
11/07/23,CLF,Gaziantep FK,2-2,Orenburg
17/07/23,CLF,Gaziantep FK,1-1,KF Gostivari
29/07/23,CLF,Gaziantep FK,1-1,İstanbulspor
31/07/23,CLF,Gaziantep FK,0-0,Bursaspor
02/08/23,CLF,Kasımpaşa,4-2,Gaziantep FK
13/08/23,SÜL,Fenerbahce,2-1,Gaziantep FK
20/08/23,SÜL,Gaziantep FK,1-3,Sivasspor
25/08/23,SÜL,Konyaspor,2-0,Gaziantep FK
02/09/23,SÜL,Gaziantep FK,0-3,Galatasaray
16/09/23,SÜL,Kayserispor,2-0,Gaziantep FK
22/09/23,SÜL,Gaziantep FK,2-0,İstanbulspor
29/09/23,SÜL,Samsunspor,1-2,Gaziantep FK
07/10/23,SÜL,Istanbul Basaksehir,2-0,Gaziantep FK
21/10/23,SÜL,Gaziantep FK,1-0,Antalyaspor
30/10/23,SÜL,Besiktas,2-0,Gaziantep FK
02/11/23,CUP,Gaziantep FK,4-0,Efeler 09 Spor
06/11/23,SÜL,Gaziantep FK,2-0,Rizespor
11/11/23,SÜL,Alanyaspor,0-3,Gaziantep FK
25/11/23,SÜL,Gaziantep FK,0-1,Ankaragücü
03/12/23,SÜL,Kasımpaşa,4-2,Gaziantep FK
07/12/23,CUP,Gaziantep FK,E2-1E,Etimesgut Belediyespor
10/12/23,SÜL,Gaziantep FK,1-3,Trabzonspor
19/12/23,SÜL,Gaziantep FK,2-2,Adana Demirspor
23/12/23,SÜL,Fatih Karagümrük,0-3,Gaziantep FK
05/01/24,SÜL,Gaziantep FK,2-2,Pendikspor
10/01/24,SÜL,Hatayspor,0-0,Gaziantep FK
14/01/24,SÜL,Gaziantep FK,0-1,Fenerbahce
17/01/24,CUP,Gaziantep FK,1-0,Bodrum FK
21/01/24,SÜL,Sivasspor,2-2,Gaziantep FK
24/01/24,SÜL,Gaziantep FK,1-1,Konyaspor
29/01/24,SÜL,Galatasaray,2-1,Gaziantep FK
03/02/24,SÜL,Gaziantep FK,1-1,Kayserispor
07/02/24,CUP,Gaziantep FK,0-2,Fenerbahce
11/02/24,SÜL,İstanbulspor,1-3,Gaziantep FK
18/02/24,SÜL,Gaziantep FK,1-1,Samsunspor
24/02/24,SÜL,Gaziantep FK,0-2,Istanbul Basaksehir
04/03/24,SÜL,Antalyaspor,1-0,Gaziantep FK
11/03/24,SÜL,Gaziantep FK,2-0,Besiktas
17/03/24,SÜL,Rizespor,3-1,Gaziantep FK
02/04/24,SÜL,Gaziantep FK,0-3,Alanyaspor
13/04/24,SÜL,Ankaragücü,3-1,Gaziantep FK
21/04/24,SÜL,Gaziantep FK,2-0,Kasımpaşa
28/04/24,SÜL,Trabzonspor,4-2,Gaziantep FK
05/05/24,SÜL,Gaziantep FK,18:00,Hatayspor
12/05/24,SÜL,Adana Demirspor,18:00,Gaziantep FK
