Date,Competition,Home team,Score,Away team
20/05/23,SÜL,Kayserispor,0-4,Alanyaspor
30/05/23,SÜL,Fatih Karagümrük,2-0,Kayserispor
03/06/23,SÜL,Kayserispor,0-1,Ankaragücü
06/06/23,SÜL,Sivasspor,1-1,Kayserispor
19/07/23,CLF,Kayserispor,3-2,İstanbulspor
26/07/23,CLF,Kayserispor,1-0,Gençlerbirliği
31/07/23,CLF,Kayserispor,0-4,Konyaspor
04/08/23,CLF,Sivasspor,2-2,Kayserispor
12/08/23,SÜL,Kayserispor,0-0,Galatasaray
18/08/23,SÜL,İstanbulspor,1-1,Kayserispor
27/08/23,SÜL,Kayserispor,2-1,Samsunspor
02/09/23,SÜL,Antalyaspor,1-1,Kayserispor
16/09/23,SÜL,Kayserispor,2-0,Gaziantep FK
24/09/23,SÜL,Besiktas,2-1,Kayserispor
02/10/23,SÜL,Kayserispor,0-0,Istanbul Basaksehir
07/10/23,SÜL,Ankaragücü,3-0,Kayserispor
21/10/23,SÜL,Kayserispor,3-1,Rizespor
27/10/23,SÜL,Hatayspor,1-2,Kayserispor
02/11/23,CUP,Kayserispor,E4-0E,Iğdır FK
06/11/23,SÜL,Kayserispor,1-0,Alanyaspor
11/11/23,SÜL,Kasımpaşa,3-4,Kayserispor
19/11/23,CLF,Kayserispor,0-0,Sivasspor
26/11/23,SÜL,Kayserispor,1-1,Adana Demirspor
03/12/23,SÜL,Trabzonspor,0-1,Kayserispor
06/12/23,CUP,Kayserispor,4-0,Vanspor FK
10/12/23,SÜL,Kayserispor,2-0,Pendikspor
20/12/23,SÜL,Kayserispor,3-4,Fenerbahce
24/12/23,SÜL,Konyaspor,2-0,Kayserispor
07/01/24,SÜL,Kayserispor,1-3,Sivasspor
10/01/24,SÜL,Fatih Karagümrük,4-1,Kayserispor
15/01/24,SÜL,Galatasaray,2-1,Kayserispor
18/01/24,CUP,Kayserispor,1-2,Gençlerbirliği
22/01/24,SÜL,Kayserispor,0-1,İstanbulspor
25/01/24,SÜL,Samsunspor,2-0,Kayserispor
29/01/24,SÜL,Kayserispor,1-1,Antalyaspor
03/02/24,SÜL,Gaziantep FK,1-1,Kayserispor
12/02/24,SÜL,Kayserispor,0-0,Besiktas
19/02/24,SÜL,Istanbul Basaksehir,2-3,Kayserispor
24/02/24,SÜL,Kayserispor,3-2,Ankaragücü
02/03/24,SÜL,Rizespor,3-0,Kayserispor
10/03/24,SÜL,Kayserispor,1-1,Hatayspor
16/03/24,SÜL,Alanyaspor,1-0,Kayserispor
03/04/24,SÜL,Kayserispor,0-2,Kasımpaşa
13/04/24,SÜL,Adana Demirspor,0-0,Kayserispor
20/04/24,SÜL,Kayserispor,1-2,Trabzonspor
28/04/24,SÜL,Pendikspor,1-2,Kayserispor
04/05/24,SÜL,Kayserispor,18:00,Fatih Karagümrük
12/05/24,SÜL,Fenerbahce,18:00,Kayserispor
19/05/24,SÜL,Kayserispor,-,Konyaspor
26/05/24,SÜL,Sivasspor,-,Kayserispor
14/05/22,SÜL,Kayserispor,3-0,Yeni Malatyaspor
21/05/22,SÜL,Sivasspor,2-1,Kayserispor
26/05/22,CUP,Kayserispor,E2-3E,Sivasspor
05/07/22,CLF,Kayserispor,1-0,Gençlerbirliği
16/07/22,CLF,Kayserispor,2-2,Ankaragücü
20/07/22,CLF,Kayserispor,2-1,Alanyaspor
24/07/22,CLF,Kayserispor,0-2,Amed
30/07/22,CLF,Kayserispor,3-2,Yeni Malatyaspor
06/08/22,SÜL,Besiktas,1-0,Kayserispor
13/08/22,SÜL,Kayserispor,1-0,İstanbulspor
21/08/22,SÜL,Istanbul Basaksehir,2-0,Kayserispor
28/08/22,SÜL,Kayserispor,3-0,Giresunspor
03/09/22,SÜL,Fenerbahce,2-0,Kayserispor
11/09/22,SÜL,Kayserispor,1-0,Antalyaspor
16/09/22,SÜL,Hatayspor,0-4,Kayserispor
24/09/22,CLF,Kayserispor,0-0,Giresunspor
01/10/22,SÜL,Kayserispor,1-2,Trabzonspor
09/10/22,SÜL,Ümraniyespor,2-2,Kayserispor
15/10/22,SÜL,Kayserispor,2-1,Galatasaray
18/10/22,CUP,Kayserispor,2-1,Iğdır FK
23/10/22,SÜL,Kasımpaşa,0-1,Kayserispor
30/10/22,SÜL,Kayserispor,2-2,Adana Demirspor
06/11/22,SÜL,Gaziantep FK,1-2,Kayserispor
10/11/22,CUP,Kayserispor,1-0,Sivas Dört Eylül
13/11/22,SÜL,Kayserispor,1-2,Konyaspor
05/12/22,CLF,Kayserispor,2-1,Saarbrücken
09/12/22,CLF,Kayserispor,5-3,Giresunspor
13/12/22,CLF,Kayserispor,2-1,Liepaja
22/12/22,CUP,Kayserispor,2-0,Gençlerbirliği
28/12/22,SÜL,Alanyaspor,3-1,Kayserispor
04/01/23,SÜL,Kayserispor,2-4,Fatih Karagümrük
08/01/23,SÜL,Ankaragücü,2-1,Kayserispor
13/01/23,SÜL,Kayserispor,4-1,Sivasspor
17/01/23,CUP,Antalyaspor,E0-2E,Kayserispor
