Date,Competition,Home team,Score,Away team
13/07/23,CLF,Konyaspor,3-2,Samsunspor
18/07/23,CLF,Alanyaspor,3-1,Konyaspor
21/07/23,CLF,Konyaspor,0-2,Səbail
31/07/23,CLF,Kayserispor,0-4,Konyaspor
05/08/23,CLF,Ankaragücü,1-3,Konyaspor
12/08/23,SÜL,Konyaspor,1-1,İstanbulspor
18/08/23,SÜL,Antalyaspor,1-1,Konyaspor
25/08/23,SÜL,Konyaspor,2-0,Gaziantep FK
02/09/23,SÜL,Istanbul Basaksehir,0-1,Konyaspor
10/09/23,CLF,Konyaspor,2-0,Gençlerbirliği
16/09/23,SÜL,Konyaspor,1-2,Rizespor
24/09/23,SÜL,Ankaragücü,1-1,Konyaspor
01/10/23,SÜL,Konyaspor,0-2,Besiktas
08/10/23,SÜL,Hatayspor,3-1,Konyaspor
21/10/23,SÜL,Konyaspor,1-2,Pendikspor
28/10/23,SÜL,Adana Demirspor,3-0,Konyaspor
02/11/23,CUP,Konyaspor,3-0,Erbaaspor
05/11/23,SÜL,Konyaspor,1-1,Fatih Karagümrük
10/11/23,SÜL,Trabzonspor,2-1,Konyaspor
18/11/23,CLF,Konyaspor,1-1,Serik Belediyespor
25/11/23,SÜL,Konyaspor,2-0,Kasımpaşa
02/12/23,SÜL,Alanyaspor,2-2,Konyaspor
06/12/23,CUP,Konyaspor,3-0,Beyoğlu Yeni Çarşı
11/12/23,SÜL,Konyaspor,0-1,Sivasspor
21/12/23,SÜL,Samsunspor,1-1,Konyaspor
24/12/23,SÜL,Konyaspor,2-0,Kayserispor
07/01/24,SÜL,Galatasaray,3-0,Konyaspor
10/01/24,SÜL,Fenerbahce,7-1,Konyaspor
14/01/24,SÜL,İstanbulspor,0-0,Konyaspor
18/01/24,CUP,Konyaspor,E2-1E,Göztepe
21/01/24,SÜL,Konyaspor,1-1,Antalyaspor
24/01/24,SÜL,Gaziantep FK,1-1,Konyaspor
28/01/24,SÜL,Konyaspor,2-3,Istanbul Basaksehir
03/02/24,SÜL,Rizespor,0-0,Konyaspor
07/02/24,CUP,Sivasspor,E0-1E,Konyaspor
11/02/24,SÜL,Konyaspor,1-0,Ankaragücü
19/02/24,SÜL,Besiktas,2-0,Konyaspor
24/02/24,SÜL,Konyaspor,2-0,Hatayspor
28/02/24,CUP,Besiktas,2-0,Konyaspor
03/03/24,SÜL,Pendikspor,0-2,Konyaspor
09/03/24,SÜL,Konyaspor,2-2,Adana Demirspor
15/03/24,SÜL,Fatih Karagümrük,1-1,Konyaspor
03/04/24,SÜL,Konyaspor,1-3,Trabzonspor
13/04/24,SÜL,Kasımpaşa,0-2,Konyaspor
20/04/24,SÜL,Konyaspor,0-2,Alanyaspor
27/04/24,SÜL,Sivasspor,1-0,Konyaspor
06/05/24,SÜL,Konyaspor,19:00,Fenerbahce
12/05/24,SÜL,Konyaspor,18:00,Samsunspor
19/05/24,SÜL,Kayserispor,-,Konyaspor
26/05/24,SÜL,Konyaspor,-,Galatasaray
05/07/22,CLF,Erzurumspor FK,0-4,Konyaspor
07/07/22,CLF,Konyaspor,1-1,Rizespor
15/07/22,CLF,Istanbul Basaksehir,1-0,Konyaspor
21/07/22,UEC,BATE,0-3,Konyaspor
28/07/22,UEC,Konyaspor,2-0,BATE
04/08/22,UEC,Vaduz,1-1,Konyaspor
08/08/22,SÜL,Ankaragücü,0-0,Konyaspor
11/08/22,UEC,Konyaspor,2-4,Vaduz
15/08/22,SÜL,Konyaspor,0-0,Istanbul Basaksehir
22/08/22,SÜL,İstanbulspor,0-4,Konyaspor
29/08/22,SÜL,Konyaspor,1-0,Fenerbahce
03/09/22,SÜL,Giresunspor,0-1,Konyaspor
10/09/22,SÜL,Konyaspor,1-0,Hatayspor
16/09/22,SÜL,Galatasaray,2-1,Konyaspor
25/09/22,CLF,Konyaspor,4-1,Adanaspor
