Date,Competition,Home team,Score,Away team
17/04/23,1.L,Boluspor,0-2,Rizespor
23/04/23,1.L,Rizespor,5-3,Gençlerbirliği
29/04/23,1.L,Pendikspor,3-2,Rizespor
07/05/23,1.L,Rizespor,4-2,Tuzlaspor
16/05/23,1.L,Göztepe,3-3,Rizespor
21/05/23,1.L,Rizespor,0-0,Altınordu
11/07/23,CLF,Rizespor,0-1,Samsunspor
13/07/23,CLF,Alanyaspor,3-1,Rizespor
24/07/23,CLF,Antalyaspor,0-0,Rizespor
28/07/23,CLF,Rizespor,0-0,Ümraniyespor
13/08/23,SÜL,Adana Demirspor,2-1,Rizespor
19/08/23,SÜL,Rizespor,0-0,Alanyaspor
26/08/23,SÜL,Trabzonspor,2-3,Rizespor
01/09/23,SÜL,Rizespor,1-0,Fatih Karagümrük
16/09/23,SÜL,Konyaspor,1-2,Rizespor
23/09/23,SÜL,Rizespor,1-1,Sivasspor
01/10/23,SÜL,Fenerbahce,5-0,Rizespor
08/10/23,SÜL,Rizespor,1-0,Samsunspor
21/10/23,SÜL,Kayserispor,3-1,Rizespor
28/10/23,SÜL,Rizespor,0-1,Galatasaray
06/11/23,SÜL,Gaziantep FK,2-0,Rizespor
12/11/23,SÜL,Rizespor,1-0,İstanbulspor
26/11/23,SÜL,Antalyaspor,0-0,Rizespor
02/12/23,SÜL,Rizespor,3-2,Istanbul Basaksehir
07/12/23,CUP,Rizespor,4-0,Bucaspor 1928
11/12/23,SÜL,Ankaragücü,1-1,Rizespor
21/12/23,SÜL,Rizespor,5-1,Pendikspor
25/12/23,SÜL,Kasımpaşa,2-2,Rizespor
06/01/24,SÜL,Rizespor,2-0,Hatayspor
09/01/24,SÜL,Rizespor,0-4,Besiktas
13/01/24,SÜL,Rizespor,1-0,Adana Demirspor
16/01/24,CUP,Ankaragücü,3-1,Rizespor
20/01/24,SÜL,Alanyaspor,2-1,Rizespor
25/01/24,SÜL,Rizespor,1-0,Trabzonspor
28/01/24,SÜL,Fatih Karagümrük,4-0,Rizespor
03/02/24,SÜL,Rizespor,0-0,Konyaspor
11/02/24,SÜL,Sivasspor,1-0,Rizespor
17/02/24,SÜL,Rizespor,1-3,Fenerbahce
23/02/24,SÜL,Samsunspor,3-0,Rizespor
02/03/24,SÜL,Rizespor,3-0,Kayserispor
08/03/24,SÜL,Galatasaray,6-2,Rizespor
17/03/24,SÜL,Rizespor,3-1,Gaziantep FK
02/04/24,SÜL,İstanbulspor,0-4,Rizespor
14/04/24,SÜL,Rizespor,3-0,Antalyaspor
21/04/24,SÜL,Istanbul Basaksehir,2-0,Rizespor
28/04/24,SÜL,Rizespor,2-2,Ankaragücü
03/05/24,SÜL,Besiktas,19:00,Rizespor
12/05/24,SÜL,Pendikspor,18:00,Rizespor
19/05/24,SÜL,Rizespor,-,Kasımpaşa
26/05/24,SÜL,Hatayspor,-,Rizespor
18/02/22,SÜL,Rizespor,0-2,Istanbul Basaksehir
27/02/22,SÜL,Galatasaray,4-2,Rizespor
05/03/22,SÜL,Rizespor,1-2,Giresunspor
12/03/22,SÜL,Kasımpaşa,3-1,Rizespor
18/03/22,SÜL,Rizespor,3-2,Trabzonspor
03/04/22,SÜL,Alanyaspor,2-1,Rizespor
09/04/22,SÜL,Rizespor,2-1,Konyaspor
15/04/22,SÜL,Kayserispor,1-1,Rizespor
22/04/22,SÜL,Rizespor,0-6,Fenerbahce
01/05/22,SÜL,Göztepe,1-7,Rizespor
08/05/22,SÜL,Yeni Malatyaspor,1-3,Rizespor
16/05/22,SÜL,Rizespor,1-2,Sivasspor
20/05/22,SÜL,Gaziantep FK,2-0,Rizespor
07/07/22,CLF,Konyaspor,1-1,Rizespor
15/07/22,CLF,Hatayspor,1-3,Rizespor
30/07/22,CLF,Giresunspor,1-2,Rizespor
13/08/22,1.L,Rizespor,1-1,Ankara Keçiörengücü
22/08/22,1.L,Denizlispor,0-0,Rizespor
03/09/22,1.L,Yeni Malatyaspor,0-4,Rizespor
11/09/22,1.L,Rizespor,1-1,Samsunspor
17/09/22,1.L,Adanaspor,2-0,Rizespor
01/10/22,1.L,Rizespor,2-0,Bodrum FK
10/10/22,1.L,Altay,0-2,Rizespor
15/10/22,1.L,Rizespor,0-0,Eyüpspor
18/10/22,CUP,Rizespor,3-0,Boyabat 1868 Spor
22/10/22,1.L,Manisa FK,2-2,Rizespor
29/10/22,1.L,Bandırmaspor,1-1,Rizespor
04/11/22,1.L,Rizespor,3-1,Erzurumspor FK
10/11/22,CUP,Rizespor,2-1,Kırklarelispor
14/11/22,1.L,Sakaryaspor,1-1,Rizespor
20/11/22,1.L,Rizespor,1-0,Boluspor
26/11/22,1.L,Gençlerbirliği,1-3,Rizespor
05/12/22,1.L,Rizespor,1-1,Pendikspor
10/12/22,1.L,Tuzlaspor,0-1,Rizespor
16/12/22,1.L,Rizespor,0-2,Göztepe
22/12/22,CUP,Adana Demirspor,E3-4E,Rizespor
26/12/22,1.L,Altınordu,0-0,Rizespor
14/01/23,1.L,Ankara Keçiörengücü,1-1,Rizespor
19/01/23,CUP,Fenerbahce,2-1,Rizespor
23/01/23,1.L,Rizespor,3-1,Denizlispor
04/02/23,1.L,Rizespor,5-1,Yeni Malatyaspor
04/03/23,1.L,Samsunspor,2-0,Rizespor
08/03/23,1.L,Rizespor,3-0,Adanaspor
12/03/23,1.L,Bodrum FK,1-2,Rizespor
18/03/23,1.L,Rizespor,3-1,Altay
26/03/23,1.L,Eyüpspor,0-1,Rizespor
29/03/23,1.L,Rizespor,4-2,Manisa FK
02/04/23,1.L,Rizespor,0-0,Bandırmaspor
09/04/23,1.L,Erzurumspor FK,1-1,Rizespor
13/04/23,1.L,Rizespor,2-1,Sakaryaspor
30/01/21,SÜL,Fenerbahce,1-0,Rizespor
02/02/21,SÜL,Rizespor,1-1,Kasımpaşa
06/02/21,SÜL,Alanyaspor,2-1,Rizespor
12/02/21,SÜL,Rizespor,0-2,Erzurumspor FK
22/02/21,SÜL,Ankaragücü,1-1,Rizespor
27/02/21,SÜL,Rizespor,0-0,Sivasspor
03/03/21,SÜL,Kayserispor,2-1,Rizespor
13/03/21,SÜL,Rizespor,1-0,Hatayspor
19/03/21,SÜL,Galatasaray,3-4,Rizespor
03/04/21,SÜL,Rizespor,0-0,Fatih Karagümrük
06/04/21,SÜL,Göztepe,2-0,Rizespor
10/04/21,SÜL,Rizespor,0-0,Trabzonspor
16/04/21,SÜL,Antalyaspor,2-3,Rizespor
20/04/21,SÜL,Rizespor,5-3,Konyaspor
23/04/21,SÜL,Gençlerbirliği,2-1,Rizespor
28/04/21,SÜL,Rizespor,2-3,Besiktas
02/05/21,SÜL,Denizlispor,0-1,Rizespor
08/05/21,SÜL,Rizespor,0-4,Yeni Malatyaspor
11/05/21,SÜL,Gaziantep FK,4-5,Rizespor
15/05/21,SÜL,Rizespor,0-2,Istanbul Basaksehir
18/07/21,CLF,Rizespor,2-3,Kocaelispor
03/08/21,CLF,Alanyaspor,2-0,Rizespor
13/08/21,SÜL,Besiktas,3-0,Rizespor
21/08/21,SÜL,Rizespor,0-0,Fatih Karagümrük
27/08/21,SÜL,Antalyaspor,3-2,Rizespor
04/09/21,CLF,Antalyaspor,2-1,Rizespor
12/09/21,SÜL,Rizespor,0-2,Hatayspor
