Date,Competition,Home team,Score,Away team
22/07/23,CLF,Sivasspor,1-0,Sumqayit
26/07/23,CLF,Sivasspor,2-0,Ümraniyespor
29/07/23,CLF,Antalyaspor,0-2,Sivasspor
04/08/23,CLF,Sivasspor,2-2,Kayserispor
13/08/23,SÜL,Sivasspor,1-1,Samsunspor
20/08/23,SÜL,Gaziantep FK,1-3,Sivasspor
26/08/23,SÜL,Sivasspor,1-1,Antalyaspor
03/09/23,SÜL,Besiktas,2-0,Sivasspor
10/09/23,CLF,Sivasspor,2-1,Çorum FK
18/09/23,SÜL,Sivasspor,1-3,Ankaragücü
23/09/23,SÜL,Rizespor,1-1,Sivasspor
30/09/23,SÜL,Sivasspor,0-0,Hatayspor
07/10/23,SÜL,Pendikspor,2-3,Sivasspor
22/10/23,SÜL,Sivasspor,0-1,Kasımpaşa
28/10/23,SÜL,Alanyaspor,1-2,Sivasspor
02/11/23,CUP,Sivasspor,4-0,Artvin Hopaspor
05/11/23,SÜL,Sivasspor,1-1,Adana Demirspor
11/11/23,SÜL,Fatih Karagümrük,3-0,Sivasspor
19/11/23,CLF,Kayserispor,0-0,Sivasspor
27/11/23,SÜL,Sivasspor,3-3,Trabzonspor
04/12/23,SÜL,Fenerbahce,4-1,Sivasspor
07/12/23,CUP,Sivasspor,2-1,Arnavutköy Belediyespor
11/12/23,SÜL,Konyaspor,0-1,Sivasspor
19/12/23,SÜL,Istanbul Basaksehir,3-1,Sivasspor
23/12/23,SÜL,Sivasspor,1-0,İstanbulspor
07/01/24,SÜL,Kayserispor,1-3,Sivasspor
11/01/24,SÜL,Sivasspor,1-1,Galatasaray
14/01/24,SÜL,Samsunspor,2-0,Sivasspor
18/01/24,CUP,Sivasspor,3-2,Ankara Keçiörengücü
21/01/24,SÜL,Sivasspor,2-2,Gaziantep FK
24/01/24,SÜL,Antalyaspor,2-1,Sivasspor
28/01/24,SÜL,Sivasspor,1-0,Besiktas
02/02/24,SÜL,Ankaragücü,0-0,Sivasspor
07/02/24,CUP,Sivasspor,E0-1E,Konyaspor
11/02/24,SÜL,Sivasspor,1-0,Rizespor
17/02/24,SÜL,Hatayspor,1-1,Sivasspor
25/02/24,SÜL,Sivasspor,4-1,Pendikspor
01/03/24,SÜL,Kasımpaşa,0-0,Sivasspor
09/03/24,SÜL,Sivasspor,1-2,Alanyaspor
16/03/24,SÜL,Adana Demirspor,4-1,Sivasspor
27/03/24,CLF,Sivasspor,6-1,Tokat Bld Plevnespor
28/03/24,CLF,Sivasspor,3-0,Sivas Dört Eylül
03/04/24,SÜL,Sivasspor,1-0,Fatih Karagümrük
12/04/24,SÜL,Trabzonspor,0-1,Sivasspor
22/04/24,SÜL,Sivasspor,2-2,Fenerbahce
27/04/24,SÜL,Sivasspor,1-0,Konyaspor
05/05/24,SÜL,Galatasaray,18:00,Sivasspor
12/05/24,SÜL,Sivasspor,18:00,Istanbul Basaksehir
19/05/24,SÜL,İstanbulspor,-,Sivasspor
26/05/24,SÜL,Sivasspor,-,Kayserispor
11/09/22,SÜL,Sivasspor,1-1,İstanbulspor
15/09/22,UEC,CFR Cluj,0-1,Sivasspor
18/09/22,SÜL,Ankaragücü,2-1,Sivasspor
25/09/22,CLF,Sivasspor,3-0,Tokat Bld Plevnespor
02/10/22,SÜL,Sivasspor,1-2,Hatayspor
06/10/22,UEC,Sivasspor,3-4,Ballkani
10/10/22,SÜL,Istanbul Basaksehir,0-2,Sivasspor
13/10/22,UEC,Ballkani,1-2,Sivasspor
17/10/22,SÜL,Sivasspor,3-0,Giresunspor
22/10/22,SÜL,Trabzonspor,1-0,Sivasspor
27/10/22,UEC,Sivasspor,3-0,CFR Cluj
31/10/22,SÜL,Sivasspor,0-2,Antalyaspor
03/11/22,UEC,Slavia Prague,1-1,Sivasspor
07/11/22,SÜL,Fenerbahce,1-0,Sivasspor
12/11/22,SÜL,Sivasspor,2-2,Ümraniyespor
02/12/22,CLF,Sivasspor,2-0,Partizani Tirana
08/12/22,CLF,Sivasspor,2-1,Saarbrücken
10/12/22,CLF,Ankaragücü,0-2,Sivasspor
20/12/22,CUP,Sivasspor,5-2,Esenler Erokspor
24/12/22,SÜL,Kasımpaşa,1-2,Sivasspor
29/12/22,SÜL,Sivasspor,1-2,Galatasaray
04/01/23,SÜL,Konyaspor,2-2,Sivasspor
13/01/23,SÜL,Kayserispor,4-1,Sivasspor
17/01/23,CUP,Sivasspor,3-0,Karacabey Belediyespor
22/01/23,SÜL,Gaziantep FK,1-2,Sivasspor
28/01/23,SÜL,Sivasspor,1-2,Adana Demirspor
31/01/23,SÜL,Alanyaspor,0-3,Sivasspor
04/02/23,SÜL,Sivasspor,1-0,Besiktas
25/02/23,CLF,Sivasspor,3-0,Sivas Dört Eylül
04/03/23,SÜL,Fatih Karagümrük,4-3,Sivasspor
09/03/23,UEC,Fiorentina,1-0,Sivasspor
13/03/23,SÜL,İstanbulspor,3-0,Sivasspor
