Date,Competition,Home team,Score,Away team
15/07/23,CLF,Fehérvár,2-2,Trabzonspor
16/07/23,CLF,Celje,2-2,Trabzonspor
25/07/23,CLF,Rabotnički,1-4,Trabzonspor
26/07/23,CLF,Triglav,0-4,Trabzonspor
30/07/23,CLF,Trabzonspor,1-3,AEK Athens
04/08/23,CLF,1461 Trabzon FK,0-5,Trabzonspor
11/08/23,SÜL,Trabzonspor,1-0,Antalyaspor
19/08/23,SÜL,Galatasaray,2-0,Trabzonspor
26/08/23,SÜL,Trabzonspor,2-3,Rizespor
01/09/23,SÜL,Kasımpaşa,1-5,Trabzonspor
17/09/23,SÜL,Trabzonspor,3-0,Besiktas
25/09/23,SÜL,Hatayspor,3-2,Trabzonspor
30/09/23,SÜL,Trabzonspor,2-1,Pendikspor
06/10/23,SÜL,Adana Demirspor,1-0,Trabzonspor
23/10/23,SÜL,Trabzonspor,1-0,Alanyaspor
29/10/23,SÜL,Fatih Karagümrük,0-0,Trabzonspor
04/11/23,SÜL,Fenerbahce,2-3,Trabzonspor
10/11/23,SÜL,Trabzonspor,2-1,Konyaspor
27/11/23,SÜL,Sivasspor,3-3,Trabzonspor
03/12/23,SÜL,Trabzonspor,0-1,Kayserispor
06/12/23,CUP,Trabzonspor,3-1,Çorum FK
10/12/23,SÜL,Gaziantep FK,1-3,Trabzonspor
19/12/23,SÜL,İstanbulspor,0-3,Trabzonspor
23/12/23,SÜL,Trabzonspor,1-1,Istanbul Basaksehir
06/01/24,SÜL,Ankaragücü,0-1,Trabzonspor
11/01/24,SÜL,Trabzonspor,2-1,Samsunspor
14/01/24,SÜL,Antalyaspor,1-1,Trabzonspor
18/01/24,CUP,Trabzonspor,3-1,Manisa FK
21/01/24,SÜL,Trabzonspor,1-5,Galatasaray
25/01/24,SÜL,Rizespor,1-0,Trabzonspor
29/01/24,SÜL,Trabzonspor,2-3,Kasımpaşa
04/02/24,SÜL,Besiktas,2-0,Trabzonspor
08/02/24,CUP,Gençlerbirliği,E1-2E,Trabzonspor
12/02/24,SÜL,Trabzonspor,2-0,Hatayspor
18/02/24,SÜL,Pendikspor,0-2,Trabzonspor
25/02/24,SÜL,Trabzonspor,1-0,Adana Demirspor
