Date,Competition,Home team,Score,Away team
03/06/23,SÜL,Gaziantep FK,0-3,İstanbulspor
07/06/23,SÜL,İstanbulspor,4-0,Ümraniyespor
13/07/23,CLF,Sivasspor,3-0,İstanbulspor
17/07/23,CLF,Gençlerbirliği,2-1,İstanbulspor
19/07/23,CLF,Kayserispor,3-2,İstanbulspor
22/07/23,CLF,İstanbulspor,3-1,Gençlerbirliği
29/07/23,CLF,Gaziantep FK,1-1,İstanbulspor
03/08/23,CLF,İstanbulspor,1-1,Antalyaspor
06/08/23,CLF,İstanbulspor,0-1,Fatih Karagümrük
12/08/23,SÜL,Konyaspor,1-1,İstanbulspor
18/08/23,SÜL,İstanbulspor,1-1,Kayserispor
26/08/23,CLF,Istanbul Basaksehir,0-1,İstanbulspor
17/09/23,SÜL,İstanbulspor,0-2,Istanbul Basaksehir
22/09/23,SÜL,Gaziantep FK,2-0,İstanbulspor
26/09/23,SÜL,İstanbulspor,0-1,Galatasaray
30/09/23,SÜL,İstanbulspor,1-2,Antalyaspor
08/10/23,SÜL,Besiktas,2-0,İstanbulspor
22/10/23,SÜL,İstanbulspor,2-1,Ankaragücü
27/10/23,SÜL,Kasımpaşa,3-1,İstanbulspor
01/11/23,CUP,İstanbulspor,E2-3E,Kepezspor
04/11/23,SÜL,İstanbulspor,2-4,Pendikspor
08/11/23,SÜL,Samsunspor,2-1,İstanbulspor
12/11/23,SÜL,Rizespor,1-0,İstanbulspor
25/11/23,SÜL,İstanbulspor,2-1,Hatayspor
01/12/23,SÜL,Fatih Karagümrük,3-0,İstanbulspor
10/12/23,SÜL,İstanbulspor,0-1,Alanyaspor
19/12/23,SÜL,İstanbulspor,0-3,Trabzonspor
23/12/23,SÜL,Sivasspor,1-0,İstanbulspor
07/01/24,SÜL,İstanbulspor,1-5,Fenerbahce
10/01/24,SÜL,Adana Demirspor,2-2,İstanbulspor
14/01/24,SÜL,İstanbulspor,0-0,Konyaspor
22/01/24,SÜL,Kayserispor,0-1,İstanbulspor
